Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Segregating-Sites,Theta,Tajima-D,Tajima-Pi
5,8,2,4,12,15,11,10,0,4,3,4,19,0.3467153,-1.08969,0.2861111
3,5,1,3,15,20,7,7,4,8,3,3,21,0.3832117,1.00024,0.4444444
4,7,1,3,11,16,9,5,2,2,4,5,20,0.3649635,-1.254714,0.2916667
5,9,2,3,10,14,7,6,3,6,4,5,19,0.3467153,-0.6901251,0.3083333
6,11,2,3,9,15,6,4,3,3,5,8,18,0.3284672,-1.275332,0.2611111
4,7,2,3,12,15,11,10,2,6,3,5,20,0.3649635,-0.8267575,0.3166667
8,11,3,3,9,15,7,3,2,5,4,6,16,0.2919708,-0.8890131,0.25
4,9,2,3,12,17,11,5,3,3,3,6,20,0.3649635,-0.5414533,0.3333333
4,10,1,3,12,15,11,7,2,2,4,7,20,0.3649635,-1.540018,0.275
2,7,1,3,12,15,16,9,3,6,2,4,22,0.4014599,-1.498064,0.3055556
1,5,1,2,15,19,20,8,4,6,1,4,23,0.419708,-0.1702306,0.4083333
1,5,1,2,15,20,12,8,5,8,1,4,23,0.419708,-0.0455162,0.4166667
1,5,1,2,15,19,21,8,4,4,1,4,23,0.419708,-0.4612308,0.3888889
4,5,1,2,13,17,7,7,1,2,4,4,20,0.3649635,-0.3512505,0.3444444
6,11,3,3,8,16,7,4,3,4,4,6,18,0.3284672,-1.853876,0.2305556
1,6,1,2,14,19,21,9,3,5,1,4,23,0.419708,-0.0455162,0.4166667
2,6,1,2,14,17,11,10,3,3,2,5,22,0.4014599,-0.2397536,0.3861111
1,5,1,2,15,20,19,9,3,8,1,4,23,0.419708,0.1623411,0.4305556
3,7,2,4,17,19,10,9,2,2,2,2,21,0.3832117,0.3649881,0.4055556
2,6,1,3,15,18,10,8,4,8,2,3,22,0.4014599,-0.1963636,0.3888889
3,7,2,3,12,14,15,8,4,4,2,4,21,0.3832117,-0.95089,0.325
1,4,1,3,16,20,16,13,6,6,1,2,23,0.419708,0.5364843,0.4555556
4,9,2,3,12,19,12,7,4,4,3,5,20,0.3649635,-0.2561491,0.35
2,5,1,2,13,17,16,8,6,6,2,4,22,0.4014599,0.06397653,0.4055556
2,10,1,2,10,17,11,4,3,5,2,7,22,0.4014599,-1.281114,0.3194444
7,14,3,5,8,13,10,7,2,4,4,4,17,0.310219,-1.703945,0.225
5,8,1,3,11,16,7,7,1,1,5,5,19,0.3467153,-0.4403968,0.3222222
4,9,1,4,11,17,7,6,0,6,4,5,20,0.3649635,-0.6841054,0.325
5,9,2,3,12,17,7,5,2,3,4,6,19,0.3467153,-0.6901251,0.3083333
4,8,1,2,10,16,6,5,3,8,4,7,20,0.3649635,-0.8267575,0.3166667
0,4,0,2,12,19,24,8,3,3,0,3,24,0.4379562,-1.023985,0.3666667
5,11,2,3,10,16,11,3,4,4,4,8,19,0.3467153,-0.9897991,0.2916667
4,9,1,3,9,17,7,7,2,2,4,5,20,0.3649635,-1.397366,0.2833333
4,7,2,2,11,16,12,6,1,4,3,5,20,0.3649635,-0.921859,0.3111111
1,4,1,2,16,20,21,12,3,8,1,3,23,0.419708,0.3701984,0.4444444
3,7,2,3,15,18,13,7,2,5,2,4,21,0.3832117,0.5464885,0.4166667
4,11,1,3,8,14,6,5,4,5,4,5,20,0.3649635,-1.872873,0.2555556
2,8,1,2,13,18,14,5,2,2,2,6,22,0.4014599,-1.150944,0.3277778
3,8,1,2,13,16,10,4,1,1,3,6,21,0.3832117,-0.8601398,0.3305556
5,7,2,4,10,14,10,7,1,1,3,3,19,0.3467153,-1.08969,0.2861111
2,6,1,2,13,18,15,8,1,7,2,5,22,0.4014599,-0.5868738,0.3638889
3,6,1,2,13,18,14,7,1,7,3,5,21,0.3832117,0.09273744,0.3888889
3,7,2,3,12,17,16,10,3,6,2,4,21,0.3832117,-0.6332642,0.3444444
5,9,2,4,14,16,6,6,2,6,4,5,19,0.3467153,-0.2406141,0.3333333
3,8,2,2,14,19,10,8,3,9,2,5,21,0.3832117,-0.1341381,0.375
0,5,0,2,15,23,24,12,2,6,0,3,24,0.4379562,-0.7047906,0.3888889
6,12,2,5,10,13,4,4,0,0,5,5,18,0.3284672,-1.959066,0.225
3,6,2,2,15,18,12,8,0,0,2,3,21,0.3832117,0.001987231,0.3833333
2,4,1,2,16,20,12,12,0,8,2,3,22,0.4014599,0.4110967,0.4277778
6,9,2,4,12,13,10,8,2,2,4,5,18,0.3284672,-0.5915972,0.2972222
1,7,1,2,13,19,13,6,4,5,1,5,23,0.419708,-0.5028023,0.3861111
3,6,2,2,12,18,12,12,3,3,2,4,21,0.3832117,-0.8601398,0.3305556
