Iteration	Posterior	Likelihood	Prior	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-231.5127	-244.1866	12.67392	3.415755	0.104942	0.0474189	0.0719379	0.355109	0.0815748	0.120223	0.166515	0.047354	0.00603007	0.140841	0.169637	0.00835253	0.00149297	0.021802	0.326934	0.0763279	0.1158804	0.04377901	0.0131461	0.168183	0.0642373	0.00517899	0.0189655	0.0148056	0.0111507	0.00546596	0.0545002	0.0776611	0.0996393	0.0866241	0.197396	0.154541	0.0285055	0.03848836	13.00641	0.41907	0.752226	1.08392	1.74478	0.218532	0.327817	0.0899244	0.127389	0.102148	0.13419	0.08226737	0.4678448
100	-235.1399	-250.9877	15.84781	3.145218	0.0190912	0.0677812	0.0807113	0.15877	0.00216424	0.00364259	0.183192	0.0922554	0.0117835	0.00508326	0.0110526	0.0440502	0.0935554	0.139974	0.0479988	0.282577	0.09319731	0.07453372	0.0273089	0.0809156	0.111808	0.0497087	0.0129369	0.0588246	0.0157979	0.0664653	0.0714446	0.184469	0.0655873	0.00189496	0.130291	0.0993933	0.0231544	0.01923189	18.6134	0.400193	0.739264	1.08314	1.7774	0.240468	0.159568	0.199655	0.100485	0.101341	0.198482	0.09376561	0.2051061
200	-246.63	-255.2274	8.597409	0.9123277	0.0116146	0.478527	0.00164368	0.244067	0.154404	0.0561958	0.00497269	0.0076149	0.0495969	0.016556	0.066816	0.610802	0.08555	0.0644441	0.0429589	0.0235276	0.09793387	0.02097946	0.0556123	0.275016	0.0744627	0.043128	0.00399897	0.0684116	0.0280077	0.0233264	0.0310309	0.0552905	0.0233292	0.0130621	0.170787	0.104491	0.0300453	0.03015939	25.11644	0.119146	0.448715	0.983805	2.44833	0.232607	0.167763	0.0950863	0.0762765	0.123371	0.304897	0.05113885	0.5897549
300	-232.8407	-253.7988	20.95807	1.813287	0.00948154	9.04282e-05	0.015145	0.107914	0.0163504	0.0458235	0.0412585	0.221184	0.00321957	0.0834621	0.049445	0.00411057	0.000317126	0.0441268	0.0528724	0.0168112	0.05762292	-0.01165597	0.0613709	0.0259269	0.320394	0.0263214	0.00291782	0.0300531	0.0508912	0.0776329	0.0173226	0.000291085	0.058833	0.0792022	0.0614189	0.04428	0.143144	0.05604833	40.73894	0.26992	0.633567	1.06453	2.03198	0.274542	0.192478	0.137312	0.0515247	0.172976	0.171166	0.04439235	1.262567
400	-235.6372	-248.7198	13.08253	3.383233	0.00357965	0.081147	0.0430969	0.183625	0.125309	0.189503	0.0750466	0.205958	0.0784516	0.177484	0.0430838	0.000953938	0.061035	0.0396701	0.0197037	0.0363788	0.07782413	0.04382104	0.0686382	0.130065	0.0619745	0.00321953	0.0450548	0.0345489	0.0412356	0.0439846	0.00130341	0.0104842	0.00747218	0.00512516	0.275596	0.224785	0.0465135	0.02245958	26.79615	0.416896	0.750758	1.08385	1.7485	0.207328	0.133437	0.0807834	0.103912	0.290497	0.184042	0.06628062	0.3388559
500	-235.2359	-251.5942	16.35823	2.888517	0.000822046	0.0114031	0.127829	0.00530998	0.06145	0.0774174	0.0479521	0.0391747	0.00972346	0.00746635	0.0410793	0.0234668	0.0271027	0.0210872	0.059095	0.0708139	0.04076412	0.004539661	0.102624	0.0169379	0.0426123	0.0289364	0.109972	0.0560429	0.0186937	0.0346191	0.0132059	0.0746472	0.0598994	0.147991	0.0701846	0.17667	0.0469636	0.05583735	82.74368	0.380449	0.725163	1.08191	1.81248	0.24845	0.26955	0.123208	0.12283	0.135835	0.100128	0.06037701	0.9248114
600	-214.7246	-248.0808	33.35619	1.702083	0.00840874	0.00685168	0.0147614	0.0226335	0.0219505	0.0979458	0.0186732	0.026168	0.00053865	0.0702765	0.0406093	0.00728365	0.00234621	0.028796	0.0384052	0.00285938	0.01989507	0.03482161	0.0315587	0.0697996	0.125902	0.0926168	0.0288692	0.0652979	0.0631459	0.0768353	0.0347595	0.0443409	0.0380063	0.00533608	0.167354	0.0793862	0.0767918	0.005555646	27.78258	0.254921	0.619068	1.06037	2.06564	0.29679	0.242816	0.121864	0.097482	0.0790791	0.16197	0.04037725	0.1375935
700	-243.4671	-245.0522	1.585046	1.290589	0.33403	0.0230281	0.392355	0.000673357	0.221137	0.13975	0.166112	0.413975	0.0820273	0.0668375	0.00569511	0.135721	0.559654	0.521341	0.0170366	0.434657	0.222886	0.03936436	0.025346	0.269599	0.0817976	0.00701243	0.000589665	0.0180514	0.0756546	0.0219105	0.197471	0.0501088	0.0175462	0.00174522	0.13928	0.0685985	0.0252889	0.01882228	17.96621	0.191087	0.549533	1.03533	2.22405	0.276827	0.228453	0.100862	0.109958	0.182444	0.101456	0.05818665	0.3234811
800	-219.7477	-247.1452	27.39757	1.327625	0.000120273	0.0381938	0.0266605	0.0189754	0.00283016	0.0291242	0.0324845	0.0408709	0.0308672	0.000984119	0.0980032	0.00212431	0.0639641	0.0362104	0.0183793	0.0113477	0.02816332	0.005796483	0.0444423	0.216346	0.0503805	0.0344339	0.0482104	0.0359286	0.0163806	0.0410059	0.0517111	0.0695918	0.0685937	0.00262982	0.228384	0.048337	0.0436247	0.02825562	61.38886	0.197425	0.557101	1.03846	2.20701	0.212831	0.19597	0.159246	0.143666	0.14739	0.140896	0.0340521	0.829776
900	-222.6906	-252.3051	29.61451	2.231718	0.00254738	0.0158224	0.0225715	0.0132153	0.0276057	0.0662669	0.0280401	0.0152148	0.00219545	0.02521	0.0202876	0.00256657	0.0103451	0.0649424	0.0385934	0.0050864	0.02272298	0.00756376	0.0214762	0.070881	0.122276	0.00850136	0.0967162	0.0592486	0.0289149	0.0271082	0.0589298	0.124772	0.0652089	0.172685	0.101172	0.0239992	0.0181102	0.02633893	62.2756	0.31945	0.67759	1.07484	1.92812	0.201986	0.326942	0.0776531	0.115858	0.141374	0.136186	0.03390269	0.776898
1000	-252.4526	-247.9891	-4.463474	1.125666	0.150007	0.339006	0.0861545	0.0363675	0.16337	0.793091	0.0042429	0.71379	0.217777	0.667793	0.720835	1.37101	0.313369	0.135986	0.12862	0.391193	0.4063287	0.1665974	0.0306096	0.112928	0.226853	0.0353445	0.0362232	0.0357398	0.0123987	0.0142453	0.1529	0.115858	0.112463	0.0471078	0.0303291	0.0327741	0.00422604	0.07857572	6.72595	0.161324	0.511519	1.01806	2.3091	0.210168	0.233104	0.135329	0.137989	0.157469	0.125942	0.2451731	0.3204907
1100	-240.8068	-248.0207	7.213913	3.878683	0.131417	0.0658693	0.0879883	0.0781044	0.0794987	0.591495	0.102919	0.516988	0.245544	0.152926	0.087136	0.0854285	0.0484076	0.163295	0.0530683	0.00707357	0.193507	0.06977853	0.115415	0.0803351	0.00647009	0.0374622	0.0412794	0.158012	0.0113192	0.036278	0.00772089	0.0990125	0.0363405	0.00228931	0.303369	0.0328152	0.0318822	0.05189751	12.02359	0.447571	0.770907	1.0844	1.69712	0.156398	0.21068	0.0990509	0.152985	0.175994	0.204892	0.121676	0.426522
1200	-216.6457	-244.9775	28.33184	1.867422	0.00142957	0.0153806	0.00859485	0.006918	0.0263423	0.0433982	0.0160121	0.0193209	0.0117433	0.031253	0.00329613	0.0642973	0.015116	0.0262374	0.0193459	0.00338701	0.02806445	0.01748025	0.0437194	0.014575	0.0539375	0.0867223	0.0115383	0.0293206	0.0320906	0.0269689	0.0291297	0.123691	0.00963035	0.0254124	0.423941	0.0464804	0.0428422	0.001279738	131.0868	0.276918	0.640132	1.06629	2.01666	0.240504	0.243743	0.139729	0.0813229	0.154384	0.140318	0.01875999	0.06821636
1300	-233.7709	-245.7744	12.00346	1.824419	0.0164043	0.0265758	0.0314354	0.28415	0.0856874	0.113884	0.0469598	0.0698477	0.0533144	0.0807797	0.29564	0.121006	0.0339179	0.0157405	0.268022	0.0331934	0.1398061	0.02966357	0.0499423	0.0785363	0.0355978	0.00343759	0.00311119	0.305885	0.0683485	0.0586361	0.00368746	0.0244546	0.0500937	0.000868569	0.222141	0.0420065	0.0532531	0.02091097	19.66935	0.271375	0.634942	1.0649	2.02878	0.183117	0.265972	0.091527	0.0786865	0.20259	0.178107	0.05057454	0.4134683
