Iteration	Posterior	Likelihood	Prior	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-261.1542	-246.17	-14.98426	3.820392	0.04726896	0.02910076	0.0138328	0.127567	0.134707	0.0872381	0.0221592	0.0109025	0.028551	0.00805155	0.0675648	0.0186795	0.064203	0.00932752	0.0100103	0.340158	0.0570474	0.01323436	54.70595	0.444215	0.76876	1.08438	1.70264	0.250408	0.25383	0.0983095	0.098832	0.190057	0.108563	0.04233511	0.3126094
100	-260.7207	-244.2281	-16.49263	3.899957	0.05183816	0.006545247	0.0748175	0.1663	0.000656285	4.33731e-05	0.000473137	0.00108249	0.0299373	0.00616997	0.236818	0.0390005	0.0925576	0.0882148	0.209889	0.0500235	0.00401593	0.01770638	80.92525	0.448781	0.771677	1.0844	1.69514	0.167675	0.33279	0.0902609	0.133892	0.131516	0.143866	0.02425163	0.7301111
200	-254.2569	-247.5002	-6.75667	2.502782	0.3922388	0.1375098	0.0186236	0.0809957	0.198715	0.187245	0.0122019	0.0322717	0.0210191	0.0104447	0.224573	0.0293695	0.00184723	0.00689765	0.0098383	0.125462	0.0404958	0.1010421	10.91988	0.34672	0.699662	1.07866	1.87496	0.256864	0.176832	0.122496	0.130999	0.198406	0.114403	0.2385518	0.4235644
300	-256.2239	-247.6951	-8.528791	2.310437	0.2026366	0.1244805	0.0709352	0.0221323	0.0151896	0.123213	0.00708118	0.0144901	0.0496701	0.0156645	0.12442	0.102366	0.114801	0.0290069	0.239373	0.0715966	6.03011e-05	0.05566062	16.07094	0.327715	0.684427	1.07612	1.91174	0.234536	0.202756	0.102521	0.104226	0.196527	0.159433	0.1801411	0.3089834
400	-264.0489	-252.3296	-11.71934	1.032935	0.09626966	0.02360559	0.0125419	0.0889942	0.00410658	0.0265513	0.124989	0.0418557	0.000511343	0.000213831	0.299286	0.0490454	0.170866	0.00286297	0.0782207	0.0639067	0.036049	0.03148874	39.79844	0.143478	0.486432	1.00525	2.36484	0.245336	0.191353	0.107501	0.105161	0.249971	0.100678	0.05509433	0.5715423
500	-256.2163	-248.5239	-7.692353	4.877342	0.2736274	0.09611503	0.00924565	0.19484	0.00821919	0.00980936	0.00486879	0.0413126	0.0203541	0.00662056	0.037	0.0471002	0.33546	0.0270123	0.211003	0.0351663	0.0119879	0.01274511	10.26173	0.496902	0.800961	1.08351	1.61863	0.345512	0.206071	0.0923818	0.0573335	0.18617	0.112532	0.1088601	0.1170778
600	-253.0945	-251.9933	-1.101167	1.563614	0.3179116	0.2332843	0.0195117	0.0876148	0.00883735	0.00682099	0.101299	0.0218935	0.0330435	0.00687177	0.0912522	0.053818	0.275839	0.0100796	0.183053	0.0199203	0.0801454	0.005042959	7.062587	0.234984	0.598814	1.05395	2.11225	0.320319	0.232075	0.123127	0.0974394	0.159838	0.0672024	0.2383273	0.02115981
700	-258.5314	-247.0133	-11.51806	2.10171	0.08955144	0.0153017	0.0536774	0.000520506	0.0264457	0.0228446	0.00447773	0.0312478	0.0379217	0.00812648	0.318967	0.0476088	0.315372	0.0454438	0.0669118	0.017009	0.00342563	0.01800801	37.13219	0.305121	0.665411	1.07234	1.95713	0.250392	0.220931	0.0960779	0.0706144	0.22087	0.141114	0.03330971	0.5406235
800	-258.562	-250.0433	-8.518704	2.716277	0.1210997	0.04946513	0.0108592	0.104645	0.0460754	0.0899958	0.0126647	0.028782	0.0643147	0.00207691	0.135367	0.0610923	0.11653	0.0403626	0.184048	0.0530107	0.050175	0.01602218	19.94314	0.366048	0.714502	1.0807	1.83875	0.303177	0.194459	0.158228	0.0778039	0.151697	0.114636	0.06548731	0.2446609
900	-265.3238	-248.7214	-16.60235	4.120317	0.04847162	0.02644377	0.0281589	0.101394	0.174317	0.00456074	0.0113721	0.014489	0.00880148	0.00297666	0.137005	0.00103618	0.179872	0.116705	0.134211	0.0768593	0.00824173	0.001017049	96.51114	0.460852	0.77927	1.08436	1.67551	0.290986	0.18471	0.0938254	0.083404	0.187037	0.160037	0.02746082	0.03703636
1000	-263.6999	-248.1097	-15.59017	2.139208	0.04104462	0.0175531	0.024303	0.0619977	0.010778	0.0414735	0.0678886	0.0110702	0.00130963	0.00278502	0.118957	0.10474	0.0898358	0.0367511	0.392673	0.00716129	0.0282759	0.003672417	102.2667	0.309344	0.669045	1.07311	1.9485	0.205021	0.212292	0.146726	0.0970434	0.231674	0.107243	0.02122551	0.173019
