Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-49.65511	-80.81241	31.15731	0.8066621	0.103471	0.0655549	0.0455373	0.0280011	0.00275765	0.00644872	0.0165532	0.0313915	0.1077505	0.125171	0.164244	0.011673	0.014924	0.0617478	0.075499	0.21122	0.0132165	0.0202479	0.0680743	0.024063	0.141596	0.0277093	0.0102924	0.135149	0.0203444	0.01648471	4.639746	0.0969756	0.409802	0.958784	2.53444	0.0362299	0.43271	0.00749053	0.0903898	0.395901	0.0372785	0.1416557	0.1163717
1	0	-44.99511	-76.75149	31.75638	0.8337579	0.0500885	0.0599933	0.0360632	0.00517594	0.0659975	0.0344568	0.0412118	0.095022	0.05459357	0.0844117	0.0388682	0.286578	0.0943341	0.00960524	0.00625041	0.00578082	0.0311064	0.00471326	0.00866936	0.072451	0.0162356	0.131688	0.00959728	0.146404	0.137717	0.01115957	8.148951	0.102719	0.420378	0.965887	2.51102	0.0377547	0.365741	0.000747318	0.154073	0.366975	0.0747094	0.09557127	0.116767
2	0	-27.19137	-82.22179	55.03042	0.8606208	0.00198343	0.000450709	0.00108241	0.00050967	0.00124696	0.000701627	0.000870378	0.000280037	0.0006282942	-0.0001718499	0.0618283	0.00710881	0.106458	0.04828	0.0464066	0.0563612	0.0181426	0.00440196	0.0758127	0.102616	0.0232622	0.0763497	0.00941221	0.0474186	0.316141	0.007457442	127.1687	0.108378	0.430442	0.972434	2.48875	0.0104814	0.363359	0.000324008	0.11887	0.432597	0.0743684	0.007285592	1.023588
3	0	-55.67389	-82.27341	26.59952	1.770422	0.0104792	0.106589	0.0266628	0.0527979	0.0189158	0.0310422	0.049021	0.0268351	0.09507206	0.04840046	0.136856	0.0225084	0.102622	0.0415504	0.00539292	0.168675	0.0936412	0.0200963	0.0756319	0.0253898	0.046426	0.135121	0.0612568	0.0342751	0.0305565	0.06052089	19.36242	0.26424	0.628147	1.06302	2.04459	0.0388904	0.476654	0.0102471	0.0699867	0.327229	0.0769927	0.1089214	0.5556385
4	0	-60.90843	-84.92431	24.01588	0.7999028	0.0692158	0.088916	0.05091	0.0154968	0.109861	0.245485	0.301522	0.047562	0.09133589	0.03255533	0.0445329	0.103434	0.0710572	0.12178	0.0312606	0.00342674	0.140587	0.00318019	0.036695	0.00284571	0.179104	0.0200999	0.016613	0.117078	0.108307	0.09526018	3.913956	0.0955381	0.407095	0.956928	2.54044	0.0237697	0.275669	0.0358587	0.0736149	0.541684	0.0494035	0.1278155	0.7452944
5	0	-44.44784	-86.15799	41.71015	1.128471	0.0343247	0.00775	0.00519712	0.00578036	0.00117378	0.0190819	0.00486207	0.000506138	0.01423029	0.02828701	0.0234082	0.128232	0.0132923	0.140767	0.059659	0.019163	0.095599	0.0495332	0.0148531	0.00330081	0.169094	0.0104734	0.0954276	0.060453	0.116744	0.001088674	28.91525	0.161851	0.512231	1.01841	2.30751	0.0700578	0.34803	0.0488267	0.157026	0.361103	0.0149565	0.02937568	0.03706038
6	0	-52.76845	-82.52362	29.75516	0.9649013	0.0202445	0.0431501	0.00731189	0.028394	0.219907	0.0786741	0.0544271	0.0145779	0.05581753	0.01338442	0.0874238	0.048445	0.00921488	0.165851	0.103143	0.0232794	0.0560602	0.00862676	0.116431	0.0407522	0.0718097	0.0868028	0.000423598	0.100144	0.0815921	0.02822818	6.374381	0.129899	0.465942	0.993932	2.41023	0.0917598	0.410189	0.00457478	0.098713	0.327072	0.0676917	0.0416126	0.6783566
7	0	-50.21626	-82.50512	32.28887	1.354387	0.0274093	0.0095847	0.028768	0.0290338	0.0383738	0.0122066	0.0295288	0.0248236	0.04179845	0.1009644	0.138736	0.042559	0.0487221	0.161871	0.035072	0.0195157	0.0398678	0.0266578	0.00162873	0.046894	0.0862414	0.0123261	0.0040976	0.159756	0.176055	0.07598013	13.2191	0.201927	0.562377	1.04059	2.19511	0.0322504	0.342223	8.95581e-08	0.231144	0.259618	0.134764	0.1769445	0.4294009
8	0	-57.97285	-82.64275	24.66991	1.224518	0.151165	0.0576063	0.0186052	0.115822	0.0524684	0.00769463	0.0389338	0.363626	0.2060479	0.1894977	0.168788	0.00938297	0.0537451	0.0556149	0.0179863	0.067079	0.205234	0.0352126	0.0426146	0.141238	0.0248141	0.00990749	0.016332	0.111602	0.0404493	0.01352467	2.713885	0.179468	0.535202	1.02912	2.25621	0.072788	0.446465	2.91632e-05	0.0872364	0.338661	0.0548206	0.2030224	0.06661664
9	0	-36.00219	-78.04844	42.04625	1.288394	0.00641841	0.00712002	0.00700876	0.0146159	0.00348014	0.0135029	0.00417514	0.00357829	0.01307408	0.01813353	0.0368586	0.222855	0.0466894	0.0943851	0.0196749	0.0640902	0.0371847	0.00614499	0.00152083	0.0831259	0.00624335	0.120634	0.00388341	0.218386	0.0383238	0.01214468	28.62962	0.190707	0.549075	1.03513	2.22508	0.0204357	0.42944	0.0125061	0.122087	0.324447	0.0910841	0.03027821	0.4011028
10	0	-42.64726	-80.56603	37.91876	0.9095799	0.0393522	0.00505319	0.0073723	0.014229	0.0126913	0.00578684	0.00214758	0.0066235	0.02057936	0.1737599	0.246888	0.0273214	0.0344934	0.0396856	0.00610833	0.263157	0.0893779	0.00595223	0.00222548	0.0354473	0.045196	0.0709664	0.0120188	0.0850264	0.036136	0.01745698	12.33438	0.118578	0.447779	0.983238	2.45041	0.0112	0.477662	6.79483e-05	0.0659418	0.379243	0.0658844	0.1912169	0.09129411
11	0	-30.14113	-79.3613	49.22017	0.3452666	0.0012776	0.00194417	0.00122771	0.000126765	0.000292061	0.00103785	0.00150278	0.000437979	0.003054774	-0.0001611814	0.191852	0.00405509	0.0420221	0.0260837	0.197911	0.0460273	0.117503	0.00907369	0.00137431	0.0258882	0.00860954	0.00183682	0.00792168	0.237041	0.0827999	0.009903687	226.2898	0.00967355	0.139871	0.664552	3.1859	0.0685066	0.3813	0.0127863	0.0626607	0.390951	0.0837958	0.009742506	1.016544
12	0	-43.13105	-80.87437	37.74333	2.469933	0.028148	0.04977	0.0081399	0.0102193	0.00164283	0.0101347	0.0136925	0.000519888	0.02117099	0.02018337	0.0311378	0.0446076	0.160196	0.240165	0.0839528	0.0310281	0.0311819	0.00412028	0.00240232	0.0965952	0.0246323	0.115398	0.0187014	0.0438708	0.072011	0.005435877	13.31319	0.343587	0.697195	1.07828	1.88094	0.0624097	0.480283	0.00239167	0.179199	0.201785	0.0739315	0.02561925	0.2121794
13	0	-62.38114	-78.95705	16.5759	1.483745	0.184216	0.192542	0.606192	0.0107508	0.313385	0.605384	0.316976	0.0701357	0.2502215	0.2747557	0.177408	0.0731214	0.0133727	0.0900463	0.00620664	0.0433231	0.0320514	0.00348205	0.0426723	0.0355576	0.0609946	0.143722	0.0206785	0.230056	0.0273084	0.06720142	1.829067	0.2228	0.585828	1.04945	2.14192	0.032689	0.536237	0.00264678	0.0805477	0.301675	0.0462041	0.3419571	0.19652
14	0	-50.22662	-81.70096	31.47435	1.064634	0.00937078	0.00884307	0.00343569	0.0833136	0.0375335	0.0578513	0.0309408	0.0618491	0.06348487	0.06248002	0.0489441	0.0470217	0.0447945	0.0598989	0.116938	0.0702921	0.11501	0.00179182	0.131235	0.00663558	0.00883812	0.0222632	0.01413	0.151625	0.160582	0.01016246	13.67448	0.149667	0.495353	1.00994	2.34505	0.0136761	0.378959	0.0309699	0.13061	0.391807	0.0539777	0.07264248	0.139897
15	0	-46.47065	-80.41935	33.9487	0.7708728	0.0525972	0.0299036	0.00281017	0.0237233	0.0104127	0.00632386	0.0158817	0.140801	0.0407593	0.1008402	0.184264	0.170627	0.0368035	0.0374295	0.031072	0.052174	0.0700409	0.00636887	0.0128717	0.117894	0.0321958	0.0585982	0.0121741	0.126383	0.0511037	0.08284624	4.330642	0.0893475	0.395137	0.948545	2.56697	0.0213973	0.284645	0.00112477	0.131776	0.529173	0.0318832	0.1836864	0.4510199
