Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-581.0854	-499.3898	-81.69565	25.11954	4.645965	0.226095	0.0693591	0.0566952	0.160824	0.0295318	0.337952	0.0546154	0.001977	0.208523	0.141636	0.0158458	0.00268201	0.0216008	0.0258995	0.0288471	8.18244e-05	0.0636226	0.00622953	0.0820395	0.407873	0.0585372	0.343267	0.0945693	0.0394355	0.0965816	0.0270768	0.418266	0.0138865	0.0570205	0.0319204	0.290776	0.0739671	0.0236753	0.0133308	0.00757003	0.00921449	0.131919	0.00801211	0.0822153	0.0128593	0.0312816	0.0663962	0.138988	0.407216	0.381047	0.0434993	0.112482	0.258097	0.0576138	0.00645698	0.287278	0.142675	0.00241122	0.724349	0.0221085	0.180823	0.120358	0.0235701	0.00455039	0.0913203	0.1215674	0.05392755	0.127249	0.148722	0.0823356	0.0255423	0.0893465	0.00974963	0.00777914	0.0272886	0.0270939	0.0503767	0.196997	0.097898	0.0697253	0.0378116	0.0020847	0.4955871	11	33.3842	0.06861446	0.486674	0.794951	1.08386	1.63452	0.134024	0.143382	0.0908465	0.290129	0.169032	0.172587	0.5495147	0.9018633
100	-569.3795	-490.7409	-78.63865	30.85811	6.187435	0.0447066	0.238068	0.100002	0.0660655	0.116816	0.18228	0.309551	0.119824	0.329563	0.0765153	0.0022165	0.00639931	0.266868	0.104997	0.0659541	0.13488	0.0101233	0.0219321	2.86899e-07	0.0763531	0.0762421	0.379034	0.136062	0.0122614	0.0312128	0.013185	0.138252	0.051172	0.0752072	0.307652	0.0447655	0.029501	0.0299323	0.0437961	0.0236154	0.0706776	0.0299261	0.0403463	0.188005	0.018809	0.000860849	0.147487	0.00321103	0.14621	0.137762	0.0428404	0.0405593	0.0929923	0.0504309	0.0583914	0.296872	0.165631	0.0178427	0.356564	0.00749757	0.0231612	0.194469	0.0516666	0.00773772	0.0395263	0.1067042	0.01963112	0.104131	0.118877	0.0621225	0.00590451	0.196949	0.0201442	0.00666873	0.0123292	0.0242148	0.00362167	0.239851	0.0929474	0.0578919	0.0374072	0.0169396	0.4597696	12	32.8836	0.0548801	0.544991	0.827805	1.08084	1.54637	0.0906301	0.0886948	0.0900814	0.386889	0.171535	0.172169	0.4794007	0.9590507
200	-586.1962	-515.7655	-70.4307	30.52458	2.94977	0.0443453	0.0112587	0.170013	0.0448333	0.0886303	0.117548	0.00897363	0.0441365	0.106381	0.229587	0.00150373	0.00860334	0.0675094	0.103406	0.0577426	0.0684363	0.0364477	0.0412191	0.154796	0.0139877	0.0856883	0.143595	0.061759	0.0105862	0.156563	0.101702	0.0117377	0.0519549	0.00610614	0.0861437	0.197728	0.0232153	0.162318	0.00978567	0.0128067	0.087196	0.169962	0.175222	0.105229	0.0193273	0.0198592	0.0133894	0.197899	0.0311578	0.271434	0.0748146	0.0811503	0.508783	0.131777	0.0625072	0.119674	0.289666	0.0253004	0.114123	0.0555409	0.0371476	0.0254459	0.081534	0.0675653	0.00987205	0.08007891	0.07341834	0.0221689	0.126334	0.0718266	0.0415586	0.066279	0.0290412	0.0077651	0.0229697	0.0688544	0.00794828	0.250476	0.0805386	0.112103	0.0811995	0.0109379	0.3722439	9	36.81849	0.08546899	0.385338	0.728708	1.08226	1.8037	0.141504	0.132949	0.0938447	0.296706	0.126683	0.208314	0.4456622	0.8352601
300	-587.4277	-513.8304	-73.59731	11.40726	7.117468	0.0124485	0.0411322	0.231506	0.0048087	0.176445	0.135469	0.00168338	0.11662	0.2132	0.012815	0.103787	0.00291111	0.0187222	0.00020627	0.0447579	0.0240639	0.395044	0.362507	0.0110901	0.0353552	0.0103015	0.188836	0.044245	0.0568864	0.0278906	0.0312022	0.180736	0.0143036	0.378462	0.0421275	0.137455	0.0119669	0.229999	0.0861888	0.466398	0.0839768	0.0040558	0.00745608	0.24849	0.00348882	0.0755241	0.170916	0.019259	0.00963596	0.132223	0.416847	0.0315605	0.00363006	0.108859	0.0829769	0.0201691	0.0454645	0.209594	0.0118305	0.482304	0.00800707	0.0476775	0.0470558	0.0536092	0.28053	0.1089052	0.02419376	0.119952	0.13517	0.0425899	0.00526534	0.189534	0.00297539	0.052438	0.00521883	0.0405767	0.0242525	0.139011	0.133065	0.0279669	0.0788752	0.00310848	0.5116059	8	33.88629	0.06835049	0.571695	0.841778	1.07868	1.50785	0.104156	0.0845849	0.0993298	0.31891	0.280329	0.112691	0.5357996	0.9548455
400	-586.8958	-499.7194	-87.17636	28.41822	5.062079	0.3333	0.120992	0.0460056	0.132084	0.0247123	0.0751782	0.0206248	0.172224	0.243631	0.00427567	0.0116777	0.00497852	0.0618079	0.0929701	0.0595579	0.243191	0.104798	0.00645123	0.115051	0.00614999	0.0749343	0.539926	0.287592	0.0153382	0.090443	0.0217371	0.0116095	0.0811223	0.186553	0.0820911	0.137366	0.00333947	0.0155766	0.00286264	0.00310641	0.00494993	0.00383148	0.00537788	0.164878	0.065701	0.00260244	0.377666	0.0245394	0.183226	0.107783	0.0962682	0.305419	0.246757	0.042245	0.297761	0.202761	0.226684	0.104067	0.0842995	0.138792	0.190232	0.0109594	0.0248893	0.133585	0.335518	0.1094688	0.04666059	0.0617434	0.0359571	0.0696138	0.0246296	0.0903264	0.0870288	0.011687	0.0300192	0.0421039	0.00517702	0.274185	0.103066	0.11861	0.0452017	0.000651911	0.6003927	9	29.30333	0.07205451	0.504636	0.805433	1.08319	1.60674	0.120513	0.106728	0.0918221	0.359096	0.15085	0.17099	0.6470533	0.9278876
500	-581.7488	-515.1616	-66.58726	37.07722	3.326506	0.183278	0.0157353	0.0134761	0.0987402	0.00899644	0.0789358	0.14157	0.0178129	0.303136	0.091419	0.00626156	0.00589387	0.0470808	0.0585347	0.106211	0.339565	0.0696104	0.00312364	0.0742349	0.00333788	0.0412703	0.228027	0.201958	0.0368162	0.145976	0.00788073	0.0496707	0.00730097	0.0275753	0.0777305	0.0757393	0.0525964	0.0188341	0.0262404	0.0200075	0.0393697	0.0636954	0.0689638	0.0653571	0.0390655	0.0134864	0.177077	0.103493	0.108542	0.0669566	0.0320577	0.0169718	0.702025	0.058947	0.0279061	0.126439	0.0141188	0.0247966	0.171458	0.00478259	0.00475158	0.0640487	0.326449	0.0284673	0.0272729	0.09040787	0.01997999	0.124536	0.119537	0.0788547	0.0219285	0.0538253	0.0728964	0.000678082	0.0442358	0.0225935	0.0541072	0.224822	0.0880971	0.067191	0.0257957	0.000901747	0.398728	11	38.18784	0.06469197	0.413043	0.748141	1.08371	1.7551	0.116818	0.111057	0.0856119	0.299337	0.16419	0.222986	0.4187079	0.9522818
600	-586.7161	-528.6758	-58.04022	8.727232	2.753757	0.0240282	0.0165269	0.0434827	0.0934759	0.00673331	0.0474312	0.00900077	0.192853	0.0956762	0.0106961	0.181137	0.0787493	0.0428963	0.0126826	0.0979004	0.0654372	0.139886	0.0220799	0.0861064	0.0279063	0.0714677	0.152359	0.252918	0.0376152	0.0272835	0.0901611	0.196937	0.0217384	0.0641631	0.0246579	0.0491362	0.00464831	0.145624	0.0968857	0.0770557	0.29796	0.465973	0.047464	0.0311518	0.0160581	0.0237977	0.323734	0.0108812	0.122418	0.0428583	0.247645	0.0826579	0.0414583	0.130623	0.143973	0.455622	0.0350896	0.0273095	0.0524425	0.392059	0.0833499	0.202368	0.0214745	0.0283132	0.00537356	0.1078632	0.02854922	0.0669693	0.212535	0.0858046	0.0126409	0.0505646	0.0304064	0.0522553	0.00845518	0.0376395	0.146649	0.05281	0.156057	0.0499123	0.0266979	0.010603	0.3867212	10	28.41614	0.08543135	0.369267	0.716913	1.081	1.83282	0.109316	0.0947581	0.0811424	0.374913	0.165904	0.173966	0.4152704	0.9312515
700	-600.8131	-512.6248	-88.18829	25.94556	3.965253	0.0703915	0.122164	0.0217685	0.385254	0.0451041	0.0693998	0.00539567	0.0468724	0.615364	0.0566904	0.0516292	0.00128663	0.275474	0.0945627	0.0876796	0.0543927	0.0480868	0.0186262	0.229262	0.055192	0.0294027	0.0803243	0.227951	0.0238021	0.218004	0.0270532	0.024525	0.045483	0.00704523	0.511208	0.0612951	0.15961	0.00712705	0.131363	0.00157314	0.0812669	0.589201	0.0420006	0.170831	0.0577069	0.0259714	0.0199396	0.131867	0.199379	0.0263481	0.0535198	0.256032	0.176227	0.15701	0.0398351	0.204741	0.0164092	0.0029428	0.214025	0.0151273	0.104281	0.0201629	0.169895	0.148026	0.0909078	0.1349312	0.04585022	0.0541388	0.183776	0.0576396	0.00935378	0.0249985	0.00323081	0.0134649	0.0157377	0.0683421	0.020082	0.299038	0.143416	0.0631465	0.0352406	0.00839489	0.5811578	7	32.40185	0.09543538	0.452443	0.773999	1.08441	1.68915	0.120498	0.131399	0.0603346	0.366587	0.131535	0.189646	0.627008	0.9268746
800	-605.7964	-529.1538	-76.64265	11.32961	3.638903	0.0371477	0.0771637	0.319257	0.0268096	0.00452711	0.211343	0.00662504	0.0991328	0.3442	0.0465164	0.205282	0.0408635	0.00662417	0.0245698	0.000318676	0.0226403	0.0148987	0.068276	0.0127101	0.209519	0.0131903	0.0970793	0.0972938	0.188134	0.0322536	0.0646558	0.0418443	0.00497205	0.124208	0.0121789	0.0310666	0.164964	0.00836398	0.054864	0.296634	0.18066	0.00324643	0.0610961	0.0111278	0.0120714	0.00838171	0.364713	0.0629045	0.0703592	0.110141	0.333713	0.0480094	0.0332115	0.0171474	0.159805	0.18864	0.106155	0.0273784	0.142015	0.0873009	0.201672	0.11186	0.232129	0.189487	0.0671204	0.1184317	-0.0609189	0.0854035	0.0615162	0.278954	0.0170902	0.063581	0.0239138	0.00199119	0.0498177	0.0927393	0.0611921	0.107587	0.0302815	0.075214	0.0343204	0.016398	0.3869145	8	36.45217	0.06987865	0.433354	0.761717	1.08426	1.72067	0.0980642	0.11348	0.121647	0.267446	0.166717	0.232646	0.3259956	1.18687
900	-588.5216	-509.2144	-79.30719	27.05062	7.691235	0.197428	0.0107885	0.0487377	0.138945	0.0490617	0.333728	0.00655123	0.0380561	0.483305	0.0937343	0.053848	0.00634717	0.072188	0.13123	0.00104726	0.078187	0.18897	0.0214155	0.00104353	0.0559345	0.0472441	0.00288958	0.216848	0.0171639	0.0881669	0.0985679	0.0483808	0.155728	0.027808	0.0693802	0.15924	0.0593378	0.00110844	0.00634272	0.0857081	0.259675	0.00422589	0.0625654	0.0112728	0.0901205	0.196143	0.109494	0.498042	0.328637	0.352614	0.108733	0.148282	0.445307	0.263035	0.0136194	0.306546	0.0608981	0.130862	0.50663	0.0403449	0.0780591	0.210078	0.0777998	0.0523446	0.0261524	0.1213948	0.007859176	0.0403221	0.163126	0.0393579	0.00198301	0.10406	0.0224714	0.00198339	0.0235921	0.0688449	0.0110962	0.245162	0.149764	0.0634129	0.0369236	0.0279006	0.4839486	9	27.24173	0.06757606	0.585958	0.848987	1.07735	1.48771	0.112836	0.148787	0.0754072	0.329234	0.163185	0.17055	0.4918078	0.9840198
