Iteration	Posterior	Likelihood	Prior	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-46.11744	-83.41139	37.29394	1.829172	0.034473	0.00695866	0.0113827	0.0101103	0.015325	0.0233091	0.0318153	0.025121	0.01678957	0.04240651	0.14377	0.0119668	0.0227278	0.160761	0.00530073	0.0932672	0.0712238	0.0049412	0.039291	0.0435579	0.144796	0.0168578	0.0575665	0.17338	0.0105923	0.05993298	7.795448	0.271993	0.635525	1.06506	2.02742	0.0559991	0.469623	0.0264364	0.164218	0.219748	0.0639749	0.1023395	0.5856291
100	-51.13178	-81.564	30.43222	1.108898	0.0686181	0.0121493	0.135551	0.0028813	0.0413044	0.0444871	0.00703061	0.00654599	0.02542321	0.1088905	0.121493	0.0149121	0.158547	0.0274987	0.00938345	0.105173	0.0467774	0.000411791	0.0352946	0.0429993	0.0505237	0.130621	0.0096441	0.189898	0.0568233	0.02639152	13.45375	0.158155	0.507203	1.01594	2.31871	0.0190614	0.421073	0.00469678	0.158605	0.389031	0.00753287	0.135282	0.1950852
200	-59.53095	-84.81798	25.28703	0.3171424	0.0573786	0.00579132	0.0639857	0.0627971	0.182719	0.0747135	0.0185363	0.0268567	0.06717653	-0.0002269169	0.0188352	0.0665638	0.0661385	0.0401028	0.0141464	0.0397487	0.0420862	0.0221574	0.122541	0.143341	0.0696927	0.108904	0.0185983	0.212591	0.0145528	0.1239085	15.343	0.0067885	0.117879	0.623499	3.25183	0.0457494	0.404285	0.0406464	0.105008	0.366666	0.037646	0.1236816	1.001835
300	-45.14472	-84.64339	39.49867	1.19834	0.0062691	0.0036885	0.0143377	0.00866093	0.041269	0.0045448	0.0130665	0.00899593	0.01419089	0.03776413	0.119258	0.0424424	0.0972162	0.134408	0.0762785	0.00941127	0.110934	0.00172619	0.0160429	0.0926461	0.00495182	0.03029	0.164488	0.0963229	0.0035836	0.03174039	21.74592	0.174752	0.529207	1.02641	2.26963	0.0132577	0.491361	0.0357178	0.14942	0.265001	0.045242	0.06950452	0.4566666
400	-49.10681	-83.01115	33.90434	2.477247	0.0034927	0.0203212	0.0262135	0.03153	0.0437963	0.0237161	0.00443411	0.0026642	0.03072117	0.004542025	0.130249	0.0170644	0.207554	0.0292708	0.174605	0.0990803	0.0697416	0.00269839	0.0550679	0.0348824	0.0587707	0.0809284	0.0165718	0.00483301	0.0186828	0.006976127	8.101445	0.344289	0.697749	1.07836	1.8796	0.031855	0.346631	0.00953877	0.0713557	0.47212	0.0684999	0.01151815	0.6056638
500	-55.1084	-80.14127	25.03287	1.574751	0.11488	0.0664827	0.0216595	0.0783991	0.0152128	0.0123094	0.0178728	0.112533	0.09102279	0.002626713	0.0971804	0.0535201	0.36218	0.0269872	0.0328196	0.0257162	0.0082763	0.000452977	0.0931601	0.00610261	0.00659353	0.0107791	0.0240329	0.210096	0.0421035	0.01458712	27.21058	0.236642	0.600544	1.05453	2.10829	0.0419445	0.51447	0.0101484	0.124296	0.248729	0.0604127	0.01721384	0.8474069
600	-59.71793	-87.08636	27.36843	0.2027442	0.0678663	0.0453387	0.114447	0.0493313	0.0609543	0.101359	0.0273276	0.0474059	0.1064452	0.02192305	0.16865	0.0576274	0.00952452	0.00499238	0.0236409	0.0595819	0.0381983	0.0254118	0.23841	0.0518554	0.0767834	0.0300973	0.0133656	0.183126	0.0187351	0.007399455	10.70633	0.000583235	0.0353735	0.390782	3.57326	0.0799253	0.452402	0.00884419	0.162324	0.225725	0.0707799	0.02932251	0.2523473
700	-56.73599	-80.94644	24.21045	1.040674	0.0457429	0.00930721	0.0396312	0.0143502	0.28444	0.134449	0.0024494	0.0209235	0.1207152	0.02910071	0.0823657	0.0236489	0.0593578	0.174315	0.048029	0.0291263	0.0763978	0.00388219	0.0504793	0.0110258	0.193221	0.0161234	0.0509436	0.166758	0.0143267	0.03740293	24.15501	0.144997	0.488645	1.00643	2.35993	0.0689971	0.399313	0.0260905	0.125277	0.354958	0.0253637	0.06650364	0.5624193
800	-55.19056	-81.12429	25.93373	0.5729742	0.0243419	0.0294023	0.11932	0.0132984	0.116329	0.156884	0.0916077	0.0100126	0.04624797	-0.0004370242	0.198103	0.0240874	0.0429322	0.0872172	0.116969	0.0112755	0.0343128	0.00364639	0.0254607	0.00349826	0.0102319	0.0422678	0.0243507	0.310899	0.0647478	0.04980192	12.33185	0.0475862	0.296912	0.866879	2.78862	0.0258895	0.541924	0.0245179	0.139905	0.205941	0.0618229	0.0493649	1.008853
900	-51.40396	-83.86612	32.46216	3.831864	0.0066393	0.0195144	0.0140631	0.000180196	0.0223019	0.00379854	0.0408169	0.0257663	0.02855642	0.009716533	0.0948097	0.117178	0.0727068	0.0404696	0.0076572	0.136911	0.0563064	0.00992886	0.191557	0.010878	0.0562285	0.0171913	0.00298089	0.130882	0.0543143	0.007329663	46.28515	0.44488	0.769187	1.08439	1.70155	0.0497791	0.420692	0.0157212	0.1404	0.316261	0.0571464	0.0170462	0.4299882
1000	-47.23083	-81.88764	34.65681	1.0614	0.0139204	0.0165758	0.0608376	0.0205454	0.0451468	0.0262217	0.00433339	0.0209228	0.03027474	0.05567928	0.10659	0.0125034	0.110373	0.0784955	0.134129	0.00935944	0.0517322	0.00506612	0.112006	0.155208	0.0403726	0.0101044	0.0888519	0.0801272	0.00508139	0.0716421	8.707639	0.14904	0.49446	1.00947	2.34703	0.0179355	0.523619	0.0217384	0.118884	0.266985	0.0508384	0.1273214	0.5626871
1100	-46.54792	-80.85704	34.30913	1.084634	0.0169488	0.00194575	0.047265	0.0196244	0.033191	0.0446423	0.0221693	0.0664992	0.03859091	0.07059432	0.080191	0.0388176	0.0404912	0.0458324	0.0413744	0.0877871	0.107794	0.0276976	0.0106261	0.00481001	0.0547423	0.14529	0.0351118	0.195248	0.0841872	0.01309594	11.21418	0.153525	0.500792	1.01272	2.33296	0.011053	0.440855	0.00553442	0.144302	0.326336	0.0719193	0.08369026	0.156481
1200	-66.23763	-84.03173	17.79409	0.1640686	0.137395	0.0645292	0.16022	0.214561	0.133861	0.0676873	0.379866	0.000691148	0.207592	0.01333095	0.0907528	0.0831639	0.00428328	0.0125669	0.00387408	0.225933	0.0337177	0.00877854	0.110385	0.140385	0.0623244	0.019172	0.00645296	0.189531	0.00867991	0.001650311	52.26958	0.000117	0.0159467	0.283737	3.7002	0.0317754	0.34008	0.0215503	0.129082	0.436249	0.0412632	0.01498126	0.1101584
