Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
14	0	-290.2297	-254.74	-35.48966	4.484782	3.275564	0.09992464	0.0308448	0.0580073	0.0297064	0.0322478	0.0701477	0.0514709	0.0924582	0.0606916	0.0899599	0.0589182	0.117687	0.0241264	0.0571725	0.0374152	0.133073	0.086918	0.2871987	2	33.33552	0.03958314	0.409517	0.745728	1.08358	1.76118	0.18552	0.202856	0.141859	0.181631	0.210403	0.0777309	0.3180435	0.903017
15	0	-289.8035	-256.3128	-33.49063	1.849545	1.690673	0.2539334	0.02387161	0.0203837	0.00465629	0.0530717	0.128883	0.0120364	0.0302373	0.299287	0.0817276	0.029271	0.0339024	0.00124567	0.0541027	0.0153246	0.136329	0.0995415	0.09666874	1	27.76944	0.02596534	0.253332	0.617496	1.0599	2.06927	0.212057	0.272174	0.174868	0.114988	0.152131	0.0737813	0.1205403	0.8019617
16	0	-292.6368	-254.4742	-38.16261	3.904353	1.883298	0.09371151	-0.01079448	0.0416911	0.0210885	0.0990811	0.0835352	0.00720972	2.92133e-05	0.121542	0.0275748	0.0675085	0.115862	0.0175342	0.0382605	0.214208	0.135227	0.00964889	0.1240249	1	43.75004	0.08932505	0.278934	0.642001	1.06677	2.01229	0.209159	0.272307	0.17919	0.0585017	0.199883	0.0809599	0.1132304	1.095332
17	0	-285.5635	-255.8546	-29.7089	1.176906	3.810887	0.3174235	-0.00158919	0.0341051	0.0315131	0.0261307	0.0171287	0.0384235	0.00759061	0.100284	0.0316794	0.0385058	0.0361996	0.00448942	0.16688	0.0341188	0.164961	0.267991	0.09239677	3	20.77496	0.072042	0.443662	0.768405	1.08438	1.70355	0.181743	0.252061	0.186208	0.103938	0.201979	0.0740705	0.09080758	1.017501
18	0	-286.1356	-256.3423	-29.7933	1.166464	1.735391	0.1763698	0.008379574	0.0991995	0.00020289	0.211523	0.0343375	0.182698	0.0236577	0.0018034	0.0717985	0.0345912	0.0889401	0.042966	0.0660224	0.0525096	0.0352337	0.0545165	0.2841631	3	28.53776	0.01795436	0.259504	0.623562	1.0617	2.05523	0.13511	0.238899	0.215481	0.16109	0.210166	0.0392545	0.2925427	0.9713561
19	0	-278.4826	-249.9552	-28.52737	1.378722	4.142732	0.1608344	-0.01104725	0.0446373	0.0105063	0.0670453	0.0412015	0.0531455	0.0358176	0.12599	0.0545017	0.0255942	0.0682507	0.0275907	0.120769	0.0200098	0.246516	0.058424	0.1442475	3	24.10701	0.03166553	0.462035	0.780005	1.08435	1.67361	0.181249	0.241975	0.144443	0.121009	0.259361	0.0519627	0.1332002	1.082937
20	0	-286.0134	-254.4619	-31.55151	2.965485	2.248847	0.1409074	0.08870908	0.0877817	0.00788096	0.0158891	0.00884652	0.0862681	0.0816198	0.128465	0.0726323	0.00526027	0.0752181	0.00550898	0.0987808	0.00343615	0.199637	0.122776	0.1474436	3	45.18512	0.05268988	0.321274	0.67911	1.07513	1.92449	0.19157	0.201454	0.172851	0.0976011	0.238989	0.0975349	0.2361527	0.6243571
21	0	-289.7803	-253.9114	-35.86892	2.130053	3.524221	0.06834339	-0.0185803	0.105768	0.0156055	0.133919	0.0291957	0.0246974	0.0374759	0.140372	0.0370688	0.201994	0.132446	0.0266496	0.0291046	0.00704394	0.0555261	0.0231336	0.1057026	1	45.56656	0.0629301	0.426148	0.756962	1.08411	1.73278	0.204759	0.152433	0.0974542	0.115158	0.289078	0.141118	0.08712232	1.213267
22	0	-280.7481	-252.7709	-27.97722	1.397745	4.282462	0.1617794	-0.1041772	0.0780465	0.0240066	0.0736337	0.00905071	0.000146952	0.0270949	0.0457081	0.029528	0.0989415	0.0810955	0.0903867	0.202376	0.0010141	0.0285123	0.210459	0.2544361	3	21.91268	0.05994325	0.469237	0.784443	1.08426	1.66206	0.205468	0.257412	0.161829	0.101049	0.222503	0.0517383	0.1502588	1.693319
23	0	-286.8601	-253.2284	-33.63169	2.834081	4.078221	0.1403854	0.009781709	0.0268344	0.0150654	0.129863	0.1107	0.0370819	0.0110033	0.0264993	0.143361	0.0470367	0.0812017	0.0350929	0.159392	0.0448662	0.107084	0.0249188	0.1903559	2	43.32148	0.03881344	0.458608	0.777871	1.08438	1.67914	0.244798	0.280285	0.101899	0.113162	0.174963	0.0848933	0.2001376	0.9511251
24	0	-280.2099	-250.8256	-29.38432	3.10543	4.707827	0.1201402	0.02867838	0.0732723	0.0266508	0.162426	0.0507271	0.0380284	0.0041413	0.0365694	0.0159492	0.0912466	0.100584	0.00870103	0.0645466	0.0791577	0.239718	0.00828083	0.1889901	2	27.00796	0.06221521	0.489471	0.796605	1.08377	1.63015	0.265541	0.223452	0.132696	0.10413	0.228119	0.0460603	0.2176685	0.8682475
25	0	-293.2703	-257.0764	-36.1939	1.892169	6.66292	0.09687793	0.06046674	0.0559655	0.0354792	0.0268865	0.0125852	0.214605	0.0434978	0.0547743	0.0236853	0.0795073	0.0565377	0.115502	0.057445	0.0483924	0.0268893	0.148248	0.2287852	1	28.47323	0.07466736	0.559261	0.83535	1.07974	1.52565	0.15227	0.255754	0.0991031	0.178528	0.23659	0.0777549	0.2892519	0.7909548
