Iteration	Posterior	Likelihood	Prior	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-241.3045	-232.4456	-8.858892	1.123544	0.01525384	0.03590207	0.0951286	0.00202116	0.0701035	0.0179246	0.106216	0.0135739	0.0149108	0.053606	0.0476782	0.0886799	0.000224053	0.0352703	0.101363	0.178576	0.174724	0.01592277	50.31262	0.160924	0.510977	1.01779	2.3103	0.192633	0.136408	0.240846	0.0523183	0.305882	0.0719135	0.05182484	0.307242
100	-233.8303	-233.3878	-0.44248	0.816782	0.04807175	0.0618607	0.0156537	0.144067	0.0717497	0.0957918	0.0552309	0.00118356	0.0128281	0.0431022	0.25493	0.117554	0.00295482	0.00749997	0.00524233	0.109749	0.0624625	0.01340263	19.56267	0.0991245	0.413804	0.961499	2.52557	0.142837	0.233149	0.203551	0.0856916	0.238483	0.0962886	0.07526333	0.1780765
200	-249.5275	-228.5775	-20.9501	2.781707	0.001529466	0.001320187	0.0773998	0.0987525	0.0223591	0.154236	0.0870831	0.0115881	0.0174514	0.0548279	0.115973	0.0990748	0.00524397	0.00399795	0.0357252	0.1557	0.0605871	0.0009582197	638.1694	0.371636	0.718678	1.0812	1.82848	0.108535	0.229091	0.224165	0.0925107	0.210077	0.135622	0.002278407	0.4205656
300	-232.3084	-234.2125	1.904117	1.760632	0.1666139	0.1454944	0.0584564	0.189777	0.0958058	0.054841	0.00395311	0.00129462	0.00947281	0.0679951	0.253973	0.0640397	0.00458159	0.00285919	0.00623399	0.0636687	0.123048	0.05024354	7.523276	0.262925	0.62688	1.06266	2.04754	0.137259	0.202517	0.214033	0.0549273	0.322234	0.0690294	0.1957379	0.2566879
400	-227.9639	-226.0597	-1.904171	3.031161	0.06651098	0.06922253	0.114093	0.0290355	0.0747116	0.0506942	0.0790524	0.000638009	0.00398878	0.0271196	0.0491505	0.139542	0.00099198	0.0370571	0.0262062	0.273068	0.0946509	0.05548069	17.98579	0.391658	0.733239	1.08267	1.79244	0.148652	0.174219	0.285456	0.0385534	0.270809	0.0823101	0.1247032	0.4449018
500	-235.8391	-230.1017	-5.737459	1.910744	0.02500497	0.0141948	0.245558	0.0485388	0.0022623	0.0136823	0.190145	0.00122845	0.00880626	0.0545426	0.196869	0.0782886	0.000504132	0.0217875	0.0500819	0.0362746	0.0514307	0.0005341047	32.2134	0.282382	0.645174	1.06759	2.00486	0.136104	0.17747	0.260226	0.0788983	0.222919	0.124383	0.0147289	0.03626235
600	-234.9264	-232.719	-2.207369	1.285616	0.08179571	0.05990507	0.132308	0.0652753	0.0754312	0.0491991	0.0938089	0.015568	0.0913877	0.0358212	0.0137494	0.230647	0.00219321	0.0073779	0.0190387	0.0165958	0.151599	0.001740833	34.33296	0.190227	0.548493	1.03489	2.22639	0.164402	0.175813	0.216715	0.0905867	0.228024	0.124459	0.0616459	0.02823923
700	-243.1328	-236.5504	-6.582364	0.5904773	0.04048643	0.03199101	0.145846	0.0124442	0.0771375	0.0833877	0.0761969	0.0579582	0.024874	0.113516	0.166909	0.133658	0.0192691	0.00322029	0.0285749	0.0266103	0.030398	0.00717136	61.0966	0.0511501	0.306937	0.876382	2.76553	0.188026	0.1479	0.211589	0.0881047	0.251183	0.113198	0.03916237	0.1831186
800	-229.1334	-231.047	1.913569	2.314833	0.1721797	0.1584673	0.0726519	0.0899983	0.0303578	0.0618607	0.342908	0.0081294	0.0150344	0.0332759	0.0321423	0.145445	3.29636e-05	0.00336187	0.067101	0.0815509	0.0161496	0.0232629	9.697608	0.328167	0.684798	1.07619	1.91085	0.141557	0.166419	0.201231	0.0905787	0.305817	0.0943965	0.1817302	0.1280079
900	-248.7412	-237.5612	-11.17999	0.3051775	0.03340279	0.01387081	0.123637	0.0215174	0.0417003	0.112226	0.0795389	0.00938842	0.00538868	0.0380883	0.112031	0.045016	0.00296988	0.0115551	0.0284203	0.0210394	0.347483	0.02296287	86.34599	0.00572469	0.108528	0.604396	3.28135	0.225629	0.190032	0.263162	0.0852991	0.162104	0.0737744	0.03683369	0.6234205
1000	-250.2378	-238.6495	-11.58827	1.301511	0.0136856	0.001151699	0.0274022	0.220866	0.0110294	0.110426	0.13642	0.00771243	0.0361256	0.0264623	0.0935041	0.116803	0.00761202	0.0309515	0.0361242	0.115017	0.023545	0.02146981	98.50313	0.192969	0.551798	1.03628	2.21896	0.148117	0.240169	0.237061	0.091097	0.188332	0.0952242	0.02262151	0.9490883
1100	-226.6103	-227.0817	0.4714063	2.661412	0.1003514	0.1183942	0.0551281	0.0141336	0.0698664	0.0417081	0.170613	0.00253935	0.0212391	0.0589591	0.189355	0.0758031	0.00905483	0.00132484	0.049241	0.140629	0.100406	0.02604074	11.30397	0.361245	0.710872	1.08024	1.84764	0.132949	0.182876	0.24261	0.111922	0.246941	0.0827014	0.144435	0.1802939
1200	-228.7952	-233.5307	4.735448	1.1725	0.3015446	0.2039596	0.0229891	0.0613102	0.0572214	0.0530246	0.184592	0.0173144	0.0926213	0.125028	0.0398569	0.0320303	0.00357893	0.0167873	0.0088901	0.252916	0.0318386	0.009499684	5.047584	0.170034	0.523099	1.02359	2.28328	0.181236	0.122808	0.276359	0.0815796	0.19714	0.140877	0.2134593	0.04450348
1300	-253.1375	-242.6285	-10.50899	0.3995782	0.01771866	0.01097244	0.12572	0.0400218	0.118826	0.0526971	0.104957	0.173762	0.101102	0.0114913	0.0165402	0.159942	0.012942	0.0340888	0.00597525	0.0039726	0.0379615	0.0002814805	170.3449	0.0166536	0.181441	0.730824	3.07108	0.22995	0.181563	0.173205	0.0731084	0.255758	0.0864151	0.01125392	0.02501177
1400	-254.9265	-243.3464	-11.58006	0.8794878	0.02156315	0.007930055	0.0342686	0.100395	0.132905	0.0318042	0.0162957	0.03797	0.0551844	0.0646958	0.14307	0.18704	0.00387079	0.104766	0.00984047	0.0582683	0.0196247	0.01186839	157.3439	0.112327	0.437272	0.976761	2.47364	0.0745979	0.186625	0.219201	0.0885326	0.232376	0.198667	0.01979845	0.5994608
1500	-231.1028	-230.5551	-0.5477102	1.716636	0.08073685	0.04408634	0.086603	0.02929	0.160075	0.130464	0.101067	0.00405435	0.00215523	0.0549749	0.131817	0.159343	0.0029272	0.0141142	0.00466195	0.0828761	0.0355761	0.03546766	13.12624	0.256933	0.621048	1.06096	2.06106	0.185345	0.155869	0.25893	0.0860887	0.215517	0.098251	0.07955401	0.4458313
1600	-231.5708	-232.2111	0.6402481	0.8660073	0.1021338	0.1049035	0.0286556	0.0230239	0.138533	0.110754	0.0360192	0.00513085	0.00586527	0.0876956	0.247006	0.152144	0.0015398	0.00471235	0.0592273	0.064528	0.0351647	0.03390581	11.56129	0.109507	0.432411	0.973691	2.48439	0.140438	0.112452	0.297548	0.0597604	0.314579	0.0752242	0.1388093	0.2442617
1700	-234.2487	-234.7078	0.4591306	3.804155	0.1442653	0.3000201	0.0392386	0.136557	0.0102079	0.0472373	0.0695353	0.000470893	0.0118053	0.0926965	0.138386	0.118903	0.0107576	0.030956	0.151863	0.113663	0.0277233	0.02484101	3.757026	0.443269	0.768152	1.08438	1.7042	0.131823	0.16256	0.24672	0.0581653	0.192137	0.208595	0.3248611	0.07646656
