Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-270.0108	-243.7172	-26.29367	5.391418	2.551884	0.08398493	0.1392778	0.0840084	0.0197845	0.126592	0.00676693	0.0240233	0.184122	0.0600698	0.0453767	0.169606	0.028429	0.0111556	0.0167831	0.00814356	0.145314	0.0698249	0.2194094	2	18.11637	0.04052063	0.351321	0.703252	1.07919	1.86623	0.188921	0.160294	0.144192	0.142715	0.332855	0.0310231	0.3586871	0.6117013
1	0	-278.573	-243.8341	-34.73891	2.80378	1.984548	0.03614182	0.07510216	0.139155	0.0569922	0.142991	0.00459902	0.0447691	0.158683	0.0385569	0.020955	0.0805028	0.0122364	0.0391278	0.04358	0.0341619	0.0788287	0.104861	0.150462	1	29.74205	0.08274726	0.291423	0.65336	1.0696	1.98562	0.175131	0.13332	0.17253	0.129376	0.342155	0.0474883	0.2255642	0.6670475
2	0	-263.8614	-237.3943	-26.46708	2.386101	2.282432	0.06015211	-0.06028054	0.167569	0.030307	0.155064	0.00216668	0.0719493	0.0982599	0.0446061	0.0327137	0.0977347	0.0654506	0.00399553	0.124969	0.00270342	0.0804303	0.0220808	0.2884319	2	18.91015	0.198645	0.324809	0.682038	1.07568	1.91747	0.107928	0.181905	0.164485	0.0853684	0.416378	0.0439356	0.2281513	1.264213
3	0	-262.6342	-235.3879	-27.24627	3.282114	3.90332	0.05284999	-0.03919228	0.0725225	0.0422848	0.173771	0.00893974	0.0227003	0.0632825	0.149142	0.0142348	0.106724	0.127812	0.00649144	0.129697	0.00310797	0.054698	0.0245912	0.2180813	2	24.52299	0.08565983	0.448971	0.771798	1.0844	1.69483	0.157626	0.141588	0.154524	0.0976162	0.387915	0.0607306	0.1788891	1.219087
4	0	-272.9113	-250.2265	-22.68479	1.193434	1.420298	0.08879501	0.07432281	0.054785	0.040548	0.0856607	0.00225177	0.0425027	0.284865	0.0611644	0.00806973	0.027022	0.0248328	0.0160365	0.149382	0.0309186	0.115756	0.056205	0.2714995	3	24.58523	0.04188147	0.212743	0.574729	1.04538	2.16715	0.203808	0.185042	0.159103	0.0689425	0.303881	0.0792233	0.3458224	0.7850838
5	0	-267.4427	-241.1731	-26.26955	2.159695	1.824206	0.1221267	-0.09539787	0.139738	0.148491	0.179891	0.00644709	0.00743466	0.0459592	0.0351689	0.0359818	0.0687472	0.0744175	0.0144786	0.120071	0.0083768	0.108165	0.00663192	0.3899025	1	18.98626	0.09198692	0.271347	0.634916	1.0649	2.02884	0.124892	0.228148	0.137264	0.11668	0.318923	0.0740937	0.2945047	1.323927
6	0	-271.872	-247.9601	-23.9119	1.61305	1.641786	0.09374998	0.09428676	0.044005	0.040151	0.0785471	0.0100877	0.0160549	0.117061	0.0827322	0.147484	0.140442	0.0665009	0.0203296	0.197844	0.00127323	0.0242783	0.0132091	0.2114292	1	15.46515	0.1626471	0.246418	0.610573	1.05777	2.08524	0.237198	0.246884	0.119589	0.117743	0.247173	0.031413	0.305716	0.6915871
7	0	-266.927	-242.818	-24.10893	2.073065	2.199438	0.1113588	-0.04589071	0.042247	0.0129559	0.2204	0.0114345	0.00124954	0.0574274	0.0486918	0.0278029	0.0294279	0.00547717	0.0015805	0.201621	0.0416478	0.266784	0.0312528	0.3760015	2	18.33015	0.07590263	0.315973	0.674674	1.07426	1.93509	0.242005	0.230763	0.0765494	0.0998756	0.299012	0.0517947	0.3301108	1.139016
8	0	-264.0705	-241.6039	-22.46661	1.985363	3.336743	0.09881969	0.07729302	0.112788	0.0253147	0.175203	0.000735614	0.000914823	0.143215	0.0470716	0.0415918	0.072008	0.0272487	0.000407597	0.0964317	0.0131044	0.203229	0.0407363	0.2259534	2	18.88519	0.09065442	0.413744	0.748619	1.08374	1.7539	0.124597	0.18353	0.221615	0.0622249	0.358959	0.0490743	0.3032465	0.7451148
9	0	-268.6399	-242.302	-26.33787	2.202088	4.768503	0.0550311	-0.08318157	0.0920752	0.0138085	0.172825	0.000667882	0.0114192	0.233792	0.0800992	0.0265479	0.0926258	0.0994164	0.0244239	0.0594992	0.00383645	0.0431663	0.045797	0.2859012	2	20.35442	0.1043885	0.492169	0.798194	1.08368	1.62596	0.171039	0.143319	0.1702	0.0652784	0.343415	0.10675	0.2027196	1.410328
