Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
1000	-382.3875	-323.0941	-59.29347	4.970624	4.998974	0.0273003	0.972317	0.0991929	0.0250598	0.00151756	0.038606	0.00323899	0.693323	0.0351506	0.0527358	0.679302	0.0928048	0.367262	0.0524423	0.582559	0.0690415	0.0398885	0.428023	0.436006	0.0745185	0.34317	0.0189038	0.0891025	0.0560776	0.382894	0.0693294	0.130903	0.127635	0.143682	0.207734	0.00995397	0.114223	0.0915519	0.308183	0.633362	0.0154809	0.199228	0.110115	0.0642593	0.00857683	0.161001	0.604461	0.0987867	0.335432	0.2039154	0.1831177	0.0652912	0.0211886	0.0488331	0.0106024	0.0582378	0.0697719	0.0218877	0.00585797	0.0991035	0.0921692	0.29253	0.0357763	0.0427641	0.0958075	0.0401788	0.47072	7	6.492094	0.4273252	0.502035	0.803936	1.0833	1.61073	0.284515	0.295676	0.091538	0.081246	0.141882	0.105143	0.6538377	0.7199341
1100	-384.3564	-313.8889	-70.46755	5.382046	4.405152	0.0205143	0.383601	0.052072	0.240873	0.157814	0.855921	0.218312	0.0425795	0.0197742	0.000482441	0.2428	0.0107882	0.43232	0.00797288	1.8209	0.0408946	0.374326	0.195732	0.900202	0.0805387	0.0876741	0.145886	0.440406	0.00702723	1.53703	0.0138331	0.0716018	0.0182346	0.109919	0.0595101	0.37061	0.0515376	0.423552	0.657741	0.355713	0.0158166	0.209072	0.0101583	0.459806	0.00896215	0.205585	0.124504	0.225538	0.0616274	0.2119719	0.1834087	0.0673317	0.143877	0.0230552	0.00135492	0.00676591	0.00497614	0.135147	0.00496094	0.0493173	0.181302	0.0955372	0.0667322	0.0757482	0.0901456	0.0537488	0.7465475	13	6.319665	0.3163272	0.475323	0.788149	1.08415	1.65238	0.178797	0.217001	0.120896	0.0675716	0.27688	0.138854	0.9299562	0.802777
1200	-377.8692	-307.2368	-70.63233	5.420259	3.258661	0.166326	0.00692884	0.556244	1.14084	0.0708998	0.199345	0.0744822	0.49221	0.147957	0.884272	0.0322731	0.00323319	0.0621083	0.191041	0.15558	0.302223	0.434075	0.00579231	0.00821332	0.284017	0.0138276	0.299981	0.765472	0.153138	0.108785	0.181317	0.00520181	0.0568334	0.153756	0.0714265	0.268747	0.0991336	0.28672	0.66069	1.58345	0.0500622	0.0116439	0.152215	0.0621631	0.0338401	0.422714	0.22605	0.54286	0.470162	0.2939659	0.1663998	0.077286	0.0108014	0.00708853	0.00226067	0.0841222	0.024618	0.198007	0.0132696	0.00238795	0.171922	0.192614	0.00486476	0.106153	0.0925375	0.0120672	0.4046359	10	6.918209	0.2039912	0.408333	0.744913	1.08353	1.76323	0.294359	0.278702	0.113632	0.0505402	0.150369	0.112398	0.5710356	0.7086
1300	-360.399	-309.0599	-51.33914	6.037521	2.524192	0.00785531	0.142054	0.0481712	0.176221	0.0543063	0.188001	0.0870159	0.135308	0.216522	0.00382757	0.269966	0.0211086	0.557501	0.0412546	1.07185	0.102851	0.416816	0.000982354	0.446126	0.0628248	0.136254	0.0629868	0.0034534	0.180526	0.0912088	0.0764022	0.0606015	0.0243146	0.0512891	0.0166712	0.00841394	0.0163751	0.41717	0.220365	0.362406	0.0530471	0.48429	0.138625	0.336944	0.101688	0.817701	0.0822737	0.203954	0.0263388	0.1735068	0.1886723	0.109038	0.050093	0.00994609	0.00243977	0.0298337	0.0292729	0.109889	0.0030721	0.0424085	0.0640629	0.400261	0.0148819	0.0311247	0.0838736	0.0198031	0.4200387	10	6.211958	0.1317107	0.348738	0.701241	1.0789	1.87112	0.22831	0.222865	0.186125	0.0895434	0.160323	0.112833	0.608711	0.6900462
1400	-372.2079	-310.4042	-61.80365	7.843173	4.78465	0.0288937	0.876731	0.238794	0.0665214	0.00533547	0.0312287	0.166996	0.0524607	0.168862	0.0974235	0.324285	0.000814255	0.608806	0.0573784	0.682606	0.239676	0.00668723	0.00355999	0.310972	0.175627	0.0592497	0.00185477	0.00153946	0.277297	0.0879868	0.439115	0.0842085	0.173027	0.0260344	0.00478864	0.469636	0.524115	0.47615	0.0178616	0.252552	0.00252345	0.243914	0.0931487	0.093116	0.0202486	0.422892	0.00842865	0.172963	0.0504346	0.2082745	0.08955305	0.100757	0.0191864	0.0142919	0.14752	0.0215329	0.00425919	0.123162	0.0448052	0.0730226	0.11142	0.196197	0.00786391	0.0140642	0.0987163	0.0232012	0.3663678	8	8.777712	0.1018307	0.49288	0.798611	1.08366	1.62485	0.214455	0.23227	0.132272	0.0893471	0.186326	0.145329	0.4559208	0.8035776
1500	-368.7543	-318.5992	-50.15509	6.162908	1.369269	0.0789758	1.15121	0.0876683	0.0532465	0.132718	0.102917	0.143713	0.0365438	0.053115	0.311473	0.154867	0.0469145	0.477202	0.00717248	0.445191	0.262495	0.133578	0.060548	0.0762632	0.115966	0.205257	0.0200948	0.0553012	0.155164	0.0109547	0.242949	0.0334915	0.617933	0.0291321	0.0119262	0.179792	0.0270708	0.0477206	0.587665	0.139655	0.052375	0.0374365	0.208018	0.120354	0.00155967	0.112882	0.102448	0.0119148	0.0246523	0.1437773	0.08325268	0.178306	0.080246	0.0864358	0.0918916	0.0397011	0.0100392	0.117373	0.0505179	0.0472849	0.0100211	0.173517	0.00828538	0.0424785	0.0180041	0.045898	0.6581012	12	8.044068	0.1395491	0.204403	0.565244	1.04172	2.18863	0.184979	0.261089	0.101562	0.11868	0.165669	0.16802	0.7413539	0.8877018
1600	-364.7063	-312.1705	-52.53578	6.360851	3.415576	0.124665	0.624942	0.0637814	0.00411952	0.0780953	0.0464246	0.245101	0.183377	0.226538	0.00376005	0.267768	0.0289076	0.574198	0.0246709	0.664671	0.0553382	0.23693	0.209881	0.315924	0.0691573	0.000993857	0.0118442	0.12271	0.550497	0.0502973	0.134659	0.196922	0.40173	0.0416345	0.00426621	0.0629809	0.0685628	0.0145828	0.00961825	0.397872	0.641438	0.0189813	0.139175	0.0125332	0.0383434	0.610207	0.0184704	0.0255721	0.0303307	0.1443922	-0.0229963	0.0674806	0.00997395	0.0461232	0.0466586	0.0183217	0.000419499	0.0410392	0.0075857	0.0310538	0.0746178	0.558133	0.011625	0.0484805	0.0269815	0.0115056	0.6821296	5	6.495298	0.1291244	0.419059	0.752218	1.08392	1.7448	0.17282	0.376559	0.0884679	0.0968147	0.104776	0.160562	0.6591333	1.034889
1700	-377.5892	-322.1623	-55.4269	9.019999	1.840197	0.216729	0.00106085	0.115608	0.208115	0.0331202	0.0819715	0.00348765	0.477121	0.165847	0.871971	0.00333697	0.00694966	0.164072	0.227785	0.034926	0.0438991	0.400898	0.0223576	0.127806	0.043626	0.0469467	0.00355065	0.0197431	0.124439	0.0124739	0.40845	0.125962	8.95957e-05	0.0208997	0.0796159	0.401845	0.0808032	0.0287181	0.110725	0.000303246	0.0596694	0.0362309	0.190232	0.0924517	0.134336	0.0316931	0.125743	0.362918	0.356907	0.1407469	0.124302	0.110062	0.035987	0.0495512	0.0161067	0.0264372	0.167234	0.0203113	0.0159851	0.0443363	0.188949	0.13125	0.0202786	0.0273647	0.138763	0.0073836	0.2920242	10	14.8608	0.08993399	0.273423	0.636868	1.06542	2.02429	0.175772	0.280275	0.0855926	0.112584	0.182525	0.163252	0.4163262	0.7014311
1800	-365.5918	-317.7758	-47.81601	7.499842	2.146026	0.053157	0.064159	0.139849	0.201717	0.00929413	0.197964	0.0112493	0.317632	0.123828	0.313146	0.0457122	0.0176663	0.281272	0.32195	0.0865215	0.141686	0.032612	0.0148368	0.0887588	0.0183199	0.015778	0.210478	0.169731	0.282714	0.309706	0.21803	0.0154747	0.142978	0.0293898	0.00570486	0.165279	0.043933	0.0119093	0.160271	0.479269	0.0763927	0.229959	0.0603772	0.0286632	0.162259	0.0486604	0.15924	0.269279	0.155736	0.1292132	0.008918584	0.0855377	0.0545288	0.0101345	0.0185093	0.0189289	0.0192488	0.302137	0.0149068	0.0225908	0.0336383	0.286884	0.0265687	0.0290432	0.0638286	0.0135151	0.5065115	9	9.246095	0.1021639	0.310104	0.669695	1.07325	1.94695	0.26304	0.258204	0.106515	0.0448181	0.149817	0.177606	0.5154301	0.9826968
1900	-365.3736	-305.6293	-59.74433	4.723664	4.567274	0.200381	0.00837264	0.278864	0.811118	0.0240591	0.0327927	0.0773398	0.566915	0.222988	0.651754	0.0403767	0.00774187	0.228952	0.00188816	0.5102	0.154255	0.0648676	0.0734372	0.0646544	0.0596649	0.00343082	0.198478	0.111706	0.495039	0.3984	0.0877749	0.00359095	0.215318	0.14965	0.00795362	0.0547463	0.265311	0.127259	0.103789	0.190234	0.25782	0.00514869	0.00738737	0.0546435	1.10388	0.0194682	0.00249302	0.869691	0.316505	0.2261108	0.07235483	0.17012	0.0159252	0.0631278	0.0162593	0.022377	0.000744778	0.149664	0.0303709	0.0546806	0.0155293	0.183123	0.0111323	0.187531	0.0779577	0.00145665	0.4406761	7	7.837102	0.2832755	0.483048	0.792793	1.08396	1.6402	0.2064	0.198581	0.179914	0.0733547	0.208417	0.133333	0.5130309	0.858966
