Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-225.2601	-221.4846	-3.775485	2.227245	0.1035222	0.008755689	0.0146508	0.21552	0.115884	0.206492	0.0291189	0.00187428	0.0167883	0.000822001	0.154724	0.00340796	0.106918	0.00612928	0.0434113	0.0566595	0.0275994	0.0517501	16.84255	0.318971	0.67719	1.07476	1.92908	0.105404	0.148982	0.188919	0.0340017	0.36673	0.155963	0.06050579	0.8552917
1	0	-232.7995	-229.8078	-2.991744	3.278384	0.08634661	0.05270821	0.0157898	0.140395	0.0122406	0.168502	0.0313045	0.0020947	0.0328099	0.00402795	0.173085	0.0298774	0.253998	0.0347895	0.0149617	0.0425662	0.0435585	0.05053109	16.81251	0.409714	0.745863	1.08358	1.76084	0.0811161	0.278947	0.164892	0.0820035	0.281879	0.111163	0.1032393	0.489456
2	0	-218.0935	-213.287	-4.806475	1.938192	0.1015539	0.06061555	0.00780751	0.0875631	0.0135511	0.35455	0.0258843	0.000807646	0.0618202	0.000714816	0.171932	0.0962701	0.0628993	0.00107131	0.0875873	0.0219572	0.00558414	0.1130413	22.03837	0.285783	0.648276	1.06836	1.99758	0.131804	0.186084	0.233881	0.0548611	0.298497	0.0948728	0.1736568	0.6509463
3	0	-239.6155	-223.3037	-16.31177	5.642406	0.006970243	0.006692131	0.0243248	0.162397	0.020922	0.182089	0.0111395	0.0105627	0.0921598	8.12703e-05	0.0850496	0.0889913	0.242251	0.0174084	0.0199657	0.0282509	0.0144073	0.001459805	192.7648	0.526753	0.817888	1.08204	1.57332	0.107464	0.256479	0.126336	0.0648738	0.287355	0.157492	0.008151936	0.1790746
4	0	-228.3554	-224.6625	-3.692985	6.285305	0.1406268	0.147648	0.00467355	0.0770429	0.0492186	0.159784	0.0546517	0.011531	0.0497636	0.00353283	0.147782	0.0910922	0.110054	0.00627766	0.174285	0.0549252	0.00538529	0.06431198	7.926415	0.548044	0.829435	1.08061	1.54191	0.172003	0.187751	0.164121	0.109936	0.248893	0.117296	0.21196	0.3034157
5	0	-238.8416	-220.8419	-17.99967	3.822016	0.00424478	0.002209002	0.0129979	0.121792	0.132546	0.109646	0.0104696	0.00792013	0.0227316	0.026407	0.16365	0.0157711	0.15306	0.0046491	0.134447	0.0593994	0.0245136	0.002065254	284.704	0.444309	0.76882	1.08438	1.70249	0.125461	0.243441	0.198078	0.0343989	0.316163	0.0824584	0.004274257	0.4831845
6	0	-235.5293	-222.1484	-13.38095	3.622322	0.02089967	0.00284717	0.00130444	0.0649707	0.0973052	0.242622	0.00589679	0.0307407	0.0323252	0.00374038	0.130482	0.133717	0.0909383	0.0109544	0.12728	0.0268637	0.000859644	0.005318718	103.9076	0.432329	0.761045	1.08424	1.72238	0.150877	0.148615	0.153306	0.0786158	0.347799	0.120787	0.008165888	0.6513337
7	0	-225.564	-218.448	-7.115991	2.292503	0.04863678	0.05563777	0.00606682	0.111395	0.0799066	0.110101	0.000903196	0.00188781	0.0222292	0.00345002	0.142131	0.0204491	0.228745	0.00356896	0.234488	0.0132372	0.0214409	0.03406978	37.52763	0.325858	0.682903	1.07584	1.9154	0.173516	0.1886	0.190276	0.0549162	0.250655	0.142036	0.08970755	0.3797872
8	0	-227.7548	-227.0078	-0.7469201	4.074434	0.1543145	0.1546512	0.0139673	0.0831888	0.0236746	0.136646	0.0551122	0.00635589	0.0562884	0.0133434	0.314567	0.0051943	0.0920927	0.0588246	0.123242	0.0162358	0.00126754	0.03721963	6.480967	0.458405	0.777744	1.08438	1.67947	0.16911	0.186037	0.263355	0.0497301	0.290102	0.0416661	0.1918709	0.1939827
9	0	-235.9764	-228.9808	-6.995595	3.553447	0.05187489	0.02758922	0.00228776	0.0254289	0.0996268	0.13386	0.0714952	0.00962677	0.0758676	0.00383381	0.244425	0.0153698	0.127597	0.0402344	0.0648333	0.0825771	0.00293633	0.02418944	42.51218	0.428011	0.758198	1.08416	1.72964	0.159387	0.133522	0.245832	0.0569631	0.313633	0.0906629	0.05177866	0.4671701
