Iteration	Posterior	Likelihood	Prior	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-200.3972	-216.4948	16.09754	1.792554	0.107126	0.0714254	0.0532498	0.0869846	0.0612741	0.0189114	0.0361648	0.0979631	0.0460029	0.0354483	0.0547389	0.0782637	0.0746155	0.00302344	0.07214402	0.003579076	0.00541676	0.126614	0.0149231	0.153478	0.00126879	0.00447704	0.0518502	0.000757125	0.238809	0.146255	0.211193	0.0158569	0.0104928	0.0128856	0.0057233	0.06411551	63.43872	0.267188	0.630971	1.06381	2.03803	0.178659	0.13648	0.223423	0.0355628	0.310463	0.115412	0.06769458	0.9471291
100	-202.8467	-214.3575	11.51071	1.779718	0.0813188	0.0432876	0.146139	0.108799	0.000190292	0.0544111	0.189835	0.082652	0.303275	0.433331	0.0526327	0.358609	0.00246148	0.181322	0.1038337	0.04920387	0.00931569	0.0953755	0.141537	0.163597	0.00667815	0.00311055	0.0322965	0.000584047	0.254487	0.0213778	0.212709	0.0101182	0.0374169	0.00829383	0.00310315	0.0002849223	18.61458	0.265483	0.62934	1.06336	2.04182	0.140438	0.189827	0.178439	0.0485921	0.27728	0.165424	0.04948879	0.00575731
200	-221.6289	-225.602	3.973108	1.760776	1.56472	0.0385994	0.19601	0.00495012	0.193966	0.270532	0.300255	0.0902674	0.0981052	0.295049	0.421581	0.242165	0.00479188	0.0933299	0.2000008	0.1215153	0.0121585	0.0445741	0.0180544	0.211246	0.00836526	0.00675125	0.0156002	0.00112219	0.244324	0.135845	0.18385	0.00474762	0.00925469	0.089937	0.0141696	0.00988833	10.28166	0.262945	0.626899	1.06266	2.04749	0.11177	0.176827	0.221732	0.0523209	0.272527	0.164823	0.1314037	0.07525155
300	-186.3995	-220.596	34.19653	4.499885	0.0148054	0.0152526	0.0266134	0.0032363	0.000309338	0.00228399	0.0169091	0.00103475	0.00909684	0.00564893	0.0143079	0.0209125	0.0283382	0.0151742	0.01142112	0.008902144	0.014107	0.100805	0.0875917	0.198643	0.0195996	0.0140887	0.00198613	0.00946859	0.177586	0.0993602	0.144254	0.018413	0.0826961	0.00569857	0.0257022	0.006595939	117.0653	0.479879	0.790896	1.08404	1.64518	0.134817	0.164053	0.216054	0.0601322	0.351797	0.073146	0.01549808	0.4255971
400	-197.504	-219.9316	22.42758	2.868856	0.0664277	0.000846574	0.00656797	0.00163174	0.0171826	0.0483872	0.0366333	0.122222	0.0536381	0.0714682	0.0613902	0.219258	0.0617807	0.00570912	0.05704853	0.04183423	0.0135933	0.10749	0.0534804	0.263938	0.00700582	0.0022766	0.0248025	0.00268264	0.222897	0.0279112	0.122309	0.0105143	0.0180479	0.105918	0.0171337	0.03204479	21.14741	0.378855	0.723998	1.08179	1.81536	0.0837892	0.200595	0.256154	0.0753604	0.26556	0.118542	0.07387902	0.4337469
500	-192.2532	-217.3494	25.0962	2.35105	0.0217271	0.0187254	0.02399	0.055421	0.0372904	0.00710575	0.0426836	0.0112963	0.0352046	0.0221161	0.0436117	0.000416978	0.0391125	0.0541826	0.04008578	0.01220605	0.00162766	0.0943978	0.17769	0.0520445	0.00113207	0.00226664	0.0725233	0.00774055	0.287607	0.080938	0.152721	0.00417299	0.0446035	0.0150131	0.00552175	0.008468822	98.68829	0.331864	0.68781	1.07672	1.9036	0.162455	0.186761	0.191787	0.0226873	0.308857	0.127453	0.02067487	0.4096191
600	-201.1952	-218.195	16.99988	3.842089	0.0653836	0.00657664	0.232594	0.047496	0.126335	0.0232969	0.0012523	0.0802073	0.156623	0.0993495	0.143851	0.058309	0.0495806	0.0120681	0.07865735	0.05426023	0.00254605	0.0906208	0.140753	0.0674365	0.00940132	0.00812835	0.0683531	0.00297611	0.092448	0.0199169	0.163884	0.0027878	0.202284	0.125567	0.00289813	0.0181705	37.13456	0.445471	0.769565	1.08439	1.70057	0.134291	0.225042	0.187286	0.0460001	0.282022	0.125359	0.07243074	0.2508673
700	-209.7846	-217.8991	8.114541	4.729202	0.270282	0.453882	0.110628	0.29896	0.0646801	0.0841638	1.21207	0.0194207	0.155006	0.0489029	0.0697964	0.123085	0.0051041	0.164629	0.1930288	0.3314951	0.0172667	0.0530255	0.0114144	0.194101	0.00856866	0.00274749	0.0464287	0.00843304	0.266949	0.0496019	0.136876	0.00443157	0.105304	0.0870653	0.00778781	0.03130858	3.842396	0.490426	0.797169	1.08374	1.62867	0.173972	0.197458	0.178244	0.0757557	0.29246	0.0821106	0.3628037	0.08629618
800	-203.9251	-224.6849	20.75981	0.8855325	0.00200323	0.364714	0.00800607	0.144124	0.0384703	0.10607	0.0205214	0.0131939	0.0213852	0.0775175	0.0328822	0.123711	0.0856217	0.208204	0.08334759	0.04973118	0.00840937	0.0201789	0.0608604	0.123697	0.00593997	0.010099	0.106991	0.000141741	0.38163	0.0350726	0.171712	0.00973139	0.0342177	0.00460947	0.0267104	0.0099091	16.0413	0.113588	0.43942	0.978103	2.46889	0.133652	0.11762	0.279438	0.101811	0.235007	0.132473	0.05964028	0.1661478
900	-208.6374	-223.6148	14.97739	5.299743	0.0122062	0.110659	0.00860169	0.00164739	0.00528969	0.0914051	0.0213952	0.00747673	0.0974877	0.0601454	0.111788	0.0458942	0.0550339	0.0400933	0.07204814	0.03797079	0.0111207	0.166468	0.119589	0.144491	0.0122266	0.00061682	0.0837672	0.0177636	0.166776	0.0591774	0.0999588	0.0133236	0.057967	0.00440391	0.042349	0.03327618	43.97252	0.51407	0.810805	1.08274	1.59238	0.234999	0.130161	0.273524	0.0326818	0.227823	0.100812	0.07124697	0.467054
1000	-202.97	-217.5269	14.55692	1.524754	0.250567	0.00555294	0.0869317	0.0253357	0.0379827	0.116419	0.262539	0.266861	0.0501055	0.143361	0.194637	0.00463544	0.26468	0.135704	0.1040226	0.1443541	0.00184648	0.107489	0.173738	0.290237	0.00821976	0.00837009	0.0351547	0.00739321	0.188397	0.0454259	0.0555361	0.00480067	0.0355731	0.0371273	0.00069221	0.02965184	13.74372	0.229121	0.592626	1.05184	2.12641	0.123284	0.23802	0.177793	0.0351679	0.315075	0.110659	0.1740059	0.1704071
