Iteration	Posterior	Likelihood	Prior	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-233.401	-246.0299	12.62891	1.195031	0.0394082	0.0859864	0.00772776	0.214424	0.149373	0.216588	0.137112	0.431251	0.0151444	0.243178	0.0396371	0.197453	0.105472	0.0878804	0.0685079	0.0791819	0.108397	0.06823085	0.116862	0.0535839	0.223235	0.0398647	0.00203198	0.024262	0.0404865	0.0462108	0.0683126	0.0667965	0.0259208	0.0419487	0.131493	0.0813775	0.0376133	0.04852806	9.10411	0.174151	0.528435	1.02606	2.27135	0.21733	0.224246	0.146451	0.107944	0.113522	0.190506	0.1167589	0.4156262
100	-234.0602	-241.0831	7.022942	3.51103	0.109386	0.012535	0.333335	0.170169	0.0432696	0.521195	0.385634	0.234059	0.00425499	0.0437142	0.119381	0.044517	0.0737693	0.237529	0.0232885	0.0337444	0.1579862	0.05221532	0.0237346	0.0504255	0.144729	0.000872032	0.0253084	0.168221	0.00565434	0.0339545	0.0465198	0.015814	0.209011	0.0146015	0.218653	0.0361371	0.00636431	0.0376739	13.40593	0.425302	0.756399	1.08409	1.73421	0.197835	0.28541	0.10992	0.0771253	0.158536	0.171174	0.08988922	0.4191147
200	-232.4774	-244.3095	11.83213	3.388708	0.0706024	0.0827155	0.0526247	0.224668	0.0220676	0.0925399	0.152442	0.132662	0.00314162	0.0565195	0.0403128	0.147308	0.0966807	0.0963152	0.052576	0.21893	0.09090859	0.02280829	0.0406448	0.163756	0.14605	0.0222925	0.0355142	0.0165021	0.0240277	0.0212315	0.0957004	0.114982	0.0152431	0.0481657	0.163598	0.0574663	0.0348258	0.05110209	18.70431	0.417264	0.751007	1.08386	1.74787	0.23086	0.2488	0.0782619	0.10547	0.18556	0.151048	0.07391039	0.6914061
300	-261.7983	-262.6815	0.8832241	0.6316461	0.0268928	0.169388	0.0622299	0.830909	0.0545959	0.099778	0.125776	0.129118	0.0521654	0.102532	0.459097	0.307591	0.325878	0.129449	0.0807846	0.0363425	0.1799934	0.02410526	0.0108833	0.157777	0.0443139	0.00515057	0.0740428	0.0953494	0.118551	0.0823764	0.00217704	0.0125485	0.102473	0.0910899	0.0999323	0.0972873	0.00604743	0.0369272	21.44857	0.0596938	0.329412	0.896643	2.71425	0.2411	0.23196	0.0935573	0.120672	0.129465	0.183246	0.06103246	0.6050419
400	-240.7502	-248.9533	8.20308	3.438619	0.10432	0.064075	0.138911	0.183484	0.0318412	0.0835738	0.362578	0.252246	0.0305577	0.153169	0.170454	0.0131276	0.0220432	0.00155227	0.0428163	0.0213636	0.0866131	0.06091757	0.0154423	0.0366842	0.154474	0.0576276	0.00642606	0.153313	0.139513	0.000858188	0.0115847	0.146862	0.0574276	0.0061523	0.167424	0.0446602	0.00155052	0.02125978	56.88697	0.420584	0.753245	1.08397	1.74221	0.249506	0.196961	0.0738416	0.113286	0.124917	0.241489	0.08217735	0.2587061
500	-228.7174	-242.0417	13.32428	4.105022	0.0173909	0.0104302	0.0546533	0.105676	0.0807576	0.180572	0.19985	0.0625814	0.0255178	0.0419972	0.0750767	0.0393683	0.00476457	0.345061	0.0375534	0.000423798	0.08098731	0.1045557	0.0262143	0.208373	0.0473359	0.0225849	0.013775	0.0436729	0.016042	0.128217	0.018231	0.016889	0.0210639	0.00475425	0.248357	0.183028	0.00146141	0.04794253	31.79902	0.46004	0.778764	1.08437	1.67683	0.236448	0.237773	0.111088	0.0886269	0.177019	0.149046	0.1524982	0.314381
600	-222.0746	-246.4077	24.33314	1.556127	0.00505376	0.00849456	0.0227121	0.0141375	0.0200551	0.0609402	0.0375739	0.0268719	0.00825972	0.000688681	0.0933051	0.00484909	0.0618257	0.0419543	0.0309115	0.00831763	0.02770861	0.009103845	0.0028079	0.270259	0.0467587	0.0168095	0.089884	0.0423552	0.00599326	0.0305882	0.077707	0.0700256	0.0379878	0.0470269	0.188115	0.0662654	0.00741672	0.03450213	103.2302	0.233864	0.59764	1.05355	2.11494	0.273063	0.327667	0.0933759	0.0773952	0.130312	0.0981864	0.04360597	0.7912248
700	-253.6184	-245.2239	-8.394473	3.285565	0.106721	0.00163877	0.181174	0.943055	0.0946937	0.676213	0.489533	0.308791	0.069422	0.723189	0.0895176	0.968041	0.117495	0.167521	1.19124	0.035205	0.3653517	0.01119822	0.0234039	0.116423	0.0192243	0.0197545	0.00039385	0.0676154	0.0936336	0.0265099	0.107629	0.0740441	0.0256828	0.00763885	0.324483	0.0308118	0.0627523	0.1288256	8.160773	0.410214	0.746206	1.0836	1.75998	0.194134	0.330846	0.100378	0.113969	0.171088	0.0895854	0.1400238	0.9200263
800	-234.6576	-252.2212	17.56359	0.8962415	0.0167519	0.0788384	0.122969	0.140198	0.11354	0.008961	0.0544708	0.00756242	0.14076	0.0435997	0.0150202	0.0936411	0.0516968	0.0147738	0.0413619	0.0462254	0.06350805	0.03838713	0.0681022	0.125085	0.0172888	0.109361	0.0482084	0.0235019	0.102394	0.0600955	0.00706903	0.0329718	0.00573991	0.0319801	0.0683879	0.239785	0.0600296	0.006524665	53.38215	0.115815	0.443179	0.980429	2.46058	0.283782	0.201977	0.122143	0.116169	0.116467	0.159463	0.04491179	0.1452773
900	-227.8125	-245.8282	18.0157	2.069651	0.00535363	0.0339264	0.0709288	0.18539	0.0527984	0.143838	0.0766213	0.105288	0.0168051	0.0358392	0.139485	0.041244	0.0548925	0.0195476	0.030441	0.00865089	0.05736558	0.01495	0.00145796	0.0817125	0.0983711	0.0203003	0.00536976	0.0869954	0.0158579	0.125509	0.0467671	0.0960238	0.0580319	0.0159423	0.219594	0.118636	0.00943085	0.008312348	22.52491	0.30145	0.662222	1.07164	1.96469	0.286098	0.307289	0.0630387	0.0501212	0.120277	0.173177	0.02326234	0.3573306
1000	-213.1508	-247.042	33.89121	1.830049	0.0128962	0.000419992	0.0159928	0.0249926	0.0155788	0.0605143	0.0370213	0.02244	0.000205133	0.00478505	0.00555293	0.0129507	0.0198081	0.0060477	0.00927533	0.0016926	0.01124181	0.01147615	0.0280292	0.0250291	0.197428	0.0442238	0.0149624	0.00114777	0.178992	0.0200916	0.0357721	0.00234707	0.107286	0.00766338	0.123972	0.178426	0.0346296	8.109858e-05	97.45596	0.272107	0.635632	1.06509	2.02717	0.206721	0.246765	0.17414	0.0975066	0.172845	0.102023	0.01155725	0.007017117
1100	-238.7998	-245.657	6.857234	1.883844	0.0153629	0.0458703	0.00709499	0.0684477	0.0659698	0.281373	0.0909575	0.302642	0.00182916	0.182575	0.215491	0.128029	0.357255	0.0265303	0.00737232	0.00387875	0.1284054	0.02379608	0.0102806	0.298453	0.128844	0.0010636	0.0463411	0.0180504	0.000840934	0.0106782	0.0210272	0.0224401	0.0248697	0.0290206	0.26723	0.0630521	0.0578093	0.02559725	51.07914	0.279003	0.642065	1.06679	2.01214	0.261056	0.25103	0.119024	0.0838537	0.170777	0.114258	0.04939333	0.5182329
1200	-247.0682	-250.0601	2.99186	1.626268	0.391028	0.0518833	0.185721	0.0763	0.0120866	0.341985	0.0113316	0.444019	0.0190391	0.393344	0.0602789	0.00711622	0.102999	0.0610301	0.0220271	0.0262736	0.1599673	0.03763393	0.0385673	0.000330906	0.0700798	0.120268	0.0171164	0.0425341	0.0753227	0.0630297	0.0471819	0.0409734	0.0728821	0.00656667	0.345616	0.0300032	0.0295288	0.001875922	55.65649	0.244186	0.608308	1.05705	2.09046	0.286932	0.217335	0.113504	0.0791444	0.13574	0.167344	0.03950985	0.04747986
1300	-233.1579	-243.5623	10.40446	4.936349	0.0347172	0.0446432	0.191122	0.0615685	0.0790476	0.042339	0.408074	0.147367	0.0447175	0.0209858	0.0282697	0.0415764	0.133717	0.234783	0.0347907	0.0167756	0.1153508	0.04291123	0.0209035	0.388235	0.010547	0.0362233	0.000513941	0.0327979	0.0243797	0.018905	0.0373494	0.000658395	0.0784584	0.0461184	0.270381	0.0211346	0.0133952	0.01583564	20.93577	0.499412	0.802419	1.08341	1.61476	0.217024	0.251363	0.0678714	0.121945	0.181795	0.16	0.05874687	0.2695571
1400	-222.5611	-252.1621	29.60103	1.945632	0.00349629	0.0253694	0.00425101	0.0343499	0.00530981	0.00115066	0.00687199	0.0304498	0.0273973	0.0211755	0.0416077	0.00897287	0.0146064	0.0407637	0.0221038	0.0235682	0.02106485	0.004088217	0.0228929	0.0638951	0.104048	0.0237274	0.0287795	0.00359651	0.122911	0.0191869	0.0315344	0.158617	0.0200134	0.0156523	0.339415	0.00781045	0.0379205	0.002493724	61.97906	0.286697	0.649105	1.06857	1.99563	0.197834	0.221183	0.173184	0.136876	0.104265	0.166658	0.006581942	0.3788736
1500	-227.8286	-247.0443	19.21566	1.368337	0.0509861	0.0106464	0.0471529	0.0677289	0.119345	0.0231633	0.00605223	0.00277266	0.037197	0.0498897	0.169205	0.185379	0.0135634	0.0885098	0.0956343	0.00546283	0.05680885	0.04688815	0.0669923	0.135276	0.0537947	0.0499778	0.0443279	0.0355927	0.0970575	0.00723318	0.0262874	0.0465801	0.102143	0.00615407	0.236404	0.0874786	0.00470027	0.003403951	38.11303	0.204248	0.565066	1.04165	2.18903	0.186272	0.316137	0.125819	0.0481524	0.174919	0.1487	0.0502921	0.06768361
1600	-254.1811	-248.3971	-5.783985	2.077146	0.0478259	0.0136708	0.283936	0.112502	0.187223	0.619167	1.45101	0.0177231	0.0108218	0.286992	0.937176	0.198129	0.544156	0.122452	0.48877	0.273289	0.2626571	0.1104168	0.0532942	0.286843	0.0764118	0.0250362	0.0769463	0.0181175	0.0163672	0.0103756	0.0229937	0.00555179	0.146645	0.0722789	0.108317	0.0076218	0.0732004	0.07193774	11.73098	0.302313	0.662974	1.07181	1.96291	0.184428	0.276678	0.0833342	0.0694804	0.21626	0.169818	0.1823546	0.3944937
1700	-240.953	-251.4121	10.45911	1.116223	0.00100305	0.0862974	0.110131	0.0457623	0.18728	0.235941	0.17054	0.15178	0.00617387	0.0268636	0.123619	0.0422046	0.0933028	0.2226	0.0392133	0.129792	0.1244364	0.005985016	0.0260074	0.156078	0.0423519	0.0249137	0.0287827	0.055921	0.0416155	0.00902927	0.0218417	0.0651489	0.059273	0.0139038	0.0627425	0.0477747	0.344616	0.04805749	24.57514	0.159543	0.5091	1.01687	2.31448	0.240881	0.324166	0.0948434	0.101457	0.115057	0.123595	0.0540425	0.8892535
1800	-236.1496	-242.2655	6.115872	2.042865	0.00669111	0.0854047	0.105591	0.192557	0.211642	0.580834	0.26311	0.16302	0.045971	0.272486	0.278539	0.105364	0.498566	0.114591	0.0183789	0.177525	0.2214888	0.1274995	0.0178286	0.0581865	0.187353	0.0248931	0.00312165	0.0371087	0.0141757	0.0740093	0.0605099	0.0373306	0.0339748	0.0584527	0.341466	0.00496816	0.0466214	0.09870324	8.388446	0.298338	0.659496	1.07103	1.97114	0.166871	0.22622	0.145485	0.0862887	0.178281	0.196854	0.2262028	0.4363485
1900	-253.7874	-255.1586	1.371191	0.3422058	0.0164653	0.227858	0.0108989	0.31272	0.246344	0.0660134	0.207466	0.0718793	0.037354	0.0260333	0.187711	0.152787	0.367319	0.236035	0.0963342	0.724279	0.1748083	0.06291639	0.0210474	0.0182169	0.122934	0.130289	0.0743551	0.0265707	0.00157843	0.0426241	0.0333107	0.0475032	0.158405	0.0131841	0.077678	0.231148	0.00115532	0.005277575	45.79408	0.00933405	0.137484	0.660329	3.19285	0.238045	0.217009	0.142598	0.106297	0.134639	0.161412	0.06819396	0.07739066
2000	-228.9879	-245.8344	16.84644	1.246531	0.00873724	0.0726154	0.0096003	0.0701195	0.053924	0.00896316	0.0241616	0.0313968	0.102177	0.00348138	0.17267	0.00771705	0.0530809	0.114059	0.199343	0.0972328	0.0869207	0.03350106	0.0344442	0.00808881	0.103424	0.0311582	0.0129432	0.0995493	0.0820351	0.0175554	0.00730993	0.0665532	0.0554434	0.0184157	0.303431	0.146553	0.0130956	0.06724426	30.73838	0.183384	0.540101	1.03128	2.24523	0.224393	0.230605	0.113232	0.118716	0.175395	0.137659	0.1007453	0.6674678
2100	-233.6047	-249.8841	16.27942	1.115669	0.00231944	0.212686	0.0235505	0.03447	0.296439	0.0155728	0.132836	0.0241791	0.0404396	0.0424584	0.0471321	0.0631371	0.108122	0.127528	0.272947	0.0333402	0.1248171	0.04555248	0.0296879	0.172244	0.107635	0.0422187	0.0292492	0.0666661	0.0842646	0.0597375	0.0227221	0.0719656	0.0965307	0.00410137	0.160243	0.021391	0.0313435	0.02712885	12.7864	0.159438	0.508957	1.0168	2.3148	0.215568	0.225406	0.0707677	0.0664299	0.153145	0.268683	0.07268133	0.3732575
2200	-235.6131	-250.3122	14.69918	6.174948	0.029392	0.0325523	0.0134745	0.0154954	0.0152547	0.00230374	0.00986479	0.0699952	0.0757457	0.020344	0.0057757	0.0413596	0.00725515	0.000316061	0.0102998	0.0113566	0.03292055	0.03007321	0.0515313	0.0832323	0.0552417	0.0289049	0.0024667	0.143639	0.008221	0.0966682	0.0367834	0.0480546	0.00189404	0.127781	0.0245947	0.179919	0.111068	0.03193788	112.8166	0.544597	0.827594	1.08086	1.54694	0.241578	0.251848	0.102842	0.0842856	0.201965	0.117481	0.06201109	0.515035
2300	-242.0476	-248.6004	6.552736	1.981743	0.0050723	0.155993	0.00532869	0.603413	0.0416244	0.156579	0.0197819	0.0662411	0.0577687	0.0108165	0.112152	0.0078366	0.123714	0.0615316	0.0816066	0.0366019	0.1616809	-0.02496004	0.0834838	0.251698	0.034492	0.0172913	0.00237764	0.0295953	0.0352689	0.0712552	0.0540197	0.078532	0.0336142	0.0294872	0.184262	0.0890746	0.00554793	0.1594096	20.6817	0.291086	0.653058	1.06953	1.98633	0.171669	0.167779	0.0995063	0.0863385	0.174812	0.299896	0.1344496	1.185646
2400	-232.5187	-257.376	24.8573	1.227538	0.0172719	0.00490899	0.00238586	0.0430288	0.013073	0.00898337	0.0330426	0.0356929	0.0659155	0.0128997	0.0164108	0.0436923	0.0198113	0.00068969	0.00111134	0.0211751	0.05040829	0.01355337	0.0514782	0.0675198	0.292879	0.0244077	0.121057	0.0414077	0.0307716	0.0427936	0.0538279	0.16032	0.00615463	0.00552313	0.0544709	0.000394975	0.0469933	0.008080231	152.051	0.180008	0.535882	1.02942	2.25469	0.288462	0.27469	0.121063	0.0911291	0.103163	0.121493	0.02163361	0.3735037
2500	-218.6062	-248.632	30.02577	1.957244	0.0179942	0.0639233	0.0048109	0.029352	0.0548088	0.0136893	0.0200974	0.0843913	0.074386	0.0434451	0.0232052	0.0195699	0.00311655	0.0185384	0.0207578	0.00470013	0.02702575	0.03270264	0.0124762	0.123252	0.0909764	0.0374361	0.0303706	0.050341	0.0825474	0.0417662	0.00620517	0.000790864	0.0553425	0.0571061	0.117574	0.252967	0.040849	0.01914173	32.40244	0.288117	0.650389	1.06888	1.99261	0.196684	0.222749	0.200146	0.0776005	0.165092	0.137728	0.05184437	0.3692153
2600	-241.6468	-250.728	9.081123	1.731684	0.0109799	0.251256	0.0907926	0.493068	0.508961	0.0377236	0.0421678	0.0768327	0.222899	0.223166	0.0623008	0.111475	0.143563	0.0723552	0.0162751	0.129374	0.1065379	0.1451379	0.00589176	0.0501631	0.0453728	0.0445847	0.0115167	0.0471428	0.0287738	0.0499928	0.0576198	0.000158911	0.0190248	0.0796093	0.274252	0.124148	0.161749	0.02846643	8.465497	0.258998	0.623069	1.06156	2.05638	0.274107	0.26518	0.121733	0.109446	0.100538	0.128996	0.1736044	0.163973
2700	-240.3126	-248.3911	8.078496	1.309617	0.146772	0.210705	0.3287	0.0448729	0.200024	0.52443	0.4277	0.403557	0.010037	0.144429	0.141296	0.139382	0.00303862	0.0428942	0.299965	0.00260639	0.139131	0.1607286	0.0433819	0.0467065	0.0681793	0.0220684	0.0680366	0.0194195	0.00526022	0.118784	0.0752748	0.00528199	0.0466218	0.0634418	0.206134	0.0998177	0.111592	0.0797206	6.457534	0.194359	0.553461	1.03697	2.21521	0.291804	0.190329	0.176064	0.0945096	0.135237	0.112057	0.2404492	0.3315486
