Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-599.2523	-533.562	-65.69037	1.168986	1.085435	0.0350361	0.126528	0.0702408	0.0146979	0.0949233	0.124922	0.0368742	0.15641	0.042581	0.033993	0.0400197	0.0897296	0.100803	0.256008	0.0556377	0.0107868	0.0180893	0.0733155	0.00670414	0.00249173	0.0709592	0.00950849	0.043036	0.0272601	0.0638629	0.00713821	0.299972	0.00647285	0.0982294	0.00914249	0.130528	0.0755864	0.00904538	0.0613913	0.0305809	0.0293244	0.166303	0.0197846	0.0750808	0.344974	0.08617633	-0.009543668	0.00315645	0.0435434	0.122386	0.0255008	0.0688094	0.0145391	0.0542049	0.00060703	0.0139036	0.126875	0.116723	0.0675016	0.00965153	0.277355	0.055243	0.1695621	3	71.77226	0.01805528	0.153678	0.501007	1.01283	2.33249	0.196221	0.296582	0.142972	0.112674	0.178097	0.0734524	0.1600185	1.059641
100	-590.9134	-535.7453	-55.16806	60.19612	2.653241	0.00699357	0.0627863	0.143239	0.0524908	0.00629571	0.232258	0.0424294	0.0667543	0.0858732	0.0201215	0.0128238	0.0452784	0.0275672	0.0751204	0.0578118	0.0182241	0.00398097	0.0824866	0.00850182	0.00246571	0.108426	0.00869983	0.00433979	0.000137066	0.0254925	0.0277588	0.11191	0.00440845	0.100507	0.338895	0.0413909	0.111374	0.111204	0.00128964	0.040908	0.0783873	0.0019533	0.0989731	0.294282	0.0352824	0.07035504	0.02302315	0.0197425	0.137692	0.0912974	0.0744058	0.00567601	0.00503434	0.189829	0.0159891	0.00425248	0.0848451	0.0626915	0.0403657	0.0249787	0.198186	0.0450152	0.12133	5	72.4494	0.0180957	0.36052	0.710321	1.08017	1.84899	0.183778	0.18733	0.175437	0.0893271	0.258	0.106128	0.1443531	0.8405081
200	-589.1506	-538.4724	-50.67825	3.995548	1.526874	0.03099	0.0431007	0.0690767	0.133763	0.0409613	0.106791	0.0186883	0.0867382	0.0632157	0.0167414	0.0123201	0.207968	0.036414	0.155606	0.0093057	0.142269	0.0520078	0.198585	0.0303814	0.028715	0.000505478	0.0394702	0.0444889	0.0673723	0.0501477	0.0236878	0.00313839	0.0186394	0.0204943	0.0300185	0.0531348	0.12467	0.00438507	0.07919	0.00135137	0.0260886	0.00754596	0.0252118	0.0543264	0.00655293	0.0419288	-0.007086052	0.0351502	0.153697	0.0198527	0.0629104	0.0298686	0.00421543	0.10061	0.00548619	0.0101137	0.139156	0.0563618	0.14724	0.0206841	0.168094	0.0465586	0.1169589	4	65.48851	0.03307555	0.229444	0.592969	1.05196	2.12562	0.101964	0.287651	0.172342	0.0952589	0.258173	0.0846114	0.1098729	1.064493
300	-578.3136	-530.385	-47.92865	1.462556	2.911845	0.0395946	0.0315108	0.057678	0.0107653	0.0282648	0.128567	0.0102776	0.0408373	0.0191211	0.0187551	0.0198859	0.00248781	0.0708053	0.0648417	0.091871	0.0293088	0.0649669	0.11887	0.0215632	0.0285522	0.0137707	0.000842538	0.125422	0.00547374	0.026936	0.0367712	0.0125697	0.0100115	0.0527708	0.108707	0.0658147	0.0323949	0.00440635	0.153193	0.0681102	0.0294022	0.0038406	0.0668215	0.0100849	0.0606074	0.05832104	-0.02754707	0.0157951	0.0660669	0.0729315	0.0225885	0.0358735	0.000168361	0.0947668	0.00195905	0.140314	0.081526	0.0476435	0.137638	0.0370026	0.204626	0.0411002	0.1202169	5	78.75322	0.03362741	0.382325	0.726527	1.08204	1.8091	0.163869	0.25853	0.147222	0.117499	0.241599	0.0712804	0.0926698	1.297261
400	-566.4141	-516.5317	-49.88238	5.959916	1.959183	0.000650139	0.040812	0.0856976	0.066817	0.0550287	0.228829	0.046858	0.0861513	0.0342773	0.0337055	0.00589254	0.102321	0.0536225	0.0640855	0.00640088	0.0355885	0.00871152	0.0443757	0.087067	0.0344013	0.0260109	0.059745	0.013418	0.0211645	0.018259	0.0285631	0.00283647	0.0852239	0.0409052	0.0523159	0.0783772	0.105832	0.048439	0.0460521	0.0159553	0.0104267	0.0061456	0.00780395	0.142291	0.276031	0.05323918	-0.04091512	0.00475959	0.0428767	0.0440059	0.00270528	0.0583003	0.000602467	0.100523	0.00268469	0.0161315	0.108385	0.0556174	0.179301	0.0322844	0.233895	0.117927	0.1223739	5	64.84755	0.03146646	0.288353	0.650602	1.06893	1.99211	0.200677	0.290488	0.152539	0.0944023	0.192474	0.0694193	0.08145875	1.50228
500	-635.5111	-538.8383	-96.6728	1.076588	1.432118	0.0265281	0.314899	0.0919653	0.0247251	0.757379	0.247014	0.265178	0.545415	0.235606	0.0669415	0.0956203	0.0759367	0.497745	0.415295	0.433991	0.19905	0.0657825	0.258459	0.0374878	0.153644	0.0227841	0.0024599	0.371653	0.116951	0.268363	0.350384	0.0118068	0.032269	0.242957	0.123214	0.0100284	0.142537	0.0124801	0.111802	0.166465	0.0392885	0.303975	0.0772756	0.00529131	0.0888859	0.2104779	-0.009655366	0.0080575	0.0374751	0.0169146	0.0319389	0.0175596	0.00693731	0.0510667	0.00447597	0.0144718	0.00654265	0.065076	0.294771	0.0172182	0.381474	0.0460209	0.3669492	5	64.74389	0.00806858	0.214643	0.576853	1.04617	2.16233	0.162744	0.321933	0.173705	0.116643	0.154728	0.0702455	0.3572938	1.027024
600	-599.8839	-539.1161	-60.76775	8.108595	2.69862	0.00189802	0.032554	0.0567862	0.0102974	0.0558286	0.21067	0.165459	0.100498	0.0542926	0.0427716	0.00817318	0.124483	0.0349421	0.0670295	0.0514821	0.0143859	0.031751	0.0147522	0.0337806	0.13286	0.426338	0.00842642	0.105303	0.0154941	0.0142766	0.0217943	0.00602925	0.0127043	0.055424	0.0470042	0.239328	0.0227557	0.0244235	0.0908558	0.0172987	0.0529593	0.0876424	0.0236516	0.0221077	0.0204989	0.06616869	0.02668549	0.00769655	0.22327	0.0949655	0.0508662	0.0123477	0.0221788	0.0812404	0.012378	0.0488118	0.0257152	0.154468	0.11574	0.0236372	0.0837771	0.0429079	0.2005972	2	77.57871	0.01899269	0.364514	0.713347	1.08056	1.84158	0.144448	0.256063	0.131619	0.130203	0.23574	0.101927	0.2272827	0.882589
700	-609.7717	-538.2284	-71.54326	15.10294	3.829648	0.00335296	0.0539093	0.0687643	0.0334212	0.140717	0.280219	0.139744	0.0335702	0.118363	0.0201976	0.0204069	0.13097	0.057092	0.0386417	0.0426842	0.0268045	0.0381565	0.114136	0.0539291	0.222995	0.00310683	0.0120137	0.0634233	0.149427	0.098835	0.0802431	0.0137589	0.0413997	0.136046	0.0552	0.0404967	0.024391	0.0871026	0.241731	0.116649	0.089023	0.0724194	0.00207994	0.00795284	0.00499277	0.08533445	0.01360163	0.0162748	0.138303	0.134458	0.0661859	0.0133238	0.00313662	0.0871287	0.00129322	0.0938472	0.0111904	0.0840454	0.0824299	0.079401	0.18441	0.00457266	0.1018748	3	92.87518	0.02587479	0.444752	0.769104	1.08439	1.70176	0.157594	0.296337	0.163692	0.138772	0.178723	0.0648819	0.1154764	0.8822129
800	-610.5017	-539.5865	-70.91517	2.502183	2.884769	0.0272361	0.0508704	0.0151418	0.63101	0.01191	0.189489	0.119651	0.15067	0.0345123	0.0590693	0.0273913	0.236423	0.307388	0.131013	0.0762396	0.0304869	0.0217419	0.0218044	0.026847	0.0198384	0.128965	0.0771966	0.0266398	0.109017	0.0638457	0.0601244	0.0120156	0.0313115	0.0528548	0.122407	0.0567144	0.0490025	0.0103901	0.0527859	0.107894	0.0259741	0.10942	0.04159	0.0269165	0.174529	0.08537662	-0.02009305	0.00353091	0.0219452	0.23848	0.0432029	0.0419048	0.00171917	0.0935482	0.00191983	0.0204372	0.113106	0.0234659	0.0932496	0.0311366	0.188953	0.0834004	0.2639377	6	85.36232	0.01664426	0.380146	0.724942	1.08188	1.81303	0.177781	0.339308	0.129922	0.113208	0.190074	0.0497057	0.2438447	1.082401
900	-574.5624	-533.9417	-40.62068	7.532546	2.811981	0.0164614	0.100122	0.0589738	0.0325207	0.0231632	0.117735	0.0159797	0.016515	0.0196094	0.104717	0.0162059	0.0275898	0.0186254	0.0694937	0.100781	0.0366448	0.00959971	0.109216	0.00455587	0.108275	0.0470003	0.0210833	0.15288	0.0405771	0.0907549	0.0440751	0.00230721	0.0890937	0.068928	0.0745319	0.0700863	0.0158533	0.0786768	0.0307539	0.000378986	0.0203155	0.073768	0.0255743	0.000452732	0.036976	0.05015147	0.004743595	0.029092	0.141985	0.124685	0.0521978	0.0652206	0.0219646	0.0881478	0.00201732	0.0505304	0.124315	0.0733398	0.071682	0.0331896	0.103505	0.0181285	0.1834725	5	64.6684	0.02537804	0.374172	0.720556	1.08142	1.82386	0.0970797	0.272248	0.170144	0.14152	0.22948	0.0895293	0.1882161	0.9747971
