Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-257.5409	-239.2583	-18.28252	1.451685	4.365372	0.28	0.0122222	0.148644	0.114599	0.272957	0.392769	0.0115816	0.327745	0.466863	0.0425522	1.33738	0.080702	0.0855486	0.105805	0.229215	0.141866	0.1944785	0.04138486	0.099256	0.0226087	0.159903	0.0372059	0.0257548	0.00833459	0.172445	0.052044	0.0679378	0.0985252	0.00759462	0.190426	0.00205925	0.0267915	0.0291136	0.1931574	3	17.21323	0.06352343	0.473373	0.786966	1.08419	1.65547	0.280428	0.180996	0.107158	0.11458	0.283903	0.0329344	0.2345422	0.8235505
100	-263.1553	-240.5294	-22.62589	0.2353322	1.688415	0.15456	0.0518458	0.0587346	0.0297477	0.909931	0.00997031	1.67134	0.0317288	0.388971	0.0772274	0.88969	0.016332	0.123624	0.114576	0.058639	0.0485182	0.2982191	-0.0231913	0.0345437	0.00129574	0.20934	0.0202221	0.0112467	0.0299792	0.0953749	0.0585898	0.20802	0.109191	0.00837227	0.087604	0.055832	0.0166716	0.0537172	0.3132889	2	27.73729	0.0572973	0.253017	0.617183	1.05981	2.06999	0.162813	0.242401	0.189771	0.110301	0.240112	0.0546032	0.2900976	1.079943
200	-262.9107	-243.6007	-19.31004	0.5337988	4.724114	0.885753	0.162096	0.374318	0.552109	0.132233	0.0278851	0.00583732	0.127632	0.461125	0.0564721	0.59738	0.0858395	0.122058	0.46074	0.0935512	0.106176	0.2516873	0.1458805	0.0394084	0.0293777	0.0855569	0.041932	0.135908	0.0512032	0.0405693	0.102201	0.0688135	0.115152	0.0237075	0.138075	0.00751172	0.0697489	0.0508347	0.1408282	2	14.50091	0.1056576	0.490199	0.797035	1.08375	1.62902	0.225477	0.189537	0.212874	0.124796	0.189402	0.0579143	0.2867087	0.4911892
300	-253.7341	-236.9385	-16.79553	4.03085	4.017445	0.356475	0.0371069	0.107725	0.175664	0.594897	0.0116716	0.067084	0.0117066	0.0808425	0.106436	0.359387	0.217029	0.130981	0.0180895	0.502919	0.249636	0.3025679	0.09040539	0.0271845	0.0234452	0.122549	0.0200528	0.0276833	0.0267891	0.101994	0.0212245	0.210862	0.0352026	0.00624792	0.277196	0.00917736	0.0218666	0.0685255	0.150496	3	18.24976	0.08255946	0.455318	0.77581	1.0844	1.68447	0.157502	0.198924	0.118165	0.106621	0.375122	0.0436653	0.2409014	0.6247204
400	-276.8186	-259.383	-17.43563	0.9653047	2.59818	0.0556685	0.336152	0.415798	0.206154	0.224706	0.225683	0.0277668	0.326862	0.0715422	0.144782	0.186101	0.297478	0.294648	0.0241177	0.0912412	0.275489	0.1982307	-0.02341355	0.0690172	0.0116156	0.0757184	0.047368	0.0105923	0.126723	0.092624	0.0654453	0.00548232	0.0290716	0.0319944	0.0784425	0.0602803	0.138124	0.157501	0.2477192	2	29.06114	0.07007439	0.355572	0.706536	1.07966	1.85823	0.118335	0.180237	0.206283	0.189081	0.130044	0.176021	0.2243056	1.104382
500	-276.6647	-242.8734	-33.79127	0.6443813	4.928176	0.0359951	0.27929	0.571345	0.114766	0.668607	0.0109432	0.337373	0.0909854	0.366578	0.481361	0.353947	0.106245	0.20406	0.728305	0.424847	0.165936	0.3912886	0.1026689	0.0374398	0.0121537	0.0908773	0.0284101	0.0470044	0.0170994	0.0880822	0.0100993	0.13425	0.112112	0.0100763	0.0565302	0.047261	0.0970559	0.211549	0.2410349	2	30.21637	0.09775746	0.499067	0.802219	1.08342	1.61529	0.202071	0.177951	0.144128	0.0845711	0.319239	0.072039	0.3437038	0.7012868
600	-260.0758	-238.4518	-21.62399	0.7081135	2.831457	0.241163	0.0914832	0.301242	0.177224	0.78365	0.0142035	1.05506	0.0658714	0.388956	0.320307	0.407987	0.0928785	0.0766991	0.122996	0.343201	0.458416	0.3504151	0.02946342	0.102929	0.0132154	0.0993185	0.00249338	0.103498	0.00335986	0.0336239	0.0815657	0.0607269	0.135844	0.019858	0.232886	0.0241083	0.0652996	0.0212739	0.1524006	2	18.91094	0.05308039	0.375788	0.721748	1.08155	1.82092	0.160643	0.20287	0.100682	0.0698319	0.395164	0.0708097	0.181864	0.837992
700	-265.587	-241.2208	-24.36615	3.800268	6.217796	0.297609	0.332025	0.185919	0.424628	0.191422	0.0472295	0.0674989	0.116624	0.234715	0.611191	0.189235	0.415698	0.061507	0.190115	0.024355	0.16693	0.1621312	0.007734032	0.066864	0.00964037	0.160378	0.0215896	0.00329069	0.021153	0.0113317	0.171432	0.096788	0.0442817	0.016725	0.119673	0.0679319	0.134245	0.0546758	0.2494081	2	24.29267	0.04113702	0.545945	0.828315	1.08077	1.54497	0.19983	0.191359	0.188883	0.128171	0.206068	0.0856894	0.2571421	0.9699231
800	-258.5196	-233.0733	-25.44628	1.431928	5.711257	0.496386	0.0298774	0.1258	0.0487706	0.87061	0.288631	0.0176715	0.11521	0.0476208	0.0587029	0.770694	0.167503	0.354755	0.146995	1.55925	0.143753	0.2008751	0.03126685	0.108862	0.00467577	0.0232931	0.0032524	0.0831232	0.0053846	0.105854	0.111776	0.196658	0.0344744	0.00815129	0.0974134	9.01401e-05	0.137451	0.0795397	0.3468458	2	15.20277	0.0768652	0.529181	0.819227	1.08189	1.5697	0.16924	0.208141	0.274289	0.0970931	0.189162	0.0620756	0.3781126	0.9173081
900	-266.7752	-243.4927	-23.2825	0.2867723	6.075886	0.588168	0.0489602	0.0224924	0.230767	0.0586179	0.0162867	0.00876193	0.703276	0.317532	0.0898892	1.12977	0.320086	0.0587566	0.245956	0.0301879	0.0806904	0.2079398	0.07824129	0.0607095	0.0102707	0.0745598	0.0201509	0.0856287	0.0612311	0.0280792	0.11256	0.0965871	0.0547211	0.0242485	0.0248262	0.00750773	0.336276	0.00264377	0.1390626	2	24.24918	0.03873398	0.541434	0.825895	1.08109	1.55158	0.235932	0.154518	0.188821	0.110298	0.242246	0.0681856	0.2173039	0.6399454
