Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-558.3512	-494.6505	-63.70063	31.36795	7.700208	0.291174	0.0820798	0.00956947	0.140968	0.0120368	0.0772022	0.0462105	0.037069	0.00731776	0.0243336	0.357622	0.216383	0.135742	0.0203582	0.0207225	0.0400528	0.0562951	0.109401	0.160367	0.0721546	0.0256975	0.264093	0.0899563	0.0501858	0.118408	0.172444	0.00194641	0.180681	0.00438023	0.244141	0.40119	0.160467	0.0657912	0.0823147	0.0208553	0.0373282	0.0584607	0.0398311	0.09999763	-0.03822386	0.0664281	0.0805804	0.11582	0.0173339	0.130291	0.03987	0.00258109	0.00892279	0.0407424	0.0663349	0.278633	0.0642141	0.0304026	0.0527828	0.00506278	0.2410444	3	32.2465	0.06833807	0.586169	0.849092	1.07733	1.48741	0.135247	0.131332	0.0951462	0.277205	0.210246	0.150824	0.2028205	1.188462
100	-566.5747	-487.7934	-78.78134	28.06912	3.468358	0.728965	0.304182	0.0215933	0.494971	0.114474	0.0121092	0.0305695	0.076183	0.00242607	0.648378	0.0198043	0.0532415	0.0935263	0.0133527	0.0453344	0.0453733	0.235033	0.165143	0.361336	0.124819	0.0660125	0.276765	0.00912461	0.15262	0.280202	0.13043	0.254326	0.087493	0.00720588	3.05084e-05	0.308363	0.0910504	0.180714	0.140256	0.0204821	0.104221	0.00468094	0.0187966	0.1402988	0.008107578	0.0929191	0.23537	0.0379785	0.015624	0.0929576	0.0130894	0.0053824	0.0323917	0.00997212	0.0184504	0.31051	0.0505139	0.0511599	0.021965	0.0117157	0.1785101	3	45.59291	0.09510384	0.422536	0.754553	1.08402	1.73889	0.121218	0.0900706	0.0805909	0.371323	0.132781	0.204015	0.1866177	0.9565551
200	-577.9515	-493.1931	-84.75841	30.74734	3.561551	0.106054	0.145716	0.33042	0.00386448	0.169466	0.133724	0.126887	0.245782	0.0336829	0.0340669	0.0377667	0.23147	0.0376805	0.109081	0.0505392	0.058964	0.034552	0.192814	0.949536	0.30133	0.169628	0.0322344	0.387172	1.12297	0.194492	0.146146	0.512222	0.121409	0.0448456	0.0256534	0.0483341	0.302112	0.0385676	0.32626	0.0408838	0.330629	0.430236	0.230412	0.1522616	0.02337879	0.119156	0.112858	0.125833	0.0144542	0.174796	0.00445701	0.00977933	0.0474832	0.0118387	0.00112629	0.191983	0.0510622	0.0995905	0.0319383	0.00364484	0.4009961	4	34.17121	0.03794719	0.428524	0.758538	1.08417	1.72877	0.112209	0.0729218	0.122391	0.37687	0.151029	0.164578	0.4243749	0.94491
300	-571.5323	-489.4382	-82.09408	24.13757	5.236987	0.0694863	0.51513	0.185356	0.00900821	0.120108	0.106715	0.103448	0.597574	0.00900178	0.0757123	0.0914102	0.36899	0.0436517	0.3735	0.165713	0.0377584	0.0115097	0.236102	0.401002	0.126626	0.0123049	0.0160271	0.0227109	0.000596169	0.616242	0.0363971	0.197992	0.157302	0.0465355	0.0666937	1.247	0.456748	0.387863	0.437719	0.186081	0.0301526	0.0879751	0.0584321	0.1491067	-0.0009364248	0.0145385	0.197332	0.0717302	0.012289	0.12042	0.0272273	1.49686e-05	0.0245007	0.052383	0.0319084	0.195932	0.130343	0.0684932	0.0324566	0.0204318	0.3172651	4	29.56348	0.07801495	0.511632	0.809425	1.08287	1.59608	0.0758779	0.147099	0.109613	0.323828	0.147014	0.196567	0.3163287	1.00296
400	-572.5786	-508.6803	-63.89827	31.64379	1.686703	0.439375	0.235358	0.0313742	0.224069	0.0414995	0.0112581	0.0295433	0.013048	0.0335387	0.254538	0.189096	0.154178	0.186863	0.0059705	0.045296	0.150812	0.049229	0.147497	0.188662	0.0126345	0.00739595	0.195132	0.115447	0.410014	0.02481	0.0537925	0.099895	0.0199417	0.124809	0.0680661	0.131487	0.476449	0.0245883	0.243379	0.0152858	0.181309	0.0481781	0.0302156	0.1558357	0.06487835	0.02731	0.0858543	0.0900022	0.0209628	0.114355	0.0619431	0.0203602	0.00843421	0.0591245	0.0466217	0.220921	0.0138015	0.129986	0.0880043	0.01232	0.3490841	3	32.37943	0.0475999	0.252777	0.616946	1.05973	2.07054	0.113177	0.0966873	0.148506	0.257452	0.205066	0.179112	0.4139625	0.8432748
500	-585.4789	-508.0087	-77.4702	23.74917	4.380728	0.0768727	0.113048	0.158126	0.00701078	0.235697	0.0364387	0.0225741	0.137869	0.074036	0.0431809	0.278245	0.196404	0.17577	0.171014	0.0326348	0.0749526	0.0169306	0.437065	0.25601	0.175371	0.0215586	0.000571838	0.168832	0.304776	0.456132	0.475065	0.407583	0.0183782	0.106947	0.0259072	0.0010909	0.428838	0.142572	0.140535	0.0770844	0.0333748	0.0719275	0.310314	0.1445278	-0.00901023	0.0357749	0.0317778	0.0530007	0.0209124	0.0935313	0.143418	0.0322649	0.0463336	0.0192349	0.028843	0.345906	0.0415164	0.07627	0.0276785	0.00353731	0.4516	3	29.96112	0.04296832	0.474128	0.787425	1.08417	1.65427	0.148429	0.0734222	0.0847965	0.232325	0.177623	0.283404	0.4425897	1.020358
600	-572.1698	-495.4353	-76.73452	33.40928	3.645781	0.0585249	0.19413	0.248732	0.000206829	0.260259	0.0774723	0.0201929	0.0453572	0.0115306	0.0420902	0.00876892	0.293446	0.0156287	0.135605	0.0176867	0.100287	0.018191	0.0688975	0.119748	0.0591713	0.056863	0.0468848	0.235032	0.279159	0.0822618	0.204863	0.00467655	0.477998	0.0314515	0.214177	0.172223	0.282586	0.0448671	0.141006	0.0835922	0.0772747	0.245845	0.145378	0.162905	0.003707105	0.0164332	0.159181	0.0273891	0.0660979	0.10675	0.0326579	0.011344	0.0161924	0.0145697	0.1179	0.167767	0.0882234	0.127793	0.0337502	0.0139509	0.2229177	3	38.11643	0.05309053	0.433777	0.761994	1.08427	1.71996	0.0861009	0.177971	0.0893495	0.29099	0.166629	0.18896	0.2266248	0.9836421
700	-569.7475	-491.637	-78.11053	26.82875	3.737182	0.0286343	0.111401	0.0154393	0.00874632	0.0868394	0.0688996	0.0246368	0.0604698	0.0102878	0.0715533	0.164141	0.111507	0.000592296	0.222288	0.0974169	0.0677712	0.0138925	0.365514	0.174214	0.0214256	0.064599	0.0107608	0.0202295	0.424181	0.0445984	0.312012	0.105816	0.129837	0.405041	0.183027	0.126592	0.197359	0.0684412	0.000616373	0.638967	0.0453812	0.116521	0.473578	0.1134316	-0.01433501	0.0975545	0.0639626	0.104053	0.000849634	0.0774194	0.0454266	0.00533186	0.0219378	0.0840849	0.0254678	0.228019	0.0877965	0.125748	0.0152488	0.0170992	0.2510725	4	38.53933	0.02747609	0.439315	0.7656	1.08434	1.71074	0.0940044	0.0952436	0.13544	0.281667	0.212213	0.181432	0.2367375	1.060552
800	-589.6197	-509.9374	-79.6823	26.4173	2.283532	0.00640318	0.127566	0.239822	0.000278889	0.275201	0.241632	0.516232	0.236151	0.0308329	0.00290521	0.0721642	0.0235918	0.130917	0.985618	0.397404	0.0544168	0.183067	0.107013	0.178722	0.262571	0.127303	0.0200981	1.27704	0.288367	0.18071	0.248426	0.0082371	0.145163	0.0757567	0.168798	0.404789	0.0149071	0.0784885	0.127599	0.369085	0.131242	0.172677	0.896582	0.2112545	-0.07117626	0.0882576	0.0996365	0.176526	0.00474263	0.160803	0.0233827	0.00322957	0.0252891	0.0184162	0.00621601	0.234987	0.0278592	0.0878191	0.0364986	0.00633673	0.3395276	4	27.56878	0.0964006	0.324923	0.682133	1.0757	1.91725	0.0930212	0.129546	0.106186	0.299329	0.15086	0.221058	0.2683514	1.265235
900	-578.0725	-494.0428	-84.02974	25.9877	3.927511	1.44417	0.394967	0.0728724	0.529462	0.223182	0.224671	0.150516	0.026345	0.0033358	0.108336	0.328078	0.322913	0.103433	0.02318	0.0495754	0.504275	0.573027	0.397932	0.154091	0.175497	0.419206	0.0713541	0.0721668	0.10381	0.131464	0.795055	0.166009	0.0532109	0.326678	0.481245	0.409693	0.129843	0.185539	0.150165	0.0333008	0.215362	0.386871	0.000401499	0.3311336	0.02224086	0.083795	0.0585645	0.0385456	0.00670379	0.133297	0.0195005	0.00770494	0.0467935	0.0463911	0.0289738	0.382956	0.0494503	0.061895	0.0280888	0.00733992	0.3703794	4	26.06057	0.08422117	0.450335	0.772664	1.08441	1.69259	0.117668	0.0888502	0.115051	0.29574	0.156581	0.226111	0.3926203	0.9433527
