Iteration	Posterior	Likelihood	Prior	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-59.46112	-86.3974	26.93629	1.70559	0.0127943	0.00306087	0.0295821	0.0451955	0.0306703	0.0443207	0.0274322	0.0203901	0.04428564	0.08480243	0.167845	0.159209	0.0158423	0.107649	0.0183865	0.00670605	0.0416594	0.161455	0.0171458	0.0635832	0.097027	0.0042716	0.00712857	0.0892497	0.0428422	0.03412768	40.88446	0.255407	0.619547	1.06052	2.06453	0.0423484	0.428004	0.0224916	0.125208	0.345785	0.0361633	0.1189301	0.2869557
100	-58.22036	-84.64691	26.42655	0.794332	0.0158376	0.0120126	0.00213063	0.00580873	0.0181852	0.0133428	0.0107234	0.0482364	0.01312572	0.009083262	0.101514	0.0343549	0.20622	0.00382238	0.0175446	0.0164105	0.0221422	0.134747	0.0901515	0.0478132	0.0300599	0.0570377	0.042684	0.158798	0.036699	0.05629234	235.6525	0.0943521	0.404842	0.955372	2.54543	0.0223772	0.393548	0.00611162	0.169413	0.346493	0.0620564	0.0653756	0.8610604
200	-58.30339	-87.59552	29.29213	1.667192	0.0159484	0.0122077	0.0777776	0.0117257	0.0193173	0.000808672	0.0524467	0.0160479	0.02760484	0.006277063	0.0984785	0.0102117	0.0209305	0.099977	0.095118	0.0561829	0.00782436	0.0958826	0.184707	0.0195983	0.0154977	0.160803	0.0143999	0.0505795	0.0698085	1.654018e-06	194.7203	0.250033	0.61421	1.0589	2.07686	0.0658323	0.36622	0.0106876	0.189087	0.311609	0.0565647	0.006278717	0.0002634325
300	-49.48155	-82.81404	33.33248	2.318406	0.00293027	0.00341186	0.0136709	0.00117167	0.00436083	0.00974457	0.00201525	0.0341379	0.01046537	0.003621356	0.167365	0.0575504	0.0126581	0.0156587	0.00118242	0.12817	0.0397073	0.0115048	0.100109	0.0680031	0.142372	0.0125904	0.0514016	0.0844589	0.107269	0.002334916	540.0266	0.328535	0.685098	1.07624	1.91013	0.00427479	0.410518	0.0115078	0.168593	0.365599	0.0395079	0.005956272	0.3920096
400	-52.94403	-83.74524	30.80121	3.645515	0.00521002	0.00245618	0.0144587	0.0278813	0.0323466	0.00243586	0.019466	0.137605	0.03583347	0.02788986	0.0810923	0.0106567	0.0213245	0.022058	0.221911	0.0558347	0.0915799	0.0130926	0.0700419	0.0307102	0.103612	0.129386	0.0228361	0.105866	0.0199988	0.002507863	31.61907	0.433761	0.761984	1.08427	1.71999	0.0830878	0.280729	0.00129371	0.102361	0.476572	0.0559566	0.03039772	0.0825017
500	-64.57467	-80.93493	16.36026	1.668455	0.220085	0.00314809	0.0484841	0.0289	0.0395186	0.198722	0.0528012	0.222958	0.08329333	-0.02540329	0.0472072	0.0178417	0.0540136	0.0208527	0.0227326	0.0286779	0.0112113	0.0216208	0.029488	0.171761	0.0754313	0.0243646	0.0357604	0.407244	0.0317921	0.03642527	68.45773	0.250212	0.614389	1.05895	2.07645	0.0131358	0.379386	0.0171393	0.119727	0.398822	0.0717898	0.01102198	3.304785
600	-65.98312	-84.28574	18.30262	0.9320005	0.0395028	0.341657	0.0828538	0.169675	0.150809	0.172424	0.0987552	0.157328	0.141624	0.01137224	0.096255	0.0260717	0.0408242	0.0505445	0.101576	0.0693248	0.013134	0.0278896	0.0407599	0.00945811	0.0481127	0.126643	0.0113583	0.234748	0.1033	0.03462392	40.32341	0.123194	0.455313	0.987751	2.43374	0.0521941	0.530859	0.0316626	0.0891182	0.255249	0.0409172	0.04599616	0.7527568
700	-61.79206	-80.57081	18.77875	2.98394	0.0821393	0.174805	0.0436556	0.0739063	0.015746	0.266592	0.0919082	0.018175	0.1591548	0.03931787	0.131409	0.0728272	0.0523417	0.0703836	0.0725085	0.00570093	0.0545994	0.0253006	0.00842388	0.130686	0.0310847	0.059804	0.00302775	0.237252	0.0446503	0.003694052	50.90127	0.388016	0.730635	1.08244	1.79891	0.0156146	0.420714	0.00224159	0.145524	0.335546	0.0803601	0.04301192	0.08588436
800	-56.68226	-85.8394	29.15714	1.177198	0.0129764	0.0168196	0.035436	0.0100195	0.0343764	0.00678025	0.0677896	0.129566	0.05314394	0.02353561	0.040229	0.0350643	0.0289454	0.081548	0.0521029	0.0827089	0.00623519	0.0295131	0.161666	0.135702	0.0579735	0.0256288	0.0371359	0.18817	0.0373773	0.004428455	49.82031	0.170897	0.524224	1.02411	2.28077	0.0192719	0.488412	0.00348556	0.126706	0.253074	0.10905	0.02796406	0.1583624
900	-58.74886	-82.35359	23.60472	3.065335	0.0130154	0.030829	0.00482874	0.0530751	0.145801	0.0898933	0.293777	0.00931581	0.0484264	0.06991117	0.0588052	0.129431	0.17308	0.174658	0.0786024	0.0218551	0.0854334	0.0256365	0.0490758	0.0191219	0.0355468	0.00331134	0.00690685	0.0849553	0.0535807	0.00189103	18.36492	0.394254	0.735082	1.08282	1.78784	0.0341117	0.337133	0.00656703	0.175649	0.368059	0.0784804	0.0718022	0.02633666
1000	-69.07853	-84.03358	14.95505	2.309001	0.528236	0.0233721	0.0131024	0.16125	0.0309615	0.334997	0.128195	0.636674	0.1653941	-0.007553106	0.108648	0.0154789	0.0379032	0.156118	0.0311864	0.0167728	0.0429176	0.0392874	0.0994088	0.024667	0.0334505	0.00181047	0.0351803	0.15214	0.205029	0.04291682	8.001725	0.327567	0.684306	1.0761	1.91203	0.00316074	0.488728	4.58996e-05	0.1136	0.314155	0.0803096	0.03536371	1.213584
1100	-52.16258	-79.70717	27.5446	2.626889	0.0166933	0.0298859	0.00952107	0.0262038	0.0256497	0.045709	0.00546391	0.165779	0.04505986	0.09748591	0.132221	0.0318177	0.0312653	0.137528	0.0742894	0.0109567	0.0398038	0.0382574	0.0270941	0.00096834	0.12411	0.00231299	0.00515787	0.29106	0.0531562	0.01211665	23.37541	0.358166	0.708526	1.07993	1.85338	0.035887	0.402562	0.00943112	0.106589	0.398846	0.046685	0.1096026	0.1105508
1200	-63.02392	-83.30642	20.2825	1.204827	0.0724828	0.0520145	0.0207195	0.26544	0.186152	0.102313	0.231151	0.429643	0.188979	0.09302141	0.166966	0.00781026	0.0177855	0.22767	0.000167336	0.0407803	0.0931441	0.0276649	0.0399546	0.0944937	0.0303863	0.00640165	0.0146501	0.21232	0.0198058	0.0001664769	12.72488	0.175927	0.53071	1.0271	2.26627	0.00600748	0.372467	0.00621377	0.17419	0.354204	0.0869181	0.09318789	0.001786465
1300	-70.10828	-85.44117	15.33289	2.235316	0.0489564	0.046654	0.322516	0.106232	0.745279	0.354817	0.000870298	0.768896	0.2323635	0.1725117	0.00863616	0.238759	0.0384941	0.106472	0.0358171	0.0160176	0.0118751	0.0207452	0.00236038	0.0721455	0.00506422	0.00965164	0.0200396	0.411608	0.00231439	0.01936138	4.119974	0.319834	0.677911	1.0749	1.92736	0.0407526	0.374569	0.042183	0.182989	0.319104	0.0404028	0.191873	0.1009072
1400	-65.69788	-82.70449	17.00661	2.332863	0.366245	0.138435	0.260214	0.0788565	0.0497338	0.246005	0.28076	0.143153	0.1434807	0.2140078	0.0981363	0.0484753	0.160065	0.122945	0.0152076	0.0350305	0.0284863	0.0113955	0.0736919	0.0944931	0.114177	0.089318	0.0365922	0.046426	0.0255598	0.02409476	8.576408	0.330015	0.686307	1.07646	1.90722	0.0529902	0.406858	4.67159e-05	0.170339	0.322035	0.0477306	0.2381025	0.1011949
1500	-63.13025	-87.82086	24.69061	0.4524147	0.166829	0.0237462	0.0189994	0.0016254	0.0239461	0.0191078	0.163478	0.0049032	0.03840809	0.004778362	0.0433939	0.00824636	0.143819	0.0903057	0.296434	0.0211158	0.0172891	0.063534	0.03506	0.110641	0.071247	0.0231197	0.0442489	0.0179604	0.0135843	0.01195344	106.4903	0.0249448	0.21972	0.782299	2.97304	0.0189919	0.430668	0.0054752	0.191809	0.296655	0.0563999	0.01673181	0.7144145
1600	-55.7778	-82.40282	26.62502	1.760365	0.00208752	0.024694	0.000803197	0.0437366	0.00688773	0.0210032	0.00777462	0.0962622	0.08454061	0.001614794	0.111227	0.0468275	0.0199003	0.0750428	0.0877911	0.0519437	0.00680814	0.0132388	0.0459971	0.00676445	0.021558	0.0310765	0.00183977	0.395615	0.0843703	0.01836859	57.44248	0.262889	0.626845	1.06265	2.04762	0.0313211	0.361156	0.00334987	0.0879195	0.401615	0.114638	0.01998338	0.9191932
1700	-77.42921	-93.87285	16.44364	1.727727	0.160713	0.0358011	0.0278503	0.00084383	0.227692	0.291966	0.629877	0.206927	0.1314963	0.06653124	0.021007	0.158897	0.143133	0.0753825	0.0993447	0.0386301	0.0389877	0.0170467	0.0314257	0.0772554	0.0197309	0.095351	0.0670691	0.0912899	0.025449	0.007589087	20.80647	0.258457	0.62254	1.0614	2.0576	0.125588	0.553349	0.00361156	0.0778098	0.166227	0.0734146	0.07412033	0.1023887
