Iteration	Posterior	Likelihood	Prior	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-42.96208	-81.08927	38.12719	1.996592	0.0342582	0.0236283	0.0174733	0.00436335	0.0175885	0.00815146	0.014119	0.00163969	0.01311087	0.0004500198	0.0424023	0.0522548	0.0343481	0.100608	0.0213406	0.134508	0.0519575	0.0158409	0.0392115	0.0204803	0.0309515	0.0504417	0.00237334	0.318919	0.084363	0.02373419	10.52895	0.292868	0.654651	1.0699	1.98258	0.052108	0.411325	0.0593783	0.0834178	0.367284	0.0264868	0.02418421	0.981392
100	-38.11544	-81.76087	43.64543	0.4062164	0.00517566	0.00721199	4.23406e-05	0.0132669	0.00370121	0.00793516	0.00714348	0.00835512	0.01310149	0.08294712	0.0713239	0.00291929	0.342454	0.0448411	0.0673499	0.0574915	0.0151241	0.000969526	0.0175342	0.0905057	0.0242368	0.00254483	0.00250831	0.138081	0.122116	0.01307213	27.72095	0.0176214	0.186384	0.737921	3.05807	0.00647415	0.449972	0.00365349	0.0981306	0.370863	0.0709068	0.09601924	0.1361407
200	-42.93606	-80.39597	37.45991	1.710144	0.0461766	0.00582437	0.0104861	0.00886968	0.0277132	0.0203077	0.0117058	0.0149444	0.02535503	0.06728408	0.0476974	0.0367207	0.18129	0.0271937	0.119911	0.0125003	0.0257175	0.00120075	0.0100913	0.142688	0.0346885	0.075185	0.0119479	0.102561	0.170606	0.009306599	12.09623	0.256037	0.620168	1.0607	2.06309	0.00766973	0.472173	0.0113477	0.0938742	0.335447	0.0794877	0.07659068	0.1215109
300	-66.78378	-86.92679	20.14301	0.1029342	0.27001	0.11255	0.231211	0.0232225	0.0317104	0.0357471	0.20751	0.114133	0.07869019	0.07178014	0.0152512	0.0419928	0.0415153	0.0798131	0.0117562	0.0157067	0.0691557	0.00245985	0.0411943	0.0308296	0.0739554	0.203047	0.0609183	0.0458657	0.266539	0.04285644	25.10414	7.81322e-07	0.00131293	0.101725	3.89696	0.0275692	0.377639	0.0582078	0.0635193	0.394004	0.0790606	0.1146366	0.3738461
400	-45.24481	-79.98945	34.74464	1.072706	0.0430447	0.03436	0.00904614	0.0134971	0.00243757	0.00479453	0.00484649	0.0106252	0.04442273	0.05090565	0.108855	0.125387	0.13117	0.156157	0.0236642	0.00251529	0.0492503	0.000987898	0.020147	0.0529978	0.0105029	0.00718016	0.0483187	0.0388924	0.223974	0.01677102	16.3936	0.151228	0.497565	1.01107	2.34013	0.0446226	0.418921	0.0164299	0.119602	0.291005	0.10942	0.06767667	0.247811
500	-46.06556	-82.74575	36.68019	2.284335	0.0305663	0.0591084	0.00891699	0.0206597	0.006684	5.60418e-05	0.000267129	0.012648	0.02041345	0.01488263	0.0645987	0.0891611	0.0644538	0.0593678	0.0204154	0.136858	0.0580567	0.0183501	0.161156	0.00568227	0.0385904	0.00369967	0.0309578	0.183729	0.0649241	0.005059293	13.19266	0.325007	0.682202	1.07571	1.91708	0.0373257	0.40598	0.0158928	0.145229	0.333515	0.0620571	0.01994192	0.2537014
600	-43.90126	-86.98784	43.08658	1.958024	0.00765809	0.00958521	0.00290846	0.00596912	0.00855551	0.00281275	0.00264527	0.011978	0.0103955	0.02638217	0.151218	0.00273803	0.0250047	0.0499742	0.0191359	0.0275799	0.0491064	0.0645403	0.0529267	0.00705607	0.0607415	0.175853	0.0400983	0.067612	0.206415	0.01177325	30.12085	0.288212	0.650475	1.0689	1.99241	0.0657285	0.564075	0.0388357	0.0693686	0.237031	0.0249615	0.03815542	0.3085603
700	-51.74038	-77.11386	25.37348	1.322543	0.0128597	0.053462	0.038998	0.0293115	0.0151161	0.00157099	0.166336	0.0181942	0.01773042	-0.0620701	0.0339537	0.178821	0.0653371	0.0561968	0.0113723	0.0585885	0.00362724	0.00632083	0.00690584	0.0324741	0.14623	0.060147	0.00316729	0.280843	0.0560143	0.1378338	11.30862	0.196562	0.556082	1.03805	2.20931	0.0124107	0.582129	0.00127442	0.0814266	0.26827	0.0544897	0.07576375	1.819259
800	-56.52791	-85.80446	29.27654	1.893118	0.0326789	0.119273	0.00591361	0.0108258	0.0402198	0.00196028	0.0497831	0.0390349	0.02873584	-0.04178225	0.0878924	0.0135097	0.0485306	0.0325322	0.184219	0.0268542	0.0370053	0.0263785	0.0184642	0.0402258	0.00154974	0.137868	0.114241	0.0923752	0.138354	0.07633999	12.24351	0.280173	0.643144	1.06707	2.00961	0.123391	0.471071	6.87865e-06	0.0598524	0.261795	0.0838841	0.03455774	2.209056
900	-36.7714	-80.00321	43.23182	0.5129804	0.000648533	0.0181741	0.000673127	0.00186308	0.00479882	0.00355392	0.00169769	0.00131665	0.005572881	-0.01022824	0.101565	0.0367851	0.0890402	0.0786667	0.149415	0.283339	0.0436325	0.00787184	0.00772048	0.0218988	0.0367521	0.00854215	0.00364817	0.0999167	0.031207	0.03757322	82.81944	0.0358181	0.260305	0.829488	2.87439	0.0179079	0.466815	0.012628	0.154589	0.323304	0.0247565	0.02734498	1.374045
