Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
14	0	-417.5155	-309.9018	-107.6136	14.42296	2.500265	0.05226098	0.09775096	0.0562396	0.117163	0.0621847	0.0207003	0.0244618	0.00427503	0.181596	0.0155951	0.1036	0.0493829	0.175747	0.0722504	0.0574571	0.0456705	0.0136772	0.4177473	5	15.71819	0.07221366	0.346482	0.699474	1.07863	1.87541	0.255801	0.19595	0.122504	0.110839	0.210014	0.104892	0.5154983	0.8103758
15	0	-425.1252	-318.5455	-106.5797	15.50355	1.293892	0.07191965	0.1865787	0.0741977	0.135104	0.000586237	0.0790446	0.0114662	0.0137994	0.0995721	0.0331463	0.16982	0.0158017	0.0916791	0.0765579	0.0926292	0.101785	0.00481007	0.2298784	5	20.4134	0.0772221	0.191657	0.550221	1.03562	2.2225	0.159228	0.220107	0.1574	0.0869092	0.217324	0.159032	0.4164571	0.5519858
16	0	-403.5569	-307.2043	-96.35264	9.690788	2.620739	0.06076166	0.1258586	0.0486556	0.104424	0.00610354	0.0222581	0.0497747	0.0128606	0.222055	0.00998692	0.168629	0.0309702	0.0905102	0.057725	0.107732	0.059636	0.0086783	0.4297037	5	13.32569	0.1301995	0.357613	0.708103	1.07988	1.85441	0.231738	0.286388	0.101152	0.0878027	0.176472	0.116447	0.5555623	0.7734573
17	0	-405.3365	-314.9459	-90.39062	8.914092	3.20689	0.09221451	0.1427706	0.023699	0.259857	0.0154537	0.0224678	0.00639603	0.044002	0.106288	0.00924089	0.0645517	0.121073	0.12125	0.071922	0.0208961	0.108966	0.00393704	0.3977655	6	11.61393	0.2082739	0.40466	0.742376	1.08336	1.7696	0.148911	0.213957	0.0776624	0.124718	0.289002	0.145749	0.5405361	0.7358722
18	0	-402.2836	-308.0755	-94.20806	8.956131	1.295736	0.06938825	0.1933522	0.0459652	0.201268	0.0127507	0.0324869	0.030601	0.0029259	0.15205	0.0147818	0.0471499	0.104689	0.254057	0.0128922	0.0150294	0.0670532	0.00630065	0.270476	9	14.01189	0.1589825	0.191975	0.550604	1.03578	2.22164	0.247648	0.319933	0.112615	0.0906546	0.115736	0.113413	0.4638283	0.5831383
19	0	-413.7451	-309.3633	-104.3818	12.88117	1.740064	0.04575297	0.07500061	0.0460211	0.119627	0.0620656	0.0109421	0.00583287	0.0397209	0.136574	0.0230279	0.19709	0.0536732	0.148729	0.0229242	0.0376613	0.0776325	0.0184784	0.4253454	4	20.0834	0.1084744	0.260141	0.624182	1.06188	2.0538	0.202257	0.288202	0.17258	0.0821098	0.157999	0.0968532	0.500346	0.8501025
20	0	-406.6663	-305.3447	-101.3217	12.92852	1.223307	0.04768907	0.0886162	0.0578316	0.164028	0.026589	0.0191885	0.0551313	0.0257383	0.142732	0.0267699	0.151051	0.0366035	0.0617487	0.023424	0.0185499	0.135633	0.0549811	0.4013686	7	17.12696	0.1564505	0.179251	0.534929	1.02899	2.25682	0.20458	0.276541	0.103269	0.136827	0.196987	0.0817957	0.4899848	0.819145
21	0	-405.2399	-306.9001	-98.33982	10.58835	3.314487	0.060325	0.0104006	0.0499822	0.237166	0.014934	0.0921559	0.0537815	0.0137247	0.107585	0.00513137	0.0566599	0.0398244	0.196565	0.00370448	0.0564483	0.0574589	0.0148785	0.2804824	7	19.09094	0.1440454	0.412217	0.747577	1.08368	1.75652	0.155886	0.322255	0.093291	0.136225	0.162019	0.130324	0.290883	0.9642447
22	0	-397.8187	-305.0455	-92.77319	8.823501	2.730835	0.06353538	0.1795068	0.048826	0.130858	0.00331339	0.10692	0.00812207	0.0159651	0.257382	0.00826004	0.10041	0.0402958	0.0874379	0.0209427	0.0622498	0.0990565	0.00996154	0.44389	6	9.202358	0.2064855	0.367304	0.715445	1.08082	1.83643	0.161061	0.368612	0.11837	0.0834593	0.179983	0.0885148	0.6233968	0.7120505
23	0	-399.8679	-300.8753	-98.99256	9.659986	3.188299	0.05173553	0.02448451	0.0422094	0.0884477	0.0141613	0.0252413	0.00952116	0.0159302	0.108033	0.00799011	0.236738	0.00140007	0.133337	0.00862959	0.104056	0.137834	0.0664707	0.6063085	9	10.30237	0.1257388	0.403324	0.741448	1.0833	1.77193	0.16794	0.284865	0.150768	0.0830016	0.196833	0.116592	0.630793	0.9611846
24	0	-400.5966	-305.0865	-95.51015	11.83474	1.024083	0.08314853	-0.03130765	0.0706728	0.174794	0.0043402	0.074097	0.00612192	0.0124188	0.270793	0.00792185	0.0928446	0.0414021	0.0367759	0.0122761	0.0478826	0.143019	0.00464065	0.5538796	7	12.06974	0.182752	0.141734	0.483873	1.00388	2.37051	0.176677	0.288309	0.104021	0.0951241	0.234849	0.10102	0.5225719	1.059911
25	0	-408.9701	-311.5241	-97.44601	9.794245	1.934322	0.05182347	0.04098279	0.0530988	0.0904083	0.0297614	0.0135021	0.0277385	0.011665	0.428417	0.00814422	0.150426	0.0795757	0.0477389	0.00711842	0.0441473	0.00735251	0.000906094	0.3903508	7	15.06482	0.1462215	0.285307	0.647843	1.06826	1.99859	0.21461	0.230434	0.0976024	0.0889813	0.204331	0.164041	0.4313336	0.9049858
