Iteration	Posterior	Likelihood	Prior	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
1500	-254.6916	-246.9007	-7.790975	3.569713	0.08324981	0.06277574	0.0146128	0.249001	0.0885584	0.0601238	1.21187e-05	0.0648111	0.0406658	0.0221451	0.0215945	0.0233826	0.0147267	0.143585	0.203478	0.0343076	0.0189956	0.008526765	21.31913	0.42904	0.758878	1.08418	1.7279	0.257982	0.285608	0.0902645	0.0765339	0.125452	0.16416	0.07130251	0.1195858
1600	-256.9424	-245.9902	-10.95222	1.810791	0.1090041	0.0773525	0.00565705	0.233452	0.185743	0.00446653	0.00861128	0.027797	0.0425434	0.00627087	0.0817546	0.0200674	0.0846523	0.0128939	0.173933	0.107541	0.00461698	0.05133674	19.92943	0.269593	0.633257	1.06444	2.03271	0.276011	0.333576	0.109775	0.0626637	0.120822	0.0971527	0.1286892	0.3989202
1700	-263.0572	-247.3983	-15.65896	4.398653	0.01678843	0.01601211	0.0573268	0.134157	0.19336	0.00760818	0.00752345	0.0358236	0.0292356	0.0288162	0.00899281	0.0325785	0.0210292	0.0532527	0.268576	0.0805159	0.0412037	0.001927741	55.35025	0.475006	0.787957	1.08416	1.65288	0.146308	0.23601	0.138901	0.0804255	0.199055	0.1993	0.01793985	0.1074558
1800	-265.0328	-251.4899	-13.54293	1.347961	0.06446548	0.01794085	0.018375	0.0793059	0.00582449	0.0125349	0.0318297	0.185775	0.105298	0.0267256	0.0170494	0.0489706	0.0647678	0.000722317	0.270095	0.0905837	0.0421424	0.03187241	91.20051	0.200851	0.561124	1.04009	2.19794	0.169158	0.288992	0.119158	0.0799386	0.164684	0.178069	0.04981326	0.6398378
1900	-266.8842	-252.0969	-14.78723	1.45863	0.04576868	0.01461816	0.043015	0.243223	0.0529735	0.105311	0.0327329	0.0606621	0.0367902	0.0559473	0.0229155	0.00629805	0.00934061	0.072755	0.233537	0.00661528	0.0178831	0.00973042	94.95046	0.21886	0.581522	1.0479	2.15172	0.268527	0.242232	0.0930817	0.0664615	0.176945	0.152752	0.02434858	0.3996299
2000	-263.7016	-250.1505	-13.55109	3.182744	0.07701703	0.02154529	0.0197603	0.0435895	0.198348	0.0148476	0.00627229	0.0680597	0.0208634	0.0238438	0.0459419	0.149381	0.130434	0.0643677	0.174096	0.00980213	0.0303933	0.02678624	71.50914	0.402923	0.741169	1.08328	1.77263	0.250459	0.221866	0.10271	0.0938747	0.16277	0.168321	0.04833153	0.5542188
2100	-263.0812	-249.2562	-13.82499	3.66496	0.01920087	0.02442546	0.046673	0.122876	0.0505444	0.0639561	0.000974762	0.00430671	0.00834337	0.117972	0.0529584	0.0451821	0.0222106	2.771e-05	0.330009	0.117636	0.01633	0.0002464506	61.18766	0.434953	0.762763	1.08428	1.718	0.290536	0.163431	0.114121	0.0930785	0.176919	0.161915	0.02467191	0.009989117
2200	-257.2096	-250.8143	-6.395271	1.822544	0.3019163	0.08326936	0.0156376	0.146249	0.263427	0.0156093	0.00176361	0.0156077	0.101508	0.0428728	0.0140837	0.0677958	0.0946452	0.0744491	0.0570303	0.0201073	0.0692137	0.191389	10.21938	0.27113	0.634711	1.06484	2.02932	0.272084	0.245149	0.093132	0.123357	0.106809	0.15947	0.2746583	0.6968256
2300	-274.8268	-261.3828	-13.44396	1.118539	0.1723498	0.1351849	0.0614096	0.0195935	0.0237334	0.116227	0.0101154	0.0173127	0.00987092	0.0321219	0.0235848	0.130741	0.0776866	0.0158705	0.101001	0.300131	0.0606009	0.09978327	24.73731	0.15998	0.509696	1.01717	2.31316	0.259583	0.289253	0.127186	0.0966743	0.128947	0.0983577	0.2349682	0.4246671
2400	-273.123	-261.8457	-11.27732	2.086364	0.06653077	0.1533592	0.081916	0.055002	0.00466653	0.0253906	0.0216199	0.0228406	0.298747	0.0751665	0.0140274	0.0199998	0.0997067	0.172879	0.0480556	0.0523597	0.00762301	0.02868427	16.55234	0.303371	0.663894	1.07201	1.96073	0.323765	0.170466	0.120602	0.0545571	0.189397	0.141213	0.1820435	0.1575683
2500	-254.511	-249.2255	-5.285526	2.98089	0.2215614	0.06635578	0.0153307	0.0875263	0.197987	0.0532706	0.0734303	0.034425	0.00532839	0.0328911	0.0293604	0.0486626	0.0385426	0.0165318	0.212579	0.0739864	0.0801479	0.0243782	14.06004	0.387778	0.730464	1.08242	1.79934	0.324034	0.232619	0.0867639	0.0616077	0.142492	0.152483	0.09073398	0.2686777
