Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-77.29191	-82.93629	5.644383	3.5059	0.01191282	0.01305249	0.082733	0.0026634	0.0397742	0.0870078	0.0601954	0.026464	0.0474735	0.0317485	0.0901233	0.0481366	0.0861248	0.0270739	0.00724482	0.213393	0.149844	0.007267195	165.3485	0.424971	0.756179	1.08408	1.73477	0.0285802	0.319368	0.000408617	0.177535	0.452754	0.0213532	0.02031969	0.3576431
1	0	-81.63985	-89.42114	7.781287	1.191607	0.01516414	0.01262609	0.0098236	0.0532217	0.00523107	0.13981	0.032356	0.090231	0.00611936	0.0566989	0.0999921	0.225904	0.0098405	0.160953	0.018058	0.069769	0.0219915	0.01868592	104.6129	0.173529	0.527634	1.02569	2.27315	0.0802037	0.578571	0.000121754	0.17043	0.150418	0.020256	0.03131201	0.5967653
2	0	-79.0056	-88.87622	9.870623	4.938671	0.02264576	0.05686107	0.0948214	0.0162196	0.0199278	0.161485	0.0111802	0.000319387	0.00456471	0.0422898	0.0356228	0.113576	0.345523	0.0550184	0.00221376	0.0410301	0.0562081	0.011802	18.6845	0.49951	0.802476	1.08341	1.61461	0.0269841	0.440374	0.00400057	0.238037	0.257559	0.0330446	0.06866307	0.1718827
3	0	-75.61014	-86.60331	10.99318	1.489283	0.4930113	0.01628009	0.0175106	0.22276	0.0268266	0.00731771	0.0134095	0.154124	0.0446777	0.00974561	0.00213078	0.00998409	0.139396	0.128922	0.0399071	0.152159	0.0311294	0.05541499	5.636113	0.223662	0.586763	1.04979	2.13979	0.108896	0.481701	0.0162888	0.138643	0.221981	0.03249	0.07169508	0.772926
4	0	-75.72789	-85.38944	9.661545	0.8819159	0.08097965	-0.002229423	0.116157	0.00437568	0.0108266	0.0321359	0.0617545	0.0243784	0.0236246	0.0089714	0.0665897	0.132226	0.281179	0.113014	0.0121732	0.0858213	0.0267731	0.02238852	81.90033	0.112834	0.438137	0.977302	2.47173	0.0424329	0.496536	0.000444564	0.109493	0.324262	0.0268305	0.0201591	1.110591
5	0	-75.04036	-83.754	8.713636	0.6249045	0.1348764	0.02701572	0.0808848	0.0707734	0.0270787	0.199462	0.0303207	0.146289	0.036421	0.025758	0.00858183	0.100429	0.0847741	0.0115551	0.0312954	0.129733	0.0166445	0.01706307	96.38654	0.0582819	0.325835	0.893511	2.72237	0.0312217	0.439266	0.000972775	0.223787	0.259173	0.0455794	0.04407878	0.3871038
6	0	-73.18228	-81.56791	8.385634	4.094466	0.03895463	0.03983925	0.0594768	0.0706349	0.0513648	0.108552	0.0227912	0.00873601	0.0212398	0.022011	0.19469	0.0463895	0.00371504	0.0159581	0.00446253	0.213865	0.156113	0.01633364	44.18989	0.459478	0.778414	1.08437	1.67773	0.0341909	0.400741	0.0164554	0.148762	0.34047	0.059381	0.05617289	0.2907744
7	0	-78.22023	-88.93155	10.71131	1.16468	0.08580844	0.0890403	0.0324436	0.0802929	0.00111844	0.110057	0.105664	0.117451	0.0137682	0.0403686	0.0897443	0.0697016	0.093246	0.0793456	0.0208086	0.097259	0.0487304	0.1018143	15.78695	0.168594	0.521212	1.0227	2.28749	0.0440423	0.329615	0.0160964	0.155577	0.416857	0.0378128	0.1908546	0.5334653
8	0	-72.98653	-84.83731	11.85078	1.999432	0.04629086	0.02503258	0.216717	0.104058	0.0307406	0.0112685	0.115678	0.0118074	0.0397701	0.037069	0.0782376	0.00131193	0.0345456	0.0920875	0.0445223	0.108033	0.0741538	0.004177897	40.15437	0.293207	0.654953	1.06998	1.98186	0.0215626	0.623246	0.00201747	0.0726944	0.241482	0.0389981	0.02921048	0.1430274
9	0	-76.58256	-87.01886	10.43631	1.793085	0.05345319	0.01690133	0.000975835	0.237401	0.0359215	0.0660153	0.016093	0.0225987	0.0104631	0.0380316	0.0693683	0.0850208	0.0373687	0.114723	0.00420032	0.0706286	0.191191	0.02526004	46.67819	0.267259	0.631038	1.06383	2.03787	0.0372286	0.50106	0.00266756	0.0350727	0.386103	0.0378686	0.04216137	0.5991276
