Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-463.1512	-412.73	-50.42124	9.840373	3.253194	0.360602	0.0450882	0.112769	0.0620612	0.0595313	0.00209279	0.134329	0.173993	0.0460975	0.400728	0.853983	0.0250763	0.0648341	0.161965	0.405904	0.0242071	0.0738004	0.272199	0.00862855	0.168105	0.0635014	0.220296	0.000868379	0.125717	0.00955105	0.159043	0.257674	0.261747	0.0146098	0.348979	0.280413	0.47406	0.118461	0.0532885	0.0160431	0.187283	0.0351112	0.0439725	0.0569041	0.222751	0.00201341	0.00117076	0.0525028	0.441385	0.020294	0.0873801	0.1667479	-0.05916781	0.266533	0.0172579	0.102962	0.0116892	0.016478	0.00652331	0.044381	0.0183849	0.115684	0.00171866	0.0968805	0.00261282	0.0035406	0.285807	0.00954858	0.4272211	6	16.89229	0.171108	0.407948	0.744649	1.08351	1.76389	0.0379105	0.177649	0.168199	0.357021	0.201396	0.0578248	0.3680533	1.160759
100	-461.3515	-406.0461	-55.30541	14.6031	5.755318	0.304543	0.451294	0.525593	0.494589	0.0817732	0.0593348	0.116902	0.627904	0.131224	0.462029	0.121165	0.101516	0.00449217	0.0788351	0.0910396	0.075752	0.00601912	0.397273	0.146851	0.121742	0.0380788	0.122018	0.12447	0.0639439	0.024047	0.0662514	0.0310482	0.00327097	0.425429	0.220826	0.0721355	0.0115954	0.167488	0.0205529	0.0464408	0.106904	0.24456	0.188471	0.00874721	0.258272	0.158795	0.00570246	0.00979105	0.0131614	0.0128342	0.206474	0.1851378	0.06099171	0.28784	0.00351696	0.046949	0.0299033	0.150798	0.0032814	0.0219075	0.00672106	0.0880645	0.00156529	0.110832	0.00308819	0.00650588	0.2316	0.00742692	0.4426963	8	20.11771	0.2034227	0.530715	0.820069	1.0818	1.56742	0.0297411	0.233139	0.183062	0.281801	0.192178	0.0800781	0.503688	0.8789097
200	-452.7559	-410.6664	-42.08951	12.20728	3.661007	0.155541	0.310564	0.345371	0.0531812	0.0918102	0.04539	0.0856562	0.0456751	0.00291438	0.013346	0.290301	0.0949579	0.00369307	0.0361581	0.082234	0.0830931	0.0476551	0.0438716	0.0226491	0.056363	0.0345077	0.0125678	0.0536367	0.121573	0.028177	0.0106658	0.0596201	0.130549	0.240041	0.0319996	0.156579	0.0369209	0.0034856	0.00483919	0.000753364	0.0755052	0.333116	0.00615799	0.0769627	0.00228356	0.0708658	0.0769702	0.0270728	0.0798202	0.118725	0.0151439	0.06244452	0.04984306	0.19299	0.0167968	0.147181	0.0267159	0.0516372	4.87008e-05	0.0698038	0.0278768	0.0687818	0.0019612	0.163775	0.000907937	0.027988	0.163176	0.0403599	0.3953244	6	26.64191	0.06733675	0.434711	0.762605	1.08428	1.7184	0.0310567	0.214497	0.22281	0.237275	0.195472	0.0988903	0.4451675	0.8880353
300	-472.1621	-413.1218	-59.04027	14.59129	5.365231	0.0882216	0.409849	0.088511	0.104624	0.102878	0.000738984	0.115759	0.0597987	0.0573213	0.360308	0.132638	0.0385198	0.190207	0.176131	0.397231	0.0142606	0.310634	0.0194587	0.0371366	0.129183	0.00494865	0.0389998	0.0782064	0.121004	0.0569097	0.0966201	0.0517638	0.0241592	0.701065	0.00143633	0.00884032	0.0474931	0.0847597	0.102997	0.0147617	0.00839217	0.217449	0.223402	0.597267	0.013291	0.0175746	0.394634	0.248284	0.124637	0.0371318	0.247132	0.1116127	-0.01194283	0.0760197	0.0220848	0.0823973	0.00788079	0.0832474	0.0050611	0.0938728	0.0117773	0.0556124	0.0254458	0.114423	0.0481138	0.00948647	0.361859	0.00271843	0.5002083	5	17.68851	0.1124658	0.516574	0.812216	1.08261	1.5886	0.0305378	0.196133	0.133314	0.241879	0.28326	0.114876	0.4882655	1.02446
400	-491.2349	-422.3466	-68.88831	15.17455	2.637573	0.4202	0.360532	0.184267	0.572826	0.00059909	0.0609954	0.179517	0.068065	0.0371815	0.0415325	0.24007	0.42119	0.106314	0.0223951	0.0149994	0.152569	0.252562	0.226915	0.206089	0.281427	0.0277877	0.337048	0.380546	1.01199	0.192839	0.367046	0.00368725	0.0196096	0.164026	0.0846705	0.183972	0.307693	0.123555	0.0696002	0.177607	0.260329	0.357167	0.00293744	0.0615539	0.266568	0.133107	0.23372	0.0495995	0.134219	0.636451	0.0128138	0.1797553	-0.06150757	0.0497237	0.0214146	0.109777	0.0760957	0.0121096	0.00234114	0.0483011	0.00997754	0.102221	0.00418242	0.114553	3.30137e-05	0.00370526	0.444276	0.00128906	0.3422341	4	18.47901	0.2061542	0.359123	0.709257	1.08003	1.85159	0.0220803	0.270303	0.13619	0.214661	0.273231	0.0835349	0.2807265	1.219101
500	-469.7386	-408.4679	-61.27067	13.04886	2.14133	0.0769011	0.0807167	0.240836	0.467995	0.0459186	0.00623917	0.0920184	0.145065	0.14627	0.028159	0.37534	0.653839	0.0976065	0.00414886	0.0494634	0.0876987	0.035994	0.00676686	0.340129	0.0959436	0.0442157	0.00720289	0.00397871	0.00222301	0.172423	0.0452651	0.0627161	0.0987397	0.661948	0.0734981	0.193895	0.00872633	0.224163	0.229985	0.0611187	0.111669	0.690107	0.0880903	0.0133947	0.0071722	0.430933	0.00268161	0.0197304	0.188306	0.539935	0.0620716	0.2215949	0.004654169	0.0496777	0.0493932	0.141613	0.0450852	0.0408963	0.0109488	0.0230378	0.00361563	0.105535	0.0101741	0.146396	0.0117732	0.000261	0.358134	0.00345888	0.5251355	5	21.33655	0.072083	0.309581	0.669247	1.07315	1.94802	0.0355724	0.228334	0.147761	0.315624	0.211758	0.0609506	0.5297897	0.9912151
600	-474.5492	-413.0509	-61.49829	15.14214	2.225922	0.0422105	0.662545	0.0591497	0.201276	0.0333164	0.063245	0.254102	0.385719	0.436488	0.576743	0.200596	0.312657	0.207594	0.0119834	0.00344914	0.121472	0.257066	0.640838	0.195789	0.138461	0.0270398	0.393859	0.0468128	0.0775828	0.0633997	0.0858341	0.0272347	0.0085093	0.194836	0.0661942	0.0159137	0.0128077	0.336886	0.0260805	0.227924	0.176721	0.048303	0.0263466	0.126905	0.13842	0.570796	0.0596697	0.158183	0.0695505	0.329534	0.317485	0.2303044	-0.03672416	0.142249	0.0157319	0.0477524	0.0238601	0.043066	0.00314239	0.0501244	0.0129757	0.0984657	0.0104611	0.133566	0.010216	0.0288277	0.362287	0.0172743	0.6794452	9	16.849	0.09596992	0.31883	0.677071	1.07474	1.92936	0.0307231	0.232875	0.186811	0.223628	0.255847	0.0701149	0.6427211	1.057139
700	-482.3836	-413.0108	-69.37282	14.79297	4.036957	0.106416	0.0245139	0.445891	0.385731	0.0317102	0.0468863	0.200824	0.123262	0.0021501	0.200876	0.119571	0.411442	0.00562746	0.0638013	0.0408052	0.24467	0.064829	0.158519	0.240258	0.0923489	0.0547847	0.163913	0.392791	0.0133367	0.0268848	0.319901	0.0470079	0.0913073	0.620341	0.061452	0.28985	0.022541	0.678827	0.154868	0.0716816	0.0499255	0.0719087	0.046394	0.0337426	0.117658	0.37263	0.040987	1.72255	0.0132033	1.08563	0.0952896	0.2246448	-0.01942884	0.050018	0.0276674	0.0187571	0.124174	0.113383	0.0125555	0.0646922	0.0134296	0.0371678	0.00175166	0.0899156	0.00211618	0.0250554	0.415317	0.00399984	0.4469905	9	16.24569	0.1706368	0.456381	0.776477	1.08439	1.68275	0.060827	0.211159	0.161744	0.225047	0.218701	0.122521	0.4275617	1.045441
800	-464.2365	-418.2399	-45.9966	7.83959	5.205572	0.0179643	0.144563	0.167659	0.0415277	0.246701	0.0748708	0.330779	0.0197034	0.137877	0.202377	0.436719	0.0337723	0.0719227	0.497781	0.0085531	0.084756	0.0656928	0.0555617	0.0995488	0.0355683	0.0166079	0.238233	0.000991477	0.124557	0.0491406	0.0444608	0.0880991	0.0244879	0.0384878	0.252808	0.139441	0.106011	0.164	0.115538	0.0181514	0.368704	0.438961	0.319551	0.0336338	0.127219	0.102493	0.0269856	0.219868	0.0322389	0.0151824	0.0324804	0.1023082	-0.1103385	0.137483	0.0388797	0.0463658	0.0171063	0.0100034	0.0171809	0.0899458	0.0120598	0.0622069	0.00617498	0.123592	0.00161519	0.0190762	0.409301	0.00900912	0.4471243	7	15.66949	0.2095499	0.510398	0.808725	1.08293	1.59795	0.0424585	0.197222	0.159452	0.220971	0.266349	0.113548	0.3367858	1.327622
900	-460.5137	-406.9267	-53.58694	8.573829	3.810384	0.00599525	0.144409	0.552088	0.186574	0.461981	0.00262884	0.304223	0.06189	0.118914	0.00786664	0.35913	0.0988617	0.0411852	0.129742	0.0809726	0.0225255	0.00270226	0.210235	0.0649546	0.0831513	0.0298838	0.260854	0.00686853	0.159569	0.119631	0.102347	0.0677396	0.111198	0.264961	0.15071	0.0579815	0.480473	0.377177	0.0164381	0.375512	0.150024	0.157882	0.0229651	0.0206963	0.0287279	0.20713	0.0342933	0.73712	0.0442676	0.00161956	0.0754997	0.1320299	-0.04164073	0.116242	0.0101908	0.0231879	0.0206392	0.104982	0.00942113	0.0454111	0.0233735	0.0885687	0.000160084	0.154047	0.00264346	0.0111865	0.3727	0.0172467	0.4681482	3	15.56877	0.1316537	0.443632	0.768386	1.08438	1.7036	0.0430602	0.196483	0.153262	0.293828	0.212976	0.10039	0.4265075	1.097632
