Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
1000	-314.6384	-286.8665	-27.77189	10.72041	0.623403	0.0607108	0.0451087	0.00273463	0.0328957	0.184899	0.308287	0.1213	0.165724	0.0263247	0.33526	0.110529	0.000397479	0.132062	0.0553534	0.223569	0.591237	0.364906	0.209255	0.0570256	0.575086	0.118221	0.241104	0.1681034	-0.03333929	0.0184898	0.165283	0.00765429	0.161415	0.0151034	0.0186133	0.0750172	0.0224449	0.111042	0.00223268	0.133428	0.08859	0.0269711	0.139279	0.0144372	0.197465	0	15.0966	0.1391363	0.057968	0.325033	0.892804	2.72419	0.195845	0.334211	0.0907043	0.111521	0.165759	0.10196	0.1641257	1.203133
1100	-305.9667	-276.7601	-29.20657	4.860771	3.934936	0.0718029	0.184741	0.0160072	0.36926	0.160855	1.12292	0.130873	0.357816	0.0532974	0.717214	0.459925	0.0189929	0.0469111	0.35193	0.113102	0.60841	0.707938	0.104449	0.000453597	0.16774	0.17143	0.289683	0.3105884	0.04018741	0.0366931	0.227332	0.000507169	0.015963	0.0068622	0.00348634	0.0501977	0.00614493	0.108649	0.0162977	0.190911	0.0415517	0.113395	0.176217	0.00579093	0.3613535	1	5.638178	0.08890198	0.450752	0.772929	1.08441	1.69191	0.153254	0.320534	0.0883004	0.11387	0.176802	0.14724	0.4015409	0.899917
1200	-296.7967	-274.1363	-22.66041	8.611553	3.784861	0.0362792	0.183066	0.134813	0.235159	0.422154	0.692268	0.00904104	0.054266	0.24833	0.0670034	0.0394264	0.109974	0.173758	0.0712712	0.0352495	0.334097	0.144166	0.0648523	0.187089	0.116076	0.00209731	0.140967	0.1569952	-0.06778103	0.0263242	0.116681	0.00340446	0.0414144	0.011837	0.00140747	0.143704	0.00724574	0.0808229	0.00308834	0.221341	0.00602828	0.17325	0.133902	0.0295502	0.4167512	1	9.456242	0.1251804	0.442138	0.767425	1.08437	1.70607	0.22766	0.310291	0.0792942	0.0865527	0.153729	0.142473	0.3489702	1.194232
1300	-312.1833	-283.8923	-28.29102	8.399965	4.969069	0.107231	0.491485	0.0707858	0.118179	0.513869	0.172154	0.0307942	0.228928	0.0675387	0.000641549	0.151535	0.0436038	0.383352	0.0043294	0.187221	0.115303	0.12859	0.0488395	0.0761226	0.168837	0.0482619	0.181631	0.1325768	0.04382374	0.0288956	0.130451	0.0190152	0.0271719	0.0257418	0.0287344	0.0918185	0.000942517	0.12039	0.0835498	0.156053	0.0927526	0.153662	0.0178203	0.0230006	0.2369251	0	11.11251	0.09396197	0.500788	0.803215	1.08336	1.61264	0.241138	0.311456	0.0977733	0.0967279	0.155287	0.0976181	0.2807488	0.8439041
1400	-307.3643	-274.4957	-32.86857	4.346594	2.018355	0.0534225	0.165784	0.00197203	0.0881981	0.0723998	0.93186	0.0359005	0.0777196	0.0805426	0.503701	1.66977	0.0490228	0.113291	0.113557	0.00730824	0.650561	0.262881	0.673492	2.11953	0.326143	0.264852	0.211705	0.3228335	-0.02417445	0.038482	0.145945	0.00361606	0.0500925	0.0315832	0.0168849	0.193001	0.00399003	0.060339	0.0778778	0.0900702	0.024209	0.0704501	0.192013	0.00144576	0.4025389	1	4.414255	0.2300549	0.295456	0.656951	1.07044	1.97715	0.156707	0.322621	0.105891	0.0892746	0.177159	0.148348	0.3783644	1.063892
1500	-318.2586	-290.6318	-27.62683	6.820403	2.506242	0.135552	0.223327	0.00960557	0.18338	0.184351	0.0985225	0.0403193	0.0929755	0.277013	0.297716	0.181211	0.0140284	0.602264	0.205835	0.410025	0.444288	0.0727418	0.41693	0.279699	0.046408	0.0537339	0.434138	0.2400416	0.08901489	0.0131744	0.0944828	0.00341006	0.0838586	0.000545284	0.0414932	0.232062	0.00735783	0.0884373	0.0288041	0.059967	0.0358123	0.0889558	0.0849911	0.136649	0.3678395	1	7.760925	0.07462839	0.347048	0.699918	1.0787	1.87434	0.318425	0.318741	0.10563	0.0483632	0.105877	0.102964	0.4568544	0.805157
1600	-299.0501	-279.956	-19.09413	9.980649	4.536013	0.0601491	0.0372028	0.083196	0.166945	0.0329614	0.254956	0.0666056	0.00334568	0.0892928	0.535034	0.121833	0.00841004	0.0028981	0.0784219	0.084224	0.241845	0.0240606	0.443972	0.116746	0.377226	0.0113553	0.173344	0.1435511	0.01621237	0.0119287	0.146688	0.00123609	0.0800578	0.0353083	0.00643518	0.194568	0.00350614	0.216306	0.127074	0.0553614	0.0350764	0.00421001	0.0686815	0.0135624	0.378362	0	10.92688	0.1010347	0.481585	0.791919	1.084	1.64249	0.18325	0.345984	0.0997831	0.0712901	0.214951	0.0847422	0.3945744	0.9589117
1700	-298.957	-287.4205	-11.5365	5.495904	0.5401476	0.177691	0.0559716	0.0372019	0.00931226	0.0370637	0.184834	0.00920291	0.00788629	0.201859	0.178607	0.185994	0.00744898	0.170754	0.0122641	0.264973	0.0314148	0.258624	0.326727	0.241562	0.247642	0.173387	0.0332064	0.146167	0.1500173	0.0347508	0.131752	0.00215594	0.0446169	0.0135899	0.0155409	0.358879	0.00378533	0.0690228	0.0671349	0.179854	0.0216084	0.0405119	0.00528096	0.0115166	0.1713016	3	12.49875	0.09984046	0.0410489	0.277319	0.847417	2.83421	0.26285	0.236291	0.120269	0.0700221	0.148543	0.162025	0.3213188	0.5331202
1800	-319.517	-285.7858	-33.73116	6.074648	0.941351	0.115181	0.582632	0.201288	0.0142719	0.138055	1.5015	0.349886	0.0765872	0.0705	0.403108	0.714248	0.0367084	0.511232	0.619687	0.0802358	0.135582	0.308381	0.00349808	0.332155	0.263401	1.0773	0.143166	0.3277082	-0.01181772	0.0398233	0.200971	0.0291295	0.0429029	0.0119353	0.0250694	0.182808	0.0279075	0.0272515	0.0177989	0.150736	0.0083724	0.0496436	0.16732	0.0183303	0.4988676	1	9.271252	0.1568232	0.125108	0.458385	0.989559	2.42695	0.211625	0.309738	0.123503	0.0862522	0.116368	0.152515	0.4870499	1.024264
1900	-316.9257	-285.5261	-31.39962	6.451981	2.771843	0.150054	0.131426	0.126457	0.00207477	0.0323417	0.194553	0.0986495	0.00897553	0.0889212	0.614391	0.120747	0.0173133	0.353373	0.491838	0.324017	0.235717	0.213889	0.285435	0.2578	0.56265	0.332141	0.320912	0.1728062	0.07975235	0.0537729	0.0931324	0.0120433	0.115735	0.0260399	0.0417413	0.227455	0.00987682	0.222474	0.0284229	0.0363987	0.00472031	0.00847771	0.0914729	0.0282365	0.3838622	1	12.99431	0.1650399	0.370803	0.718058	1.08113	1.83001	0.26209	0.305166	0.104387	0.0530977	0.170388	0.104871	0.4636145	0.827977
