Iteration	Posterior	Likelihood	Prior	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-237.1726	-246.1475	8.974899	2.64128	0.185403	0.263925	0.00676926	0.0131722	0.0914671	0.0933463	0.0232001	0.252534	0.157093	0.0362692	0.410814	0.0661964	0.0791853	0.0042096	0.115839	0.00941186	0.1560709	0.03131266	0.0298571	0.0658281	0.0593993	0.0148456	0.0940815	0.0152934	0.0776132	0.00249178	0.0546594	0.3424	0.0261892	0.00307561	0.127056	0.0495524	0.0376577	0.05082585	20.09746	0.359455	0.70951	1.08006	1.85097	0.288901	0.213042	0.112681	0.0778309	0.195516	0.112028	0.08213851	0.6187822
100	-253.1365	-252.9745	-0.1619255	1.368432	0.495694	0.300901	0.203721	0.0299026	0.218459	0.169398	0.742787	0.0294884	0.096013	0.113554	0.431989	0.429813	0.188765	0.14194	0.164612	0.103384	0.2136328	0.04945303	0.0399356	0.193259	0.172112	0.0245646	0.0875377	0.0377536	0.000849719	0.0188219	0.0794723	0.0296112	0.0347581	0.0392328	0.206727	0.00886573	0.0264987	0.1116958	14.26649	0.204264	0.565084	1.04166	2.18899	0.281474	0.163186	0.0871919	0.0868123	0.228183	0.153152	0.1611488	0.6931219
200	-239.2326	-245.3157	6.083118	3.545114	0.00664448	0.0896416	0.225823	0.0386398	0.0386936	0.463461	0.0440606	0.0180426	0.00675724	0.0186358	0.0194181	0.254594	0.0129982	0.0585185	0.00100417	0.0755474	0.07284343	0.02423708	0.00305306	0.144095	0.117576	0.00636196	0.120987	0.00739371	0.113516	0.00750698	0.0908947	0.0484976	0.0331452	0.0254865	0.197168	0.00214163	0.0821761	0.0002801329	102.4096	0.427482	0.757847	1.08414	1.73053	0.258278	0.208767	0.10414	0.0783989	0.243743	0.106673	0.02451722	0.01142597
300	-241.5744	-253.7651	12.19067	0.9500782	0.0225114	0.00328721	0.243914	0.00915649	0.057433	0.0457936	0.252199	0.00534306	0.119018	0.121276	0.0372362	0.0351595	0.013746	0.0329192	0.202554	0.00327138	0.07427986	-0.001594569	0.109423	0.0132101	0.0851508	0.0849087	0.102881	0.0313258	0.00951576	0.0727458	0.104749	0.0121742	0.0345996	0.00529785	0.152361	0.0535993	0.128058	0.0297559	47.93322	0.126889	0.461215	0.991209	2.42069	0.190563	0.191266	0.176503	0.128296	0.220029	0.0933441	0.02816133	1.056623
400	-228.9317	-244.9767	16.04498	2.889453	0.00281804	0.0183175	0.0565388	0.0360494	0.0351881	0.0490934	0.12925	0.0258422	0.0162887	0.00990847	0.00460079	0.0318882	0.00559337	0.0320229	0.0767124	0.0996316	0.0647342	0.01018263	0.0308473	0.0374525	0.0658362	0.00244184	0.0424787	0.00548305	0.0230419	0.00818348	0.0578001	0.118512	0.041078	0.0031077	0.364541	0.0458702	0.153326	0.001041365	128.5862	0.380525	0.725218	1.08191	1.81234	0.232644	0.184543	0.0986824	0.0942567	0.28081	0.109065	0.011224	0.09278019
500	-251.9862	-247.7923	-4.193878	4.748714	0.0286206	0.0511748	0.49046	0.136498	0.465385	0.24117	0.359125	0.111908	0.0509481	0.0681209	0.202183	0.169081	0.437837	0.732764	0.033134	0.00961704	0.1971536	-0.01334794	0.0268172	0.019326	0.125209	0.0263992	0.155692	0.0298218	0.0179609	0.018387	0.086272	0.00886515	0.211195	0.0428706	0.0730004	0.0832852	0.074899	0.07755318	15.20572	0.491294	0.797679	1.08371	1.62732	0.313329	0.169529	0.131248	0.103462	0.166559	0.115873	0.06420524	1.207895
600	-249.0619	-249.4551	0.3931937	1.47239	0.0448395	0.0330807	0.652264	0.27798	0.245061	0.103669	0.435137	0.0125911	0.286364	0.182629	0.0024709	0.0290354	0.00101197	0.0590363	0.073901	0.237465	0.2234721	0.03834322	0.0504	0.0588288	0.0397404	0.0855199	0.0137392	0.129286	0.0667204	0.0112611	0.0472215	0.0242853	0.00382836	0.064499	0.258515	0.0408393	0.105315	0.02739109	38.74858	0.221026	0.583895	1.04876	2.14632	0.208334	0.173327	0.0801483	0.104342	0.258958	0.174892	0.06573432	0.416694
700	-239.2983	-245.8227	6.524379	1.399061	0.0232984	0.145548	0.11601	0.0290177	0.18598	0.0433926	0.0428118	0.00980413	0.119578	0.0234489	0.335243	0.272882	0.0248907	0.0488422	0.0221957	0.0247218	0.06777152	0.01278776	0.0364334	0.00379189	0.221358	0.0833738	0.0374348	0.0336605	0.0984733	0.00243219	0.036268	0.102578	0.0716947	0.143961	0.088379	0.0353606	0.00480037	0.0005732209	114.0233	0.2093	0.570845	1.0439	2.17596	0.276008	0.211211	0.143184	0.0647169	0.146243	0.158638	0.01336098	0.04290261
800	-242.5237	-248.8083	6.284642	4.103629	0.0159793	0.183525	0.0968455	0.000611367	0.00600709	0.0108494	0.0562959	0.0548005	0.014985	0.121109	0.0301402	0.00462763	0.0560068	0.00813558	0.0131483	0.0402027	0.03857105	0.0006601754	0.0769418	0.0775028	0.136784	0.0507838	0.0190708	0.0154405	0.135789	0.0304985	0.0424629	0.0202751	0.0503692	0.0691146	0.17129	0.0567647	0.0469135	0.008237454	521.0583	0.459966	0.778718	1.08437	1.67694	0.272936	0.166658	0.136469	0.0828745	0.20876	0.132302	0.00889763	0.9258032
900	-252.3947	-247.0294	-5.365345	3.217576	0.182372	0.082347	0.36071	0.00358999	0.0259666	0.047078	0.270042	0.0452132	0.0640673	0.168172	0.0407874	0.0307855	0.625791	0.0474098	0.00555788	0.012157	0.1280793	0.006242674	0.0906687	0.0555824	0.16144	0.0822731	0.0374045	0.00534399	0.0359134	0.00763234	0.0116985	0.0491258	0.0112379	0.197235	0.18821	0.0165788	0.049656	0.003192528	338.2744	0.405424	0.742905	1.0834	1.76827	0.285143	0.214236	0.110822	0.103202	0.197507	0.0890899	0.009435202	0.3383635
