Iteration	Posterior	Likelihood	Prior	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-229.4786	-232.9041	3.42542	2.242245	0.0316185	0.0085695	0.419305	0.0597796	0.0271259	0.075112	0.0610482	0.0483707	0.0709779	0.1497	0.116663	0.0579796	0.131674	0.097905	0.0724455	0.007125431	8.16908e-05	0.0640686	0.0883643	0.336624	0.0295042	0.000739851	0.00984253	0.000340517	0.221652	0.0219296	0.087523	0.000298985	0.0687107	0.038304	0.0320162	0.006076903	209.5808	0.320573	0.678527	1.07502	1.92588	0.106924	0.251696	0.171321	0.0459736	0.304181	0.119905	0.01320233	0.4602901
100	-231.334	-236.8662	5.532194	1.651137	0.0880071	0.0324398	0.0104371	0.022156	0.117731	0.19705	0.131604	0.0848276	0.2799	0.0777099	0.408643	0.286734	0.117751	0.0394697	0.1171117	0.02506083	0.00384876	0.027492	0.0188312	0.191938	0.00381184	0.0226473	0.032642	0.00714754	0.124406	0.0471446	0.0279862	0.184258	0.221641	0.00259124	0.0836141	0.004235534	68.1712	0.247754	0.611922	1.05819	2.08213	0.155937	0.20063	0.190083	0.0674467	0.296517	0.0893856	0.02929636	0.1445754
200	-221.7266	-233.3624	11.63586	2.24207	0.00812814	0.000249401	0.00128464	0.030484	0.0106519	0.0171488	0.0699875	0.0405624	0.0880636	0.0152161	0.016513	0.0528028	0.0184971	0.0591996	0.04938024	-0.001170565	0.0200512	0.0534175	0.182157	0.199691	0.0548366	0.000253324	0.0103017	0.0040195	0.108982	0.0425532	0.069942	0.000793493	0.139953	0.109063	0.00398496	0.007908035	539.6644	0.320554	0.678511	1.07501	1.92592	0.120979	0.156391	0.171904	0.104105	0.36903	0.0775907	0.00673747	1.17374
300	-234.2659	-231.5617	-2.704247	4.237599	0.418436	0.0197488	0.0182003	0.0219655	0.146896	0.0868787	0.139402	0.0637751	0.344803	0.237728	0.177091	0.345712	0.00427205	0.259629	0.1736014	-0.007954106	0.0103644	0.0241932	0.104792	0.0801641	0.108569	0.00513069	0.0305395	0.00600282	0.155252	0.137388	0.100854	0.0885543	0.140329	0.00445985	0.00340637	0.08877557	90.9352	0.466957	0.783045	1.08429	1.6657	0.173402	0.161818	0.210124	0.0639174	0.263204	0.127535	0.08082146	1.098416
400	-223.6826	-231.3499	7.667279	1.788881	0.0336386	0.03812	0.0273094	0.09095	0.0112248	0.0179635	0.0806618	0.0299626	0.0387364	0.0541881	0.181092	0.184795	0.146997	0.272547	0.09425213	0.01548346	0.00167848	0.272006	0.105902	0.107832	0.0501919	0.00729597	0.00374609	0.00782698	0.193912	0.0639587	0.0398626	0.0367575	0.018245	0.0642643	0.026519	0.01459616	133.4035	0.266701	0.630506	1.06368	2.03911	0.127392	0.197072	0.198144	0.0583201	0.324099	0.0949731	0.03007962	0.4852509
500	-230.0591	-228.8187	-1.240412	2.065326	0.142832	0.00825116	0.151713	0.0769799	0.103826	0.0129258	0.118069	0.0120972	0.299652	0.36157	0.333503	0.0761179	0.168247	0.0608342	0.1314947	0.009687914	0.00889912	0.143383	0.148482	0.168172	0.0395345	0.0127575	0.0142951	0.0028129	0.292671	0.0710258	0.0224017	0.00409185	0.0394577	0.0313084	0.000707633	0.0001484124	224.5745	0.30095	0.661785	1.07154	1.96572	0.115972	0.0926211	0.241785	0.0872395	0.381952	0.0804295	0.009836327	0.0150882
600	-234.9674	-235.6685	0.7010789	2.173141	0.150643	0.00823106	0.0133644	0.0439402	0.081211	0.0739888	0.00230405	0.396114	0.0150405	0.173668	0.0866812	0.00711369	0.157174	0.118632	0.1588487	0.008118055	0.00697519	0.0497076	0.0877578	0.148077	0.0312671	0.00894962	0.0944755	0.0250425	0.215854	0.0591189	0.0214379	0.0357544	0.088388	0.0977411	0.029453	0.0949124	125.285	0.313102	0.672247	1.07377	1.94088	0.118543	0.11481	0.292029	0.0682088	0.288443	0.117965	0.1030305	0.9212072
700	-248.1904	-236.7266	-11.4638	1.19802	0.13231	0.0703082	0.0343523	1.26426	0.0636176	0.563132	0.305403	0.0574594	0.0436594	0.246056	1.29249	0.0840489	0.430784	0.561768	0.449117	0.06219804	0.0452418	0.0697226	0.0130459	0.156713	0.174691	0.0061799	0.00148361	0.0248	0.187812	0.0386358	0.0612634	0.0158958	0.125053	0.0298749	0.049587	0.01279024	54.63178	0.174694	0.529132	1.02638	2.2698	0.111536	0.117069	0.228246	0.082234	0.324397	0.136518	0.07498828	0.1705632
800	-222.3514	-242.5234	20.17201	1.980152	0.0297662	0.0432803	0.0162851	0.00716192	0.0146437	0.00914957	0.00329079	0.00328456	0.0751673	0.021674	0.0338206	0.0106461	0.0970923	0.00558688	0.02500137	0.001755077	0.097298	0.0269624	0.0994947	0.105871	0.0363558	0.00521585	0.0223979	0.0180233	0.223811	0.0227936	0.0117731	0.120701	0.0389546	0.148989	0.0213578	0.00627273	295.9763	0.290894	0.652886	1.06948	1.98673	0.111486	0.116277	0.356547	0.0742958	0.25819	0.0832043	0.008027806	0.7813753
900	-237.4214	-235.1137	-2.307768	2.099445	0.27143	0.0147381	0.0751598	0.326319	0.33359	0.034115	0.115562	0.0979248	0.340313	0.205353	0.129172	0.165627	0.27083	0.192196	0.2148335	0.01836552	0.00702	0.0326261	0.0658142	0.260224	0.022001	0.000831719	0.0766289	0.0498022	0.309613	0.0486404	0.0234909	0.00425326	0.0531299	0.0188308	0.0270935	0.03793239	67.59713	0.304863	0.665188	1.07229	1.95766	0.117139	0.0997576	0.278266	0.105041	0.295685	0.104113	0.05629791	0.6737798
1000	-227.5569	-226.4744	-1.082493	4.502241	0.198558	0.0075696	0.133437	0.026024	0.214691	0.201432	0.093438	0.27449	0.221101	0.158862	0.0809052	0.184349	0.0464809	0.0747527	0.1154338	0.02287577	0.00205917	0.0266289	0.15562	0.178068	0.0764892	0.0015135	0.00895434	0.0016647	0.109536	0.14087	0.0396471	0.00114199	0.102984	0.121126	0.0336969	0.06884193	98.46889	0.479991	0.790963	1.08404	1.645	0.134162	0.187528	0.279392	0.0612762	0.256169	0.0814728	0.0917177	0.750585
1100	-237.2702	-245.7159	8.44574	1.25759	0.215407	0.0249223	0.030475	0.0756452	0.00323556	0.0312947	0.0498673	0.161742	0.00945394	0.155236	0.144109	0.0155623	0.0457689	0.053349	0.1185845	0.01500444	0.015753	0.297964	0.0253065	0.0878056	0.0570062	0.0300029	0.0363066	0.019269	0.0705557	0.122273	0.0542907	0.0138683	0.0070489	0.139208	0.0233411	1.33917e-05	166.8963	0.185335	0.542514	1.03233	2.23982	0.128115	0.216674	0.133296	0.0310839	0.381922	0.108909	0.01501783	0.00089172
1200	-237.6347	-234.4301	-3.204535	3.143355	0.0638471	0.00357607	0.129027	0.469177	0.0812561	0.353415	0.0132586	0.229361	0.0826425	0.0787623	0.477225	0.585615	0.0679533	0.211198	0.1611643	0.02058312	0.0284584	0.0728546	0.155363	0.0887396	0.0446428	0.00171257	0.0470871	0.00545594	0.138265	0.115514	0.0679985	0.00865479	0.0524836	0.0820657	0.090704	0.008352103	124.865	0.400057	0.739169	1.08314	1.77764	0.147622	0.175624	0.261397	0.0516579	0.294563	0.0691361	0.02893522	0.2886483
1300	-240.1684	-232.2489	-7.91945	1.282098	0.821895	0.0839987	0.0545298	0.491642	0.0290691	0.12748	0.0944619	0.226189	0.107965	0.0150351	0.370969	0.115314	0.744052	0.176765	0.2730755	0.02604783	0.00325297	0.197794	0.0903082	0.189093	0.016378	0.00124631	0.00118404	0.0334747	0.118757	0.0413	0.0636239	0.00432295	0.214656	0.0106744	0.0139343	0.001002331	155.4344	0.189617	0.547753	1.03458	2.22806	0.136381	0.156203	0.223544	0.12225	0.24639	0.115232	0.02705016	0.03705454
1400	-218.5601	-233.2157	14.65558	2.509669	0.0724324	0.0285208	0.0919223	0.0151326	0.102331	0.0349772	0.154367	0.057243	0.0546839	0.0985234	0.0186115	0.0188614	0.00993027	0.0316782	0.04720538	0.02529404	0.045245	0.109121	0.0054844	0.225547	0.01178	0.00484345	0.0272661	0.00175976	0.0824277	0.0247134	0.0391031	0.00806888	0.312061	0.0997232	0.0028569	0.006023891	96.05206	0.347371	0.700172	1.07874	1.87372	0.125078	0.206256	0.248288	0.0337303	0.236521	0.150126	0.03131793	0.1923464
1500	-225.0588	-229.899	4.840176	1.407993	0.184151	0.0544903	0.0496736	0.0159718	0.00457071	0.0338282	0.0673929	0.113618	0.0672534	0.319431	0.0766587	0.0363857	0.0918367	0.0128124	0.145904	0.009089921	0.00737467	0.0896981	0.0744099	0.191223	0.0454443	0.00441849	0.0123699	0.000775193	0.124956	0.091539	0.0632327	0.00566694	0.159985	0.10339	0.0255175	0.002648026	222.8089	0.210753	0.572489	1.04453	2.17223	0.165779	0.159145	0.164911	0.0417194	0.375173	0.0932729	0.01173795	0.2255953
1600	-240.4031	-235.1065	-5.296624	3.697397	0.193618	0.0520545	0.127556	0.0655688	0.0403504	0.106158	0.300066	0.00721594	0.300238	0.0197654	0.0444388	0.196683	0.0894303	0.0142993	0.1095079	0.004123455	0.0041277	0.0364636	0.0543459	0.168349	0.0851489	0.0156631	0.0311128	0.0118756	0.257873	0.00661609	0.0122725	0.0100301	0.218577	0.0817906	0.00575454	0.002455711	591.3956	0.436925	0.764049	1.08431	1.71471	0.165903	0.112432	0.267938	0.103772	0.257411	0.0925435	0.006579166	0.3732557
1700	-221.3532	-234.714	13.3608	2.122355	0.0315386	0.0323567	0.0115042	0.0335512	0.0620333	0.182666	0.0197723	0.109584	0.0563572	0.0343993	0.0199707	0.0306999	0.0399489	0.00831786	0.07683547	0.005761525	0.0038433	0.127413	0.056585	0.0869292	0.0836362	0.00458587	0.130611	0.0021421	0.130589	0.194765	0.0435422	0.0181305	0.0691513	0.00454535	0.043531	0.007397228	249.0384	0.307455	0.667424	1.07277	1.95235	0.119898	0.185633	0.210776	0.0418626	0.325375	0.116456	0.01315875	0.5621526
1800	-227.5676	-235.4037	7.836013	1.207734	0.0146794	0.0940056	0.0145878	0.0752291	0.0277949	0.000857287	0.0156119	0.0951804	0.12013	0.0463559	0.0331755	0.0364758	0.0776037	0.114666	0.03682423	0.006770671	0.0391665	0.0928089	0.0259487	0.316801	0.0568853	0.00673699	0.00073206	0.0263469	0.0362464	0.138617	0.0835079	0.00435338	0.118303	0.0207344	0.0328104	0.02794258	290.776	0.176452	0.53138	1.0274	2.26477	0.121427	0.139396	0.234944	0.0563758	0.290726	0.157132	0.03471325	0.8049543
1900	-233.5943	-228.2164	-5.377881	2.380363	0.167591	0.224757	0.0254293	0.0687267	0.0800818	0.714703	1.15352	0.16848	0.631927	0.0260517	0.016824	0.685984	0.239367	0.251036	0.2569772	0.02733211	0.0295497	0.203002	0.0600454	0.0953499	0.0512264	0.00192731	0.000336516	0.00151509	0.129262	0.185149	0.0582202	0.0133854	0.146344	0.00789428	0.0167935	0.03184722	49.01892	0.334812	0.690194	1.07713	1.89786	0.184947	0.19039	0.172923	0.0558952	0.300665	0.0951785	0.05917933	0.5381477
2000	-217.408	-227.0155	9.607454	2.988072	0.000320766	0.0327408	0.213188	0.0854928	0.00608768	0.0732814	0.055933	0.0944776	0.107982	0.142631	0.120006	0.0977524	0.0318153	0.100138	0.06655213	0.00845477	0.00133461	0.0804742	0.0761243	0.25874	0.0555715	0.00327952	0.0527995	0.00921508	0.131142	0.0875721	0.0905412	0.00807916	0.127534	0.0111725	0.00642015	0.01047027	127.3253	0.388337	0.730865	1.08246	1.79834	0.131317	0.129807	0.283416	0.068132	0.270222	0.117107	0.01892504	0.5532496
2100	-242.8825	-232.4118	-10.47078	2.014276	0.92909	0.0138487	0.303937	0.693394	0.411434	0.590638	0.486724	0.585816	1.02331	0.769904	1.66252	0.0792313	0.769827	0.0301412	0.4143755	0.06532451	0.00292419	0.0727253	0.278604	0.130499	0.0551522	0.00328806	0.107596	0.00511356	0.0845533	0.000702407	0.0429726	0.00531498	0.199285	0.00170445	0.00956559	0.0004805899	15.66716	0.294973	0.656523	1.07034	1.97816	0.147056	0.105782	0.280015	0.0742148	0.292767	0.100165	0.0658051	0.007303233
2200	-234.7257	-237.8539	3.128252	1.507335	0.171418	0.0640917	0.0785135	0.384651	0.0490454	0.145949	0.0901577	0.00410461	0.167443	0.0839881	0.263208	0.184151	0.0122004	0.121074	0.1080376	0.007773134	0.00940388	0.0562579	0.213637	0.0976199	0.0453689	0.0160023	0.00359508	0.0178041	0.250109	0.0258207	0.0215206	0.0118588	0.17642	0.00417471	0.0504076	0.002245891	132.7245	0.226453	0.589773	1.05085	2.13292	0.163968	0.156924	0.228847	0.0946625	0.244731	0.110867	0.01001903	0.2241626
2300	-210.1551	-232.9401	22.785	4.83221	0.0472653	0.0263514	0.0141802	0.0106395	0.0254668	0.00813257	0.00923214	0.0161609	0.0192911	0.00627661	0.0193463	0.0395612	0.0168176	0.023899	0.01771244	0.004179407	0.00668795	0.124494	0.058029	0.177	0.0358698	0.00421782	0.00979836	0.0114737	0.169118	0.0453431	0.00147104	0.105991	0.211971	0.0194993	0.0190358	0.001367863	292.3739	0.494956	0.799826	1.08358	1.62164	0.126599	0.14017	0.178874	0.0796241	0.345977	0.128756	0.00554727	0.2465831
2400	-229.835	-232.4144	2.579376	5.253274	0.194602	0.0330934	0.0309839	0.0487527	0.0360722	0.0421498	0.222405	0.308013	0.0617275	0.372598	0.0480224	0.269615	0.435943	0.0567969	0.1538747	0.02091187	0.01477	0.105322	0.0107198	0.22215	0.00098591	0.0045404	0.0349711	0.000170602	0.265651	0.0182078	0.0209149	0.0519944	0.131709	0.0584169	0.0594757	0.0008605826	56.26874	0.512268	0.809786	1.08283	1.59511	0.184052	0.125054	0.227941	0.0777685	0.336812	0.0483722	0.02177245	0.03952621
2500	-222.2975	-237.3076	15.01006	1.192977	0.0634415	0.0391008	0.0179308	0.0799263	0.0670424	0.0135019	0.000518224	0.0157197	0.00147908	0.0500035	0.025551	0.031634	0.0254216	0.0510328	0.03238388	0.002333664	0.0082061	0.063559	0.0738295	0.153618	0.0824751	0.0125883	0.00975868	0.00201908	0.193852	0.0156516	0.246055	0.0245874	0.00475491	0.0707656	0.0382799	0.00333609	563.4457	0.173778	0.527955	1.02584	2.27243	0.124049	0.182419	0.149327	0.111073	0.336418	0.0967138	0.005669754	0.5884012
2600	-218.7399	-237.0862	18.34627	1.801197	0.0132139	0.0176218	0.00314849	0.00165571	0.0154715	0.0906109	0.00443989	0.012221	0.0656445	0.0305347	0.00918696	0.0496967	0.00193588	0.0330739	0.01656012	0.002010306	0.0664844	0.102242	0.0559169	0.286538	0.00666895	0.00418382	0.0250951	0.0300717	0.14399	0.0204154	0.0291117	0.0333524	0.134383	0.0313608	0.0301852	0.003808102	618.6526	0.268331	0.632059	1.06411	2.0355	0.12498	0.17044	0.219175	0.0523761	0.333318	0.0997117	0.005818408	0.654492
2700	-247.2195	-234.5732	-12.64628	5.994837	0.461119	0.0942606	0.772095	0.715337	0.67885	0.393261	0.445892	0.0903136	0.209592	0.0988968	0.36223	0.514247	1.11894	0.29607	0.4958116	0.1017158	0.0324555	0.0868796	0.0587631	0.136458	0.123456	0.0129446	0.0111583	0.0109664	0.283945	0.0158572	0.00586001	0.00798054	0.077759	0.105858	0.0296584	0.02292237	24.77719	0.538795	0.824471	1.08127	1.55546	0.147462	0.0948615	0.231451	0.0636068	0.385458	0.0771605	0.1246382	0.1839113
2800	-235.7936	-235.8303	0.03678587	1.945432	0.350599	0.12102	0.116767	0.672148	0.0354026	0.051075	0.0387526	0.0900574	0.0974933	0.319443	0.713208	0.0984219	0.343357	0.0172866	0.2290445	0.048174	0.0457903	0.0320775	0.170802	0.206275	0.0856464	0.00918858	0.0449027	0.015445	0.23831	0.0617722	0.0124367	0.0015977	0.0507265	0.0199178	0.00511103	0.008847015	40.3664	0.286673	0.649083	1.06856	1.99568	0.173063	0.160973	0.158035	0.0882398	0.29098	0.128709	0.05702101	0.1551536
2900	-237.6475	-230.8412	-6.806286	0.7510089	0.316715	0.179116	0.0591455	0.19681	0.363457	0.0574811	0.235264	0.251935	0.00999254	0.182198	0.0415984	0.563397	0.398123	1.5853	0.2621089	0.02833218	0.00397078	0.0293318	0.110715	0.227129	0.0827963	0.00952917	0.00623568	0.0028593	0.0981226	0.0221434	0.0714423	0.0078171	0.312073	0.00950175	0.00633284	0.01863778	50.89587	0.0851004	0.386636	0.942398	2.58587	0.154961	0.155375	0.262177	0.0634749	0.249754	0.114258	0.04696997	0.3968022
3000	-221.8024	-230.3793	8.576883	1.370828	0.000768578	0.0124003	0.00480005	0.0165071	0.0338622	0.0279897	0.0391337	0.0261068	0.049085	0.149298	0.118323	0.0322543	0.0416083	0.166291	0.04840837	0.006214682	0.0111757	0.170748	0.085759	0.234049	0.028394	0.00784133	0.0382833	0.00555491	0.173282	0.113729	0.0431154	0.00461396	0.0735254	0.00749848	0.00243032	0.01110383	347.5744	0.204661	0.565541	1.04184	2.18796	0.108851	0.131911	0.254194	0.0769663	0.326315	0.101763	0.01731852	0.6411539
3100	-236.3689	-233.0452	-3.323658	3.743021	0.0370533	0.111923	0.145995	0.505529	0.0204822	0.142067	0.122372	0.293739	0.144082	0.344729	0.0948981	0.518654	0.0511362	0.305489	0.1819578	0.009433665	0.0217468	0.240621	0.00757044	0.190336	0.0289415	0.0110731	0.0580376	0.0064515	0.0756758	0.061546	0.0763441	0.0568666	0.120598	0.00657133	0.0376207	0.01522107	76.88334	0.439663	0.765826	1.08435	1.71017	0.155189	0.131009	0.210236	0.0589193	0.319042	0.125604	0.02465473	0.617369
3200	-213.449	-230.8852	17.4362	2.284889	0.034685	0.0244387	0.0146247	0.00399097	0.00543165	0.00731233	0.0171474	0.00922582	0.042334	0.0108242	0.0550954	0.0699912	0.0645533	0.0976063	0.02715582	0.003030834	0.0224753	0.0388141	0.0158976	0.222305	0.0354266	0.00576486	0.0399594	0.000896507	0.144974	0.116429	0.0265256	0.00451805	0.210569	0.0726196	0.0428248	0.005818759	219.1981	0.325065	0.68225	1.07572	1.91697	0.145253	0.173994	0.196246	0.0402419	0.325691	0.118574	0.008849593	0.6575171
3300	-232.1318	-231.5982	-0.5335651	2.427868	0.2346	0.226033	0.0319171	0.478935	0.44192	0.0668746	0.432194	0.406085	0.34252	0.347616	0.0524109	0.0924546	0.116296	0.280673	0.2500176	0.02040489	0.0368835	0.00815673	0.0637716	0.260355	0.0219528	0.00272401	0.020671	0.000578035	0.22027	0.0099174	0.0714897	0.00830206	0.12189	0.0548218	0.0982159	0.04409335	33.31771	0.339509	0.693959	1.07776	1.88877	0.127861	0.113224	0.359146	0.06973	0.26966	0.0603789	0.06449824	0.6836365
3400	-233.6612	-236.3905	2.729293	2.108115	0.0508581	0.0136419	0.24508	0.387199	0.10133	0.00579953	0.121813	0.0661558	0.0541415	0.020822	0.239272	0.309616	0.0140674	0.0303108	0.1618195	0.0168679	0.0736346	0.0311775	0.0201644	0.189975	0.125952	0.0111279	0.103654	0.000688107	0.133369	0.0511161	0.025796	0.0319494	0.120479	0.0332532	0.0476637	0.01668126	128.2422	0.305848	0.666039	1.07247	1.95564	0.145461	0.137186	0.223645	0.0774399	0.347052	0.0692153	0.03354916	0.4972184
3500	-222.1456	-226.0102	3.864617	2.083177	0.0128931	0.0385166	0.0448992	0.0235675	0.130047	0.0543732	0.17214	0.0553816	0.0825736	0.449905	0.0042786	0.449046	0.269657	0.33496	0.1132366	0.04361772	0.0136511	0.0184043	0.379859	0.0651551	0.024513	0.00461575	0.0140981	0.00263941	0.144994	0.0271377	0.0272859	0.0050583	0.140613	0.121808	0.0101678	0.01079634	52.14229	0.303005	0.663577	1.07194	1.96148	0.151836	0.13008	0.257362	0.0426526	0.321803	0.0962655	0.05441406	0.1984108
3600	-226.8022	-238.0549	11.25264	2.053563	0.0284978	0.0976531	0.0048637	0.039728	0.0337689	0.111666	0.0731538	0.0377973	0.0574033	0.0256635	0.100198	0.108345	0.0245333	0.0102013	0.05089309	0.001185991	0.0816385	0.0741884	0.166012	0.125619	0.0203183	0.0286882	0.0131121	0.00566439	0.277281	0.00113166	0.0576061	0.0072085	0.0359803	0.0523498	0.0532015	0.01227463	307.1444	0.299586	0.660591	1.07127	1.96855	0.152782	0.0896869	0.256163	0.0952852	0.322862	0.0832212	0.01346062	0.9118919
