Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
1000	-542.98	-513.2773	-29.70269	36.85245	3.167588	0.0227969	0.0147067	0.0309489	0.000919928	0.00443578	0.00244992	0.0200617	0.0949101	0.0113705	0.0365114	0.0320124	0.00900609	0.00539399	0.00962933	0.00270878	0.00151005	0.0247527	0.0343919	0.05059	0.0318334	0.00370886	0.0290676	0.0137715	0.0459105	0.0204219	0.00908267	0.00235128	0.0503072	0.00961113	0.000163117	0.00216373	0.00450771	0.0100686	0.0253775	0.00170493	0.0279755	0.0382137	0.0120236	0.0693559	0.00832107	0.01590938	0.01244503	0.0291209	0.0108964	0.134777	0.0139371	0.111494	0.00525984	0.0206856	0.0939908	0.0236543	0.0294905	0.0303326	0.0609261	0.0751787	0.25396	0.106296	0.107165	4	111.6164	0.01791063	0.401825	0.740404	1.08323	1.77454	0.187966	0.23976	0.178053	0.149345	0.15166	0.0932156	0.11961	0.8959533
1100	-534.1962	-511.668	-22.52815	48.57647	3.534483	0.0717245	0.0239169	0.0152839	0.0441231	0.0338937	0.0110641	0.0287645	0.0116365	0.038914	0.00793629	0.0766203	0.016326	0.00368674	0.050792	0.00166186	0.00655396	0.0190863	0.0191669	0.0301336	0.0314334	0.0768973	0.0166812	0.000813664	0.0972475	0.0119173	0.00132094	0.00876431	8.5518e-05	0.00840545	0.0222592	0.000535887	0.0169884	0.0578352	0.00522319	0.00321104	0.0316476	0.0421764	0.0135718	0.0422867	0.0623289	0.02538375	-0.001234801	0.0129812	0.0105517	0.191025	0.0493875	0.0329264	0.00679859	0.0534487	0.0494544	0.0354318	0.0125598	0.0256463	0.112838	0.0582944	0.199301	0.149355	0.1256159	7	67.27921	0.02710491	0.426804	0.757398	1.08413	1.73167	0.16556	0.173765	0.300054	0.117025	0.164643	0.0789543	0.1243811	1.009928
1200	-550.4842	-520.4593	-30.02491	54.82365	1.853588	0.0359914	0.0365424	0.00799832	0.0262739	0.00293544	0.00861799	0.0892676	0.0204868	0.0128125	0.00226099	0.0074914	0.0103348	0.00357634	0.0343499	0.064227	0.00219803	0.0269594	0.0165228	0.0277597	0.0245963	0.0527161	0.0322413	0.00328443	0.0616616	0.0126698	0.0105741	0.0013602	0.0744156	0.00274706	0.00999675	0.044223	1.67567e-05	0.0173214	0.00375105	0.058403	0.030328	0.0432209	0.00306747	0.0120135	0.00748952	0.02047805	-0.00585028	0.0324186	0.0391967	0.121931	0.00646357	0.0926678	0.00931728	0.0416819	0.0330175	0.0542946	0.036596	0.0226001	0.115906	0.00793621	0.260872	0.125101	0.1266029	4	97.82374	0.02107322	0.275148	0.638483	1.06585	2.02052	0.196478	0.188907	0.141418	0.136649	0.265551	0.0709961	0.1207527	1.048448
1300	-550.1382	-526.1736	-23.96451	29.21458	1.992774	0.00329157	0.00102154	0.0107157	0.0243999	0.0020269	0.0693195	0.0491725	0.0291434	0.00441181	0.00446808	0.0044297	0.000301591	0.00651875	0.00155764	0.0394669	0.0397025	0.00578062	0.000873709	0.0155392	0.0188491	0.0185639	0.0312234	0.0126601	0.00833711	0.0818443	0.0207478	0.0167716	0.00653306	0.0124263	0.0442246	0.00965013	0.0488474	0.00252275	0.0249597	0.00222176	0.00957562	0.00892878	0.0473938	0.0552909	0.00125494	0.02009666	-0.01467177	0.104255	0.011742	0.173204	0.0371245	0.22575	0.00533849	0.0231268	0.0514009	0.0023675	0.0170354	0.0285743	0.0958943	0.0109253	0.0933526	0.119908	0.1308044	5	83.68938	0.01323249	0.292411	0.654243	1.06981	1.98354	0.169573	0.234364	0.13938	0.209435	0.169854	0.0773954	0.1161326	1.126336
1400	-531.7382	-522.3737	-9.364591	37.3732	2.17792	0.0087741	0.00242352	0.0103522	0.00449323	0.042053	0.00999371	0.0129779	0.0241721	0.000339619	0.0231819	0.00419199	0.0113113	0.0091904	0.0202102	0.000763714	0.00611904	0.0204152	0.0217805	0.00132802	0.0206734	0.0181631	0.0043234	0.00630047	0.0152807	0.00443871	0.0112479	0.00333022	0.0228252	0.00443797	0.00811395	0.00646523	0.000649045	0.00996891	0.0173774	0.0480332	0.0394245	0.0077386	0.00359148	0.0119456	0.00487833	0.0115914	0.0165714	0.0419075	0.0285225	0.237373	0.072186	0.0137592	0.00587332	0.036975	0.0741247	0.0837678	0.0300016	0.0321984	0.144939	0.0323895	0.105141	0.0608423	0.170411	6	126.2685	0.01226876	0.313627	0.672691	1.07386	1.93982	0.170269	0.274047	0.162568	0.114385	0.197629	0.0811015	0.1869824	0.9113745
1500	-552.4526	-515.3854	-37.06726	18.65614	2.633978	0.06468	0.0877972	0.0894001	0.022066	0.00287389	0.0059714	0.00619687	0.0236423	0.0110884	0.0237987	0.0342404	0.113344	0.00235659	0.0373874	0.0269292	0.00593467	0.0273793	0.00731141	0.00759968	0.0146121	0.0743836	9.97596e-05	0.108142	0.0208167	0.0206067	0.0339704	0.00098511	0.041347	0.025817	0.0435641	0.0104122	0.0333846	0.00734115	0.0072544	0.00649852	0.0348025	0.00314866	0.0197864	0.108658	0.0361236	0.03302753	0.001161901	0.0558014	0.0103386	0.220251	0.0618095	0.0060589	0.00559236	0.072509	0.0487514	0.0252707	0.0495651	0.00407103	0.0838897	0.0195786	0.206222	0.13029	0.1159054	5	96.70959	0.0122517	0.358802	0.709012	1.08	1.85219	0.19123	0.189327	0.182779	0.151353	0.189409	0.0959006	0.1170673	0.9900749
1600	-553.6725	-520.3561	-33.31639	34.93516	4.152552	0.000718042	0.0432436	0.0678631	0.0147204	0.0156437	0.00235506	0.0260443	0.0300204	0.0147314	0.022868	0.00223953	0.00441333	0.0253258	0.0438714	0.00619272	0.00167889	0.0205718	0.00697662	0.0100326	0.0235682	0.0143666	0.00845693	0.0478999	0.0103068	0.0535255	0.0343353	0.0461001	0.0649689	0.00187394	0.00101205	0.00904402	0.0370995	0.0083685	0.0204578	0.0168325	0.0382508	0.127048	0.00198342	0.177511	0.0474071	0.0276336	0.01733253	0.0170198	0.0345455	0.236217	0.0521578	0.0142873	0.0163484	0.0881382	0.0282546	0.0884512	0.0106939	0.041133	0.153621	0.0298592	0.0304962	0.158777	0.2635449	5	67.86561	0.01753653	0.462551	0.780325	1.08435	1.67278	0.247376	0.254439	0.129369	0.152002	0.140627	0.0761858	0.2808774	0.9382915
1700	-550.7517	-519.0299	-31.72188	39.71465	3.699049	0.0205567	0.0558092	0.0253667	0.0137256	0.003188	0.00396338	0.0256553	0.0213324	0.0237446	0.0950195	0.00277663	0.0314028	0.0149357	0.00547004	0.0194672	0.000127966	0.032768	0.0309282	0.0852185	0.0143294	0.0626395	0.0113326	0.0134304	0.0329503	0.0181629	0.030414	0.00314668	0.0576369	0.0258666	0.00964631	0.0155368	0.0331777	0.00949308	0.0130657	0.00115607	0.0668051	0.00743513	0.0243745	0.0320009	0.0161351	0.02919265	-0.02429918	0.0228608	0.000109701	0.165426	0.0131044	0.128514	0.0043354	0.0721025	0.0379117	0.0500461	0.03413	0.0134721	0.0872998	0.0969769	0.206803	0.0669086	0.2197285	5	91.37627	0.008676627	0.437025	0.764114	1.08431	1.71455	0.261903	0.22006	0.188211	0.132834	0.106469	0.0905237	0.1954293	1.124337
1800	-553.3115	-520.514	-32.79751	40.9174	2.269109	0.039968	0.0306161	0.0398213	0.0223463	0.0423554	0.0164627	0.0487315	0.00558903	0.079685	0.0148117	0.0165936	0.0136242	0.0487641	0.0290924	0.0420949	0.0028814	0.0261862	0.00565946	0.00170003	0.0372232	0.00149699	0.0138429	0.0657318	0.0142678	0.0209963	0.0198965	0.0532694	0.0784873	0.022699	0.0613816	0.0034473	0.0373804	0.0283422	0.0422098	0.13142	0.0198207	0.02164	0.0131694	0.00287728	0.00189908	0.02955095	0.01347019	0.0379526	0.0469179	0.263388	0.0496824	0.130955	0.00108733	0.0296187	0.0169509	0.0105061	0.0276838	0.0101145	0.0493155	0.00826691	0.229502	0.0880584	0.08030541	7	78.69173	0.02468884	0.323413	0.680885	1.07547	1.92024	0.172367	0.265814	0.151456	0.141589	0.184879	0.0838944	0.0937756	0.8563572
1900	-547.9056	-515.3329	-32.57263	20.85634	3.059892	0.00954514	0.0119555	0.0583758	0.0282677	0.00228264	0.0687167	0.0301347	0.0156435	0.0475982	0.0538979	0.0157702	0.00723492	0.00175368	0.0524163	0.034098	0.00421388	0.016269	0.0139942	0.0112475	0.0359191	0.0235341	0.0194744	0.0320464	0.00874341	0.00848482	0.0366024	0.0421997	0.0265207	0.0487065	0.111737	0.0179649	0.00608794	0.00503494	0.0392472	0.00501039	0.0224243	0.00681094	0.0233045	0.0757764	0.00448544	0.02848344	-0.005389211	0.0365738	0.0183943	0.145	0.0296512	0.0417202	0.0152196	0.103165	0.0339994	0.0223531	0.0400668	0.0423219	0.150394	0.0656477	0.131752	0.123741	0.1122902	3	80.62879	0.02791238	0.393843	0.734791	1.0828	1.78857	0.154513	0.275522	0.139975	0.13809	0.178025	0.113875	0.106901	1.050413
