Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-68.16464	-81.09015	12.92552	0.8707886	0.03430282	0.0174764	0.0339841	0.129041	0.077121	0.0428226	0.181889	0.000470918	0.030869	0.007781	0.0101648	0.030947	0.0512369	0.0677425	0.106663	0.19032	0.0389474	0.01540574	32.36481	0.110509	0.434146	0.974792	2.48055	0.0282709	0.610276	0.0073055	0.0848003	0.222132	0.0472153	0.03288214	0.468514
1	0	-60.98986	-76.79799	15.80814	0.6329385	0.03645252	0.08853428	0.0420939	0.039042	0.0433133	0.010614	0.00556421	0.000213597	0.0280995	0.00420961	0.00373194	0.0917865	0.0362472	0.19774	0.0324491	0.459153	0.00574244	0.01760089	9.01164	0.0599649	0.330093	0.897236	2.71271	0.0265326	0.463126	0.00313408	0.103194	0.324013	0.0800001	0.1061352	0.1658347
2	0	-71.2441	-84.1786	12.9345	1.12837	0.009360213	0.01989203	0.214431	0.169107	0.051171	0.00126587	0.0165024	0.0126629	0.0974857	0.0623835	0.0764509	0.0217363	0.00350294	0.0157076	0.0383273	0.0486289	0.170637	0.01014079	29.719	0.161832	0.512206	1.01839	2.30757	0.0559073	0.415151	0.0241157	0.14833	0.339252	0.0172442	0.03003282	0.3376569
3	0	-66.94302	-81.8164	14.87337	2.184126	0.05703864	0.1370434	0.0120627	0.0241712	0.0656313	0.170489	0.123304	0.0639541	0.0410991	0.0398821	0.0268749	0.0668059	0.0188355	0.173772	0.0468865	0.10951	0.0167222	0.0008138874	7.845533	0.314306	0.673266	1.07398	1.93845	0.0752426	0.465965	0.011288	0.0936137	0.314865	0.0390261	0.1378573	0.00590384
4	0	-68.53898	-83.83536	15.29638	3.378914	0.06374454	0.1027474	0.154348	0.0234802	0.013778	0.232977	0.0128287	0.00634659	0.0594063	0.0181336	0.0184303	0.114684	0.0336333	0.1627	0.0240571	0.054031	0.0711655	0.02328035	2.067002	0.416605	0.750561	1.08384	1.74899	0.0719415	0.296131	0.00963679	0.136723	0.401552	0.0840154	0.1260277	0.184724
5	0	-66.47625	-81.55471	15.07846	0.8814171	0.07246427	0.08507773	0.110592	0.0759077	0.047676	0.0293291	0.0642162	0.110168	0.0254274	0.0101127	0.000629802	0.0690429	0.0646914	0.0974606	0.159492	0.0770905	0.0581635	0.03187954	11.2957	0.11273	0.437959	0.977191	2.47212	0.0462589	0.372597	0.00937737	0.0677348	0.415763	0.0882687	0.1169573	0.2725743
6	0	-71.66889	-85.07484	13.40594	1.695315	0.02345366	0.06360968	0.0783337	0.0557191	0.0198314	0.0902109	0.0178414	0.00576913	0.31981	0.00133063	0.0484084	0.0334274	0.0423337	0.0557869	0.00429246	0.172378	0.0545262	0.1007103	5.424891	0.25398	0.618138	1.06009	2.06779	0.0933732	0.420282	0.0137003	0.0685633	0.312742	0.0913396	0.16432	0.6128914
7	0	-67.23535	-81.88303	14.64768	2.478443	0.05841377	0.1170921	0.0111177	0.0223852	0.0763736	0.0987202	0.0744628	0.0995152	0.0258551	0.00140759	0.0141591	0.0217488	0.148899	0.21083	0.0679696	0.108542	0.0180149	0.005156166	6.601073	0.344403	0.697839	1.07838	1.87938	0.0435071	0.331085	0.0272891	0.116656	0.36233	0.119133	0.1222483	0.04217783
8	0	-64.88528	-77.31809	12.43281	2.35892	0.05273201	-0.01702534	0.1105	0.154453	0.0331265	0.0217907	0.0161895	0.0037867	0.0880606	0.0106749	0.0466543	0.0436736	0.0585057	0.157052	0.0151672	0.178946	0.0614187	0.08930341	9.970245	0.332659	0.688455	1.07683	1.90205	0.0324832	0.444381	0.00326439	0.126168	0.306862	0.0868415	0.07227808	1.235553
9	0	-67.5562	-83.30597	15.74977	0.1598074	0.1240904	0.135563	0.10423	0.115011	0.016986	0.00376134	0.0274205	0.0109421	0.0277337	0.0224627	0.024551	0.0758328	0.106787	0.0357125	0.00367579	0.19362	0.231273	0.05363669	5.320904	9.34564e-05	0.0142613	0.271169	3.71448	0.0520782	0.536755	0.00900313	0.0751702	0.276041	0.0509528	0.1891997	0.2834925
10	0	-69.52248	-77.95753	8.435043	2.902983	0.006657302	0.01811954	0.0838266	0.0772695	0.0152461	0.210448	0.00956275	0.0535224	0.0414698	0.00791624	0.0522016	0.0209913	0.046931	0.0734894	0.0772686	0.189419	0.040437	0.004425738	63.8952	0.381614	0.726011	1.08199	1.81038	0.0438254	0.452359	0.0036921	0.144822	0.276642	0.0786593	0.02254528	0.1963044
