Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
10	0	-250.3324	-239.1612	-11.17123	1.386064	0.1064298	0.004435426	0.0102032	0.10783	0.049632	0.202121	0.0309813	0.0121526	0.00077842	0.0804727	0.172922	0.0911919	0.0730472	0.0314755	0.0463412	0.086805	0.00404737	0.009916983	163.5375	0.207173	0.568424	1.04297	2.18144	0.189901	0.144707	0.174057	0.0823706	0.319127	0.0898366	0.01435241	0.690963
11	0	-258.2057	-241.6015	-16.60423	2.825732	0.02564499	0.006005794	0.00986251	0.0165352	0.0671499	0.149979	0.0917753	0.0084833	0.0527625	0.0062566	0.241228	0.0775626	0.122975	0.000931826	0.0538696	0.0848135	0.0158159	0.0009500326	377.28	0.375314	0.721399	1.08151	1.82178	0.0976837	0.15885	0.257377	0.0505486	0.349464	0.0860774	0.006955827	0.1365808
12	0	-255.68	-238.9275	-16.75254	1.430227	0.02843364	0.001130425	0.124375	0.018783	0.0416681	0.195427	0.0981241	0.0118707	0.00244552	0.0406055	0.275553	0.0252501	0.0742092	0.0155193	0.0538307	0.00309127	0.0192482	0.006684165	320.6645	0.21434	0.576515	1.04605	2.1631	0.220913	0.0996203	0.196642	0.0911863	0.296895	0.0947435	0.00781459	0.8553443
13	0	-241.3068	-232.0937	-9.2131	1.994323	0.2974776	-0.05309189	0.0223368	0.0335431	0.215216	0.143125	0.00215891	0.00769505	0.0118973	0.00377252	0.122057	0.0502856	0.101901	7.00724e-05	0.177912	0.0969852	0.0110443	0.1496434	29.68406	0.292596	0.654409	1.06985	1.98315	0.141813	0.145394	0.260988	0.0567933	0.269017	0.125995	0.0965515	1.549882
14	0	-246.0056	-233.7652	-12.24041	2.57457	0.089763	0.014925	0.00962089	0.197629	0.0378679	0.20289	0.0153727	0.00909168	0.000432169	0.0195721	0.145319	0.0695635	0.204301	0.030227	0.00435473	0.0279455	0.0258131	0.07149675	104.7951	0.353414	0.704873	1.07943	1.86229	0.121496	0.150549	0.203924	0.0935781	0.247569	0.182884	0.08642175	0.8273005
15	0	-238.7204	-230.7435	-7.97688	5.660497	0.1856529	0.05229552	0.0601328	0.0441495	0.0453338	0.188311	0.0663698	0.0022152	0.00760984	0.0100631	0.14009	0.212349	0.0502643	0.0275177	0.130249	0.00907828	0.00626684	0.002997571	43.92972	0.527394	0.818243	1.082	1.57236	0.109902	0.154563	0.238289	0.0728706	0.265618	0.158756	0.05529309	0.05421239
16	0	-249.7051	-240.2725	-9.432604	2.939375	0.1033649	0.03549734	0.00740114	0.160823	0.0432023	0.176338	0.0551139	0.0476488	0.0197979	0.0212131	0.116156	0.066938	0.0461174	0.0272424	0.0301764	0.082343	0.0994882	0.002844207	86.04527	0.384517	0.728115	1.0822	1.80517	0.145349	0.181824	0.188329	0.120215	0.254025	0.110259	0.03834154	0.07418081
17	0	-249.816	-235.0307	-14.78527	0.6911841	0.1437571	0.01272033	0.00319402	0.066718	0.137955	0.140942	0.157724	0.00549651	0.00554596	0.00298929	0.269187	0.0565174	0.0272896	0.0235213	0.0756742	0.021103	0.00614378	0.009347138	209.3628	0.0723063	0.359341	0.921557	2.6468	0.133466	0.10978	0.184398	0.0781771	0.431915	0.0622635	0.02206746	0.423571
18	0	-243.7082	-227.181	-16.5271	2.832871	0.05094939	0.002020815	0.0228592	0.0854068	0.0270429	0.19229	0.0325676	0.00323908	0.0248628	0.00587547	0.337054	0.022033	0.0713271	0.0251591	0.11975	0.0254769	0.00505604	0.003467093	360.9074	0.375905	0.721834	1.08156	1.82071	0.132911	0.160015	0.197759	0.0791322	0.337735	0.0924477	0.005487908	0.6317695
19	0	-248.8923	-241.397	-7.495296	1.538641	0.1600997	-0.002239759	0.00239581	0.029278	0.065978	0.168113	0.067697	0.0295799	0.0390781	0.00295553	0.244585	0.115732	0.0527885	0.0266589	0.0161477	0.112754	0.0262599	0.04899462	54.70885	0.23123	0.594864	1.05261	2.12129	0.178021	0.139817	0.195786	0.0786985	0.337771	0.0699064	0.04675486	1.047904
