Iteration	Posterior	Likelihood	Prior	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-50.51559	-85.39412	34.87853	1.33043	0.0837812	0.0140805	0.0211226	0.00993281	0.0632134	0.00754418	0.00643736	0.00449773	0.03445698	0.08908876	0.0539162	0.0195193	0.026022	0.0810838	0.0371835	0.125353	0.229286	0.0844624	0.110152	0.0517375	0.0410777	0.0473244	0.00520054	0.0238346	0.0638475	0.00171709	13.10974	0.1979	0.557662	1.03869	2.20575	0.0607255	0.459245	0.0172739	0.121911	0.307533	0.0333124	0.09080585	0.01890946
100	-51.29581	-85.50774	34.21193	0.3772475	0.0168865	0.031426	0.00890183	0.0098186	0.0385816	0.0278575	0.0181232	0.00284324	0.02374059	0.005061282	0.142214	0.0424251	0.0297341	0.101432	0.00806329	0.044278	0.100879	0.0164053	0.0288506	0.135638	0.0789824	0.0649906	0.125876	0.0377989	0.0424329	0.03429638	34.61243	0.0135735	0.164566	0.705437	3.11642	0.0348922	0.489081	0.045995	0.0864929	0.285104	0.058434	0.03935766	0.8714029
200	-45.14624	-82.86705	37.72081	0.3740704	0.0132941	0.011479	0.000693307	0.000609309	0.0290821	0.0244874	0.00245473	0.0203911	0.02255209	0.0004507726	0.0642411	0.030075	0.0444921	0.0268467	0.0660994	0.236719	0.0343158	0.0100457	0.005137	0.171628	0.0152378	0.0452281	0.0334223	0.180234	0.0362776	0.01253544	28.14524	0.0131583	0.162137	0.701625	3.12308	0.0764759	0.581425	0.00260377	0.0632509	0.24756	0.028684	0.01298621	0.9652884
300	-44.78372	-79.86189	35.07817	2.054371	0.0183955	0.0230745	0.00182655	0.00614101	0.029546	0.0053791	0.0035283	0.000525859	0.007835848	0.02850585	0.0922142	0.00699799	0.113027	0.0224344	0.0121608	0.0112589	0.0630201	0.00257839	0.00667108	0.0456233	0.00241076	0.495654	0.000406067	0.109392	0.0161507	0.03649536	56.78762	0.29968	0.660674	1.07129	1.96835	0.0313142	0.319227	0.0124172	0.0490643	0.514766	0.0732108	0.06500121	0.5614566
400	-47.50117	-85.13951	37.63834	2.264615	0.00359814	0.00014821	0.0168034	0.00898449	0.0145172	0.00579461	0.000138824	0.00415373	0.009641627	0.01314521	0.0583748	0.0176647	0.10528	0.0168335	0.083616	0.0642906	0.0171441	0.00322021	0.0622956	0.284102	0.0110963	0.104728	0.00654257	0.135864	0.0289483	0.05581682	48.18524	0.32294	0.680494	1.07539	1.92117	0.0525283	0.304743	0.0323234	0.117209	0.447345	0.0458519	0.06896202	0.8093848
500	-44.59517	-79.51322	34.91805	1.020495	0.0372592	0.0694132	0.00373789	0.0160384	0.0972036	0.0141361	0.0237897	0.0737726	0.04578072	0.23706	0.0533844	0.0445195	0.000984676	0.0530602	0.00491599	0.00123187	0.154876	0.000321761	0.161812	0.025532	0.00229717	0.0593386	0.0132201	0.418017	0.00648842	0.003047494	3.016756	0.141025	0.482827	1.00331	2.37283	0.0465998	0.386564	0.0117759	0.0521808	0.465448	0.0374314	0.2401075	0.01269221
600	-52.41682	-81.76526	29.34843	1.224145	0.0184679	0.0549574	0.0287956	0.0145132	0.0557109	0.0539644	0.000470271	0.012841	0.03679153	0.1461149	0.0415295	0.00475342	0.023235	0.0258982	0.0205063	0.0688322	0.0322063	0.000153747	0.0605427	0.00694294	0.048014	0.0417204	0.0221469	0.29242	0.311098	0.05275674	17.60288	0.179401	0.535118	1.02908	2.2564	0.0165878	0.474078	0.0122491	0.116104	0.326033	0.054948	0.1988716	0.2652804
700	-57.10995	-84.71514	27.60519	0.8077049	0.0859013	0.174199	0.019684	0.00957905	0.0323545	0.210195	0.0127466	0.0393605	0.06374813	0.01996125	0.1468	0.0858062	0.139278	0.0447278	0.0674434	0.00990583	0.0248117	0.0211102	0.120737	0.0295006	0.128431	0.0497673	0.00154646	0.0893033	0.0408305	0.06127098	6.696975	0.0971972	0.410218	0.959067	2.53352	0.104607	0.507307	0.00706801	0.070328	0.250401	0.0602889	0.08123223	0.7542693
800	-65.76646	-83.6046	17.83813	1.87217	0.0897419	0.0188635	0.0453089	0.261756	0.532517	0.364346	0.301295	0.0818497	0.1774232	0.1265639	0.144229	0.0816132	0.0285831	0.123476	0.0105748	0.0515519	0.0134312	0.00655987	0.205281	0.106574	0.0118727	0.0337461	0.0383811	0.129398	0.0147272	0.02448816	6.994583	0.277523	0.640694	1.06644	2.01535	0.0298064	0.530931	0.0289434	0.089042	0.272527	0.0487508	0.151052	0.1621174
900	-48.07177	-81.48031	33.40854	0.2266134	0.0067077	0.028546	0.013156	0.0398062	0.0509666	0.01087	0.00373911	0.0404896	0.01884896	-2.213673e-05	0.0688578	0.141746	0.0690114	0.0447541	0.160004	0.0744277	0.0651415	0.000145144	0.0649869	0.000794001	0.0851565	0.00859471	0.0206131	0.174855	0.0209124	0.01023954	27.10602	0.00119482	0.0504006	0.449507	3.4989	0.100414	0.371556	0.00138251	0.0856084	0.385743	0.0552964	0.0102174	1.002167
