Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
1000	-103.0137	-123.1627	20.14907	9.87416	3.402129	0.00605059	0.000336364	0.0195976	0.0224118	0.0257828	0.00823009	0.0093015	0.0473664	0.00424933	0.00575051	0.00917501	0.0493113	0.0904902	0.0228147	0.0183233	0.00414048	0.0111638	0.00472718	0.0407542	0.0739207	0.0173753	0.000616753	0.02240178	-0.1519476	0.0803865	0.00378796	0.161933	0.0380757	0.0014768	0.1735	0.0621248	0.160604	0.0720261	0.0959467	0.0589663	0.00544476	0.0831339	0.0022779	0.000315048	0.3468038	3	11.3509	0.2104205	0.418162	0.751614	1.08389	1.74633	0.0701221	0.241434	0.0580383	0.504554	0.0587573	0.0670941	0.1948562	1.779794
1100	-103.3251	-124.6888	21.36375	5.684405	2.482729	0.0551101	0.0548088	0.0422357	0.00398227	0.00856875	0.00850989	0.00287111	0.013481	0.0497769	0.0012109	0.0541197	0.0213869	0.0998238	0.0436795	0.0957882	0.0218857	0.00183984	0.0338573	0.0525223	0.0221096	0.0302157	0.00315741	0.0283757	-0.04178957	0.0526051	0.020503	0.122521	0.0620198	0.0864415	0.211049	0.0951772	0.0491932	0.00432773	0.108961	0.0592947	0.00229862	0.0731308	0.00706186	0.045415	0.4740297	4	6.140221	0.3567444	0.344813	0.698162	1.07843	1.8786	0.0771353	0.230007	0.0950511	0.509518	0.0243351	0.0639528	0.4322401	1.096681
1200	-110.883	-125.6118	14.72885	4.525386	1.238858	0.0294034	0.0041053	0.0229599	0.0172433	0.00908571	0.00315379	0.0119579	0.0193174	0.0326721	0.0666283	0.110766	0.0557346	0.152305	0.0275891	0.0108156	0.0110452	0.0366097	0.00904473	0.12399	0.104012	0.07322	0.115827	0.04539693	0.08273332	0.0287302	0.0447961	0.0549095	0.0827419	0.0123652	0.0249709	0.14726	0.0366269	0.149807	0.260689	0.0222032	0.0478266	0.0181102	0.0227648	0.0461985	0.4764174	2	7.538624	0.1859937	0.182024	0.538408	1.03054	2.24903	0.197431	0.149545	0.0536372	0.502871	0.0690404	0.0274752	0.5591507	0.8520375
1300	-109.1839	-121.3617	12.17774	6.734335	1.691663	0.00883355	0.000762156	0.023026	0.0294448	0.0472743	2.47703e-05	0.0599632	0.00332831	0.0040101	0.00359784	0.0652229	0.118866	0.228959	0.00725765	0.0958638	0.050759	0.00736975	0.0489768	0.0479577	0.0328301	0.0225716	0.050192	0.04709746	0.0875876	0.0232562	0.00423907	0.171378	0.0617326	0.00320901	0.13684	0.0872948	0.00338731	0.0350162	0.109101	0.0119008	0.283073	0.0430067	0.0125788	0.0139865	0.4788903	2	10.68122	0.09585778	0.253471	0.617633	1.05994	2.06895	0.10674	0.260021	0.0485899	0.396473	0.098478	0.0896977	0.5664779	0.8453821
1400	-113.0448	-120.2647	7.21983	6.988249	1.378035	0.0727365	0.0163352	0.0132648	0.00927721	0.0121478	0.00866644	0.0632904	0.00140188	0.00495485	0.027704	0.0115976	0.0165413	0.0709546	0.00109511	0.0105082	0.0951481	0.0121759	0.410987	0.0959963	0.04048	0.01362	0.104341	0.04566493	-0.06118466	0.0140032	0.0499344	0.131577	0.065111	0.0225278	0.109391	0.0280618	0.0535101	0.0104713	0.334664	0.0740652	0.0471261	0.0109053	0.0344153	0.0142367	0.3979452	3	7.01681	0.3786169	0.205852	0.566911	1.04238	2.18486	0.111078	0.177754	0.0541204	0.427833	0.0774453	0.151769	0.3367605	1.181686
1500	-98.07988	-123.7596	25.67971	7.76023	2.279867	0.0193721	0.0038518	0.0125186	0.000965237	0.0112694	0.00836664	0.00188649	0.0286169	0.00436103	0.0220142	0.000771477	0.037882	0.0414947	0.0664121	0.0199864	0.00130014	0.0060689	0.0260827	0.0347366	0.00248142	0.038137	0.00318239	0.02781405	0.03714084	0.0596045	0.0701815	0.191065	0.106654	0.019221	0.138152	0.172887	0.0416522	0.00754783	0.17087	0.00306284	0.00263946	0.00994438	0.00568407	0.000835062	0.4756061	1	12.96095	0.1934071	0.32454	0.681817	1.07564	1.918	0.049003	0.175341	0.170044	0.448021	0.0854207	0.0721711	0.512747	0.927565
1600	-125.5195	-127.1825	1.662985	5.432513	1.132786	0.0265971	0.0538909	0.0483301	0.0106326	0.0492484	0.0667012	0.101865	0.232695	0.00364218	0.179419	0.119372	0.145176	0.0731101	0.0187245	0.176129	0.00576738	0.225727	0.0233005	0.0645082	0.0307781	0.0159809	0.149303	0.0778894	0.136668	0.138848	0.0110357	0.169154	0.0175348	0.0307132	0.0722888	0.138233	0.0368352	0.0353188	0.0880169	0.0199222	0.0490635	0.0133593	0.0789378	0.100738	0.505223	2	6.476903	0.1680757	0.162661	0.513323	1.01894	2.30508	0.0704074	0.206012	0.0900879	0.483479	0.08863	0.0613842	0.641891	0.7870854
1700	-100.1115	-119.1087	18.99721	5.849322	1.887352	0.0197557	0.0251742	0.0101733	0.00348696	0.0839492	0.0150257	0.00539811	0.0184389	0.0452442	0.0677064	0.014453	0.110608	0.0581486	0.0456219	0.021174	0.0189533	0.0291329	0.00331946	0.148689	0.0188409	0.0408712	0.000839662	0.0386566	-0.03068796	0.0145254	0.0641904	0.229039	0.0728756	0.0888218	0.0399401	0.0603807	0.0141623	0.0064659	0.158394	0.0122657	0.165902	0.00267147	0.0150999	0.055265	0.3682716	4	6.815534	0.377076	0.279447	0.642474	1.0669	2.01118	0.0556032	0.233049	0.0336048	0.431568	0.126763	0.119412	0.3375836	1.090905
1800	-126.3557	-124.2279	-2.127768	7.247782	0.5649909	0.0347017	0.0401837	0.0789687	0.00597326	0.0299445	0.0773979	0.0311006	0.00467618	0.028121	0.0739816	0.227358	0.0503757	0.0471166	0.0516084	0.189233	0.0656928	0.122827	0.0961678	0.0141859	0.090253	0.238013	0.0167416	0.09339535	-0.06245236	0.0344787	0.0213946	0.197749	0.123253	0.0495827	0.0309906	0.0272208	0.107202	0.0164194	0.102308	0.16385	0.0893467	0.00381846	0.0177843	0.0146014	0.7097907	4	13.25857	0.1273219	0.0459774	0.292243	0.86235	2.79943	0.11653	0.190351	0.095935	0.523932	0.0163332	0.0569183	0.6473384	1.096476
1900	-119.263	-127.7465	8.483432	5.506423	5.468772	0.0171885	0.054063	0.0248476	0.00725896	0.0684268	0.0142676	0.0091906	0.0167117	0.0676797	0.0533443	0.0210418	0.18238	0.029855	0.00444875	0.0295594	0.0183043	0.0534817	0.0193867	0.132986	0.0283222	0.0556054	0.211165	0.0607707	0.3967042	0.213033	0.0856367	0.0401375	0.018592	0.0206352	0.0472694	0.0796707	0.0631111	0.0165593	0.072135	0.0163725	0.186352	0.00890203	0.0683854	0.0632086	0.3726254	3	6.424787	0.232179	0.520454	0.81439	1.0824	1.58275	0.118376	0.156394	0.0795149	0.534374	0.0790606	0.0322797	0.7693295	0.4843508
2000	-115.4596	-122.1528	6.693206	4.246513	2.940412	0.121415	0.032412	0.013106	0.023686	0.0306705	0.0511287	0.0856835	0.125393	0.00566493	0.027304	0.00664565	0.0745571	0.193951	0.210077	0.104428	0.0102695	0.000327662	0.0444193	0.0112825	0.0173487	0.0195414	0.0415413	0.04216115	0.3811281	0.0625158	0.0198254	0.171346	0.000138729	0.065969	0.0523355	0.100013	4.53769e-05	0.0231155	0.235628	0.0331332	0.154683	0.0394034	0.00248859	0.0393597	0.4660712	4	8.407271	0.2267232	0.384599	0.728174	1.08221	1.80502	0.0981411	0.207156	0.0635559	0.393746	0.114963	0.122439	0.8471993	0.5501317
