Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Segregating-Sites,Theta,Tajima-D,Tajima-Pi
1,3,1,2,19,22,24,22,1,1,1,2,24,0.3178937,3.156239,0.5436364
0,5,0,3,19,21,25,20,3,3,0,2,25,0.3311393,2.027308,0.4818182
0,5,0,3,19,23,25,20,1,3,0,2,25,0.3311393,2.736726,0.5345455
0,3,0,2,19,23,25,22,5,5,0,2,25,0.3311393,2.214855,0.4957576
0,4,0,3,18,21,25,21,2,2,0,2,25,0.3311393,2.10885,0.4878788
1,6,1,3,17,23,15,12,1,1,1,3,24,0.3178937,2.918976,0.5266667
0,3,0,2,19,24,25,22,5,10,0,2,25,0.3311393,2.924274,0.5484848
0,5,0,3,18,22,25,20,0,2,0,2,25,0.3311393,2.58995,0.5236364
1,5,1,3,19,23,24,20,0,0,1,2,24,0.3178937,2.21566,0.4763636
2,4,1,2,16,17,20,20,2,2,2,3,23,0.3046481,2.119534,0.450303
1,6,1,3,16,19,19,10,1,3,1,4,24,0.3178937,1.241186,0.4066667
0,3,0,1,16,23,25,17,1,1,0,3,25,0.3311393,1.497282,0.4424242
0,5,0,3,20,23,25,20,1,4,0,2,25,0.3311393,2.907965,0.5472727
2,3,1,1,19,21,21,21,5,8,2,3,23,0.3046481,3.865744,0.570303
1,5,1,3,20,23,23,20,0,2,1,2,24,0.3178937,3.596871,0.5751515
0,3,0,2,19,23,25,22,1,1,0,2,25,0.3311393,2.712264,0.5327273
0,2,0,1,18,22,25,23,2,2,0,2,25,0.3311393,2.231164,0.4969697
3,3,2,2,18,19,22,22,2,2,2,2,22,0.2914026,3.182919,0.5012121
0,5,0,3,18,22,25,20,1,1,0,2,25,0.3311393,2.002845,0.48
1,5,1,3,19,21,24,20,1,1,1,2,24,0.3178937,2.876608,0.5236364
0,4,0,2,19,23,25,21,1,1,0,2,25,0.3311393,2.263781,0.4993939
0,4,0,3,17,22,25,21,2,2,0,2,25,0.3311393,2.231164,0.4969697
0,5,0,3,17,24,25,20,2,4,0,2,25,0.3311393,1.823452,0.4666667
0,4,0,2,18,22,25,21,4,4,0,2,25,0.3311393,2.581796,0.5230303
0,5,0,3,20,23,25,20,1,3,0,2,25,0.3311393,2.883503,0.5454545
0,4,0,2,19,23,25,21,3,8,0,2,25,0.3311393,3.49507,0.5909091
0,4,0,2,18,21,25,21,4,6,0,2,25,0.3311393,2.492099,0.5163636
0,3,0,2,18,23,25,22,2,7,0,2,25,0.3311393,2.231164,0.4969697
0,5,0,3,19,21,25,20,1,3,0,2,25,0.3311393,2.076233,0.4854545
0,5,0,3,19,22,25,20,4,4,0,2,25,0.3311393,3.348294,0.58
2,6,2,3,17,20,23,16,2,2,1,3,23,0.3046481,1.899053,0.4351515
1,3,1,2,17,23,24,22,4,6,1,2,24,0.3178937,2.986766,0.5315152
0,4,0,2,19,23,25,20,2,2,0,3,25,0.3311393,3.062896,0.5587879
0,4,0,2,19,22,25,21,2,2,0,2,25,0.3311393,2.932428,0.5490909
1,4,1,3,17,22,24,21,2,2,1,2,24,0.3178937,1.969923,0.4587879
0,4,0,2,20,24,25,20,0,0,0,3,25,0.3311393,3.01397,0.5551515
0,3,0,2,19,22,25,22,3,8,0,2,25,0.3311393,2.761189,0.5363636
2,6,1,3,17,20,16,13,0,1,2,3,23,0.3046481,2.022522,0.4436364
0,5,0,3,17,22,25,20,1,1,0,2,25,0.3311393,2.035462,0.4824242
0,3,0,2,19,22,25,22,2,2,0,2,25,0.3311393,2.606259,0.5248485
1,3,1,2,20,23,24,22,2,2,1,2,24,0.3178937,3.401976,0.5612121
1,3,1,2,19,21,24,22,1,5,1,2,24,0.3178937,2.76645,0.5157576
0,2,0,1,18,21,25,23,4,4,0,2,25,0.3311393,2.214855,0.4957576
0,5,0,3,20,23,25,20,0,2,0,2,25,0.3311393,2.369786,0.5072727
0,5,0,3,19,22,25,20,1,2,0,2,25,0.3311393,2.785652,0.5381818
0,4,0,2,20,22,25,20,1,1,0,3,25,0.3311393,2.810114,0.54
2,5,1,3,17,19,13,13,2,6,2,3,23,0.3046481,1.996064,0.4418182
0,4,0,2,20,23,25,20,2,2,0,3,25,0.3311393,2.981353,0.5527273
0,4,0,2,18,22,25,21,1,3,0,2,25,0.3311393,2.035462,0.4824242
0,4,0,2,19,21,25,21,0,5,0,2,25,0.3311393,2.337169,0.5048485
0,4,0,2,18,23,25,20,5,5,0,3,25,0.3311393,2.965045,0.5515152
1,4,1,2,19,22,24,21,0,0,1,2,24,0.3178937,2.478345,0.4951515
2,3,1,2,18,22,23,22,5,7,2,2,23,0.3046481,3.027916,0.5127273
1,5,1,3,19,21,23,20,0,1,1,2,24,0.3178937,1.707239,0.44
0,5,0,3,19,24,25,20,3,3,0,2,25,0.3311393,2.663338,0.5290909
0,4,0,2,18,22,25,20,3,5,0,3,25,0.3311393,1.986537,0.4787879
0,4,0,3,19,22,25,21,0,0,0,2,25,0.3311393,1.994691,0.4793939
0,5,0,3,18,20,25,20,1,4,0,2,25,0.3311393,1.644059,0.4533333
0,5,0,3,20,22,25,20,2,2,0,2,25,0.3311393,2.426865,0.5115152
0,2,0,1,19,21,25,23,2,2,0,2,25,0.3311393,2.141467,0.490303
1,3,1,2,18,22,24,22,5,5,1,2,24,0.3178937,2.995239,0.5321212
0,4,0,2,18,23,25,20,1,5,0,3,25,0.3311393,2.679647,0.530303
0,5,0,3,19,22,25,20,3,3,0,2,25,0.3311393,2.076233,0.4854545
0,5,0,3,19,21,25,20,0,2,0,2,25,0.3311393,2.64703,0.5278788
3,7,1,3,18,21,15,12,7,8,3,4,22,0.2914026,3.458746,0.5193939
0,5,0,3,18,22,25,20,7,7,0,2,25,0.3311393,2.565487,0.5218182
