"lek","song.type","year"
"STR","STR-A1",2014
"STR","STR-A3",2014
"STR","STR-A2",2014
"SUR","SUR-A2",1969
"SUR","SUR-A2",1970
"SUR","SUR-B1",1969
"SUR","SUR-B1",1970
"SUR","SUR-B1",1971
"SUR","SUR-B1",1972
"SUR","SUR-D1",1969
"SUR","SUR-D1",1970
"SUR","SUR-D1",1971
"SUR","SUR-D1",1972
"SUR","SUR-A3",1969
"SUR","SUR-A3",1970
"SUR","SUR-A1",1969
"SUR","SUR-A1",1970
"SUR","SUR-A1",1971
"SUR","SUR-A1",1972
"SUR","SUR-D2",1970
"SUR","SUR-D2",1971
"SUR","SUR-D2",1972
"SUR","SUR-A5",1970
"SUR","SUR-A4",1970
"SUR","SUR-E2",1981
"SUR","SUR-E1",1981
"SUR","SUR-E1",1982
"SUR","SUR-E1",1983
"SUR","SUR-E1",1984
"SUR","SUR-E1",1985
"SUR","SUR-E1",1986
"SUR","SUR-E1",1987
"SUR","SUR-E1",1988
"SUR","SUR-E1",1989
"SUR","SUR-B3",1981
"SUR","SUR-E3",1981
"SUR","SUR-E5",1989
"SUR","SUR-E4",1989
"SUR","SUR-F1",2008
"SUR","SUR-F1",2009
"SUR","SUR-F1",2010
"SUR","SUR-F1",2011
"SUR","SUR-F1",2012
"SUR","SUR-F2",2008
"SUR","SUR-F2",2009
"SUR","SUR-F2",2010
"SUR","SUR-F2",2011
"SUR","SUR-G1",2008
"SUR","SUR-G1",2009
"SUR","SUR-H1",2008
"SUR","SUR-H1",2009
"SUR","SUR-H1",2010
"SUR","SUR-H1",2011
"SUR","SUR-H1",2012
"SUR","SUR-I1",2008
"SUR","SUR-F3",2009
"SUR","SUR-J1",2010
"SUR","SUR-J1",2011
"SUR","SUR-J1",2012
"SUR","SUR-J1",2013
"SUR","SUR-J1",2014
"SUR","SUR-J1",2015
"SUR","SUR-H2",2010
"SUR","SUR-H2",2011
"SUR","SUR-H2",2012
"SUR","SUR-F5",2011
"SUR","SUR-H3",2011
"SUR","SUR-F4",2011
"SUR","SUR-F4",2012
"SUR","SUR-J3",2012
"SUR","SUR-J3",2013
"SUR","SUR-J3",2014
"SUR","SUR-J3",2015
"SUR","SUR-J3",2016
"SUR","SUR-J3",2017
"SUR","SUR-J3",2018
"SUR","SUR-J3",2019
"SUR","SUR-L1",2012
"SUR","SUR-J2",2012
"SUR","SUR-K1",2012
"SUR","SUR-K1",2013
"SUR","SUR-K1",2014
"SUR","SUR-K1",2015
"SUR","SUR-K1",2016
"SUR","SUR-K1",2017
"SUR","SUR-K2",2012
"SUR","SUR-K2",2013
"SUR","SUR-K2",2014
"SUR","SUR-K2",2015
"SUR","SUR-K2",2016
"SUR","SUR-K2",2017
"SUR","SUR-K3",2014
"SUR","SUR-J4",2014
"SUR","SUR-K4",2015
"SUR","SUR-K4",2016
"SUR","SUR-J5",2017
"SUR","SUR-J5",2018
"SUR","SUR-J5",2019
"SUR","SUR-J6",2017
"TR1","TR1-A1",2007
"TR1","TR1-C1",2009
"TR1","TR1-D1",2009
"TR1","TR1-D1",2010
"TR1","TR1-D1",2011
"TR1","TR1-D1",2012
"TR1","TR1-D1",2013
"TR1","TR1-D1",2014
"TR1","TR1-E1",2011
"TR1","TR1-D2",2011
"TR1","TR1-D2",2012
"TR1","TR1-D2",2013
"TR1","TR1-D2",2014
"TR1","TR1-E3",2011
"TR1","TR1-E3",2012
"TR1","TR1-E3",2013
"TR1","TR1-E3",2014
"TR1","TR1-E2",2011
"TR1","TR1-F1",2011
"TR1","TR1-F1",2012
"TR1","TR1-F1",2013
"TR1","TR1-F1",2014
"TR1","TR1-D4",2012
"TR1","TR1-D4",2013
"TR1","TR1-D4",2014
"TR1","TR1-D3",2012
"TR1","TR1-D3",2013
"TR1","TR1-D3",2014
"TR1","TR1-E4",2012
"TR1","TR1-E4",2013
"TR1","TR1-D5",2013
"TR1","TR1-D5",2014
"TR1","TR1-F2",2014
"TR2","TR2-A1",2013
"TR2","TR2-A1",2014
"TR2","TR2-C2",2013
"TR2","TR2-C2",2014
"TR2","TR2-C3",2013
"TR2","TR2-C3",2014
"TR2","TR2-C1",2013
"TR2","TR2-C4",2014
"TR2","TR2-D1",2014
"TR2","TR2-A2",2014
"TR2","TR2-A3",2014
"CCE","CCE-I4",2018
"CCE","CCE-I5",2018
"SJA","SJA-F4",2018
"SJA","SJA-F5",2018
"SUR","SUR-K5",2018
"SUR","SUR-K5",2019
"CCL","CCL-N2",2019
"LOC","LOC-G2",2019
"LOC","LOC-F2",2019
"SUR","SUR-K6",2019
"SUR","SUR-J7",2019
