Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Segregating-Sites,Theta,Tajima-D,Tajima-Pi
2,15,1,5,17,38,23,8,0,4,2,7,46,0.270125,-2.143029,0.1257675
1,8,1,4,17,39,25,21,0,1,1,4,47,0.2759973,-2.146518,0.1283991
0,7,0,3,18,37,48,14,0,5,0,5,48,0.2818696,-2.182687,0.1287281
2,7,1,3,17,38,23,22,0,3,2,5,46,0.270125,-1.858169,0.1449561
3,15,2,3,16,36,27,13,0,2,2,9,45,0.2642528,-2.146044,0.1226974
0,9,0,3,16,40,48,17,0,3,0,7,48,0.2818696,-2.168622,0.1297149
1,13,1,3,15,37,37,11,0,0,1,10,47,0.2759973,-2.471821,0.1060307
2,9,1,3,15,38,26,18,0,2,2,5,46,0.270125,-2.165818,0.1242325
0,5,0,3,19,35,48,22,0,3,0,3,48,0.2818696,-2.057663,0.1375
3,9,1,5,17,38,20,19,0,1,3,5,45,0.2642528,-2.337212,0.1100877
5,20,2,7,14,36,16,5,0,0,4,9,43,0.2525082,-2.438929,0.09846491
0,14,0,4,15,40,48,11,0,4,0,9,48,0.2818696,-2.543694,0.1033991
2,10,1,3,16,37,42,17,0,0,2,8,46,0.270125,-2.042107,0.1325658
3,13,2,3,16,39,23,18,0,0,2,8,45,0.2642528,-2.395394,0.10625
2,19,1,4,12,37,36,7,0,1,2,12,46,0.270125,-2.810416,0.0808114
0,7,0,3,18,36,48,21,0,7,0,4,48,0.2818696,-1.942016,0.145614
3,10,1,3,16,37,20,12,0,2,3,8,45,0.2642528,-2.147706,0.1225877
1,12,1,3,16,35,39,16,0,3,1,8,47,0.2759973,-2.164059,0.127193
0,10,0,3,15,40,48,14,0,3,0,7,48,0.2818696,-2.246762,0.1242325
2,13,1,4,18,38,24,10,0,3,2,9,46,0.270125,-2.455562,0.1047149
1,12,1,5,16,36,47,13,0,1,1,5,47,0.2759973,-2.270898,0.1198465
2,15,2,3,13,39,24,6,0,2,1,9,46,0.270125,-2.468584,0.1038377
0,8,0,3,18,40,48,10,0,3,0,6,48,0.2818696,-2.154557,0.1307018
0,11,0,3,19,39,48,22,0,0,0,5,48,0.2818696,-1.985774,0.1425439
0,5,0,3,17,38,48,22,0,6,0,3,48,0.2818696,-2.260827,0.1232456
3,16,1,3,13,38,22,8,0,4,3,12,45,0.2642528,-2.455237,0.1023026
0,6,0,3,19,36,48,22,0,3,0,4,48,0.2818696,-2.134241,0.1321272
1,11,1,5,15,36,34,12,0,3,1,7,47,0.2759973,-2.318737,0.116557
1,7,1,3,17,39,24,21,0,3,1,4,47,0.2759973,-1.937622,0.1427632
0,8,0,3,18,39,48,22,0,1,0,5,48,0.2818696,-2.087357,0.1354167
0,9,0,3,17,37,48,19,0,3,0,7,48,0.2818696,-2.187376,0.1283991
1,8,1,4,17,34,28,21,0,3,1,5,47,0.2759973,-2.135355,0.1291667
1,4,1,3,19,37,25,22,0,2,1,2,47,0.2759973,-1.867458,0.1475877
0,8,0,4,18,40,48,21,0,1,0,5,48,0.2818696,-2.354596,0.1166667
0,11,0,6,17,40,48,21,0,5,0,5,48,0.2818696,-2.182687,0.1287281
3,9,1,3,15,38,22,15,0,6,3,6,45,0.2642528,-2.453575,0.1024123
1,10,1,3,16,39,25,22,0,3,1,6,47,0.2759973,-2.159275,0.1275219
1,5,1,3,19,36,24,22,0,6,1,3,47,0.2759973,-1.81643,0.1510965
1,11,1,5,18,37,47,16,0,2,1,6,47,0.2759973,-2.106652,0.1311404
2,6,1,3,19,38,23,15,0,2,2,4,46,0.270125,-2.086057,0.1296053
0,7,0,3,18,37,48,14,0,2,0,5,48,0.2818696,-2.251451,0.1239035
1,12,1,5,16,38,31,12,0,2,1,8,47,0.2759973,-2.246979,0.1214912
2,12,1,3,17,37,27,13,0,5,2,7,46,0.270125,-2.35464,0.1115132
3,17,1,3,15,37,23,9,0,3,3,10,45,0.2642528,-2.151031,0.1223684
0,8,0,3,19,39,48,22,0,4,0,6,48,0.2818696,-1.931076,0.1463816
2,12,2,3,14,38,46,11,0,0,1,6,46,0.270125,-2.53695,0.09923246
0,9,0,3,19,38,48,11,0,1,0,6,48,0.2818696,-2.104547,0.1342105
2,9,1,3,18,37,23,21,0,2,2,6,46,0.270125,-2.099079,0.1287281
0,10,0,5,17,39,48,10,0,2,0,6,48,0.2818696,-1.935765,0.1460526
2,10,1,3,17,39,24,13,0,4,2,8,46,0.270125,-2.154424,0.125
1,11,1,3,16,38,33,11,0,4,1,8,47,0.2759973,-2.191167,0.1253289
1,10,1,3,17,40,24,10,0,3,1,8,47,0.2759973,-2.258141,0.1207237
3,10,2,3,18,39,23,14,0,1,2,7,45,0.2642528,-1.848487,0.1423246
1,9,1,3,16,38,24,13,0,5,1,7,47,0.2759973,-2.333089,0.1155702
1,10,1,6,15,37,34,14,0,0,1,5,47,0.2759973,-2.226249,0.1229167
0,6,0,3,15,38,48,16,0,2,0,4,48,0.2818696,-2.413982,0.1125
0,7,0,4,17,37,48,19,0,4,0,4,48,0.2818696,-2.10611,0.1341009
1,13,1,4,18,39,40,15,0,0,1,9,47,0.2759973,-2.167248,0.1269737
2,11,1,5,17,39,24,13,0,3,2,6,46,0.270125,-2.315573,0.1141447
0,10,0,3,18,37,48,15,0,7,0,7,48,0.2818696,-2.124864,0.1327851
0,7,0,3,16,37,48,21,0,2,0,4,48,0.2818696,-2.168622,0.1297149
3,8,1,3,17,36,24,16,0,2,3,6,45,0.2642528,-2.044642,0.129386
3,13,1,3,17,35,20,13,0,3,3,7,45,0.2642528,-1.951551,0.1355263
0,5,0,3,18,39,48,22,0,5,0,3,48,0.2818696,-1.995151,0.141886
1,10,1,3,18,39,47,22,0,3,1,7,47,0.2759973,-2.213492,0.1237939
3,11,1,3,17,36,24,10,0,1,3,7,45,0.2642528,-1.900019,0.1389254
1,14,1,3,16,39,25,8,0,5,1,9,47,0.2759973,-2.278872,0.1192982
0,11,0,3,16,39,48,11,0,2,0,7,48,0.2818696,-2.360847,0.1162281
1,7,1,3,17,39,47,22,0,0,1,5,47,0.2759973,-2.489362,0.1048246
0,6,0,3,17,39,48,22,0,2,0,4,48,0.2818696,-2.032658,0.1392544
0,13,0,3,14,39,48,9,0,5,0,10,48,0.2818696,-2.396791,0.1137061
1,9,1,3,17,39,40,22,0,1,1,6,47,0.2759973,-2.062003,0.1342105
3,13,1,3,16,38,24,8,0,2,3,9,45,0.2642528,-2.312277,0.1117325
2,10,1,3,18,37,33,22,0,3,2,6,46,0.270125,-2.017691,0.1342105
2,9,1,3,18,37,27,22,0,4,2,6,46,0.270125,-1.819102,0.1475877
1,15,1,3,15,37,27,7,0,0,1,11,47,0.2759973,-2.3299,0.1157895
2,6,1,3,19,35,24,21,0,6,2,3,46,0.270125,-1.695392,0.1559211
1,8,1,3,16,37,25,12,0,2,1,6,47,0.2759973,-2.187978,0.1255482
0,10,0,3,16,37,48,17,0,2,0,7,48,0.2818696,-2.338967,0.1177632
2,16,1,4,13,38,34,7,0,0,2,12,46,0.270125,-2.571134,0.09692982
0,5,0,3,18,36,48,22,0,3,0,3,48,0.2818696,-1.852936,0.151864
1,9,1,3,18,36,44,11,0,0,1,6,47,0.2759973,-1.996623,0.1387061
2,16,1,5,13,36,20,8,0,0,2,9,46,0.270125,-2.717633,0.0870614
1,10,1,3,16,36,47,13,0,1,1,8,47,0.2759973,-2.361792,0.1135965
0,8,0,3,15,39,48,17,0,2,0,6,48,0.2818696,-2.256139,0.1235746
2,8,1,5,17,38,23,18,0,4,2,4,46,0.270125,-1.954208,0.1384868
1,9,1,6,17,37,47,21,0,1,1,4,47,0.2759973,-2.007785,0.1379386
0,10,0,3,16,37,48,12,0,0,0,8,48,0.2818696,-2.335842,0.1179825
0,5,0,3,19,37,48,22,0,8,0,3,48,0.2818696,-2.056101,0.1376096
4,16,1,6,17,35,15,10,0,2,4,9,44,0.2583805,-2.412442,0.1026316
0,6,0,3,16,37,48,20,0,2,0,4,48,0.2818696,-2.290521,0.1211623
1,9,1,3,17,39,42,19,0,2,1,6,47,0.2759973,-2.254952,0.120943
0,10,0,3,18,38,48,13,0,3,0,6,48,0.2818696,-2.185813,0.1285088
2,10,1,3,17,38,25,11,0,3,2,8,46,0.270125,-2.276507,0.1167763
1,12,1,3,17,39,25,18,0,2,1,8,47,0.2759973,-2.313953,0.116886
1,13,1,3,16,40,25,8,0,4,1,10,47,0.2759973,-2.294818,0.1182018
0,8,0,3,20,39,48,21,0,0,0,5,48,0.2818696,-2.040473,0.1387061
3,11,1,3,19,38,22,21,0,1,3,8,45,0.2642528,-1.953214,0.1354167
1,24,1,3,12,38,38,5,0,1,1,13,47,0.2759973,-3.020372,0.0683114
2,7,1,3,16,38,24,20,0,5,2,5,46,0.270125,-2.082802,0.1298246
1,5,1,3,18,35,47,22,0,4,1,3,47,0.2759973,-1.998218,0.1385965
0,14,0,3,16,39,48,22,0,2,0,10,48,0.2818696,-2.371786,0.1154605
0,11,0,3,16,40,48,12,0,1,0,9,48,0.2818696,-2.357721,0.1164474
0,7,0,3,17,38,48,19,0,5,0,4,48,0.2818696,-2.177999,0.129057
3,11,1,4,17,35,23,13,0,6,3,8,45,0.2642528,-2.089525,0.1264254
2,13,1,3,19,38,24,22,0,3,2,8,46,0.270125,-2.016063,0.1343202
2,12,2,3,17,39,24,10,0,3,1,9,46,0.270125,-2.115357,0.1276316
1,6,1,3,16,39,24,22,0,5,1,3,47,0.2759973,-2.0923,0.1321272
1,6,1,3,17,37,37,22,0,7,1,4,47,0.2759973,-2.007785,0.1379386
0,7,0,3,17,38,48,11,0,6,0,5,48,0.2818696,-2.129552,0.1324561
2,12,2,3,16,35,34,16,0,4,1,6,46,0.270125,-2.240696,0.1191886
2,6,1,4,18,39,24,21,0,3,2,3,46,0.270125,-1.793058,0.1493421
3,12,2,5,15,39,26,11,0,4,2,7,45,0.2642528,-2.126096,0.1240132
0,6,0,3,18,38,48,22,0,1,0,4,48,0.2818696,-2.15612,0.1305921
1,4,1,3,18,37,24,22,0,1,1,2,47,0.2759973,-1.975893,0.1401316
0,12,0,4,17,40,48,21,0,5,0,7,48,0.2818696,-2.288958,0.1212719
0,17,0,3,15,38,48,10,0,1,0,12,48,0.2818696,-2.473368,0.1083333
0,12,0,3,17,38,48,10,0,1,0,7,48,0.2818696,-2.187376,0.1283991
0,10,0,4,17,38,48,14,0,2,0,7,48,0.2818696,-2.36241,0.1161184
1,10,1,6,17,40,27,12,0,1,1,5,47,0.2759973,-2.227844,0.122807
1,6,1,3,19,37,24,14,0,3,1,4,47,0.2759973,-1.956757,0.1414474
2,15,1,3,17,37,18,11,0,4,2,11,46,0.270125,-2.108846,0.1280702
2,11,1,5,14,39,32,10,0,2,2,6,46,0.270125,-2.509278,0.1010965
0,8,0,3,17,38,48,19,0,3,0,5,48,0.2818696,-2.109236,0.1338816
0,8,0,5,17,37,48,22,0,2,0,4,48,0.2818696,-2.460866,0.1092105
2,11,1,3,19,35,24,12,0,1,2,9,46,0.270125,-2.367662,0.110636
0,5,0,3,19,39,48,22,0,3,0,3,48,0.2818696,-1.84356,0.1525219
3,9,1,5,17,36,23,13,0,0,3,5,45,0.2642528,-1.994772,0.1326754
0,9,0,3,18,39,48,15,0,4,0,5,48,0.2818696,-2.18425,0.1286184
0,10,0,4,18,39,48,19,0,0,0,5,48,0.2818696,-2.054538,0.1377193
2,9,1,3,18,36,24,19,0,5,2,7,46,0.270125,-1.972113,0.1372807
0,6,0,3,18,40,48,21,0,6,0,3,48,0.2818696,-1.984212,0.1426535
1,13,1,4,18,38,47,22,0,2,1,5,47,0.2759973,-2.317143,0.1166667
0,7,0,3,17,40,48,17,0,7,0,5,48,0.2818696,-2.171748,0.1294956
1,12,1,5,15,35,44,13,0,4,1,6,47,0.2759973,-2.490957,0.1047149
5,16,1,3,14,35,18,7,0,3,5,12,43,0.2525082,-2.308726,0.1066886
1,6,1,3,17,38,24,21,0,5,1,3,47,0.2759973,-2.003001,0.1382675
5,15,1,7,18,36,21,13,0,0,5,9,43,0.2525082,-1.895546,0.1327851
0,8,0,4,18,38,48,21,0,2,0,4,48,0.2818696,-2.148306,0.1311404
0,7,0,3,19,38,48,16,0,5,0,5,48,0.2818696,-1.96077,0.1442982
1,7,1,3,17,37,25,22,0,4,1,5,47,0.2759973,-2.058813,0.1344298
2,7,1,3,20,39,25,21,0,2,2,4,46,0.270125,-1.946069,0.1390351
0,9,0,3,16,37,48,10,0,0,0,6,48,0.2818696,-2.242074,0.1245614
2,10,1,3,19,39,24,22,0,0,2,7,46,0.270125,-1.955835,0.1383772
2,8,1,4,16,39,23,21,0,2,2,4,46,0.270125,-2.313945,0.1142544
1,14,1,3,14,38,44,9,0,0,1,10,47,0.2759973,-2.58185,0.09846491
0,11,0,4,16,40,48,8,0,3,0,8,48,0.2818696,-2.368661,0.1156798
0,10,0,3,17,37,48,11,0,1,0,7,48,0.2818696,-2.376475,0.1151316
3,11,2,3,17,36,24,17,0,2,2,7,45,0.2642528,-1.979811,0.1336623
2,7,1,3,17,38,24,19,0,4,2,5,46,0.270125,-1.936302,0.139693
4,12,1,5,15,37,20,8,0,4,4,8,44,0.2583805,-2.239206,0.1138158
0,9,0,3,16,37,48,16,0,0,0,6,48,0.2818696,-2.27333,0.1223684
1,12,1,3,15,38,39,11,0,4,1,9,47,0.2759973,-2.393685,0.1114035
3,10,1,5,15,36,22,20,0,3,3,6,45,0.2642528,-2.245784,0.1161184
1,7,1,4,18,38,47,21,0,1,1,4,47,0.2759973,-2.414415,0.1099781
3,13,1,4,18,35,29,9,0,7,3,9,45,0.2642528,-2.051291,0.1289474
0,6,0,4,19,39,48,22,0,0,0,3,48,0.2818696,-1.856062,0.1516447
1,7,1,3,19,37,24,22,0,5,1,5,47,0.2759973,-2.020542,0.1370614
1,8,1,3,18,37,25,16,0,4,1,5,47,0.2759973,-2.077949,0.133114
0,11,0,3,18,39,48,18,0,1,0,8,48,0.2818696,-2.14518,0.1313596
1,6,1,3,17,39,25,22,0,6,1,4,47,0.2759973,-2.084327,0.1326754
4,14,2,3,17,36,22,18,0,2,3,7,44,0.2583805,-2.106732,0.1223684
1,7,1,3,17,38,27,22,0,0,1,5,47,0.2759973,-2.017353,0.1372807
1,9,1,3,17,39,35,22,0,2,1,6,47,0.2759973,-2.097084,0.1317982
2,11,1,3,18,38,25,19,0,4,2,7,46,0.270125,-1.959091,0.1381579
1,9,1,3,19,37,45,22,0,3,1,7,47,0.2759973,-2.020542,0.1370614
1,15,1,3,16,37,36,8,0,5,1,11,47,0.2759973,-2.218276,0.1234649
1,8,1,3,17,39,27,14,0,4,1,5,47,0.2759973,-1.977487,0.1400219
1,8,1,3,15,38,24,14,0,2,1,6,47,0.2759973,-2.310764,0.1171053
2,14,1,5,17,38,24,14,0,4,2,8,46,0.270125,-2.038852,0.1327851
1,6,1,3,19,38,24,20,0,2,1,4,47,0.2759973,-1.932838,0.1430921
0,7,0,3,17,36,48,22,0,2,0,5,48,0.2818696,-2.185813,0.1285088
2,5,1,3,20,37,24,22,0,3,2,3,46,0.270125,-1.828869,0.1469298
3,7,2,5,17,39,23,22,0,0,2,3,45,0.2642528,-2.154356,0.1221491
1,8,1,4,18,37,24,15,0,3,1,5,47,0.2759973,-2.089111,0.1323465
0,6,0,3,19,38,48,22,0,0,0,4,48,0.2818696,-1.982649,0.1427632
1,11,1,3,16,36,25,18,0,2,1,6,47,0.2759973,-2.168842,0.126864
0,8,0,3,14,38,48,11,0,2,0,6,48,0.2818696,-2.57495,0.1012061
1,11,1,3,18,39,27,9,0,2,1,7,47,0.2759973,-2.183194,0.1258772
3,12,2,6,17,38,24,19,0,5,2,6,45,0.2642528,-2.126096,0.1240132
1,11,1,3,17,38,24,12,0,1,1,8,47,0.2759973,-2.125788,0.1298246
1,11,1,3,18,37,36,21,0,2,1,6,47,0.2759973,-2.055624,0.1346491
0,8,0,4,19,38,48,21,0,4,0,4,48,0.2818696,-1.993588,0.1419956
0,7,0,3,18,37,48,20,0,4,0,5,48,0.2818696,-1.94983,0.1450658
0,10,0,4,18,36,48,19,0,5,0,6,48,0.2818696,-2.210818,0.1267544
0,7,0,3,19,38,48,16,0,4,0,5,48,0.2818696,-2.096733,0.1347588
1,10,1,3,17,39,47,22,0,1,1,8,47,0.2759973,-2.250168,0.1212719
1,12,1,4,18,38,24,17,0,2,1,7,47,0.2759973,-2.114625,0.1305921
3,8,1,3,17,36,26,10,0,1,3,6,45,0.2642528,-2.121109,0.1243421
3,8,2,3,17,37,23,19,0,1,2,5,45,0.2642528,-2.16433,0.1214912
0,7,0,3,17,38,48,19,0,2,0,5,48,0.2818696,-2.093608,0.1349781
0,9,0,5,18,38,48,12,0,2,0,5,48,0.2818696,-2.118613,0.1332237
1,12,1,5,16,38,27,12,0,4,1,7,47,0.2759973,-2.344251,0.1148026
1,9,1,4,16,39,47,12,0,1,1,6,47,0.2759973,-2.333089,0.1155702
0,9,0,3,16,37,48,12,0,5,0,6,48,0.2818696,-2.35147,0.116886
1,8,1,3,18,40,25,22,0,1,1,6,47,0.2759973,-1.999812,0.1384868
0,6,0,3,17,40,48,22,0,3,0,4,48,0.2818696,-1.934202,0.1461623
0,11,0,3,18,40,48,13,0,2,0,7,48,0.2818696,-2.213943,0.1265351
1,10,1,3,17,38,25,16,0,1,1,7,47,0.2759973,-2.229438,0.1226974
1,8,1,3,18,36,34,14,0,4,1,6,47,0.2759973,-1.987055,0.139364
1,12,1,3,15,38,37,10,0,4,1,8,47,0.2759973,-2.32671,0.1160088
1,6,1,3,18,37,25,22,0,2,1,4,47,0.2759973,-1.870648,0.1473684
1,8,1,3,18,40,24,11,0,3,1,6,47,0.2759973,-2.173626,0.1265351
2,12,1,3,18,37,26,10,0,2,2,7,46,0.270125,-2.102335,0.1285088
0,9,0,3,17,40,48,20,0,3,0,6,48,0.2818696,-2.101422,0.1344298
1,12,1,3,18,38,37,22,0,0,1,7,47,0.2759973,-2.087517,0.1324561
2,8,1,6,20,38,23,21,0,2,2,2,46,0.270125,-1.755619,0.151864
1,14,1,5,17,39,24,19,0,1,1,7,47,0.2759973,-2.262925,0.1203947
0,6,0,3,19,40,48,22,0,5,0,3,48,0.2818696,-2.046724,0.1382675
3,14,1,4,16,38,27,8,0,2,3,10,45,0.2642528,-2.192589,0.1196272
0,11,0,6,17,40,48,20,0,0,0,4,48,0.2818696,-2.126427,0.1326754
2,7,1,4,16,36,26,22,0,3,2,4,46,0.270125,-2.545089,0.09868421
0,11,0,3,15,38,48,16,0,1,0,7,48,0.2818696,-2.284269,0.1216009
1,8,1,3,18,39,31,20,0,3,1,5,47,0.2759973,-1.999812,0.1384868
1,8,1,3,18,38,45,21,0,5,1,5,47,0.2759973,-2.122598,0.1300439
2,7,1,5,17,36,26,22,0,3,2,3,46,0.270125,-1.954208,0.1384868
0,11,0,4,17,40,48,11,0,0,0,8,48,0.2818696,-2.132678,0.1322368
1,8,1,3,18,40,24,18,0,1,1,6,47,0.2759973,-1.969514,0.1405702
0,8,0,3,17,38,48,19,0,2,0,5,48,0.2818696,-2.167059,0.1298246
1,7,1,4,19,39,24,17,0,3,1,4,47,0.2759973,-2.03011,0.1364035
1,13,1,5,19,38,47,12,0,3,1,8,47,0.2759973,-2.197546,0.1248904
3,11,1,3,16,35,21,13,0,2,3,9,45,0.2642528,-2.119447,0.1244518
0,6,0,3,17,39,48,18,0,3,0,4,48,0.2818696,-2.212381,0.1266447
2,8,1,3,18,39,24,18,0,0,2,6,46,0.270125,-1.871191,0.1440789
1,7,1,3,19,38,35,22,0,4,1,4,47,0.2759973,-2.111436,0.1308114
2,7,1,3,19,38,23,22,0,5,2,5,46,0.270125,-2.037224,0.1328947
2,10,2,4,18,40,24,14,0,8,1,5,46,0.270125,-1.95258,0.1385965
1,5,1,3,19,39,25,22,0,1,1,3,47,0.2759973,-2.004596,0.1381579
2,5,1,3,17,37,26,22,0,2,2,3,46,0.270125,-2.035596,0.1330044
3,12,1,3,17,35,34,17,0,1,3,9,45,0.2642528,-2.280693,0.1138158
1,12,1,5,15,39,36,14,0,2,1,7,47,0.2759973,-2.423982,0.1093202
3,8,2,3,18,36,23,22,0,2,2,5,45,0.2642528,-1.801942,0.1453947
0,13,0,6,18,39,48,12,0,2,0,7,48,0.2818696,-2.207692,0.1269737
3,17,1,3,14,38,14,9,0,2,3,11,45,0.2642528,-2.594873,0.09309211
2,6,1,3,19,38,44,22,0,4,2,4,46,0.270125,-1.809336,0.1482456
0,7,0,3,18,38,48,18,0,2,0,5,48,0.2818696,-2.087357,0.1354167
0,6,0,3,18,40,48,21,0,0,0,3,48,0.2818696,-2.029533,0.1394737
1,10,1,3,17,39,24,10,0,1,1,7,47,0.2759973,-2.372954,0.1128289
0,14,0,5,18,38,48,20,0,0,0,7,48,0.2818696,-2.120175,0.133114
2,13,1,5,19,37,26,20,0,0,2,7,46,0.270125,-2.089313,0.129386
0,8,0,3,18,35,48,19,0,3,0,5,48,0.2818696,-2.129552,0.1324561
1,7,1,3,16,40,24,20,0,2,1,5,47,0.2759973,-2.149707,0.1281798
1,8,1,5,18,35,34,22,0,4,1,4,47,0.2759973,-1.813241,0.1513158
1,11,1,3,17,37,24,16,0,3,1,8,47,0.2759973,-2.130571,0.1294956
3,6,2,4,18,37,23,22,0,2,2,3,45,0.2642528,-1.959863,0.1349781
1,16,1,6,15,39,24,14,0,6,1,10,47,0.2759973,-2.522849,0.1025219
2,10,1,3,20,37,23,21,0,1,2,5,46,0.270125,-1.861424,0.1447368
0,8,0,3,16,38,48,13,0,5,0,6,48,0.2818696,-2.242074,0.1245614
2,10,1,3,17,38,25,11,0,3,2,7,46,0.270125,-1.988391,0.1361842
3,6,1,3,16,36,22,16,0,1,3,4,45,0.2642528,-2.190927,0.1197368
0,10,0,3,17,39,48,13,0,2,0,8,48,0.2818696,-2.396791,0.1137061
5,13,2,3,17,37,23,16,0,2,4,8,43,0.2525082,-2.385112,0.101864
1,11,1,5,18,39,27,14,0,4,1,5,47,0.2759973,-2.065192,0.1339912
0,10,0,5,17,38,48,15,0,4,0,6,48,0.2818696,-2.054538,0.1377193
0,8,0,4,18,39,48,19,0,2,0,4,48,0.2818696,-2.029533,0.1394737
1,9,1,5,18,39,24,14,0,4,1,5,47,0.2759973,-2.036489,0.1359649
1,6,1,3,17,38,25,21,0,6,1,3,47,0.2759973,-2.172032,0.1266447
0,6,0,3,18,37,48,22,0,2,0,3,48,0.2818696,-1.902946,0.1483553
0,6,0,3,17,38,48,18,0,2,0,4,48,0.2818696,-2.107673,0.1339912
