"lek","gaps","convg","cost.type","Y.cost.vals.1."
"file5adc7060713song.seq_LK1_SongsSeq.fa",33,"Y","increasing","1.2_1.5_1.8"
"file5adc2d1722b7song.seq_LK2_SongsSeq.fa",40,"Y","increasing","1.2_1.5_1.8"
"file5adc77210349song.seq_LK3_SongsSeq.fa",39,"Y","increasing","1.2_1.5_1.8"
"file5adc22cb04a2song.seq_LK4_SongsSeq.fa",40,"Y","increasing","1.2_1.5_1.8"
"file5adc6c819580song.seq_LK5_SongsSeq.fa",24,"Y","increasing","1.2_1.5_1.8"
"file5adc273153f8song.seq_LK6_SongsSeq.fa",24,"Y","increasing","1.2_1.5_1.8"
"file5adcff12b73song.seq_LK7_SongsSeq.fa",25,"Y","increasing","1.2_1.5_1.8"
"file5adc638861easong.seq_LK8_SongsSeq.fa",35,"Y","increasing","1.2_1.5_1.8"
"file5adc3d34fc42song.seq_LK9_SongsSeq.fa",39,"N","increasing","1.2_1.5_1.8"
"file5adcbed726asong.seq_LK10_SongsSeq.fa",28,"Y","increasing","1.2_1.5_1.8"
"file5adc14dc84e8song.seq_LK11_SongsSeq.fa",27,"Y","increasing","1.2_1.5_1.8"
"file5adc7129ecb2song.seq_LK1_SongsSeq.fa",26,"Y","increasing","1.2_1.5_1.8"
"file5adc538fe4e5song.seq_LK2_SongsSeq.fa",31,"Y","increasing","1.2_1.5_1.8"
"file5adc656edbfbsong.seq_LK3_SongsSeq.fa",38,"Y","increasing","1.2_1.5_1.8"
"file5adc4af98260song.seq_LK4_SongsSeq.fa",40,"Y","increasing","1.2_1.5_1.8"
"file5adc5bb9d347song.seq_LK5_SongsSeq.fa",23,"Y","increasing","1.2_1.5_1.8"
"file5adc19a024bcsong.seq_LK6_SongsSeq.fa",15,"Y","increasing","1.2_1.5_1.8"
"file5adc76918a2asong.seq_LK7_SongsSeq.fa",40,"Y","increasing","1.2_1.5_1.8"
"file5adc6e28f3c8song.seq_LK8_SongsSeq.fa",40,"Y","increasing","1.2_1.5_1.8"
"file5adc5769437fsong.seq_LK9_SongsSeq.fa",40,"Y","increasing","1.2_1.5_1.8"
"file5adc38b65a9csong.seq_LK10_SongsSeq.fa",30,"Y","increasing","1.2_1.5_1.8"
"file5adc5d50361song.seq_LK11_SongsSeq.fa",33,"Y","increasing","1.2_1.5_1.8"
"file5adcf5eca30song.seq_LK1_SongsSeq.fa",33,"Y","increasing","1.2_1.5_1.8"
"file5adc14545786song.seq_LK2_SongsSeq.fa",37,"N","increasing","1.2_1.5_1.8"
"file5adc63dee105song.seq_LK3_SongsSeq.fa",40,"Y","increasing","1.2_1.5_1.8"
"file5adc7aa443a0song.seq_LK4_SongsSeq.fa",39,"Y","increasing","1.2_1.5_1.8"
"file5adc356b9ee3song.seq_LK5_SongsSeq.fa",34,"Y","increasing","1.2_1.5_1.8"
