Iteration	Posterior	Likelihood	Prior	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
1100	-68.61341	-83.83256	15.21915	2.825516	0.0856651	0.144462	0.287022	0.19334	0.0647003	0.498365	0.335012	0.507013	0.2745016	0.0926228	0.116835	0.00605179	0.144656	0.28491	0.0488964	0.080588	0.0557497	0.000570641	0.0280683	0.0159172	0.0321764	0.0422638	0.0675951	0.0494189	0.0263031	0.02593212	6.63085	0.375296	0.721386	1.08151	1.82181	0.0312007	0.506353	0.00205499	0.0635079	0.322834	0.0740497	0.1185549	0.2187351
1200	-67.08055	-82.61216	15.53161	2.460926	0.480989	0.0442809	0.181351	0.410041	0.133645	0.653328	0.0669607	0.00263798	0.1842155	0.04480839	0.126226	0.0118992	0.0421027	0.0526897	0.0976321	0.214883	0.0404544	0.00537931	0.00529443	0.0369972	0.0512303	0.0434096	0.0142722	0.250522	0.00700777	0.03615936	10.93177	0.342721	0.69651	1.07817	1.8826	0.0304358	0.504671	0.0283958	0.0809578	0.301184	0.0543555	0.08096775	0.4465897
1300	-58.3506	-86.34999	27.99939	2.608547	0.00213359	0.0420224	0.0414747	4.83685e-06	0.0449053	0.164917	0.000102907	0.0122757	0.02884946	0.08165283	0.0195246	0.059892	0.0196773	0.121331	0.00798268	0.140124	0.035977	0.0618632	0.0839067	0.0122465	0.0167768	0.10839	0.00440676	0.282035	0.0258665	0.02233432	20.23684	0.356512	0.707259	1.07976	1.85647	0.00898074	0.415006	0.0264204	0.142679	0.330386	0.0765282	0.1039871	0.2147796
1400	-46.12795	-82.42164	36.29369	2.715684	0.0064906	0.00955922	0.00277894	0.0136661	0.0072112	0.0362623	0.00199563	0.0271379	0.01510606	0.0253587	0.0695145	0.012996	0.0765181	0.0226369	0.153299	0.0302485	0.080638	0.0500484	0.0347089	0.0542063	0.0332804	0.0276374	0.00775606	0.319627	0.0268845	0.0133379	42.93224	0.365996	0.714463	1.0807	1.83884	0.055271	0.494252	0.00561886	0.0744337	0.304888	0.0655367	0.0386966	0.3446788
1500	-47.10422	-82.30817	35.20396	2.715299	0.00336299	0.0090009	0.00503614	0.00104757	0.00114072	0.00339203	0.00157732	0.0294928	0.007958843	0.004938092	0.193004	0.00571537	0.00359949	0.226814	0.0528244	0.0697453	0.0244454	0.00554635	0.0201669	0.007344	0.0841418	0.101195	0.0457128	0.0792441	0.0805014	0.001019668	431.6268	0.365963	0.714438	1.0807	1.8389	0.0195373	0.538265	0.00739766	0.083606	0.300436	0.050759	0.005957761	0.1711496
1600	-64.62956	-88.67249	24.04293	0.7671461	0.179921	0.0837411	0.0180219	0.0297838	0.0996292	0.279493	0.00626346	0.00564591	0.06883808	0.01042924	0.0773874	0.0983449	0.0242988	0.000657265	0.300859	0.0467006	0.0177503	0.0445676	0.0561426	0.129862	0.145957	0.0106916	0.00758899	0.037095	0.00209692	0.0262914	24.55868	0.0885512	0.393563	0.947419	2.57047	0.0576779	0.331851	0.0288513	0.197679	0.31575	0.0681899	0.03672064	0.7159844
1700	-66.88611	-87.31429	20.42818	5.074682	0.00215039	0.186779	0.0164903	0.165566	0.179665	0.42091	0.0082701	0.0307018	0.1258761	0.11462	0.254903	0.0503136	0.0135978	0.204826	0.0470596	0.0223712	0.00728016	0.0384806	0.0493091	0.195219	0.0165097	0.0224685	0.0259165	0.0468462	0.00489851	0.04479758	3.830308	0.50515	0.805728	1.08317	1.60595	0.0250717	0.371905	0.0192112	0.319326	0.248555	0.0159311	0.1594176	0.2810078
1800	-65.28475	-90.32083	25.03608	1.192931	0.0921392	0.00365788	0.0166938	0.09955	0.0259962	0.122532	0.00986054	0.0381749	0.05723408	0.04956975	0.0597308	0.0899761	0.0097529	0.0302571	0.0674067	0.00554793	0.150802	0.109123	0.277403	0.00150241	0.0367399	0.0167636	0.0231985	0.083403	0.0383933	0.02626872	60.12896	0.17377	0.527944	1.02583	2.27245	0.0330013	0.313381	0.0733367	0.180359	0.299357	0.100565	0.07583846	0.3463772
1900	-62.86029	-81.26151	18.40122	3.455647	0.0322764	0.0592994	0.000565434	0.435154	0.0201635	0.242939	0.0294241	0.0823851	0.08248369	0.03167705	0.115646	0.0128749	0.0951728	0.0724836	0.0623406	0.207377	0.0697777	0.00486045	0.140971	0.0128669	0.0262082	0.0233393	0.0277593	0.0956972	0.0326247	0.011968	46.05688	0.421704	0.753996	1.084	1.7403	0.0107393	0.44757	0.0134915	0.0619608	0.445948	0.0202903	0.04364505	0.274212
2000	-53.95307	-79.79703	25.84396	1.905155	0.00188353	0.00970155	0.00185952	0.00883557	0.040263	0.0123298	0.031616	0.0780832	0.02733346	0.01371885	0.247813	0.00874315	0.0405823	0.0636071	0.0368917	0.00454849	0.00278212	0.0143194	0.0810752	0.123249	0.0424333	0.119473	0.00338905	0.177838	0.0332546	0.007697033	231.06	0.281684	0.644534	1.06742	2.00636	0.047227	0.417194	0.00566707	0.184865	0.310689	0.0343588	0.02141588	0.3594077
