Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-68.29554	-82.22296	13.92742	0.7806897	0.02710298	0.0447878	0.0628479	0.00294555	0.0886897	0.0366888	0.108862	0.00621505	0.0784617	0.00521552	0.187178	0.149115	0.0581433	0.0159337	0.0336823	0.146903	0.0191198	0.02738773	12.12522	0.0914435	0.399242	0.951457	2.55786	0.0765915	0.413392	0.0481087	0.0811693	0.352321	0.0284173	0.07217553	0.3794601
1	0	-74.1621	-86.42058	12.25849	2.242554	0.03400653	0.1734072	0.438804	0.0218114	0.0370345	0.0770468	0.000587187	0.0296712	0.00114728	0.00903941	0.0713445	0.0304099	0.126756	0.016104	0.0369683	0.0518459	0.0514292	0.04746258	6.064722	0.320605	0.678554	1.07502	1.92582	0.0435652	0.363446	0.00823341	0.139841	0.385688	0.0592268	0.2208698	0.2148894
2	0	-73.15989	-87.25811	14.09822	0.5562852	0.05607031	-0.005522438	0.0233875	0.170509	0.163492	0.00378667	0.0463226	0.136181	0.155608	0.00578671	0.0926885	0.025665	0.0242861	0.0362596	0.00830171	0.0964334	0.0112928	0.04236442	9.356076	0.0442363	0.287081	0.857266	2.81142	0.0809641	0.398434	0.035497	0.093873	0.235977	0.155255	0.03684198	1.149895
3	0	-69.41762	-79.73615	10.31853	3.466852	0.01317628	0.01987814	0.23635	0.0442888	0.0115083	0.0441164	0.115001	0.0506891	0.0352099	0.0202281	0.0794944	0.0264094	0.12278	0.00349103	0.00488001	0.195508	0.0100457	0.01372386	27.79633	0.422438	0.754488	1.08402	1.73906	0.0329566	0.425287	0.00143882	0.135991	0.38844	0.0158856	0.033602	0.4084238
4	0	-70.18265	-83.06378	12.88113	0.2091901	0.01218149	-0.01776532	0.0946953	0.0225238	0.205257	0.0214499	0.0132171	0.00435701	0.183823	0.0333644	0.037756	0.0379736	0.113066	0.0379844	0.00117733	0.129284	0.0640718	0.05675162	19.52976	0.000719411	0.0392398	0.407215	3.55283	0.0548721	0.447278	0.0147112	0.0858029	0.338161	0.0591752	0.0389863	1.455681
5	0	-65.20033	-80.88465	15.68432	1.526268	0.03226513	0.1104751	0.0292013	0.100177	0.238335	0.110274	0.0466381	0.0133358	0.209792	0.00499652	0.095989	0.00769037	0.00965527	0.0324194	0.00371584	0.0952459	0.00253396	0.02187031	6.689396	0.229352	0.592871	1.05193	2.12585	0.0542442	0.3867	0.00078905	0.0581461	0.440383	0.0597375	0.1323454	0.1652518
6	0	-78.17675	-89.82446	11.64771	0.6249058	0.0226155	-0.008894987	0.0821902	0.0380851	0.0179721	0.294134	0.0945444	0.00135653	0.170622	0.00189847	0.0491945	0.142538	0.00121868	0.0180149	0.0114739	0.0518014	0.0249558	0.1006554	16.51283	0.0582821	0.325836	0.893512	2.72237	0.0719368	0.301631	0.0285612	0.15143	0.272405	0.174036	0.09176043	1.096937
7	0	-69.65752	-85.96512	16.3076	0.5328749	0.1111982	0.04854625	0.0486946	0.0396997	0.180793	0.0186337	0.00130124	0.000804726	0.0692114	0.000315176	0.131102	0.0855062	0.130605	0.122532	0.0207011	0.14893	0.00116964	0.02761262	3.62385	0.039631	0.272837	0.84279	2.84474	0.00571798	0.283923	0.0464203	0.116248	0.515535	0.032155	0.07615887	0.362566
8	0	-64.94439	-78.20892	13.26453	1.55733	0.04576402	0.149881	0.0695335	0.0268883	0.0252417	0.0503049	0.0210504	0.22505	0.0202904	0.00730413	0.020352	0.0659486	0.158253	0.132493	0.0122317	0.162661	0.00239801	0.03672048	9.088691	0.234044	0.597829	1.05362	2.11451	0.01991	0.481018	0.00238557	0.0827872	0.354931	0.0589688	0.1866015	0.1967856
9	0	-70.62536	-80.02506	9.399699	4.005918	0.02348097	0.05933563	0.314441	0.0255389	0.0168529	0.00066088	0.0124954	0.0915135	0.067581	0.0057792	0.172359	0.0655582	0.084326	0.00192797	0.00765181	0.097419	0.0358954	0.04155353	14.74458	0.454687	0.775413	1.0844	1.6855	0.0318402	0.412942	0.0130337	0.0549404	0.416007	0.071237	0.1008892	0.4118731
10	0	-74.78397	-84.07389	9.289924	6.218655	0.07236404	0.1423529	0.0967807	0.190615	0.138438	0.106303	0.0567653	0.0742768	0.0629481	0.00490679	0.0294719	0.0163451	0.0903925	0.0473891	0.0162595	0.0460535	0.0230551	0.06206478	6.133601	0.545972	0.828329	1.08076	1.54493	0.0682014	0.345279	0.0180694	0.092299	0.429644	0.046508	0.2044177	0.3036175
11	0	-68.31001	-81.48651	13.1765	2.059432	0.09718826	0.3199574	0.0978895	0.0195857	4.16241e-05	0.0090658	0.0498268	0.0660621	0.0781749	0.000594739	0.0976957	0.113777	0.0497383	0.00303701	0.00256405	0.308592	0.103355	0.01233947	3.966083	0.300267	0.661188	1.07141	1.96714	0.0471895	0.415168	0.00826348	0.112352	0.38136	0.0356671	0.3322969	0.03713388
