Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-190.5862	-221.3266	30.74043	6.375828	0.0129618	0.0141459	0.0228891	0.0174827	0.00822085	0.00215996	0.031829	0.0145153	0.00332687	0.0170921	0.0122189	0.0279273	0.00078126	0.0572956	0.02204397	0.02194684	0.000671442	0.199074	0.0235813	0.140082	0.0107927	0.00768863	0.000756572	0.0109855	0.386129	0.0347965	0.0836975	0.0194277	0.0346053	0.0345348	0.0131776	0.006954882	65.53449	0.550813	0.830905	1.0804	1.53788	0.165781	0.166711	0.114973	0.0907097	0.357854	0.103971	0.02890172	0.240639
1	0	-193.6115	-217.2866	23.6751	3.043602	0.0474735	0.0105933	0.0444132	0.00142508	0.0258075	0.0618829	0.0394104	0.0251507	0.0178691	0.134966	0.0116166	0.019961	0.0129189	0.0110879	0.04010349	0.01486798	0.000233406	0.125601	0.0685869	0.135379	0.0521006	0.00623115	0.00321065	0.00163559	0.335719	0.0654112	0.108232	0.00492368	0.0421978	0.0496538	0.000884	0.02105042	69.6425	0.392607	0.733914	1.08272	1.79076	0.122449	0.147516	0.240907	0.0846713	0.342088	0.0623679	0.0359184	0.5860623
2	0	-199.0444	-219.5452	20.5008	5.948643	0.0041145	0.0307884	0.022236	0.105379	0.152453	0.0370376	0.0203064	0.00593965	0.045916	0.0162119	0.0989579	0.00805083	0.0345193	0.0888593	0.04339102	0.02676788	0.0112806	0.161006	0.0511783	0.253292	0.00512524	0.00721405	0.12838	0.00201945	0.129698	0.100933	0.0517155	0.0105121	0.0402514	0.0379229	0.00947105	0.01319247	41.79854	0.53727	0.823645	1.08137	1.55771	0.133116	0.0987339	0.179693	0.0518627	0.378717	0.157877	0.03996035	0.330139
3	0	-197.5609	-223.0327	25.4718	2.954771	0.0246873	0.0348635	0.0200263	0.0101842	0.00999816	0.0369447	0.0230938	0.0152658	0.0537145	0.0245184	0.068101	0.0306024	0.0539877	0.00688818	0.01735165	0.01165497	0.0581013	0.192422	0.0394059	0.167371	0.00593513	0.00135327	0.0114716	0.00555499	0.245059	0.00463072	0.0699271	0.0108226	0.0763933	0.0863564	0.0251961	0.01135826	42.41866	0.385732	0.728993	1.08228	1.80299	0.0929021	0.1512	0.259758	0.0892378	0.272699	0.134203	0.02301323	0.4935535
4	0	-215.5554	-229.5443	13.98888	1.665796	0.221828	0.0288972	0.0995212	0.0101695	0.0388946	0.176219	0.266676	0.0856532	0.450539	0.0499309	0.00488662	0.0367919	0.47807	0.00706723	0.1398198	0.15584	0.0391114	0.233053	0.126028	0.025778	0.0118351	0.00422113	0.0489487	0.00754054	0.23901	0.0385325	0.156741	0.00794858	0.0502405	0.00231804	0.00869335	0.01397112	11.28273	0.249836	0.614013	1.05884	2.07731	0.206074	0.214922	0.199738	0.12617	0.189051	0.0640441	0.1698111	0.08227449
5	0	-197.7919	-222.9391	25.14718	3.134505	0.0121296	0.0267309	0.0375705	0.014979	0.0692418	0.00793505	0.00796084	0.030001	0.017876	0.0403987	0.00827384	0.0245348	0.00542596	0.02406	0.0309843	0.04014905	0.000744423	0.115993	0.00149441	0.0845116	0.00712717	0.0249707	0.0356574	0.00488612	0.35683	0.073197	0.208777	0.0202835	0.0441185	0.013922	0.00748728	0.03733111	54.1751	0.399407	0.738713	1.0831	1.77878	0.212457	0.223696	0.169205	0.068295	0.217054	0.109293	0.07748016	0.4818151
6	0	-212.7346	-222.2209	9.486251	2.38908	0.186338	0.0913617	0.383519	0.0493845	0.216566	0.750343	0.121045	0.0709485	0.155052	0.188101	0.0525588	0.0815982	0.0201498	0.171395	0.1709122	0.1635565	0.0200077	0.0638731	0.0109622	0.339603	0.0490761	0.000682191	0.00219806	0.000839962	0.0600598	0.159065	0.0769175	0.0116095	0.15446	0.0417746	0.00887121	0.005049843	14.64631	0.335682	0.690894	1.07725	1.89617	0.0742004	0.228947	0.239505	0.042574	0.27912	0.135653	0.1686064	0.02995048
7	0	-190.4972	-214.7731	24.27589	2.946146	0.0652103	0.0360008	0.0561672	0.00190985	0.00286736	0.0193206	0.0411701	0.0453235	0.0164826	0.158232	0.0511308	0.0284245	0.0610617	0.00339482	0.0387575	0.0667066	0.0087922	0.0568665	0.172764	0.204868	0.0173718	0.00103804	0.109271	0.000841235	0.126294	0.0624574	0.135299	0.00264699	0.0794069	0.0100921	0.0119911	0.005922689	35.19588	0.385052	0.728502	1.08224	1.80421	0.130715	0.226201	0.234394	0.0210614	0.285173	0.102455	0.07262929	0.08154683
8	0	-213.5975	-227.2635	13.66602	2.744946	0.124136	0.079858	0.0669058	0.077951	0.0900932	0.197094	0.0268259	0.245637	0.118337	0.121426	0.244837	0.0867883	0.0297694	0.133599	0.1123801	0.1365591	0.0307941	0.0542464	0.0720348	0.0819978	0.0317859	0.00323081	0.0611363	0.0135082	0.292552	0.0968077	0.0994969	0.0252456	0.0495329	0.0841915	0.00343925	0.0235677	13.90254	0.368515	0.716351	1.08093	1.8342	0.188249	0.155768	0.157375	0.0782573	0.328872	0.0914794	0.1601268	0.1471815
9	0	-199.7875	-215.2256	15.43805	3.367118	0.214396	0.0453383	0.239271	0.0894755	0.0353916	0.0113648	0.139956	0.0506717	0.137369	0.0344465	0.355356	0.0355208	0.0242941	0.0390245	0.158261	0.1168909	0.0314156	0.106527	0.0588696	0.125383	0.00761965	0.00208084	0.0830203	0.00137925	0.18164	0.0682409	0.189625	0.0162777	0.118925	0.000205203	0.00879092	0.04306455	11.64547	0.415809	0.750022	1.08381	1.75036	0.11042	0.230611	0.20063	0.0728843	0.256853	0.128602	0.1599555	0.2692283
10	0	-216.6803	-224.2826	7.602274	2.438247	0.144969	0.204002	0.00391493	0.00576238	0.183047	0.0497432	0.590876	0.0629282	0.0374585	0.0987715	0.662567	0.426654	0.0237537	0.11177	0.2870205	0.1389062	0.0140093	0.175227	0.0376771	0.0227523	0.00996791	0.0141781	0.0121506	0.00170086	0.412233	0.00923866	0.0866046	0.0209756	0.154108	0.0098934	0.0192838	0.06478786	8.007056	0.340523	0.694766	1.07789	1.88682	0.154148	0.15956	0.257641	0.0318802	0.315045	0.0817259	0.2036941	0.3180645
11	0	-221.4036	-224.122	2.718348	3.346494	0.0988833	0.0358981	0.11998	0.18675	0.63793	0.266098	0.151831	0.11711	0.199764	0.25656	0.298485	0.0444723	0.887693	0.021226	0.3600567	0.09332862	0.039979	0.0242923	0.0457378	0.163351	0.0181645	0.00884176	0.240347	0.00507658	0.123779	0.000754459	0.174253	0.0227398	0.0842742	0.0434262	0.00498402	0.04636301	10.00269	0.41441	0.749071	1.08376	1.75276	0.103161	0.24199	0.242325	0.057597	0.280042	0.0748847	0.1396916	0.3318954
12	0	-222.5264	-222.7368	0.2103549	1.095066	0.231918	0.961494	0.940741	0.151032	0.0947925	0.0251269	0.0367001	0.43071	0.446657	0.46742	0.871144	0.0804969	0.173981	0.360245	0.4096166	0.2227275	0.00133127	0.360914	0.0486152	0.102982	0.00986304	0.00105753	0.013489	0.000125444	0.0962136	0.141048	0.076911	0.00408494	0.12504	0.00900996	0.00931481	0.02089097	5.261455	0.155522	0.503573	1.01412	2.32678	0.0849112	0.222427	0.269174	0.0671501	0.265556	0.0907823	0.2436185	0.08575282
13	0	-204.6176	-220.0736	15.45599	2.576769	0.00364375	0.161088	0.0596256	0.0248793	0.0642244	0.0423674	0.122789	0.0296566	0.0505869	0.0761848	0.0108112	0.215571	0.00442636	0.0633557	0.1198045	0.02149776	0.00356915	0.0413029	0.0629109	0.44682	0.0153067	0.00677664	0.125636	0.000762357	0.0902319	0.0646053	0.0669733	0.0227987	0.0407935	0.00425388	0.00725888	0.004787172	46.57269	0.353616	0.705029	1.07945	1.86191	0.153094	0.280292	0.153132	0.0567424	0.274669	0.0820704	0.02628493	0.1821261
14	0	-196.4976	-223.076	26.57843	1.01491	0.0449549	0.0348547	0.0270022	0.0176596	0.00583635	0.00389495	0.102622	0.0161898	0.0543067	0.0407435	0.0227072	0.010415	0.0911741	0.140286	0.03543617	0.03386645	0.00210257	0.0157113	0.00491671	0.274605	0.102633	0.000965677	0.0582368	0.00234415	0.178743	0.130284	0.147164	0.0605614	0.0108421	0.000198692	0.0106916	0.05371306	26.82301	0.139919	0.481188	1.00243	2.37647	0.157903	0.178183	0.181629	0.0807495	0.313325	0.0882116	0.08757951	0.6133063
15	0	-187.1418	-222.436	35.29422	1.429994	0.00733516	0.00191918	0.00426485	0.00962856	0.0115723	0.00504752	0.00333151	0.00685749	0.0370387	0.00810076	0.00847958	0.00222952	0.00285388	0.00302582	0.01400268	0.001992766	0.00336812	0.0123159	0.0667762	0.357712	0.0320304	0.0197976	0.0576752	0.0154999	0.102945	0.0526074	0.170066	0.00214698	0.0956188	0.00158996	0.00985087	0.01360313	211.6456	0.214303	0.576473	1.04603	2.16319	0.140699	0.21278	0.236197	0.025935	0.238921	0.145467	0.0155959	0.872225
16	0	-210.6199	-231.7321	21.11218	2.099971	0.000849543	0.107998	0.0105654	0.0397505	0.0226465	0.0102894	0.00281762	0.0314826	0.0709949	0.0403859	0.0944617	0.000870269	0.0258371	0.0285458	0.04085835	0.005376239	0.0203787	0.0357882	0.00454882	0.0828395	0.0772586	0.0196286	0.0783582	4.57304e-05	0.140455	0.057421	0.353326	0.00688092	0.0597301	0.056882	0.00645836	0.009105346	103.2348	0.304923	0.66524	1.0723	1.95754	0.178853	0.182592	0.241873	0.0647332	0.250225	0.0817228	0.01448158	0.6287534
17	0	-201.1113	-224.4535	23.34216	2.761521	0.0523643	0.02419	0.0395781	0.0303632	0.0219354	0.00524195	0.0518474	0.0102721	0.00468317	0.0347115	0.0873851	0.0183979	0.0208784	0.134268	0.02904923	0.0175703	0.00222481	0.00156105	0.0514807	0.182576	0.0332464	0.00515845	0.00239042	0.00889419	0.227899	0.0943487	0.234647	0.00047133	0.095994	0.0483814	0.0107267	0.02428243	44.46595	0.369928	0.717406	1.08105	1.83161	0.113455	0.177086	0.174698	0.0944162	0.207924	0.23242	0.04185273	0.5801875
18	0	-180.9109	-220.2176	39.3067	3.381093	0.00698662	0.00313265	0.0445572	0.00164382	0.00805231	0.00339737	0.00708843	0.00479945	0.00331956	0.0116299	0.00250832	0.000800582	0.00213295	0.00539876	0.01175067	0.01734282	0.0159874	0.156564	0.0666942	0.109966	0.0255567	0.00831868	0.0166966	0.000666374	0.23178	0.102095	0.039445	0.00396411	0.137693	0.0721029	0.0124697	0.007390074	136.7056	0.416752	0.750661	1.08384	1.74874	0.106353	0.259221	0.201369	0.0447197	0.311637	0.0767004	0.02473289	0.2987953
19	0	-206.5317	-224.735	18.2033	4.455845	0.0360106	0.0182668	0.00887987	0.0791944	0.148688	0.027565	0.0351348	0.0150024	0.0139539	0.102889	0.0124855	0.0449274	0.00184042	0.0803077	0.04033546	0.0003746919	0.0354425	0.00137453	0.0517325	0.164087	0.0469197	0.00151163	0.0575546	0.00617295	0.170825	0.103081	0.211412	0.0328082	0.048177	0.050774	0.0181289	0.03070982	44.52516	0.477776	0.789631	1.0841	1.6485	0.110919	0.222492	0.255058	0.0590454	0.244211	0.108275	0.03108451	0.987946
20	0	-192.376	-214.4055	22.02954	3.229947	0.165001	0.0964034	0.00632841	0.0525689	0.023669	0.00555693	0.0155474	0.00891524	0.0735629	1.48751e-05	0.02457	0.0945092	0.0308224	0.0257077	0.05183428	0.02360519	0.023159	0.141361	0.0362012	0.23655	0.00662345	0.00366694	0.0587269	0.00034957	0.184207	0.0323718	0.175247	0.0133976	0.0365253	0.0439695	0.00764372	0.009826112	58.1718	0.406304	0.743514	1.08344	1.76674	0.167246	0.191088	0.214868	0.0850921	0.232974	0.108732	0.03343131	0.2939195
21	0	-202.9746	-218.979	16.00434	3.962318	0.0152088	0.133754	0.162365	0.0557695	0.0352607	0.000791783	0.0662317	0.107897	0.0265282	0.0796682	0.214338	0.0604189	0.0449193	0.0210567	0.08819776	0.05015915	0.00594775	0.0840773	0.0746737	0.031225	0.0086161	0.000100264	0.0160423	0.00554664	0.106324	0.0970059	0.249596	0.0178865	0.254139	0.0478019	0.00101636	0.003640215	30.63528	0.45228	0.773896	1.08441	1.68942	0.17299	0.218557	0.180183	0.0554405	0.260658	0.112172	0.05379937	0.06766279
22	0	-204.753	-222.9358	18.18274	3.250195	0.00354009	0.0276714	0.107687	0.107759	0.0523854	0.000450325	0.112475	0.0316348	0.035392	0.0203292	0.0855206	0.0919819	0.024712	0.0912972	0.05241952	0.02748771	0.000375165	0.0524606	0.125616	0.252254	0.00725141	0.00389103	0.044759	0.00505231	0.0658041	0.0143682	0.171269	0.0157137	0.0496488	0.183908	0.00762769	0.1117462	26.48474	0.407737	0.744503	1.0835	1.76426	0.125314	0.231642	0.217784	0.0839391	0.210169	0.131153	0.1392339	0.8025789
