Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-128.905	-120.4479	-8.45707	6.193115	0.6148205	0.0818931	-0.07602611	0.069767	0.0133455	0.233433	0.011197	0.00402596	0.0990355	0.0430791	0.0146927	0.0145447	0.274477	0.00972255	0.0565301	0.0457251	0.0437859	0.066639	0.3491583	0	8.281296	0.2705194	0.0561785	0.32041	0.888696	2.73472	0.0771737	0.239276	0.0958207	0.477104	0.0441205	0.0665055	0.2731322	1.278349
1	0	-135.015	-122.5638	-12.45113	4.178776	2.299994	0.2009445	-0.2463266	0.215363	0.0540199	0.0536321	0.0526414	0.0670167	0.0523408	0.0739497	0.128406	0.0466596	0.0525619	0.0459409	0.0212185	0.0295711	0.0947577	0.0119206	0.3660189	0	9.330354	0.3092581	0.326635	0.683542	1.07596	1.91387	0.125837	0.173919	0.0541411	0.534966	0.0811212	0.0300157	0.1196922	3.058
2	0	-125.3538	-119.5573	-5.7965	4.319215	0.5232358	0.2573322	-0.0246012	0.111149	0.168675	0.0527541	0.00237101	0.0189028	0.0195879	0.025518	0.0479683	0.00387285	0.117545	0.212175	0.0501245	0.0859334	0.020488	0.0629356	0.4358278	0	4.947232	0.2352829	0.037771	0.266814	0.836466	2.85895	0.0857209	0.225653	0.0356811	0.490091	0.0737367	0.0891175	0.4112266	1.059824
3	0	-125.895	-117.3091	-8.5859	6.513446	2.055475	0.1389523	-0.05486302	0.0364947	0.110653	0.136036	0.0181561	0.073986	0.177478	0.0585568	0.0113088	0.0100106	0.110104	0.00789698	0.15964	0.0348789	0.0262708	0.0285293	0.3701122	0	8.711377	0.21071	0.299808	0.660786	1.07132	1.96809	0.0996598	0.147421	0.0776435	0.548344	0.0572928	0.0696393	0.3152492	1.174031
4	0	-133.548	-122.0062	-11.54179	7.506183	1.044805	0.09207854	0.06877414	0.0302536	0.0723446	0.164549	0.0496377	0.00219873	0.151802	0.0943454	0.0123572	0.0971581	0.159498	0.029246	0.0665576	0.00353727	0.00252223	0.0639923	0.2884214	0	10.98038	0.1103425	0.145806	0.489817	1.00704	2.35733	0.0491931	0.177817	0.0287091	0.626996	0.0388185	0.0784664	0.3571955	0.8074608
5	0	-129.3428	-120.3332	-9.009562	5.97578	1.444817	0.2015774	-0.00421957	0.0672073	0.0988138	0.172292	0.00128535	0.0460605	0.103099	0.0300662	0.0308674	0.055153	0.0777205	0.00616141	0.123886	0.0772808	0.0737472	0.0363601	0.2725882	0	8.633391	0.1815751	0.216671	0.579106	1.04701	2.15721	0.119385	0.21442	0.102058	0.482216	0.0326161	0.0493056	0.2683687	1.015723
6	0	-133.7406	-121.8447	-11.89592	6.134826	2.959676	0.1499329	0.04798071	0.0170886	0.163778	0.0765343	0.110697	0.0212481	0.0477865	0.133108	0.1029	0.00839291	0.117095	0.00480402	0.0432894	0.0926277	0.0317437	0.0289056	0.2107982	0	7.23229	0.2908761	0.386118	0.729271	1.08231	1.8023	0.083563	0.173239	0.0780423	0.518318	0.0176383	0.129199	0.2587789	0.814588
7	0	-129.3051	-122.2889	-7.016197	4.552411	0.3705772	0.2465825	-0.2326794	0.0167666	0.308538	0.0839716	0.0588879	0.0828567	0.0435737	0.0444637	0.0149775	0.0426695	0.153998	0.0183538	0.0609911	0.0271297	0.00670729	0.0361145	0.5029697	0	4.970413	0.1437044	0.0127086	0.15946	0.697372	3.13046	0.0762682	0.20135	0.112289	0.395205	0.0962887	0.118599	0.2702903	1.86085
8	0	-128.8477	-117.3751	-11.47254	5.45469	1.704918	0.1767839	-0.05775791	0.031673	0.00682438	0.169994	0.00779521	0.0168509	0.0912317	0.12384	0.0344893	0.145441	0.234268	0.0333701	0.00358483	0.0118337	0.0502305	0.0385738	0.2545374	0	10.4398	0.09213261	0.255314	0.619456	1.06049	2.06474	0.129629	0.166283	0.0657137	0.491874	0.0828813	0.0636185	0.1967794	1.293516
9	0	-139.1926	-122.4378	-16.75482	12.04359	2.169138	0.05589485	0.01028702	0.0334203	0.230438	0.0350406	0.0324271	0.0126322	0.0745594	0.156844	0.0549593	0.0063156	0.00989888	0.0207394	0.143273	0.0230891	0.0186529	0.14771	0.3524552	0	13.17921	0.05513766	0.312662	0.671873	1.0737	1.94177	0.0595618	0.130308	0.0819351	0.640456	0.0153183	0.0724202	0.3627422	0.971641
