Iteration	Posterior	Likelihood	Prior	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-67.93486	-82.86712	14.93226	1.239708	0.03761637	-0.0105072	0.0927564	0.097594	0.0397245	0.0339481	0.0819874	0.0152603	0.0805795	0.0371391	0.12648	0.0771139	0.026947	0.128702	0.0534792	0.0995901	0.0086986	0.09579841	4.365675	0.182175	0.538596	1.03062	2.24861	0.0127365	0.480845	0.0130551	0.109109	0.313439	0.0708159	0.08529121	1.123192
100	-73.82111	-81.93428	8.113167	0.1839708	0.2334394	0.2325454	0.00773636	0.295873	0.0435777	0.0148941	0.0231221	0.0309849	0.059678	0.00612699	0.015874	0.016077	0.0319679	0.0181957	0.0266877	0.324822	0.0843822	0.1652497	6.803065	0.000291022	0.0250701	0.340549	3.63409	0.0243247	0.406446	0.0150956	0.143273	0.360715	0.0501458	0.3977951	0.415414
200	-66.65906	-78.82619	12.16713	1.277159	0.054145	-0.04677021	0.0560563	0.209491	0.0669444	0.00485966	0.0274306	0.124296	0.0371155	0.000844031	0.0106409	0.0169341	0.0286961	0.227216	0.00386025	0.16376	0.0218556	0.1401366	6.662381	0.188758	0.546709	1.03413	2.2304	0.0388147	0.371686	0.00455231	0.186959	0.327262	0.0707267	0.09336638	1.500932
300	-72.18306	-85.34255	13.15949	3.546787	0.02820968	0.08198853	0.218787	0.26214	0.0287965	0.0302754	0.0956156	0.00512393	0.00513034	0.0228869	0.0204866	0.0604189	0.113341	0.0321678	0.0250809	0.071889	0.00786086	0.01511086	6.344934	0.427588	0.757918	1.08415	1.73035	0.0537983	0.391877	0.0110693	0.122141	0.391906	0.0292086	0.09709939	0.1556226
400	-72.58928	-84.24313	11.65384	3.23508	0.02712905	0.01854253	0.236965	0.00165409	0.215002	0.0796718	0.0791547	0.00887753	0.0970326	0.0142114	0.00811644	0.0172503	0.0423256	0.0236649	0.00813966	0.084372	0.0835624	0.01855102	12.44252	0.406668	0.743766	1.08345	1.76611	0.0384357	0.48448	0.0503173	0.0983143	0.236056	0.0923966	0.03709356	0.5001144
500	-68.54133	-81.59989	13.05856	0.8269201	0.01075107	0.0564351	0.0211679	0.171528	0.0544872	0.0538584	0.0127863	0.0177225	0.05116	0.00198907	0.00519173	0.178473	0.0586382	0.0251188	0.0104999	0.323075	0.0143036	0.001265022	26.01989	0.101273	0.417751	0.964144	2.51683	0.0116018	0.396011	0.000309878	0.101311	0.448848	0.0419183	0.05770012	0.02192408
600	-69.2756	-81.97382	12.69822	2.322021	0.06882497	0.02037973	0.114894	0.0724795	0.0253151	0.118429	0.0309796	0.00877811	0.0892982	0.0238446	0.298349	0.141671	0.00717373	0.0212944	0.000378846	0.0405816	0.00653389	0.03854851	15.06059	0.328906	0.685402	1.07629	1.9094	0.028849	0.481619	0.00557618	0.0596251	0.395212	0.0291188	0.05892824	0.6541602
700	-69.58382	-87.39615	17.81233	0.1759729	0.08804691	0.06956455	0.024766	0.0603615	0.165354	0.0182479	0.00945535	0.0307616	0.0534878	0.00589111	0.0501133	0.156108	0.0904374	0.0469413	0.0181753	0.261933	0.00796671	0.01820748	2.178002	0.000206862	0.0211645	0.318125	3.6605	0.0317409	0.369996	0.0423978	0.0991032	0.365741	0.0910208	0.08777203	0.2074406
800	-64.37451	-79.03176	14.65725	1.357281	0.03604888	0.1217152	0.0709194	0.00766331	0.0630999	0.0118392	0.097349	0.0952078	0.00839853	0.00366833	0.207649	0.0640243	0.0424859	0.0124428	0.0129072	0.290577	0.0117683	0.003050628	9.402009	0.20241	0.562938	1.04081	2.19384	0.0452268	0.44684	0.00375825	0.0668329	0.394768	0.0425743	0.1247658	0.02445083
900	-68.19967	-80.74346	12.5438	2.450513	0.0469033	0.05958682	0.0389942	0.125223	0.257097	0.0298622	0.026268	0.103586	0.0360193	0.017239	0.0333498	0.0331752	0.0178503	0.00852946	0.0380333	0.158068	0.0767049	0.1033331	5.822925	0.341714	0.695713	1.07804	1.88453	0.0117928	0.46425	0.00532743	0.124642	0.33765	0.056338	0.1629199	0.6342569
