Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
10	0	-256.7862	-247.8747	-8.911556	3.991723	2.331021	0.0514772	0.3616	0.197926	0.00368695	0.0861865	0.0880115	0.330023	0.052724	0.0699156	0.193978	0.309635	0.0651258	0.199945	0.0795042	0.334868	0.0155016	0.1967388	-0.05546915	0.0880257	0.0215013	0.148283	0.000471709	0.055035	0.226646	0.0507052	0.0455276	0.0112407	0.00472487	0.00757101	0.171175	0.00587057	0.0632549	0.099967	0.2866262	2	13.54463	0.09336204	0.329827	0.686154	1.07643	1.90759	0.125558	0.150222	0.278362	0.114375	0.261017	0.0704659	0.2311571	1.239963
11	0	-242.7508	-234.3499	-8.400898	4.827873	7.078439	0.126293	0.114151	0.148778	0.0264564	0.0824113	0.0343421	0.0536644	0.0212919	0.118197	0.358001	0.275508	0.106755	0.0786975	0.12102	0.173051	0.0740539	0.09665369	0.05522261	0.0249859	0.0579223	0.165444	0.00583993	0.192665	0.0734551	0.064689	0.0542911	0.148029	0.00822	0.000333821	0.0512799	0.00253961	0.107878	0.0424274	0.1417555	2	15.6899	0.1149364	0.57067	0.841252	1.07877	1.50931	0.158406	0.266617	0.155773	0.0669945	0.307432	0.0447787	0.1969781	0.719651
12	0	-242.574	-231.185	-11.38904	1.833641	3.047281	0.00237738	0.0407981	0.0325552	0.0825368	0.00462028	0.0235782	0.236253	0.00898167	0.153264	0.255994	0.360664	0.234398	0.0743328	0.0486653	0.216128	0.113434	0.1875998	0.05522526	0.126163	0.0546587	0.0715153	0.00895899	0.00550895	0.0388704	0.193956	0.0525949	0.0112822	0.0577694	0.0206808	0.294835	0.00266171	0.0569938	0.00355109	0.2412113	3	30.22828	0.05712116	0.392887	0.734113	1.08274	1.79026	0.200301	0.194779	0.185298	0.07567	0.285569	0.0583831	0.2964366	0.813703
13	0	-245.9065	-230.5197	-15.38681	0.6967895	5.340928	0.179224	0.0270594	0.0159742	0.0903308	0.0604339	0.111023	0.51472	0.00360816	0.0520797	0.306719	0.509431	0.103356	0.935759	0.0968292	0.222638	0.357873	0.2015211	-0.1426751	0.168342	0.0296686	0.166847	0.0100114	0.0375449	0.0500896	0.0835684	0.0554253	0.022204	0.084378	0.00362613	0.162345	0.00512247	0.117431	0.00339693	0.6658853	4	11.76875	0.06175727	0.515649	0.811696	1.08266	1.58999	0.114384	0.137	0.156039	0.109191	0.445449	0.0379377	0.5232102	1.272692
14	0	-243.8193	-235.4565	-8.362742	2.909713	3.30265	0.0600197	0.0418196	0.0565647	0.0791366	0.286494	0.23274	0.115975	0.033055	0.0929452	0.0264729	0.0393683	0.262199	0.317744	0.113039	0.391178	0.0498633	0.1573477	0.07011936	0.130969	0.0689624	0.0846828	0.00544619	0.0346662	0.0282279	0.0458383	0.144312	0.0464993	0.0246093	0.00133171	0.234416	0.00999891	0.0933445	0.0466952	0.08460929	2	20.12338	0.1115552	0.4114	0.747018	1.08365	1.75793	0.228802	0.193092	0.168292	0.0821073	0.291387	0.0363192	0.1547287	0.5468237
15	0	-242.6624	-240.4802	-2.18222	4.310891	2.22711	0.00211473	0.178225	0.419011	0.0646671	0.0823879	0.0158714	0.00148191	0.238766	0.060497	0.0744247	0.043653	0.15036	0.119262	0.0592107	0.0658532	0.065164	0.1083051	-0.005387477	0.0657687	0.021228	0.207586	0.00748366	0.0196442	0.0664362	0.0744591	0.0285636	0.195189	0.0619354	0.0177002	0.167444	0.00532263	0.0397839	0.021455	0.1574881	2	15.36397	0.07686746	0.318957	0.677178	1.07476	1.92911	0.181752	0.232938	0.117807	0.0725912	0.353674	0.0412383	0.1521006	1.03542
16	0	-226.3923	-228.6462	2.253924	2.115139	3.515172	0.115852	0.02155	0.130346	0.0212623	0.0144446	0.016227	0.0583356	0.0335313	0.0930052	0.0665615	0.135405	0.045606	0.0598926	0.00395337	0.104227	0.259055	0.05287781	-0.004860519	0.0424619	0.0275985	0.122884	0.00176324	0.00478455	0.149271	0.0708625	0.0333588	0.0494008	0.121878	0.00496813	0.23317	0.00454382	0.0935787	0.0394758	0.1966545	3	17.47085	0.09296261	0.425568	0.756576	1.0841	1.73376	0.22481	0.142079	0.125138	0.102928	0.36617	0.0388757	0.191794	1.025342
17	0	-238.8009	-230.3818	-8.419131	2.214606	1.695248	0.0223077	0.426478	0.100517	0.0148344	0.18371	0.0155947	0.0400317	0.0349213	0.161076	0.130662	0.124672	0.0905534	0.216719	0.0472063	0.178906	0.173873	0.1278392	0.01201118	0.0823315	0.00139943	0.202161	0.00301357	0.0217113	0.132988	0.211642	0.0209225	0.0236889	0.0526046	0.00316256	0.0908476	0.00582379	0.126608	0.021095	0.2061481	1	19.47776	0.07196268	0.25397	0.618128	1.06009	2.06781	0.202388	0.131969	0.147517	0.106606	0.376572	0.0349479	0.2181593	0.9449431
18	0	-242.6959	-236.4946	-6.201334	3.128884	2.216997	0.135837	0.187455	0.00318826	0.230409	0.040056	0.047952	0.10774	0.0221974	0.0945608	0.359909	0.092792	0.0772843	0.043696	0.0332668	0.206561	0.150673	0.1208599	0.1522346	0.0207383	0.00821515	0.170889	0.00265177	0.00829973	0.0732406	0.0759127	0.0773567	0.040766	0.0974878	0.013917	0.147206	0.0258046	0.192324	0.0451907	0.2125941	2	23.68405	0.04996006	0.317871	0.676268	1.07458	1.93128	0.262338	0.226805	0.126237	0.0836575	0.214398	0.0865648	0.3648287	0.5827231
19	0	-259.6414	-245.1716	-14.46974	0.9357846	2.071496	0.00897387	0.00845897	0.333243	0.10064	0.426903	0.199431	0.195007	0.0313484	0.0980614	0.222447	0.15178	0.203944	0.152801	0.21219	0.105484	0.62183	0.1579326	-0.01509378	0.0913159	0.0521243	0.0636681	0.010121	0.0378743	0.00910965	0.225086	0.0486654	0.17382	0.00650042	0.00717987	0.0270978	0.0316838	0.200506	0.0152476	0.1598088	3	30.44714	0.1133194	0.301662	0.662407	1.07168	1.96425	0.119075	0.218441	0.136037	0.12095	0.331093	0.0744041	0.144715	1.1043
