Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-451.0243	-420.256	-30.76829	13.73641	4.748413	0.503406	0.000842263	0.0892972	0.303415	0.00997273	0.0180682	0.0480755	0.246473	0.265955	0.126382	0.0499541	0.0164803	0.00494354	0.0794307	0.00141574	0.00422311	0.0069458	0.069324	0.0125444	0.0820998	0.0458687	0.016116	0.05058	0.0105957	0.0326556	0.00822496	0.00511503	0.0835762	0.0031245	0.0281069	0.0371334	0.0763771	0.0167829	0.028254	0.0170701	0.00307658	0.184291	0.0295298	0.32396	0.288016	0.114807	0.0104627	0.0253927	0.325505	0.213645	0.0101574	0.1109001	0.007183667	0.297297	0.0893697	0.0408897	0.00372385	0.0750421	0.0162665	0.101086	0.037785	0.00946288	5.00346e-06	0.0539836	0.0390468	0.0253299	0.183962	0.0267497	0.4252984	4	17.73136	0.1339019	0.491281	0.797671	1.08371	1.62734	0.0386655	0.223749	0.179884	0.205219	0.252364	0.100119	0.4324821	0.9833897
100	-452.1892	-431.5265	-20.66265	9.767246	1.491504	0.0142625	0.0214397	0.00317994	0.0696513	0.0269563	0.13742	0.0427864	0.186647	0.0252115	0.0198491	0.109819	0.018647	0.15005	0.042058	0.0919666	0.129514	0.0745386	0.135367	0.329433	0.00392674	0.0805492	0.0236402	0.246448	0.0783487	0.0446569	0.0206826	0.0523021	0.164163	0.049681	0.0403872	0.0342922	0.0980074	0.0977036	0.0899749	0.235465	0.0311274	0.0292234	0.00817217	0.0729416	0.0617788	0.0271605	0.00256128	0.0432724	0.186093	0.154572	0.059571	0.07934381	-0.08665483	0.295842	0.0181091	0.0888668	0.115484	0.0143536	0.00422248	0.0345594	0.0278347	0.10121	0.0369496	0.0521487	0.0144425	0.020453	0.168075	0.0074494	0.4071249	6	16.26312	0.2358388	0.224007	0.587136	1.04992	2.13894	0.0340693	0.214713	0.164711	0.30296	0.199941	0.0836064	0.3204701	1.270399
200	-443.9138	-426.577	-17.33687	11.49421	2.992178	0.00849632	0.0284723	0.0543009	0.0148821	0.0361217	0.012299	0.0214917	0.0877234	0.0599501	0.0706021	0.188588	0.0136864	0.118291	0.195589	0.0134433	0.0189773	0.0248915	0.0079389	0.372079	0.0415477	0.0309637	0.0576319	0.100916	0.213645	0.0165345	0.00161415	0.0272882	0.0467321	0.276592	0.0037368	0.0750588	0.104703	0.0105811	0.0215816	0.184474	0.124865	0.095739	0.078596	0.143153	0.0485661	0.0931721	0.0114461	0.0498102	0.0955085	0.0177883	0.106976	0.07015357	0.07315931	0.203247	0.071626	0.134347	0.0470361	0.0543246	0.00590462	0.117286	0.0154098	0.0476643	0.00750097	0.016497	0.0352487	0.0162632	0.221921	0.00572303	0.5924799	7	14.67321	0.1345145	0.388656	0.731094	1.08248	1.79777	0.0461544	0.184162	0.212264	0.188279	0.287543	0.081597	0.6656392	0.8900916
300	-451.4959	-423.2142	-28.28172	11.58071	2.335307	0.415941	0.0391897	0.0666248	0.123574	0.087943	0.0062594	0.0104749	0.0761487	0.0807741	0.188022	0.0520271	0.0512055	0.343541	0.12954	0.0531592	0.0970463	0.0156523	0.0324468	0.369687	0.049111	0.00885609	0.0219589	0.049839	0.0172186	0.0279393	0.119866	0.0624958	0.111891	0.00302373	0.000513545	0.0619634	0.00706066	0.0591564	0.040924	0.258728	0.148149	0.0558102	0.000990147	0.0851256	0.0825549	0.00634292	0.0542243	0.00721925	0.0448462	0.0140911	0.0343916	0.07413378	0.242475	0.247982	0.0267593	0.275191	0.0148499	0.0712746	0.0050979	0.0479151	0.0317148	0.0723785	0.00347564	0.0531974	0.000318855	0.0338582	0.113633	0.00235404	0.4457453	5	17.7388	0.150385	0.330265	0.68651	1.07649	1.90673	0.0292511	0.184861	0.201404	0.237673	0.268258	0.0785525	0.6882204	0.6476782
400	-435.894	-408.7318	-27.16218	9.155321	4.254334	0.08317	0.120048	0.0224158	0.154726	0.00108158	0.0101911	0.0269512	0.00548792	0.038917	0.14718	0.0267737	0.0220866	0.0607152	0.279825	0.299777	0.0231708	0.134576	0.000837641	0.0269387	0.108795	0.0600246	0.193585	0.00128952	0.070381	0.248661	0.00825942	0.0201998	0.0676616	0.0478388	0.126203	0.0136343	0.0010941	0.274519	0.0735248	0.226816	0.134936	0.000548148	0.0114666	0.0103986	0.0659837	0.294382	0.170502	0.006313	0.0877727	0.0599696	0.0202004	0.08112261	0.0260719	0.401303	0.00704348	0.115334	0.0139519	0.153311	0.00424453	0.0415616	0.00625697	0.087937	0.00418543	0.0138465	0.00271093	0.0203631	0.126516	0.00143449	0.4834233	5	16.43916	0.1369145	0.467811	0.783569	1.08428	1.66434	0.0227859	0.217177	0.202322	0.249009	0.249367	0.0593397	0.5094952	0.948828
500	-470.9592	-433.8712	-37.08807	7.005285	1.877228	0.0202265	0.136823	0.0912319	0.0927491	0.0775166	0.111059	0.129779	0.29764	0.0207589	0.0396082	0.31993	0.00283062	0.264913	0.101192	0.0308623	0.170998	0.286447	0.0281447	0.215975	0.0780351	0.0646352	0.0173547	0.208948	0.0151225	0.0695388	0.0586632	0.128353	0.0134225	0.0216629	0.258185	0.0759587	0.210802	0.389097	0.00360991	0.141438	0.13274	0.00758586	0.0781128	0.341143	0.202496	0.107308	0.00987194	0.0501408	0.0894517	0.0293723	0.00790599	0.1184205	0.05562442	0.437051	0.0439865	0.0184335	0.0229666	0.0296413	0.00667691	0.0608991	0.0299421	0.0295639	0.00035303	0.0599248	0.00414327	0.0163871	0.220028	0.0200031	0.4358873	6	16.27891	0.1304929	0.278165	0.641289	1.06659	2.01396	0.0204609	0.258184	0.245557	0.194475	0.203608	0.0777148	0.4915117	0.8868299
600	-480.4268	-423.8531	-56.57373	13.69876	1.425215	0.0495893	0.165167	0.167333	0.0584488	0.342645	0.00815979	0.0491496	0.824201	0.077333	0.0354116	0.228106	0.0270717	0.632991	0.216181	0.324213	0.0243424	0.0292803	0.408787	1.27556	0.0413727	0.0283949	0.0141602	0.0418395	0.0784136	0.0512739	0.092463	0.346867	0.0293935	0.161053	0.242053	0.13527	0.117926	0.0131187	0.463401	0.109233	0.0385897	0.0425611	0.00116711	0.0304586	0.109397	0.357524	0.0617518	0.170077	0.0176454	0.0357862	0.368113	0.1802392	0.095617	0.243722	0.0633669	0.0550978	0.0129862	0.0203364	0.00431721	0.116772	0.0235333	0.0574611	0.0205302	0.100244	0.00952189	0.042643	0.209817	0.0196519	0.5570973	7	15.69958	0.1592916	0.213535	0.575616	1.04571	2.16514	0.0271356	0.27594	0.144211	0.214079	0.248075	0.0905601	0.6527143	0.8535087
700	-436.8213	-427.7959	-9.025402	7	2.534529	0.0190809	0.0116225	0.0784787	0.0606586	0.0637606	0.00959149	0.062623	0.00357687	0.120769	0.0292046	0.0304285	0.0770602	0.0590174	0.100631	0.0265685	0.0781147	0.0327567	0.0713309	0.110241	0.00530151	0.130564	0.0595146	0.113674	0.0549044	0.068588	0.00888674	0.105834	0.0555506	0.00294776	0.0209392	0.0199404	0.0613066	0.0582092	0.0184597	0.234519	0.0394757	0.0572044	0.0159045	0.065982	0.151351	0.174024	0.0393769	0.0252965	0.0132176	0.000817509	0.0648401	0.0701506	0.08411645	0.279299	0.00864081	0.0188234	0.066567	0.0397586	0.00834702	0.160349	0.0174012	0.0126656	0.00186966	0.0327932	0.0362704	0.0259361	0.291103	0.000176645	0.4037893	7	19.18076	0.1052421	0.349706	0.701996	1.07901	1.86929	0.023282	0.206348	0.147052	0.203899	0.344683	0.0747362	0.4879057	0.8275969
800	-462.0371	-434.8627	-27.17435	12.80125	4.101916	0.144289	0.0375464	0.0549125	0.139544	0.0625074	0.0294902	0.0212496	0.139732	0.035586	0.193635	0.0724406	0.0520282	0.0212298	0.155533	0.0850269	0.0479114	0.168065	0.0526385	0.337958	0.0737885	0.0388017	0.0482627	0.267342	0.0485896	0.019674	0.00741926	0.0102182	0.028263	0.161814	0.013866	0.0337961	0.0763107	0.0849996	0.00206988	0.0991356	0.0485128	0.0387399	0.0293882	0.159237	0.0527108	0.135379	0.0118429	0.0691452	0.0157497	0.0846299	0.0578024	0.08713316	0.02466137	0.241236	0.0277402	0.0864707	0.00475238	0.0434709	0.0110873	0.138772	0.037663	0.156462	0.0216762	0.0365874	0.00761506	0.0419682	0.127106	0.0173939	0.5097133	6	18.83974	0.08201933	0.459875	0.778661	1.08437	1.67709	0.0358003	0.200102	0.228541	0.279948	0.185389	0.0702202	0.5343747	0.95385
900	-440.5813	-430.2553	-10.32599	11.92503	2.179592	0.0257235	0.130111	0.00520494	0.106519	0.0791986	0.0439069	0.0308891	0.246692	0.0420865	0.0115249	0.0964345	0.0114389	0.029084	0.0288695	0.284308	0.0126426	0.0277957	0.0459317	0.0461281	0.0429073	0.0246471	0.0554697	0.0644767	0.0431188	0.043604	0.000552861	0.0399533	0.0895664	0.008869	0.0247671	0.0751047	0.0435958	0.0782807	0.0129983	0.0042739	0.00238395	0.049026	0.193093	0.0211381	0.0521749	0.0429647	0.0649728	0.0913021	0.0900382	0.0502172	0.00996016	0.0516413	0.07819603	0.114161	0.0563074	0.0169156	0.0615584	0.105047	0.00670021	0.192844	0.0690996	0.0236477	0.00255674	0.121763	0.000424912	0.0838755	0.141546	0.00355242	0.4651983	8	19.52663	0.1480138	0.31381	0.672846	1.0739	1.93945	0.0373233	0.194243	0.192643	0.216636	0.196967	0.162187	0.5433943	0.8560971
