Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-234.9591	-247.2818	12.32269	2.611511	4.189323	0.0944682	0.302772	0.0324703	0.00102822	0.0980511	0.0437723	0.00182905	0.0352128	0.00559756	0.00629362	0.00451569	0.00270704	0.0141935	0.054101	0.0340099	0.0371905	0.0116591	0.0327143	0.00386832	0.00939257	0.106462	0.0226165	0.0618129	0.0145197	0.131137	0.0104945	0.00943624	0.0250139	0.0352265	0.0219816	0.0265925	0.00767607	0.00296442	0.051258	0.00472409	0.00651535	0.00309443	0.0326499	0.116669	0.0306464	0.158901	0.0457059	0.0038315	0.0779413	0.00305765	0.0109119	0.0787172	0.443957	0.0452323	0.1028496	0.0450749	0.0078634	0.10356	0.0120208	0.113969	0.136245	0.0921491	0.0169314	0.035539	0.0436278	0.00793046	0.107135	0.00107447	0.272347	0.00453294	0.6573256	10	13.05098	0.2978117	0.46447	0.781512	1.08433	1.66969	0.171838	0.215536	0.110164	0.0946989	0.35884	0.0489237	0.7601753	0.8647027
100	-223.3463	-248.665	25.31871	2.340385	4.055828	0.0240895	0.120846	0.00357261	0.00976731	0.0100445	0.0903194	0.0577354	0.0822502	0.0416392	0.137171	0.0224013	0.00484845	0.00332597	0.0583126	0.0106683	0.00267894	0.0818183	0.013214	0.0774762	0.0244047	0.0467096	0.012657	0.0119929	0.0297396	0.00194763	0.00759077	0.0508184	0.00332821	0.0602875	0.00215851	0.00763036	0.164918	0.0174625	0.00126978	0.0145211	0.00682081	0.0116276	0.00709477	0.00246401	0.193547	0.0121152	0.000450265	0.00337495	0.0172909	0.0201849	0.0354412	0.0125382	0.18792	0.04296854	-0.09023157	0.0511473	0.0254143	0.206205	0.00948609	0.0723876	0.0844664	0.0627084	0.0283774	0.0390812	0.130524	0.00536901	0.171984	0.00130576	0.087666	0.0238773	0.7060764	12	13.06707	0.1591466	0.457403	0.777118	1.08439	1.68109	0.169003	0.171055	0.122211	0.0709852	0.401719	0.065026	0.6158449	1.146517
200	-228.8824	-251.3687	22.48627	1.036801	2.286188	0.0584018	0.156403	0.00759524	0.0220834	0.0193973	0.0638516	0.0094659	0.0158919	0.00841903	0.0626835	0.0070294	0.00271973	0.0296271	0.0043233	0.0702451	0.0206248	0.00781044	0.00155263	0.018069	0.0475114	0.013137	0.0546477	0.00835606	0.0366994	0.0169573	0.00579272	0.101222	0.0256637	0.034886	0.00764589	0.00256939	0.208323	0.0121621	0.0370174	0.00202339	0.0131931	0.00122459	0.00529924	0.0148034	0.0966356	0.0215691	0.0743296	0.00939999	0.00375918	0.0279964	0.103057	0.012737	0.0418036	0.03578996	0.08234343	0.0580191	0.000643349	0.138839	0.0117981	0.0883491	0.174267	0.0747001	0.0362526	0.0227014	0.11887	0.0394513	0.0920844	0.00402982	0.126429	0.0135645	0.6217055	12	15.39249	0.1563415	0.3252	0.682361	1.07574	1.9167	0.183011	0.163353	0.159491	0.113232	0.35415	0.0267635	0.7040489	0.883043
300	-206.0986	-241.2282	35.12957	3.544498	5.72155	0.0230789	0.0640887	0.00716251	0.00521007	0.0425407	0.00572049	0.00319498	0.0209413	0.00359539	0.00685518	0.00658407	0.000826231	0.042606	0.0169572	0.0092028	0.025488	0.0622097	0.00274421	0.00182636	0.00550406	0.0686626	0.0374227	0.00316278	0.00424369	0.0360668	0.0330369	0.00473992	0.00262098	0.0121582	0.00786446	0.0199807	0.0757598	0.00509023	0.0170191	0.00244578	0.017674	0.0638008	0.0161421	0.0222328	0.0072721	0.0274925	0.0457952	0.0039683	0.00431641	0.0207556	0.149356	0.000755304	0.0637997	0.02970338	0.07601138	0.0517342	0.032362	0.160661	0.00553605	0.00160114	0.126166	0.0330484	0.0249382	0.0528572	0.0752681	0.0211531	0.362742	0.00606714	0.0285179	0.0173477	0.4422434	9	17.38178	0.1211606	0.529541	0.819425	1.08187	1.56916	0.19289	0.199293	0.0930542	0.0664784	0.395669	0.0526158	0.5182548	0.853332
400	-253.1983	-254.6791	1.480829	1.502473	3.487029	0.0207887	0.0816966	0.0834863	0.0144727	0.0400301	0.0136126	0.0130254	0.0825374	0.0156018	0.0596413	0.0793738	0.0368151	0.0254146	0.0542538	0.0325616	0.124563	0.00611568	0.0789765	0.000300864	0.0798937	0.031178	0.015522	0.0131597	0.18997	0.0424769	0.0344392	0.076736	0.0547036	0.0240678	0.0130927	0.0938548	0.0399774	0.027899	0.00477372	0.00225233	0.0855262	0.00112846	0.17972	0.0309252	0.0279749	0.114402	0.000999421	0.00740306	0.202719	0.371616	0.0231864	0.0203969	0.0329442	0.05391255	-0.06300972	0.0360193	0.10521	0.160133	0.0131156	0.110835	0.202787	0.116445	0.0653305	0.0180591	0.0163455	0.00545906	0.0769938	0.0342606	0.0237448	0.015262	0.660671	10	15.3305	0.1821038	0.423751	0.755366	1.08405	1.73683	0.123002	0.241599	0.133172	0.0833801	0.341541	0.077307	0.5976613	1.105427
500	-237.2887	-258.7652	21.47648	2.410663	2.478018	0.029658	0.101155	0.0206435	0.0328067	0.0233701	0.000491316	0.00114372	0.0113785	0.0358384	0.0292509	0.0383633	0.0962625	0.0276986	0.0745557	0.000880736	0.0171632	0.0211812	0.00372285	0.0867004	0.0409285	0.0451354	0.00479509	0.125723	0.0133034	0.00504328	0.00107642	0.0410791	0.169932	0.0361699	0.0515457	0.0670768	0.00406687	0.0424243	0.0255451	0.0257858	0.0123889	0.00799368	0.280481	0.0137167	0.0254114	0.0126672	0.0281118	0.0242865	0.108616	0.0389322	0.0099102	0.0490361	0.00856689	0.03757056	0.01948445	0.115303	0.0424333	0.115242	0.0289289	0.147446	0.0718007	0.0793733	0.0116806	0.0584745	0.102439	0.0174522	0.149672	0.0218705	0.00612792	0.031756	0.5299424	13	14.45296	0.1772671	0.344363	0.697807	1.07837	1.87946	0.197463	0.201312	0.111932	0.0931178	0.316806	0.079369	0.5494269	0.9645368
600	-233.3789	-245.2809	11.90197	2.528963	2.728318	0.0921003	0.10895	0.0160615	0.0704489	0.00608638	0.0400809	0.0148591	0.0269703	0.00119321	0.0421639	0.0137503	0.116645	0.0185346	0.0143403	0.0529329	0.0595646	0.00922918	0.0259583	0.0124328	0.0185462	0.0948154	0.00894136	0.00470539	0.059994	0.0602757	0.0132447	0.0244044	0.0281997	0.00103465	0.0136601	0.00440864	0.110561	0.159547	0.00385253	0.0455756	0.0366045	0.0155292	0.156228	0.114726	0.0970727	0.000818135	0.0157065	0.0181474	0.0714571	0.0114041	0.0674356	0.0839077	0.022067	0.0400885	-0.01550511	0.0800096	0.039519	0.248933	0.0144523	0.00623759	0.0647541	0.0259868	0.041974	0.0552769	0.13352	0.0254255	0.0787694	0.00599831	0.149938	0.0292068	0.6179806	12	14.1661	0.2555618	0.367087	0.715282	1.0808	1.83683	0.200482	0.218144	0.180312	0.0919849	0.260396	0.0486812	0.6024754	1.025736
700	-236.9571	-246.4469	9.489784	1.526542	2.686276	0.0033942	0.142739	0.0382045	0.00431931	0.0282136	0.00841243	0.00671937	0.0302771	0.00906989	0.00121877	0.0460327	0.0308433	0.0544023	0.0064304	0.177613	0.0239555	0.0161341	0.00880653	0.00537272	0.0126448	0.124107	0.0426739	0.00443534	0.0161025	0.0708325	0.029781	0.178865	0.0184312	0.0373362	0.0111787	0.0389681	0.243856	0.00146991	0.0034912	0.0505756	0.0391991	0.0623729	0.00388722	0.076039	0.00375208	0.00558844	0.0216987	0.0453419	0.0780071	0.0541364	0.0149534	0.0714968	0.189555	0.04828889	-0.09423445	0.0404718	0.0197292	0.121606	0.0105841	0.0874269	0.0691465	0.122682	0.0267877	0.12103	0.0657454	0.0134397	0.138781	0.00245345	0.107325	0.0527907	0.6921819	8	16.13216	0.1570889	0.363435	0.712532	1.08046	1.84358	0.15627	0.21852	0.166816	0.10776	0.284578	0.0660562	0.5979475	1.157597
800	-238.6243	-249.1534	10.52909	1.627536	3.056445	0.00799398	0.00916197	0.164866	0.0509158	0.0554756	0.0405362	0.0140362	0.0921621	0.0092991	0.102805	0.0178468	0.059027	0.0631202	0.0285449	0.0282551	0.0340662	0.0390991	0.00204248	0.00869864	0.0184775	0.192878	0.0280834	0.00954422	0.0112208	0.0225892	0.0295894	0.0233597	0.00537699	0.0706155	0.00670716	0.00454875	0.00400117	0.0524091	0.112401	0.000568166	0.0676802	0.0618005	0.0122617	0.0570438	0.00734525	0.000130904	0.1155	0.0305981	0.0559499	0.0269715	0.00494674	0.107784	0.363765	0.0466858	-0.06423621	0.170427	0.0227733	0.0381692	0.00118973	0.0278706	0.121908	0.0347994	0.113242	0.0288421	0.0926744	0.00659842	0.167707	0.0133379	0.101249	0.0592121	0.5461988	10	16.70326	0.1258319	0.393582	0.734606	1.08278	1.78903	0.182092	0.19771	0.181426	0.10239	0.286163	0.050219	0.4819626	1.13328
900	-220.4122	-245.5747	25.16249	2.244678	3.256149	0.0104689	0.0784696	0.00137186	0.00560582	0.0434514	0.0690015	0.0346215	0.0442133	0.0108092	0.0320481	6.90123e-05	0.00922968	0.0681242	0.00878437	0.030177	0.0025391	0.0646416	0.0152819	0.0150128	0.0133053	0.0372231	0.00494786	0.0165582	0.0190428	0.0325782	0.039133	0.131148	0.0351763	0.0227431	0.00465148	0.0161551	0.168306	0.000951522	0.0093857	0.033975	0.000437125	0.0499953	0.0309224	0.0599048	0.0081576	0.0189673	0.0589589	0.00747196	0.0351472	0.0963768	0.00952332	0.02184	0.0908778	0.03344714	0.01781193	0.0416832	0.0334839	0.212355	0.000311376	0.0609867	0.149396	0.113955	0.0364573	0.0730338	0.0403837	0.00632159	0.184591	0.00542477	0.0263944	0.0152222	0.6002049	7	13.90915	0.1503336	0.408156	0.744792	1.08352	1.76353	0.208623	0.196019	0.11094	0.0691965	0.329346	0.0858766	0.6180169	0.9711789
