Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-250.7396	-251.3079	0.5682961	1.830079	0.1402496	0.158231	0.0376702	0.140477	0.0856979	0.0304549	0.00976374	0.0703103	0.104874	0.114901	0.0134163	0.00453779	0.0233969	0.0493042	0.150817	0.143979	0.0203992	0.01409608	5.105768	0.272111	0.635636	1.06509	2.02716	0.315242	0.221771	0.121285	0.0701668	0.103851	0.167685	0.1723271	0.08179841
1	0	-267.3434	-248.3759	-18.96754	3.265052	0.03484984	0.003188212	0.0189126	0.140491	0.0172981	0.0753531	0.0827099	0.0443366	0.0158614	0.0197459	0.114625	0.0188765	0.0292976	0.0450633	0.254197	0.0200767	0.103155	0.06728202	92.77916	0.408781	0.745222	1.08354	1.76245	0.284771	0.25451	0.111854	0.128346	0.133322	0.0871973	0.07047024	0.954758
2	0	-254.2416	-248.6935	-5.548134	1.3667	0.1829411	0.08536375	0.111514	0.00926533	0.0644052	0.0781613	0.00248084	0.146892	0.022564	0.0056369	0.0137265	0.11183	0.00595942	0.0812071	0.290771	0.0440362	0.0115497	0.03645211	24.11918	0.203977	0.564752	1.04153	2.18974	0.217678	0.134691	0.175389	0.132951	0.152274	0.187017	0.1218159	0.2992394
3	0	-261.5982	-256.6743	-4.923885	1.182586	0.1824917	0.09791978	0.0188777	0.310955	0.0502391	0.0738893	0.0429441	0.076314	0.0105251	0.120037	0.012257	0.0229589	0.0311742	0.0501986	0.0815956	0.0707373	0.0272977	0.03264182	14.12873	0.171883	0.525506	1.02471	2.2779	0.179096	0.31569	0.11316	0.065677	0.1696	0.156778	0.1305616	0.2500109
4	0	-270.5765	-251.6794	-18.89715	1.664721	0.006931179	0.006662438	0.0317066	0.0988023	0.14786	0.0233472	0.0101796	0.0517165	0.135825	0.0541625	0.0279401	0.0660176	0.102161	0.00162164	0.0448225	0.196171	0.00766703	0.00114911	150.4748	0.249684	0.61386	1.05879	2.07767	0.28832	0.217343	0.0788555	0.125159	0.129998	0.160325	0.007811548	0.147104
5	0	-258.1172	-247.8774	-10.23978	2.581448	0.07399133	0.1359022	0.0359371	0.229816	0.169893	0.0969415	0.0248501	0.0591902	0.047454	0.0320467	0.0356763	0.0446966	0.0917812	0.0162713	0.0146127	0.0871474	0.0136854	0.02338652	20.36509	0.354045	0.70536	1.0795	1.8611	0.238488	0.185035	0.0910399	0.125693	0.187157	0.172587	0.1592887	0.1468185
6	0	-264.9228	-254.4268	-10.49605	0.9502182	0.09257108	0.05445434	0.0011868	0.444932	0.0731084	0.0396404	0.0265939	0.0864296	0.094412	0.00650727	0.0418181	0.0223882	0.0442353	0.0315531	0.0716415	0.00432685	0.011226	0.0008699887	39.88046	0.126917	0.46126	0.991235	2.42059	0.249658	0.25871	0.0781306	0.127432	0.081355	0.204715	0.05532433	0.01572525
7	0	-250.4583	-243.0781	-7.380201	2.431427	0.07460083	0.06544423	0.0474575	0.244157	0.153893	0.0195075	0.0117756	0.0526659	0.0403091	0.0383138	0.0615995	0.014161	0.0728152	0.0014175	0.13619	0.0843104	0.021427	0.01070644	21.25697	0.339857	0.694237	1.07781	1.8881	0.273555	0.188082	0.107563	0.0628714	0.153223	0.214705	0.07615067	0.1405955
8	0	-268.2952	-258.4741	-9.821126	0.8158926	0.1971935	0.01910851	0.024315	0.0762617	0.024657	0.00414611	0.0235481	0.212198	0.0548082	0.111533	0.0652074	0.00487609	0.0440284	0.16682	0.00704254	0.172756	0.00780298	0.09337628	18.71125	0.0989358	0.413455	0.961263	2.52635	0.181189	0.373446	0.128306	0.0725955	0.0977079	0.146755	0.1124848	0.8301236
9	0	-264.6757	-255.2563	-9.419436	1.352352	0.07452683	0.03812943	0.020246	0.154936	0.183927	0.0159855	0.0180209	0.00745383	0.0870374	0.0228892	0.0217673	0.0498312	0.0936824	0.199167	0.0423355	0.0453756	0.0373451	0.03602366	26.28611	0.201587	0.561981	1.04043	2.196	0.189123	0.309765	0.068236	0.116135	0.209962	0.10678	0.07415308	0.4858012
10	0	-256.2757	-250.3641	-5.911566	1.217515	0.0570947	0.08687645	0.0275876	0.088232	0.165503	0.0542068	0.0191352	0.0372547	0.132334	0.018978	0.00381849	0.203146	0.0483695	0.0400436	0.104128	0.0396296	0.0176334	0.01234586	16.46009	0.178213	0.533617	1.02841	2.25976	0.171177	0.181301	0.105634	0.125457	0.166964	0.249466	0.09922231	0.1244263
