Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
10	0	-155.7181	-130.2882	-25.42993	6.605067	2.711908	0.778799	0.552861	1.20546	0.131374	0.619799	1.4023	0.159746	0.634851	1.91166	0.220432	0.5707704	-0.06911421	0.0171258	0.0797476	0.231924	0.066907	0.20917	0.0171112	0.0108575	0.0576919	0.111524	0.0126745	0.0215386	0.00320298	0.137339	0.00313167	0.0200555	0.2468514	0	9.893056	0.4171954	0.365669	0.714217	1.08067	1.83944	0.0818346	0.162326	0.0259456	0.594967	0.0304644	0.104463	0.1777372	1.388856
11	0	-156.126	-125.4376	-30.68842	8.567941	6.509402	0.702775	0.740683	0.736513	0.410971	0.133521	0.970299	0.191097	0.250699	0.442629	1.05387	0.4567628	0.06312235	0.0637531	0.130054	0.12504	0.0267417	0.0866517	0.0148153	0.00893035	0.0198548	0.110158	0.129442	0.0545327	0.0799554	0.0477225	0.0371398	0.0652096	0.6903412	0	12.1123	0.1269068	0.554805	0.833013	1.0801	1.53209	0.075871	0.194113	0.0640908	0.56914	0.0271215	0.0696643	0.7534636	0.9162238
12	0	-154.3573	-127.4605	-26.89677	4.739026	3.322376	1.20416	0.839879	0.107409	0.140093	0.39608	2.17596	1.73843	1.13606	1.54283	0.321321	0.7581359	-0.3020742	0.0353137	0.0791616	0.143191	0.0175619	0.0755918	0.00533821	0.0103722	0.00840847	0.0628465	0.218856	0.0320078	0.148445	0.111905	0.00695017	0.0440507	0.5740025	0	6.186855	0.3049411	0.41276	0.747948	1.0837	1.75559	0.0454638	0.161875	0.066087	0.616891	0.0111558	0.098527	0.2719284	2.110859
13	0	-160.6506	-134.1164	-26.53421	14.70868	1.12821	0.224611	0.565181	0.125827	0.6243	0.223234	0.415434	1.10318	1.78469	0.0903751	0.112767	0.4980678	-0.02221372	0.0183422	0.0268384	0.0243845	0.27238	0.0531343	0.0198564	0.0133767	0.020223	0.0431522	0.139001	0.0472962	0.181634	0.00736352	0.00424306	0.128774	0.1800134	0	16.44009	0.1072043	0.161802	0.512165	1.01837	2.30766	0.115427	0.229432	0.0427874	0.454736	0.0760987	0.081519	0.1577997	1.140772
14	0	-154.5387	-136.0493	-18.48944	7.954574	4.171387	0.574925	0.291517	0.511816	0.0150482	0.288222	0.612357	0.162284	0.218067	0.0734943	1.99947	0.3500475	-0.2375281	0.00452285	0.0809974	0.0147777	0.224988	0.0717822	0.0439748	0.001433	0.0273001	0.028191	0.0459378	0.102662	0.0989136	0.0994727	0.0104774	0.144569	0.4149011	0	8.503812	0.2258214	0.463536	0.780935	1.08434	1.67119	0.046748	0.203263	0.0765834	0.582157	0.0527669	0.0384816	0.177373	2.339145
15	0	-153.925	-134.3961	-19.52884	6.224615	3.04031	0.1828	0.118899	0.192402	0.286508	0.0635998	1.40714	0.224259	0.731189	0.46895	0.733451	0.3102723	0.2897956	0.0353944	0.108901	0.092232	0.0804535	0.0551741	0.0211147	0.0148809	0.0352049	0.0521707	0.0347957	0.151915	0.0539452	0.113577	0.0488425	0.101399	0.134367	0	8.193609	0.2776465	0.392356	0.733736	1.08271	1.7912	0.0951028	0.0902341	0.0693813	0.605245	0.0296745	0.110362	0.4241627	0.3167819
16	0	-149.1104	-135.7687	-13.34162	6.590109	2.693707	0.128982	0.305167	0.338775	0.0109589	0.168147	1.6735	0.117539	0.45671	0.315113	0.447239	0.2701776	0.1508541	0.00884354	0.100295	0.0875105	0.0378576	0.0767611	0.0682094	0.0670732	0.0012045	0.0920805	0.125278	0.0310685	0.0181829	0.199956	0.0799996	0.00567961	0.3425104	0	7.485577	0.1194689	0.364085	0.713023	1.08052	1.84237	0.0834932	0.186458	0.0216157	0.609685	0.0318504	0.0668971	0.4933645	0.694234
17	0	-166.3397	-136.4304	-29.90925	5.83316	2.053218	0.374641	0.635309	0.717681	0.608341	3.00283	0.693483	1.0105	0.330994	3.44182	0.631683	0.8297458	-0.1541416	0.0639685	0.0104677	0.0941192	0.187393	0.0938764	0.00135488	0.0253459	0.000969567	0.207528	0.118964	0.0123239	0.113452	0.0104596	0.0338161	0.0259615	0.3566183	0	9.214255	0.1964783	0.299546	0.660556	1.07127	1.96863	0.153203	0.204252	0.0452996	0.515986	0.0585599	0.0226999	0.2024767	1.761281
18	0	-142.5831	-135.0413	-7.541796	6.720511	1.914845	0.175149	0.356781	0.191677	0.0980718	0.19607	0.449404	0.640257	0.110084	0.0722219	0.09128	0.3388947	0.01922885	0.0507386	0.00132096	0.180468	0.0250977	0.0629392	0.0523393	0.0166743	0.112002	0.0263272	0.0404619	0.10341	0.000427435	0.0450122	0.102174	0.180607	0.2115794	0	7.592261	0.2435339	0.282893	0.645642	1.06771	2.00376	0.0759972	0.143515	0.0444841	0.63638	0.0411531	0.058471	0.2308082	0.9166891
19	0	-146.5779	-127.5175	-19.06037	5.046518	3.029776	0.104493	0.226456	0.27753	0.0703779	0.893375	0.652874	0.507839	2.47085	0.388628	0.124992	0.5733668	-0.1482663	0.151328	0.138855	0.164956	0.0387247	0.0572079	0.0387123	0.00493456	0.00981957	0.0606465	0.156307	0.0207123	0.0401159	0.0629705	0.0181532	0.0365558	0.4360038	0	6.827252	0.2766715	0.391552	0.733163	1.08266	1.79263	0.035082	0.199136	0.0277547	0.662898	0.0134875	0.0616418	0.2877376	1.515283
20	0	-159.3424	-128.479	-30.86345	6.556771	4.749964	0.793061	0.801608	1.37802	0.049648	0.0880872	2.29472	2.09611	0.342392	0.444876	0.130587	0.4740368	-0.3591527	0.0356139	0.0329691	0.0299981	0.0129089	0.0688696	0.0337504	0.00902409	0.0996673	0.0462618	0.152283	0.070411	0.166576	0.196371	0.00849883	0.0367974	0.5892655	0	6.623799	0.4387651	0.491349	0.797712	1.08371	1.62723	0.0561916	0.185142	0.0510064	0.607252	0.0381734	0.0622347	0.2301128	2.560768
