Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
1000	-544.5326	-513.9351	-30.59752	16.66845	5.969688	0.0441948	0.00355984	0.0189307	0.0114183	0.0216752	0.000776438	0.034229	0.0152734	0.0102143	0.0101761	0.00130252	0.0232463	0.0411756	0.0766625	0.0407914	0.0247866	0.0124284	0.000603801	0.00526254	0.00105813	0.00439384	0.00833726	0.0621667	0.04917	0.0621941	0.000692371	0.00484264	0.0286174	0.0189614	0.0184625	0.13522	0.0394641	0.0104594	0.0917186	0.0747527	0.0132571	0.0253511	0.0160041	0.041557	0.0129637	0.0284125	-0.009253304	0.10683	0.00920949	0.309832	0.00648912	0.00447743	0.0231958	0.0114617	0.00999692	0.0631121	0.0184407	0.028948	0.0378438	0.0256235	0.288504	0.0560346	0.1315719	6	88.30081	0.0126552	0.537966	0.824022	1.08133	1.55669	0.131158	0.181016	0.161484	0.184783	0.246997	0.0945627	0.1223186	1.075649
1100	-561.5501	-529.9108	-31.6393	10.63729	3.742807	0.210726	0.00667474	0.0651976	0.011636	0.000293651	0.021139	0.0127958	0.000579904	0.0288031	0.00680232	0.015959	0.0316866	0.026319	0.0272121	0.0673421	0.0105745	0.012561	0.0498919	0.0140026	0.0309786	0.0128047	0.0949878	0.00573182	0.00195136	0.003399	0.0237429	0.00248289	0.00923056	0.00765062	0.0267525	0.0264504	0.0556188	0.006548	0.0535211	0.00976668	0.0125272	0.0442112	0.00646739	0.0199274	0.00286367	0.02331798	-0.00254445	0.0206366	0.00851482	0.158618	0.0183381	0.0194312	0.0035475	0.0270277	0.0379905	0.0321443	0.00627819	0.0265091	0.263356	0.0133707	0.312088	0.0521496	0.1907192	3	80.18848	0.01291984	0.43965	0.765818	1.08435	1.71019	0.155812	0.311114	0.136654	0.133102	0.188911	0.0744069	0.1881748	1.013522
1200	-545.2187	-508.9057	-36.31294	7.578946	4.698318	0.0865174	0.0467376	0.0300231	0.000259612	0.0996661	0.0613457	0.0169853	0.014873	0.0173633	0.00168112	0.0129794	0.00627923	0.00934262	0.104333	0.0885921	0.00740729	0.0307964	0.0038387	0.0151761	0.00608085	0.0187459	0.0350784	0.00933943	0.000720514	0.011835	0.02103	0.000533086	0.0776389	0.045416	0.0314027	0.0463928	0.0108412	0.0433155	0.0132268	0.0945943	0.0146969	0.0041325	0.00644102	0.0331625	0.0578106	0.0388217	-0.03119566	0.0332147	0.016815	0.177509	0.0537385	0.134987	0.00264059	0.032881	0.0542095	0.0761251	0.0366374	0.018676	0.11847	0.0184983	0.0936036	0.131994	0.1995367	3	67.61982	0.01485218	0.489044	0.796353	1.08378	1.63082	0.1389	0.272453	0.159906	0.181333	0.173109	0.0742984	0.168341	1.185312
1300	-527.0287	-514.4742	-12.55457	38.21723	4.259891	0.0382509	0.00963101	0.0175384	0.00883507	0.0103415	0.00222876	0.0318397	0.000362967	0.00402302	0.0141539	0.0356271	0.0211927	0.0436805	0.0242706	0.029227	0.00137301	0.00741653	0.000506884	4.45472e-05	0.0100592	0.00257089	0.00882745	0.0234025	0.000834422	0.0303225	0.00567021	0.0265287	0.0173727	0.00027412	0.0101542	0.00463692	0.0129383	0.00361593	0.00352838	0.0238872	0.0010266	0.000544168	0.0138654	0.0230438	0.0227856	0.01623518	-0.01318739	0.0909733	0.0111763	0.138824	0.0172788	0.0351566	0.00442743	0.0479611	0.0482839	0.13774	0.0267654	0.0444113	0.183022	0.0439536	0.134907	0.0351185	0.1146785	6	117.2867	0.01300662	0.468093	0.783743	1.08428	1.66389	0.2161	0.179277	0.183272	0.127806	0.213406	0.0801397	0.1014911	1.129936
1400	-543.0564	-518.2305	-24.82594	20.9826	3.550326	0.0624459	0.013748	0.0335701	0.0503076	0.0120836	0.0347921	0.00294938	0.00210107	0.0153665	0.0153034	0.0351231	0.098372	0.0263755	0.0480038	0.0820733	0.0542472	0.00416924	0.0942768	0.0292882	0.049781	0.0305767	0.00399192	0.0143078	0.00378553	0.0205304	0.048305	0.00699523	0.0390845	0.00906974	0.00324516	0.0979082	0.001174	0.0212285	0.0666161	0.0175634	0.0389692	0.0193471	0.000236726	0.0190865	0.0299466	0.03307612	-0.01413028	0.0461499	0.0011993	0.207854	0.0202043	0.0255057	0.00298027	0.0502545	0.0272455	0.0755984	0.0518504	0.00807333	0.0952486	0.0662724	0.0539234	0.26764	0.09436509	8	81.70997	0.03135322	0.427813	0.758067	1.08415	1.72997	0.195886	0.211429	0.256342	0.105416	0.143519	0.0874068	0.08023482	1.176112
1500	-542.7812	-514.0944	-28.68679	3.345528	1.993899	0.0484162	0.00231274	0.0511938	0.00290637	0.00742931	0.0115654	0.0356582	0.0261718	0.0145787	0.0254406	0.0286512	0.0414393	0.0383337	0.0778833	0.0345931	0.0559241	0.0103846	0.0116624	0.00354176	0.000452933	0.0347348	0.0215715	0.00159741	0.00187704	0.000567346	0.0191096	0.0548675	0.0232661	0.0585672	0.00175834	0.0021277	0.0126331	0.015529	0.166569	0.0669614	0.130368	0.0328651	1.04344e-05	0.00435571	0.0145011	0.03063486	-0.008050263	0.0516844	0.00395438	0.128183	0.0564245	0.0424938	0.00664143	0.0638232	0.0193681	0.059006	0.102455	0.015446	0.124121	0.0192456	0.257734	0.0494193	0.1087115	5	71.91968	0.0207662	0.292545	0.654363	1.06984	1.98325	0.145491	0.209424	0.152735	0.145566	0.278287	0.0684968	0.1006612	1.079974
1600	-549.7651	-531.6497	-18.11547	23.59812	2.665314	0.00820345	0.00154326	0.0603198	0.0138665	0.00581498	0.00403943	0.023479	0.000814308	0.0289071	0.0127095	0.0323516	0.0146329	0.00406628	0.0623414	0.0350026	0.0115665	0.000360355	0.00494566	0.00774211	0.05176	0.00742006	0.0143841	0.00290945	0.00585739	0.142916	0.000431844	0.00231737	0.000812516	0.0192759	2.66332e-05	0.037716	0.0157035	0.000422395	0.0150495	0.0495713	0.00825798	0.0254021	0.0457973	0.00156	0.0202579	0.01969283	0.000832568	0.114977	0.0275137	0.208021	0.0600677	0.0151497	0.0144774	0.0394699	0.030207	0.028874	0.0228916	0.0222467	0.063583	0.13694	0.098824	0.116757	0.2969409	5	83.73752	0.01071016	0.36159	0.711134	1.08028	1.847	0.14027	0.210689	0.263009	0.107936	0.16037	0.117726	0.2977734	0.997204
1700	-580.4055	-526.6856	-53.7199	10.62677	1.410602	0.112254	0.0251947	0.0920731	0.0385974	0.0153571	0.115353	0.0164092	0.00770324	0.124851	0.0661355	0.0458232	0.000479777	0.0267278	0.146457	0.166937	0.00954683	0.00199583	0.192491	0.00745152	0.0650397	0.0982696	0.314387	0.0184713	0.0021947	0.0927477	0.00636589	0.0538073	0.0242436	0.0221688	0.00495995	0.0454399	0.0342754	0.0842072	0.115178	0.0895681	0.171104	0.0319186	0.0350209	0.163186	7.17288e-05	0.061203	-0.0008628704	0.0350744	0.0207886	0.296216	0.0657512	0.0276066	0.00345254	0.0601804	0.0364275	0.0393151	0.0411503	0.0453032	0.0777291	0.015634	0.156222	0.0791488	0.1513758	6	65.36306	0.02359864	0.211176	0.572967	1.04471	2.17115	0.142046	0.293195	0.202296	0.138048	0.136027	0.0883883	0.1505129	1.005733
1800	-529.8112	-514.0338	-15.77748	8.784412	2.312235	0.0458963	0.000565106	0.0411734	0.0313105	0.0145223	0.0230923	0.0413917	0.00895828	0.00309122	0.0134753	0.00827996	0.00320847	0.00843671	0.0250214	0.0307297	0.00636041	0.000151519	0.000330926	0.0255962	0.00112531	0.0563938	0.000953277	0.0108412	0.0021851	0.0477807	0.010299	0.038277	0.0348354	0.00812268	0.00635473	0.00810258	0.0284589	0.00269949	0.110672	0.0467779	0.0482774	0.0675339	0.0310652	0.0292818	0.0108502	0.02608164	-0.00890955	0.0446791	0.00220222	0.126154	0.0635171	0.00729101	0.0352653	0.114758	0.0383691	0.00540441	0.0712167	0.0164279	0.0692832	0.0289308	0.294512	0.0819892	0.08523379	6	66.6403	0.0379149	0.3279	0.684579	1.07615	1.91137	0.154764	0.239947	0.194068	0.119854	0.193525	0.0978425	0.07632424	1.116733
1900	-530.9671	-506.3167	-24.65042	13.64246	4.581232	0.0224028	0.00453996	0.0467061	0.0148372	0.00665393	0.00681987	0.019617	0.0065876	0.0596067	0.024818	0.0449935	0.0191916	0.0788953	0.00326449	0.00464293	0.0034723	0.000164895	0.000450122	0.00402584	0.0683899	0.000101269	0.00646091	0.0145251	0.000887989	0.0018888	0.0134509	0.0314201	0.0179939	0.0058059	0.0521686	0.0518052	0.0563322	0.020148	0.0174911	0.0869798	0.0362576	0.0561995	0.0742304	0.00961141	0.00890155	0.0305527	0.001576228	0.0280756	0.0136148	0.282551	0.0569726	0.0158496	0.0122994	0.0368519	0.0411225	0.116093	0.0131363	0.0216884	0.115182	0.0301514	0.0739508	0.14246	0.1368262	6	72.71655	0.02799586	0.483697	0.79318	1.08394	1.63918	0.192807	0.210041	0.224944	0.173552	0.121119	0.0775368	0.1384025	0.9886113
