Iteration	Posterior	Likelihood	Prior	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-258.7978	-250.9763	-7.821575	2.95508	0.471883	0.436966	0.237735	1.03016	1.00653	0.501557	1.15234	0.0321593	0.168427	0.310885	0.250831	0.35914	0.0407531	0.469489	0.0694126	0.0336072	0.4639899	0.03003732	0.0248551	0.167191	0.203605	0.0674999	0.0058883	0.0294328	0.0261361	0.0130651	0.0580439	0.0674873	0.0518896	0.0788246	0.0962805	0.0889	0.0209009	0.1247924	5.439019	0.385757	0.72901	1.08229	1.80295	0.305892	0.264661	0.0667786	0.0938453	0.148063	0.12076	0.1548297	0.8059977
100	-231.4309	-251.8337	20.40274	2.824029	0.0118623	0.00872509	0.00771819	0.0862275	0.126393	0.0273618	0.0340796	0.018653	0.0126626	0.0421869	0.0681818	0.0229116	0.043213	0.0686536	0.0125388	0.0520152	0.0569166	0.01870814	0.0262561	0.106597	0.115672	0.0591183	0.0552491	0.013757	0.00194971	0.0135535	0.194382	0.00663268	0.0661241	0.0115277	0.222561	0.0805893	0.0260303	0.02101867	56.26678	0.375173	0.721295	1.0815	1.82204	0.246152	0.337623	0.0735051	0.0824734	0.162552	0.0976944	0.03972681	0.5290803
200	-239.5649	-250.2417	10.67687	3.749533	0.220518	0.131979	0.0313417	0.0568483	0.130992	0.358911	0.359413	0.0705754	0.150862	0.0247717	0.0303336	0.00497303	0.14919	0.0551793	0.0065459	0.069949	0.1397118	0.07616126	0.058397	0.0431717	0.0899033	0.0118461	0.0161136	0.00515451	0.0660327	0.02694	0.0541033	0.0318595	0.0882494	0.000726083	0.268757	0.215104	0.0236415	0.002167538	26.15959	0.44005	0.766077	1.08435	1.70952	0.164311	0.160796	0.16605	0.0872902	0.194045	0.227508	0.0783288	0.02767231
300	-220.8809	-249.0796	28.19866	1.434661	0.00826197	0.0255903	0.00021507	0.0139425	0.0171058	0.0225844	0.0369208	0.0137631	0.0306413	0.00367805	0.0159854	0.00600321	0.0288341	0.0164069	0.00495902	0.00480749	0.01365728	0.00427124	0.0221604	0.0956805	0.269911	0.0703781	0.018028	0.0019788	0.12345	0.00314517	0.062486	0.120617	0.0460567	0.0321109	0.0997622	0.018725	0.0155116	0.006377941	292.41	0.21505	0.577307	1.04634	2.1613	0.252843	0.180157	0.153344	0.0569837	0.206804	0.149868	0.01064918	0.5989138
400	-215.3679	-243.5354	28.16747	2.753068	0.000794881	0.0376686	0.000875521	0.0236696	0.00805099	0.0126118	0.0708311	0.00417838	0.00406265	0.0305876	0.004308	0.00207886	0.00741729	0.0280237	0.0148595	0.0487728	0.02413845	0.008979642	0.0508756	0.0903481	0.0204869	0.00889688	0.065477	0.0042589	0.00573111	0.00324968	0.253753	0.024821	0.279842	0.00217176	0.135784	0.0357693	0.0185344	0.003669164	139.8585	0.369208	0.71687	1.08099	1.83293	0.288961	0.232824	0.114446	0.0806118	0.146065	0.137093	0.01264881	0.2900799
500	-228.9453	-243.9893	15.04398	2.903889	0.00622739	0.0609193	0.00234558	0.122578	0.0569641	0.0242627	0.181526	0.0256304	0.0245342	0.0402883	0.0133049	0.024829	0.0359642	0.0313269	0.00399758	0.00653858	0.09254744	0.01516531	0.0179342	0.264325	0.0408879	0.0855001	0.00462024	0.000878479	0.0266654	0.00423819	0.162237	0.100986	0.0829891	0.0197961	0.105453	0.0208238	0.0626644	0.009569737	76.44077	0.381687	0.726064	1.082	1.81025	0.219086	0.2767	0.101598	0.0814617	0.177435	0.14372	0.02473504	0.3868898
600	-241.4159	-245.2785	3.862669	3.417605	0.0001169	0.0811461	0.026375	0.00924396	0.145449	0.106848	0.363371	0.418884	0.0506327	0.225089	0.237822	0.019268	0.128937	0.0519301	0.154979	0.022087	0.1274168	0.01678772	0.0209555	0.234957	0.171247	0.0151567	0.0308131	0.0636391	0.00473248	0.000280728	0.0438625	0.0854558	0.0668727	0.00867208	0.206281	0.0419859	0.00508792	0.0207748	55.13849	0.419193	0.752309	1.08392	1.74457	0.204062	0.275492	0.0705791	0.0907804	0.189542	0.169543	0.03756252	0.5530726
700	-219.9101	-246.0531	26.14291	2.76549	0.0549239	0.00405906	0.0373578	0.0344759	0.0129248	0.0111318	0.0576149	0.093392	0.00697942	0.0148892	0.0283396	0.000607155	0.0314628	0.001234	0.0141451	0.0436488	0.02614089	0.0281134	0.0483874	0.0293884	0.159122	0.0305625	0.0160008	0.0126914	0.0128875	9.37313e-05	0.278234	0.0637262	0.049536	0.0399883	0.215487	0.0220296	0.0218659	0.02914775	51.73698	0.370265	0.717658	1.08108	1.83099	0.229769	0.32841	0.174724	0.0785163	0.104137	0.0844437	0.05726115	0.5090318
800	-236.3332	-246.8438	10.51062	1.898082	0.142008	0.0120897	0.0862448	0.0671445	0.0329921	0.144542	0.0665869	0.106316	0.00795676	0.125659	0.0679148	0.0163565	0.0558817	0.00627643	0.172801	0.172007	0.08346476	0.02962331	0.0375288	0.0588892	0.0127644	0.0196099	0.00903544	0.0303195	0.04292	0.000212775	0.0729332	0.0438289	0.137585	0.0894216	0.208119	0.151689	0.0851429	0.008255012	69.09124	0.280797	0.643719	1.06722	2.00827	0.227785	0.174965	0.152427	0.125019	0.230419	0.0893854	0.03787832	0.217935
900	-235.6442	-250.5569	14.91275	3.246472	0.0871696	0.0452299	0.00413499	0.00558103	0.0523138	0.0225327	0.0673715	0.0299217	0.0295057	0.0362881	0.0830022	0.0146491	0.0045061	0.0860853	0.0510966	0.00956153	0.05188417	0.009385266	0.00875618	0.152498	0.0018424	0.00928818	0.0126078	0.0467483	0.11175	0.000977611	0.400146	0.0474815	0.134841	0.00554568	0.0531922	0.00696727	0.00735719	0.003418148	188.9668	0.407474	0.744322	1.08349	1.76471	0.185918	0.324825	0.0860903	0.119748	0.125116	0.158302	0.01280341	0.2669716
