Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-241.438	-236.0439	-5.394081	2.333885	2.986453	0.192683	0.0696229	0.0448573	0.037886	0.0967654	0.0285954	0.0779645	0.0846356	0.124109	0.155376	0.399461	0.759206	0.307859	0.111031	0.0198897	0.0244102	0.1538376	0.09724845	0.0485005	0.0283066	0.143234	0.0034422	0.162749	0.0619225	0.124769	0.0935263	0.00113502	0.0555178	0.0390932	0.130208	0.0159799	0.0368657	0.0547495	0.1651107	3	13.30573	0.1279634	0.388211	0.730775	1.08245	1.79857	0.189819	0.240856	0.145614	0.109774	0.234274	0.0796633	0.2623591	0.6293308
100	-242.5026	-232.2191	-10.28346	2.280066	4.403785	0.124864	0.162518	0.0097403	0.0155033	0.0233996	0.0408653	0.0272723	0.448033	0.241896	0.069077	0.830144	0.295084	0.0571694	0.17979	0.153381	0.121245	0.1220613	-0.07703424	0.0791199	0.0906045	0.189171	0.000887285	0.0226755	0.0573663	0.100194	0.0590854	0.0300146	0.103958	0.0236226	0.168458	0.00548312	0.0527915	0.0165687	0.2851012	3	14.14169	0.1748286	0.475256	0.788109	1.08415	1.65248	0.176033	0.255444	0.128915	0.101484	0.301375	0.0367493	0.208067	1.370238
200	-253.7427	-238.013	-15.72968	4.764583	2.814488	0.0984725	0.340487	0.00016888	0.188668	0.927945	0.337164	0.0556482	0.0196444	0.0120063	0.211003	0.345727	0.0654976	0.260943	0.109995	0.216825	0.318921	0.2593549	0.0251962	0.0422105	0.0210111	0.175552	0.0481341	0.0484962	0.125903	0.0430432	0.0131264	0.119772	0.0327687	0.00184314	0.205347	0.0396563	0.0684644	0.0146715	0.3106317	3	15.19574	0.1015712	0.374381	0.72071	1.08143	1.82348	0.241562	0.204455	0.167825	0.094994	0.247122	0.0440411	0.3358279	0.9249729
300	-246.0713	-240.8384	-5.232882	6.460092	3.029464	0.0428879	0.106938	0.034446	0.14291	0.0576193	0.0810181	0.10473	0.0315271	0.15823	0.0949788	0.0149986	0.214549	0.0645843	0.157945	0.0625754	0.0343648	0.0592161	0.03071954	0.0653785	0.00195135	0.0353556	0.00301363	0.0581658	0.204796	0.270361	0.0367618	0.041371	0.1238	0.00858137	0.109088	0.0110989	0.0268815	0.00339547	0.3360167	1	17.29915	0.1216646	0.391528	0.733146	1.08266	1.79267	0.201815	0.173915	0.187986	0.0743488	0.306159	0.0557758	0.3667362	0.9162353
400	-244.4817	-235.7795	-8.702239	1.580564	4.605917	0.0796566	0.0411653	0.0227579	0.0286352	0.0422513	0.111062	0.182074	0.00342079	0.230742	0.0963719	0.0739361	0.499017	0.0671431	0.130361	0.294037	0.17436	0.1611433	-0.008295232	0.105481	0.0260059	0.134512	0.0044882	0.0258009	0.0681355	0.108979	0.00219207	0.191846	0.0850076	0.0066424	0.0602339	0.0311502	0.089199	0.0603269	0.3214127	2	16.72777	0.1089302	0.484838	0.79386	1.08391	1.63739	0.195727	0.237477	0.112397	0.0857069	0.283062	0.0856297	0.3131175	1.026492
500	-246.77	-242.9923	-3.777718	2.852144	3.082638	0.0571835	0.0392068	0.0541317	0.0265683	0.0198085	0.17639	0.014449	0.0405272	0.0197685	0.0291968	0.0730484	0.0759714	0.169155	0.234751	0.0764976	0.0766675	0.06973157	-0.1428466	0.0765343	0.0109343	0.113249	0.0107427	0.0307942	0.115752	0.167156	0.112714	0.0290916	0.0126263	0.0478486	0.0806889	0.00290214	0.102664	0.086302	0.3594347	2	20.3903	0.03670883	0.395556	0.736003	1.08289	1.78555	0.273576	0.134185	0.138741	0.0834819	0.256513	0.113504	0.2165882	1.659531
600	-236.4345	-233.8194	-2.61504	3.054408	2.009383	0.216313	0.191698	0.0277631	0.0209397	0.00333483	0.0199754	0.0279966	0.0917981	0.0529032	0.0981809	0.118112	0.0144374	0.338794	0.258444	0.214717	0.146146	0.1005582	0.01747123	0.104399	0.00519382	0.123229	0.00395201	0.16138	0.130937	0.0543316	0.0825388	0.113555	0.0911659	0.000375847	0.0531392	0.00919533	0.0655675	0.00103954	0.1685853	2	13.41443	0.1909138	0.294392	0.656008	1.07022	1.97938	0.174538	0.176525	0.122464	0.0843006	0.331553	0.110618	0.1860565	0.9060972
700	-243.5203	-237.6663	-5.853927	0.867335	1.69942	0.00990285	0.0125908	0.0220923	0.0935266	0.0821593	0.0264877	0.366354	0.00195744	0.265235	0.0778795	0.211271	0.275238	0.136961	0.203407	0.132705	0.0605659	0.1279086	-0.148941	0.0488994	0.0337061	0.0915407	0.00131491	0.0207572	0.177197	0.120945	0.0303573	0.147118	0.0132419	0.0135474	0.225273	0.00958765	0.0413861	0.0251284	0.3966841	2	16.94349	0.1178931	0.254551	0.618702	1.06026	2.06648	0.146273	0.204212	0.0888328	0.051787	0.443331	0.0655643	0.2477431	1.601191
800	-236.4527	-239.3137	2.861077	3.138391	3.125452	0.0590593	0.0709871	0.0346519	0.0111134	0.0180149	0.109107	0.0773862	0.0171484	0.0100933	0.0776673	0.00586999	0.00239167	0.0804711	0.0203563	0.0766459	0.0642144	0.05324696	0.1834769	0.127997	0.0158629	0.313644	0.00587078	0.00445212	0.0980374	0.0770001	0.046825	0.0489703	0.0624005	0.00337576	0.126339	0.0046055	0.0413966	0.023222	0.1815219	1	19.04544	0.09467344	0.39874	0.738246	1.08307	1.77995	0.131667	0.194213	0.151495	0.054635	0.387804	0.0801867	0.3649989	0.4973219
900	-246.1539	-237.1026	-9.05129	3.666526	2.763125	0.0908303	0.151913	0.0577627	0.138443	0.183041	0.220338	0.21633	0.00872377	0.100342	0.168298	0.26084	0.273422	0.238593	0.135798	0.179941	0.120136	0.1231869	-0.05892568	0.0412983	0.0192399	0.215969	0.00889281	0.0521897	0.0525965	0.0607452	0.0681183	0.0177935	0.0638949	0.022067	0.333214	0.00303846	0.00382213	0.0371203	0.2916301	4	15.98099	0.1907987	0.370064	0.717508	1.08107	1.83136	0.209536	0.119237	0.141637	0.111386	0.366359	0.0518445	0.2327045	1.253221
1000	-243.739	-236.0121	-7.726891	1.954104	3.679717	0.310902	0.203581	0.123621	0.0164565	0.00182282	0.0619806	0.0827285	0.0817944	0.000201593	0.0961129	0.0308892	0.20498	0.217405	0.0409433	0.00763392	0.277678	0.1739942	-0.03041432	0.178069	0.0133656	0.179853	0.00814163	0.0411725	0.073581	0.0618187	0.0303932	0.00794281	0.0755456	0.00883813	0.0595729	0.0524928	0.203066	0.00614772	0.2917495	2	24.12045	0.06043853	0.435853	0.76335	1.0843	1.7165	0.169126	0.150535	0.169168	0.0843325	0.38055	0.0462881	0.2613352	1.116381
1100	-237.88	-236.9127	-0.9672941	2.155177	1.745851	0.105953	0.0124642	0.0548871	0.0292504	0.0650431	0.126712	0.0560798	0.0804751	0.101357	0.106564	0.0936408	0.0577034	0.113603	0.176981	0.145512	0.110923	0.1131802	-0.1036508	0.153136	0.0255218	0.110383	0.00400997	0.0282804	0.129882	0.0568152	0.0197194	0.142452	0.0399644	0.0199808	0.201959	0.00599559	0.0574989	0.00440229	0.425341	2	14.88453	0.1953256	0.260927	0.624946	1.0621	2.05202	0.110459	0.156317	0.179419	0.134962	0.373249	0.0455938	0.3216902	1.322207
1200	-246.6104	-236.3556	-10.25479	0.9977499	3.859727	0.242993	0.131348	0.0798694	0.0255701	0.00691464	0.227843	0.470986	0.272346	0.146732	0.147771	0.389726	0.0300394	0.261294	0.0573715	0.0911012	0.272119	0.1391808	0.09286467	0.0965353	0.00423038	0.184896	0.000746696	0.036885	0.0959296	0.0386972	0.00973514	0.0289808	0.161016	0.0169181	0.294634	0.000511788	0.0155047	0.014779	0.2794596	2	13.11623	0.03665422	0.446486	0.770214	1.0844	1.6989	0.211798	0.141832	0.128619	0.119005	0.305852	0.0928945	0.3723243	0.7505812
1300	-242.5501	-231.9553	-10.59485	1.603698	3.600749	0.163668	0.241676	0.0830436	0.0327862	0.35177	0.0154778	0.178778	0.0384603	0.287167	0.114821	0.425398	0.0105085	0.357451	0.198576	0.0258127	0.0802479	0.2842249	-0.04232391	0.0778052	0.0415286	0.164464	0.00108943	0.114117	0.184304	0.0136386	0.0663641	0.122405	0.0417906	0.00423395	0.0349861	0.00543444	0.124431	0.00340747	0.3188282	3	17.085	0.07874929	0.430987	0.760163	1.08422	1.72463	0.158627	0.177481	0.190404	0.106015	0.328764	0.0387079	0.2765043	1.153068
1400	-241.0212	-237.2616	-3.75966	1.430375	2.25322	0.241556	0.0451069	0.0162162	0.0251746	0.00404956	0.211137	0.469509	0.119064	0.114137	0.824671	0.00476132	0.150034	0.10438	0.032773	0.0249772	0.0147617	0.1444687	0.08822291	0.076886	0.0277887	0.153213	0.00136689	0.0399056	0.158326	0.0295754	0.0442073	0.089515	0.129943	0.010426	0.0636893	0.0269966	0.138732	0.00942862	0.2255092	3	15.04979	0.1053424	0.321737	0.679495	1.0752	1.92356	0.206886	0.171577	0.165716	0.0393119	0.336095	0.0804143	0.3137321	0.7187954
