Iteration	Posterior	Likelihood	Prior	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-221.4189	-217.1021	-4.316818	1.879442	0.09900305	0.02516397	0.00684186	0.0684796	0.306812	0.248878	0.0177083	0.00137306	0.0201782	0.00189865	0.148241	0.0195028	0.0974561	0.00283305	0.0251571	0.0220187	0.0126218	0.09805698	18.90833	0.278446	0.641549	1.06666	2.01335	0.114631	0.126998	0.207262	0.0537101	0.371364	0.126035	0.123221	0.7957817
100	-224.1995	-219.4288	-4.770672	4.425187	0.04525985	0.06152463	0.0179345	0.00858187	0.0352769	0.224425	0.000804677	0.0214778	0.0145987	0.000134887	0.196396	0.0259178	0.32532	0.031131	0.0802845	0.0109748	0.00674148	0.007993413	21.23324	0.476297	0.788738	1.08413	1.65084	0.187129	0.149667	0.215303	0.0659914	0.277525	0.104385	0.06951805	0.1149833
200	-232.7469	-220.0581	-12.68873	1.961483	0.01349256	-0.001803651	0.013575	0.0164551	0.00885799	0.128818	0.0213039	0.00365183	0.0687677	0.0012423	0.201379	0.0250042	0.2568	0.00194498	0.207264	0.0420854	0.00285041	0.0263334	88.05408	0.288633	0.650854	1.069	1.99152	0.133018	0.200492	0.206537	0.051515	0.302189	0.106249	0.02452975	1.073529
300	-236.4965	-231.2331	-5.263311	2.687841	0.03494171	0.0513152	0.0289241	0.0626343	0.122203	0.23627	0.0796314	0.00314285	0.0299667	0.0442437	0.099065	0.125046	0.0919205	0.00297282	0.0491784	0.0235201	0.00128153	0.003730231	33.89101	0.363572	0.712636	1.08047	1.84332	0.104923	0.220901	0.27077	0.0444066	0.179669	0.179331	0.05504543	0.06776641
400	-225.2364	-220.06	-5.176466	3.089145	0.06945139	0.1735367	0.00582936	0.0771133	0.136881	0.14445	0.0520158	0.0175321	0.0520968	0.00567685	0.204234	0.0229416	0.0671927	0.00116902	0.15083	0.0552319	0.00680379	0.01419953	19.08257	0.396043	0.736347	1.08292	1.78469	0.137809	0.134203	0.173632	0.077459	0.35876	0.118136	0.1877362	0.07563552
500	-234.679	-226.0893	-8.589685	5.36456	0.04530564	0.0906429	0.00261809	0.028507	0.0376588	0.226169	0.0332614	0.0218839	0.0457077	0.0194659	0.382676	0.0373048	0.0708129	0.0168745	0.00957542	0.0607249	0.00675935	0.02704532	23.94668	0.516549	0.812202	1.08262	1.58863	0.191136	0.138737	0.2943	0.079453	0.236652	0.0597217	0.1176882	0.2298048
600	-224.349	-220.4295	-3.919461	3.749731	0.08416593	0.09684797	0.00431737	0.282226	0.0508773	0.190047	1.98081e-05	0.00374835	0.028394	0.00171923	0.129753	0.102803	0.106527	0.0412903	0.0196182	0.0320195	0.00663923	0.008867435	20.68911	0.440062	0.766084	1.08435	1.7095	0.129332	0.103094	0.242463	0.0524731	0.33293	0.139707	0.1057154	0.08388025
700	-229.8321	-221.086	-8.746114	5.244939	0.02943266	0.04369952	0.00293341	0.184797	0.0167903	0.0701622	0.00609603	0.012835	0.0938858	0.0184037	0.201303	0.0457194	0.20722	0.00691064	0.0269761	0.102007	0.0039612	0.03316497	46.22428	0.511943	0.809602	1.08285	1.5956	0.136134	0.229445	0.21838	0.0378566	0.238429	0.139755	0.07686449	0.4314732
800	-230.3609	-220.7699	-9.590997	1.869049	0.03027846	0.03281145	0.0031747	0.105948	0.120192	0.0848373	0.00217755	0.00181885	0.0120545	0.00591408	0.164095	0.113419	0.205918	0.00716968	0.12573	0.0423545	0.00519604	0.001045103	100.2982	0.277125	0.640325	1.06634	2.01621	0.156077	0.204275	0.191083	0.0789705	0.21932	0.150274	0.03385656	0.03086857
900	-240.3672	-229.2636	-11.10367	1.131965	0.02557875	0.002177042	0.00692525	0.0733635	0.010381	0.102017	0.0227343	0.0149106	0.032428	0.0329657	0.107922	0.0224382	0.114678	0.0135425	0.24802	0.180047	0.0176265	0.005173949	128.4993	0.162507	0.513116	1.01884	2.30554	0.18945	0.149007	0.273815	0.0622529	0.223512	0.101963	0.007350991	0.7038437
