Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
1000	-398.0119	-356.2396	-41.77228	7.405453	1.905281	0.763345	0.148957	0.188263	0.65869	0.215459	0.187549	0.24265	0.280482	0.556881	1.03388	0.324207	0.502093	0.0228736	0.45416	0.0490121	0.0490679	0.952074	0.910496	0.54158	0.215831	0.0238854	0.541305	0.3441122	-0.1145496	0.0907756	0.0362313	0.0454996	0.0423736	0.0251687	0.0951442	0.109035	0.0456009	0.0858788	0.0277858	0.134805	0.0422532	0.0998383	0.108688	0.010922	0.4406576	3	12.33316	0.2304096	0.2817	0.644548	1.06743	2.00632	0.168874	0.141418	0.204036	0.0918015	0.274258	0.119612	0.3261081	1.351263
1100	-392.5187	-344.3895	-48.12917	7.463964	3.627451	0.661443	0.24096	0.638792	0.798228	0.702589	0.167822	0.0843284	1.00037	0.873546	0.136165	0.0381331	0.681851	0.348689	0.265369	0.013042	0.609496	0.65588	1.60236	0.787911	0.180538	0.0694066	0.114833	0.60512	-0.09501389	0.0503836	0.0428496	0.101959	0.126636	0.10523	0.025143	0.0411945	0.00483073	0.107889	0.0894372	0.135817	0.0072029	0.0485867	0.0760266	0.0368143	0.5596475	4	7.692521	0.2937316	0.432647	0.761253	1.08425	1.72185	0.121159	0.243515	0.210206	0.0644084	0.234184	0.126528	0.4646336	1.204492
1200	-400.6485	-349.9139	-50.73461	13.26654	2.475016	0.417004	0.147147	0.239567	0.295796	1.33882	0.744395	0.31578	0.426838	0.248193	0.25601	0.224887	0.572546	1.53399	0.331811	0.238889	0.120408	0.344528	0.433056	0.187658	0.115052	0.228038	0.0469042	0.3524276	0.009295405	0.0811737	0.104543	0.0655244	0.0117856	0.102655	0.00966311	0.00459251	0.0320987	0.0324733	0.0125393	0.313393	0.0358064	0.0269946	0.142261	0.0244979	0.4516885	2	15.96103	0.08966218	0.344075	0.69758	1.07834	1.88001	0.188919	0.203282	0.175831	0.0974978	0.213675	0.120796	0.4609839	0.9798357
1300	-397.4299	-342.506	-54.92385	9.709714	4.191227	0.168052	0.026147	0.00722317	0.986413	0.985075	0.362131	0.225111	0.432596	1.35316	0.577658	0.272036	0.16019	0.736964	0.703333	0.941792	0.961	0.844812	0.804259	0.507133	0.118428	0.357053	0.500308	0.3807424	-0.02664503	0.0659642	0.159464	0.0150428	0.0432966	0.0365286	0.0654578	0.130887	0.0117246	0.106762	0.0533871	0.202779	0.0234993	0.00678416	0.0676	0.0108223	0.7555055	3	11.53007	0.2016998	0.464568	0.781573	1.08433	1.66953	0.178551	0.144964	0.171599	0.112753	0.196568	0.195565	0.7288605	1.036557
1400	-391.3754	-345.235	-46.1404	8.188067	2.986979	0.780187	0.221539	0.0791103	0.607951	0.68345	0.191258	0.251574	0.0689389	0.164035	0.460177	0.250729	1.3355	0.463998	0.661158	0.175555	0.97307	0.244788	0.524663	0.203545	0.0918381	0.102053	0.849742	0.2156303	-0.02080878	0.125824	0.0354861	0.0945479	0.0778258	0.0278938	0.0675994	0.0185871	0.0176531	0.201612	0.0788399	0.130589	0.03533	0.000407761	0.0474566	0.0403482	0.4568322	3	8.466022	0.2767946	0.388252	0.730804	1.08245	1.79849	0.113592	0.0902947	0.209408	0.0880266	0.353988	0.14469	0.4360234	1.047724
1500	-398.779	-346.8164	-51.96259	8.00936	5.057307	0.272571	1.87829	0.00274214	0.335008	0.92119	0.250793	0.160184	0.475817	0.548919	0.297027	0.742317	0.468105	0.0967253	0.0552732	0.479932	0.326863	0.0808086	3.05133	0.385528	0.216357	1.49447	0.0650391	0.5182919	-0.03040406	0.00925832	0.194403	0.131593	0.0079811	0.0906626	0.0597399	0.0495217	0.0150958	0.230537	0.0146882	0.0576606	0.00998305	0.0716564	0.0351503	0.022069	0.3906475	4	8.814391	0.1707503	0.50444	0.80532	1.0832	1.60704	0.122562	0.0804245	0.19722	0.114619	0.384653	0.100522	0.3602434	1.084399
1600	-404.2509	-354.8813	-49.36964	11.19846	1.739667	0.127086	0.306547	0.139415	0.591809	0.413302	0.163415	0.154928	0.316238	1.09721	0.929311	0.722458	0.764368	1.44883	0.0867317	0.733562	0.150271	0.0793898	0.0236799	0.372016	0.160198	0.419754	0.264626	0.2704395	0.01866222	0.0263535	0.0325736	0.0407856	0.286717	0.0574976	0.00550853	0.0561101	0.00352492	0.0308272	0.00268081	0.113005	0.016557	0.0533935	0.175457	0.0990078	0.384562	4	16.76202	0.1730492	0.260087	0.62413	1.06187	2.05392	0.111086	0.259814	0.196129	0.0671456	0.2524	0.113426	0.4032242	0.9537175
1700	-396.4442	-342.283	-54.16118	9.760456	7.310053	0.283663	0.192593	0.0745449	0.674797	1.62983	0.2461	0.212676	0.218265	0.175145	0.0128162	0.0443063	0.571772	0.429775	0.255951	0.323765	0.484049	1.30536	0.183335	0.123026	0.134317	1.1266	0.216182	0.5701308	-0.03158354	0.0716888	0.151996	0.0641702	0.168146	0.0703043	0.0479596	0.0364854	0.0135432	0.112287	0.111728	0.0630581	0.00638091	0.0206478	0.049483	0.0121221	0.6180427	1	9.807211	0.1240698	0.576649	0.844301	1.07823	1.50082	0.0785114	0.158626	0.219727	0.0728088	0.330748	0.139579	0.5864591	1.053855
1800	-410.1155	-340.3766	-69.7389	9.838899	2.999997	0.453445	0.0393847	0.045855	2.10228	0.422243	0.76144	1.79395	0.123821	0.224443	1.2192	2.34762	0.282801	0.27502	1.55232	0.559044	0.225241	0.341949	0.0810663	1.63008	1.87635	0.00107526	0.885679	0.6039987	0.2755235	0.110879	0.0123447	0.120259	0.0929289	0.0626989	0.00504446	0.00326721	0.000460186	0.306741	0.0348548	0.0404008	0.0140422	0.0021434	0.147665	0.0462699	0.3512392	2	11.49041	0.1688655	0.389262	0.731528	1.08252	1.79669	0.124718	0.12208	0.268054	0.0726407	0.28211	0.130397	0.6267627	0.5604023
1900	-401.5341	-344.7645	-56.7696	8.896602	2.175957	0.1288	1.15662	0.457552	1.66315	0.523946	1.64659	0.54651	1.47269	0.360297	0.175442	0.129633	0.672471	0.0104673	0.297757	0.242208	0.250748	0.249749	0.0171094	0.340904	2.26149	0.13007	0.562943	0.4809201	0.06396165	0.00724461	0.0736475	0.06154	0.0517529	0.0735201	0.0447048	0.00678848	0.00437263	0.312893	0.0234366	0.114023	0.0242812	0.053888	0.120709	0.0271977	0.3674408	3	12.739	0.153212	0.313411	0.672509	1.07383	1.94025	0.148189	0.150934	0.23225	0.0640984	0.27217	0.132359	0.4314024	0.8517355
