"lek","song.type","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"CCL","CCL-M1","u","p","p","d","u","p","p","p","d","p","u","p","p","d","p","u","p","p","d","d"
"CCL","CCL-N1","p","p","p","u","u","u","u","f","p","p","p","p","p","u","u","u","u","f","f","p"
"CCL","CCL-N2","p","p","p","p","u","p","p","p","p","p","p","p","p","u","u","u","p","p","p","p"
"HC1","HC1-A1","p","u","s","d","d","p","u","s","d","d","p","u","s","s","d","p","u","s","s","d"
"HC1","HC1-A2","u","u","m","d","d","u","u","m","m","d","u","u","m","m","d","u","u","m","m","d"
"HC1","HC1-C1","u","u","u","d","d","u","u","u","d","d","u","u","u","d","d","u","u","u","d","d"
"HC1","HC1-C2","u","u","d","u","u","d","m","u","u","d","u","u","d","u","u","d","u","u","u","d"
"HC1","HC1-C3","u","u","f","u","u","f","f","u","u","d","u","u","d","u","u","u","d","u","u","d"
"HC1","HC1-C4","p","f","d","p","u","f","d","p","f","d","p","f","d","p","f","f","d","p","f","d"
"HC1","HC1-D1","u","u","m","m","p","u","u","m","m","p","u","u","s","s","p","u","u","m","m","p"
"HC1","HC1-E1","p","p","m","m","p","d","m","p","p","m","m","p","d","m","p","m","m","m","p","m"
"HC1","HC1-F1","p","s","s","p","p","p","s","s","p","p","p","s","s","p","p","p","s","s","p","p"
"HC1","HC1-F2","u","s","p","p","s","s","p","p","p","s","s","p","p","s","s","s","s","s","p","s"
"HC1","HC1-F3","p","m","f","p","p","m","f","p","p","f","d","u","p","f","u","d","p","f","p","u"
"HC1","HC1-G1","p","s","s","s","s","p","s","s","s","s","p","s","s","s","s","d","s","s","s","s"
"HC1","HC1-H1","u","u","u","d","d","u","u","u","d","d","u","u","p","d","d","u","u","p","d","d"
"HC1","HC1-I1","u","u","s","f","p","p","p","s","f","d","p","p","s","f","d","p","p","s","f","d"
"HC1","HC1-J1","p","p","s","s","u","u","u","s","s","s","p","p","s","s","s","u","u","s","s","s"
"HC1","HC1-K1","p","p","p","p","p","p","p","p","p","p","p","p","p","p","p","p","p","p","p","p"
"HC1","HC1-K2","u","u","s","f","f","f","p","p","p","p","u","u","s","s","f","f","p","p","p","p"
"HC1","HC1-K3","p","f","p","p","f","d","p","p","f","p","p","f","p","p","p","f","p","p","f","p"
"HC1","HC1-L1","p","p","m","p","p","p","p","m","p","p","p","p","m","m","p","p","p","m","p","p"
"HC1","HC1-M1","p","u","f","p","d","p","u","f","f","p","p","f","f","p","d","p","f","f","p","p"
"HC2","HC2-A1","u","u","d","p","p","u","u","p","p","p","u","u","d","p","p","u","u","d","p","p"
"HC2","HC2-C1","u","u","d","s","s","u","u","d","s","s","u","u","d","s","s","u","u","d","s","s"
"HC2","HC2-C2","u","u","f","d","f","p","p","p","u","d","d","f","f","p","p","p","d","f","f","f"
"HC2","HC2-C3","u","p","p","p","d","d","p","p","p","p","p","p","p","u","u","p","s","p","p","p"
"HC2","HC2-D1","p","u","u","s","s","s","s","p","u","u","s","s","s","p","p","u","p","s","s","s"
"HC2","HC2-E1","p","m","m","f","f","p","m","m","f","f","p","m","m","f","f","p","m","m","f","f"
"HC2","HC2-E2","s","s","f","f","s","s","f","m","m","f","m","m","f","p","m","m","f","m","m","f"
"HC2","HC2-F1","p","p","p","s","s","s","s","s","s","s","p","p","p","s","s","s","s","s","s","s"
"HC2","HC2-F2","s","s","p","s","s","p","s","p","s","s","s","s","s","s","s","s","s","s","s","s"
"HC2","HC2-G1","p","u","p","p","p","d","u","p","p","p","p","p","p","p","p","u","u","p","p","d"
"HC2","HC2-H1","f","u","u","s","f","u","u","f","u","u","f","u","u","f","f","u","u","f","u","u"
"LOC","LOC-A1","m","m","m","m","f","m","m","m","m","f","m","m","m","m","f","m","m","m","m","f"
"LOC","LOC-A2","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f"
"LOC","LOC-C1","u","m","m","m","m","f","f","f","f","f","u","m","m","m","m","f","f","f","f","f"
"LOC","LOC-D1","p","u","s","s","s","s","s","f","f","f","u","u","s","s","s","s","s","m","f","f"
"LOC","LOC-E1","u","s","s","s","m","f","f","f","f","d","p","m","m","m","m","m","f","f","f","d"
"LOC","LOC-F1","p","s","s","s","s","s","m","m","f","d","s","s","s","f","m","s","m","m","f","d"
"LOC","LOC-F2","s","s","s","s","p","s","m","m","m","m","s","s","s","s","p","s","s","m","m","d"
"LOC","LOC-G1","u","s","m","m","f","f","f","f","f","f","u","s","s","m","m","f","f","f","f","f"
"LOC","LOC-G2","p","m","f","f","f","f","f","f","f","f","p","p","m","f","f","f","f","f","f","f"
"SAT","SAT-A1","p","f","f","f","f","f","f","f","f","f","p","f","f","f","p","f","f","f","f","f"
"SAT","SAT-C1","u","f","f","f","f","f","f","p","f","f","p","f","f","p","f","f","f","p","f","f"
"SAT","SAT-C2","u","f","f","u","u","f","f","u","f","f","u","s","f","u","s","f","f","u","f","f"
"SAT","SAT-D1","d","p","s","s","s","m","m","f","f","f","d","p","s","s","m","m","f","f","f","f"
"SAT","SAT-D2","d","p","s","s","m","m","m","f","f","f","d","p","s","s","m","m","m","f","f","f"
"SAT","SAT-D3","u","m","m","m","m","m","m","f","f","f","p","s","m","m","m","m","m","m","f","f"
"SAT","SAT-E1","p","u","f","f","f","f","f","f","p","p","p","p","f","f","f","f","f","f","p","p"
"SAT","SAT-F1","d","p","p","u","u","u","u","p","p","p","d","p","p","u","u","u","u","p","p","p"
"SAT","SAT-F2","u","s","s","u","s","s","p","m","m","m","p","m","m","p","m","m","d","m","m","d"
