taxon	min	max
BR1-A1-2011	3	3
BR1-A2-2014	0	0
BR1-C1-2011	3	3
BR1-C2-2014	0	0
BR1-D1-2011	3	3
BR1-D2-2013	1	1
BR1-D3-2013	1	1
BR1-D4-2013	1	1
BR1-E1-2012	2	2
BR1-E2-2014	0	0
BR1-E3-2014	0	0
BR1-F1-2014	0	0
