taxon	min	max
TR1-C1-2009	5	5
TR1-D1-2009	5	5
TR1-D2-2011	3	3
TR1-D3-2012	2	2
TR1-D4-2012	2	2
TR1-D5-2013	1	1
TR1-E1-2011	3	3
TR1-E2-2011	3	3
TR1-E3-2011	3	3
TR1-E4-2012	2	2
TR1-F1-2011	3	3
TR1-F2-2014	0	0
