taxon	min	max
SUR-F1-2008	11	11
SUR-F1-2009	10	10
SUR-F1-2010	9	9
SUR-F1-2011	8	8
SUR-F1-2012	7	7
SUR-F2-2008	11	11
SUR-F2-2009	10	10
SUR-F2-2010	9	9
SUR-F2-2011	8	8
SUR-F3-2009	10	10
SUR-F4-2011	8	8
SUR-F4-2012	7	7
SUR-F5-2011	8	8
SUR-G1-2008	11	11
SUR-G1-2009	10	10
SUR-H1-2008	11	11
SUR-H1-2009	10	10
SUR-H1-2010	9	9
SUR-H1-2011	8	8
SUR-H1-2012	7	7
SUR-H2-2010	9	9
SUR-H2-2011	8	8
SUR-H2-2012	7	7
SUR-H3-2011	8	8
SUR-I1-2008	11	11
SUR-J1-2010	9	9
SUR-J1-2011	8	8
SUR-J1-2012	7	7
SUR-J1-2013	6	6
SUR-J1-2014	5	5
SUR-J1-2015	4	4
SUR-J2-2012	7	7
SUR-J3-2012	7	7
SUR-J3-2013	6	6
SUR-J3-2014	5	5
SUR-J3-2015	4	4
SUR-J3-2016	3	3
SUR-J3-2017	2	2
SUR-J3-2018	1	1
SUR-J3-2019	0	0
SUR-J4-2014	5	5
SUR-J5-2017	2	2
SUR-J5-2018	1	1
SUR-J5-2019	0	0
SUR-J6-2017	2	2
SUR-J7-2019	0	0
SUR-K1-2012	7	7
SUR-K1-2013	6	6
SUR-K1-2014	5	5
SUR-K1-2015	4	4
SUR-K1-2016	3	3
SUR-K1-2017	2	2
SUR-K2-2012	7	7
SUR-K2-2013	6	6
SUR-K2-2014	5	5
SUR-K2-2015	4	4
SUR-K2-2016	3	3
SUR-K2-2017	2	2
SUR-K3-2014	5	5
SUR-K4-2015	4	4
SUR-K4-2016	3	3
SUR-K5-2018	1	1
SUR-K5-2019	0	0
SUR-K6-2019	0	0
SUR-L1-2012	7	7
