taxon	min	max
CCE-A1-1969	49	49
CCE-A1-1970	48	48
CCE-A1-1971	47	47
CCE-C1-1969	49	49
CCE-C1-1970	48	48
CCE-C1-1971	47	47
CCE-C2-1970	48	48
CCE-C3-1971	47	47
CCE-D1-1969	49	49
CCE-D1-1970	48	48
CCE-D1-1971	47	47
CCE-E1-1970	48	48
CCE-E1-1971	47	47
CCE-F1-1982	36	36
CCE-F1-1983	35	35
CCE-F1-1984	34	34
CCE-F1-1985	33	33
CCE-F1-1986	32	32
CCE-F1-1987	31	31
CCE-F1-1988	30	30
CCE-F1-1989	29	29
CCE-F2-1982	36	36
CCE-F3-1989	29	29
CCE-F4-1989	29	29
CCE-F5-1989	29	29
CCE-G1-1989	29	29
CCE-H1-2008	10	10
CCE-H1-2009	9	9
CCE-I1-2008	10	10
CCE-I1-2009	9	9
CCE-I1-2010	8	8
CCE-I1-2011	7	7
CCE-I1-2012	6	6
CCE-I1-2013	5	5
CCE-I1-2014	4	4
CCE-I2-2008	10	10
CCE-I2-2009	9	9
CCE-I2-2010	8	8
CCE-I2-2011	7	7
CCE-I2-2012	6	6
CCE-I2-2013	5	5
CCE-I2-2014	4	4
CCE-I3-2011	7	7
CCE-I4-2018	0	0
CCE-I5-2018	0	0
CCE-J1-2011	7	7
CCE-J1-2012	6	6
CCE-J1-2013	5	5
CCE-J1-2014	4	4
CCE-J2-2014	4	4
CCE-K1-2011	7	7
